,Symbol,Open,High,Low,Close,Volume,% Change,Updated_Price
0,XRAY,46.99,49.45,45.87,49.13,9980620,17.65,49.57
1,SRCL,49.98,51.96,48.11,51.63,4044800,15.81,52.56
2,ARQL,3.31,3.57,3.31,3.56,638300,8.87,5.05
3,ELTK,2.27,2.4,2.27,2.4,11300,8.11,1.7300
4,FTK,3.23,3.46,3.21,3.44,1202400,7.5,3.1650
5,MBI,10.0,10.65,9.82,10.61,1691800,6.85,10.42
6,MAS,40.51,41.0,39.31,40.0,8989600,6.5,38.72
7,FL,67.85,68.0,62.03,63.07,12626000,5.96,58.57
8,CHU,12.34,12.37,12.27,12.33,560000,4.49,13.13
9,COG,24.84,25.24,24.84,25.24,5883258,2.52,26.52
10,PXD,141.5,144.55,141.5,144.46,1791438,2.49,143.59
11,MLM,188.5,194.15,188.44,192.46,692100,2.48,195.14
12,HES,58.26,59.74,58.26,59.23,3436000,2.39,61.43
13,CRUS,40.77,41.26,40.4,41.07,718700,2.34,42.68
14,MEOH,56.68,58.24,56.54,57.69,394000,2.29,56.92
15,RJF,83.48,84.69,83.37,84.46,718236,2.28,78.05
16,A,80.0,81.44,80.0,81.24,1619473,2.27,80.83
17,BDX,250.53,254.47,249.9,254.37,975500,2.24,247.56
18,MTL,2.32,2.47,2.3,2.37,154254,2.16,2.1650
19,QGEN,38.72,39.38,38.65,39.25,1653838,2.13,40.32
20,CVX,120.39,122.04,120.17,122.03,7905800,2.05,124.11
21,ANF,22.6,22.75,22.0,22.4,3268900,2.05,25.76
22,BRKR,38.48,39.15,38.47,38.98,552900,2.02,38.40
23,WU,17.97,18.29,17.82,18.21,11709959,1.9,18.45
24,TDC,48.84,49.41,48.33,49.28,1200384,1.88,44.53
25,BIIB,331.29,335.17,330.15,334.1,904900,1.86,229.58
26,ATVI,42.6,43.18,42.18,42.84,9283832,1.66,47.30
27,BMRN,93.85,94.78,93.5,94.76,829900,1.61,88.91
28,LAMR,78.1,78.94,77.75,78.8,298600,1.59,77.33
29,AVY,108.88,109.76,108.15,109.71,1208000,1.55,110.72
30,UHS,140.33,142.21,139.34,140.8,796485,1.42,135.43
31,BKH,71.1,72.18,70.75,71.95,405900,1.37,74.49
32,RBCN,8.12,8.43,8.04,8.4,6400,1.33,8.00
33,CBS,50.6,50.93,50.38,50.79,2476300,1.16,47.67
34,AXP,108.4,109.65,108.2,108.9,2667263,1.08,110.01
35,PPH,60.93,61.46,60.93,61.35,20000,1.07,60.86
36,SIRI,5.95,6.02,5.92,5.99,21445200,1.01,5.76
37,ULTA,315.61,318.78,313.82,315.3,553079,0.9,344.17
38,MET,45.64,46.06,45.29,45.55,5929600,0.8,42.38
39,UBS,12.76,12.84,12.71,12.71,2432519,0.32,11.89
40,SMN,28.01,28.61,28.01,28.54,6900,0.32,29.20
41,EXG,7.95,8.0,7.94,7.95,636800,0.25,8.01
42,CINF,87.35,87.46,86.74,86.99,574700,0.2,85.00
43,RSG,78.84,78.84,78.21,78.52,987521,0.11,80.39
44,RDY,37.72,37.9,36.18,37.69,215287,0.03,40.53
