Date, Open, High, Low, Close, Volume
03/25/19, 71.65, 72.88, 71.33, 72.74, 3870429
03/22/19, 73.06, 73.35, 71.72, 72.01, 10739495
03/21/19, 73.28, 74.09, 72.93, 73.73, 9702568
03/20/19, 73.67, 74.00, 72.88, 73.76, 6965308
03/19/19, 73.78, 74.435, 73.56, 73.95, 4877226
03/18/19, 74.03, 74.3769, 73.52, 73.78, 3755282
03/15/19, 73.82, 73.98, 73.36, 73.64, 5742157
03/14/19, 73.31, 73.79, 72.82, 73.47, 3983081
03/13/19, 73.76, 74.36, 73.25, 73.64, 2738688
03/12/19, 74.00, 74.16, 73.25, 73.59, 3105008
03/11/19, 72.65, 74.01, 72.51, 73.47, 14086002
03/08/19, 70.66, 71.84, 70.52, 71.75, 7954834
03/07/19, 74.16, 74.21, 72.18, 72.57, 8530269
03/06/19, 75.68, 75.68, 74.47, 74.79, 7351510
03/05/19, 75.96, 76.26, 75.08, 75.12, 7028982
03/04/19, 75.70, 76.18, 74.95, 76.01, 5636860
03/01/19, 75.00, 75.66, 74.66, 74.96, 5033084
02/28/19, 74.37, 74.95, 73.65, 74.59, 11186470
02/27/19, 73.77, 74.87, 73.62, 74.73, 6840629
02/26/19, 72.88, 74.66, 72.5977, 74.25, 4250382
02/25/19, 73.22, 74.31, 73.12, 74.03, 6373719
02/22/19, 70.33, 71.77, 69.93, 71.72, 9140759
02/21/19, 69.58, 70.03, 69.17, 69.84, 5252592
02/20/19, 69.28, 70.04, 69.26, 69.40, 3489389
02/19/19, 67.78, 69.53, 67.71, 69.11, 5606049
02/15/19, 68.95, 68.95, 67.63, 67.86, 8524921
02/14/19, 68.54, 68.80, 68.18, 68.62, 5647115
02/13/19, 69.09, 69.66, 68.99, 69.07, 3367666
02/12/19, 69.04, 69.57, 68.79, 68.88, 4801766
02/11/19, 68.99, 69.53, 68.49, 68.50, 2915578
02/08/19, 67.47, 68.70, 67.41, 68.52, 2529535
02/07/19, 69.37, 69.37, 67.43, 68.55, 5326691
02/06/19, 69.95, 70.42, 69.32, 69.94, 3493222
02/05/19, 68.74, 70.28, 68.74, 70.05, 7936355
02/04/19, 68.19, 68.55, 67.7481, 68.41, 7195252
02/01/19, 68.43, 68.87, 68.26, 68.52, 5795226
01/31/19, 68.32, 69.09, 67.59, 68.51, 6965003
01/30/19, 66.20, 68.48, 66.05, 68.02, 11807024
01/29/19, 65.08, 65.61, 64.32, 64.79, 5842942
01/28/19, 64.48, 65.485, 63.98, 65.22, 4830296
01/25/19, 64.87, 65.87, 64.72, 65.22, 7157269
01/24/19, 62.64, 64.20, 62.64, 64.00, 6513240
01/23/19, 63.62, 64.15, 62.56, 62.87, 4054790
01/22/19, 64.16, 64.16, 62.28, 63.01, 9251325
01/18/19, 65.06, 65.45, 63.89, 64.64, 10232798
01/17/19, 63.20, 65.27, 63.08, 64.33, 5385405
01/16/19, 62.93, 64.20, 62.93, 63.89, 9971253
01/15/19, 62.59, 63.82, 62.44, 62.78, 11922413
01/14/19, 61.77, 62.46, 61.15, 62.29, 8761169
01/11/19, 62.87, 63.57, 62.53, 62.88, 3692385
01/10/19, 62.31, 63.15, 61.95, 63.11, 6199760
01/09/19, 61.90, 63.47, 61.72, 62.94, 11313661
01/08/19, 60.70, 61.41, 59.50, 61.04, 6918613
01/07/19, 58.90, 60.20, 58.45, 59.64, 9004700
01/04/19, 56.50, 59.38, 56.50, 58.72, 9438788
01/03/19, 56.48, 56.85, 55.09, 55.53, 8506970
01/02/19, 56.78, 58.01, 56.47, 57.49, 10532438
12/31/18, 59.21, 59.21, 57.47, 57.94, 4654020
12/28/18, 58.21, 58.99, 57.59, 58.35, 3846438
12/27/18, 56.84, 58.04, 56.62, 57.97, 6836468
12/26/18, 56.45, 57.98, 55.16, 57.90, 5860047
12/24/18, 54.88, 56.53, 54.75, 55.71, 5688618
12/21/18, 57.25, 57.52, 55.08, 55.65, 13771135
12/20/18, 57.49, 57.92, 56.115, 56.71, 8612634
12/19/18, 58.93, 59.33, 57.16, 57.70, 9549116
12/18/18, 60.40, 60.53, 58.78, 59.12, 5659974
12/17/18, 61.39, 61.63, 59.37, 60.08, 8897814
12/14/18, 61.56, 62.44, 60.82, 62.01, 8446379
12/13/18, 63.34, 63.34, 62.32, 62.76, 5280977
12/12/18, 63.645, 64.00, 62.665, 62.82, 6979270
12/11/18, 63.38, 63.935, 62.23, 62.57, 5461335
