Date, Open, High, Low, Close, Volume
03/25/19, 30.53, 30.7151, 30.16, 30.21, 5172082
03/22/19, 31.32, 31.44, 30.53, 30.57, 7488905
03/21/19, 30.89, 31.77, 30.79, 31.45, 5725099
03/20/19, 31.50, 31.55, 30.77, 30.96, 6250188
03/19/19, 31.50, 32.12, 31.38, 31.59, 6824528
03/18/19, 31.50, 31.58, 31.03, 31.38, 6832714
03/15/19, 32.28, 32.35, 31.415, 31.43, 9645120
03/14/19, 31.96, 32.47, 31.88, 32.13, 6454467
03/13/19, 31.22, 31.925, 31.00, 31.84, 11092869
03/12/19, 32.19, 32.19, 30.88, 30.92, 10887514
03/11/19, 31.64, 32.27, 31.57, 32.05, 8943989
03/08/19, 31.90, 32.115, 31.37, 31.91, 6200496
03/07/19, 32.70, 32.70, 31.6177, 32.22, 7112375
03/06/19, 33.22, 33.415, 32.515, 32.76, 6421016
03/05/19, 34.03, 34.38, 33.17, 33.23, 7405708
03/04/19, 34.76, 34.89, 33.50, 33.72, 6998090
03/01/19, 35.58, 35.96, 34.37, 34.64, 8654044
02/28/19, 35.63, 35.89, 35.1699, 35.63, 7873833
02/27/19, 36.11, 36.33, 35.2681, 35.69, 5874912
02/26/19, 35.90, 36.725, 35.75, 36.25, 7565026
02/25/19, 35.75, 36.3799, 35.67, 35.90, 10905926
02/22/19, 35.00, 35.55, 35.00, 35.49, 5393564
02/21/19, 34.98, 35.51, 34.825, 34.98, 5900744
02/20/19, 35.00, 35.24, 34.77, 35.06, 6969932
02/19/19, 35.03, 35.90, 35.00, 35.47, 6436150
02/15/19, 36.24, 36.34, 34.96, 35.05, 11471877
02/14/19, 35.91, 36.525, 35.67, 36.11, 4070020
02/13/19, 35.83, 36.4632, 35.81, 36.21, 5837850
02/12/19, 36.76, 37.17, 35.67, 35.75, 6883189
02/11/19, 36.08, 36.7173, 36.08, 36.59, 4932635
02/08/19, 35.80, 36.23, 35.39, 36.00, 4973284
02/07/19, 36.46, 36.70, 35.94, 36.17, 5857278
02/06/19, 36.80, 37.09, 36.61, 36.76, 5802821
02/05/19, 36.81, 37.23, 36.70, 36.93, 6003162
02/04/19, 36.16, 36.81, 36.12, 36.78, 9089334
02/01/19, 35.77, 36.59, 35.77, 36.11, 6612246
01/31/19, 36.31, 36.55, 35.55, 35.77, 7706585
01/30/19, 36.43, 36.68, 36.17, 36.34, 7435617
01/29/19, 36.76, 37.08, 36.07, 36.29, 8744324
01/28/19, 34.53, 36.62, 34.50, 36.57, 14843458
01/25/19, 33.94, 35.50, 33.76, 34.98, 15933789
01/24/19, 34.26, 34.35, 32.83, 33.66, 15531138
01/23/19, 32.93, 33.10, 31.39, 31.65, 14317926
01/22/19, 33.76, 33.8804, 32.45, 32.74, 14598203
01/18/19, 33.84, 34.04, 33.1538, 33.97, 5817716
01/17/19, 32.75, 33.89, 32.6311, 33.58, 5917547
01/16/19, 32.82, 33.67, 32.74, 32.84, 9141554
01/15/19, 31.88, 32.86, 31.63, 32.10, 7643059
01/14/19, 31.40, 31.93, 30.70, 31.71, 5878522
01/11/19, 31.80, 31.989, 31.10, 31.80, 6900397
01/10/19, 30.62, 32.21, 29.78, 32.04, 19726307
01/09/19, 32.42, 33.55, 32.30, 33.42, 6179397
01/08/19, 33.36, 33.65, 32.20, 32.42, 7107729
01/07/19, 31.99, 33.4804, 31.24, 32.95, 8010692
01/04/19, 30.44, 32.09, 30.40, 32.04, 9369633
01/03/19, 31.69, 31.8535, 28.81, 30.06, 16821991
01/02/19, 31.46, 32.65, 31.05, 32.48, 5229460
12/31/18, 32.09, 32.62, 31.68, 32.11, 5334664
12/28/18, 32.17, 32.60, 31.51, 31.83, 6379455
12/27/18, 31.71, 32.05, 30.865, 32.04, 7751743
12/26/18, 30.12, 32.33, 29.59, 32.29, 8621261
12/24/18, 30.51, 30.92, 29.67, 29.72, 5901991
12/21/18, 31.95, 32.65, 30.65, 30.78, 11800633
12/20/18, 32.34, 32.68, 30.95, 31.89, 9439595
12/19/18, 33.46, 33.98, 32.23, 32.42, 8120520
12/18/18, 32.47, 33.645, 32.47, 33.54, 9117596
12/17/18, 32.30, 32.8616, 31.695, 32.04, 7638105
12/14/18, 32.27, 33.2741, 32.08, 32.41, 8558597
12/13/18, 34.30, 34.69, 32.38, 32.46, 10279702
12/12/18, 34.55, 34.7864, 34.089, 34.35, 7630516
12/11/18, 34.36, 34.81, 33.61, 34.10, 8055448
12/10/18, 33.67, 34.17, 32.61, 33.84, 8569141
12/07/18, 36.58, 36.60, 33.38, 33.57, 14380116
12/06/18, 36.00, 37.10, 35.79, 36.94, 9378907
12/04/18, 38.82, 39.205, 36.67, 36.69, 12315077
12/03/18, 40.57, 40.58, 39.135, 39.65, 6577686
11/30/18, 38.42, 40.20, 38.42, 40.16, 10015654
11/29/18, 38.80, 39.34, 38.40, 38.42, 5178376
11/28/18, 38.59, 38.97, 37.78, 38.94, 6673828
11/27/18, 38.21, 38.765, 37.81, 38.29, 8143233
11/26/18, 38.30, 38.62, 37.7001, 38.10, 9203089
11/23/18, 36.66, 38.27, 36.66, 37.95, 6121272
11/21/18, 36.09, 37.51, 35.97, 36.31, 8701536
11/20/18, 35.05, 36.39, 34.86, 35.59, 7059833
11/19/18, 36.76, 37.08, 35.305, 35.82, 9420974
11/16/18, 37.40, 37.53, 36.50, 36.75, 10645828
11/15/18, 37.87, 38.16, 36.3101, 37.82, 8296755
11/14/18, 38.00, 38.59, 37.45, 38.11, 7288643
11/13/18, 37.15, 38.42, 37.10, 37.78, 9694207
11/12/18, 36.31, 37.3041, 35.7777, 36.86, 9360761
11/09/18, 36.70, 37.26, 36.03, 36.22, 6794692
11/08/18, 36.77, 37.05, 35.97, 36.86, 6884753
11/07/18, 35.57, 37.39, 35.48, 36.97, 10903961
11/06/18, 35.60, 35.96, 34.8399, 35.17, 11376726
11/05/18, 36.35, 36.52, 35.13, 35.72, 11305331
11/02/18, 36.59, 37.46, 35.64, 36.33, 10039121
11/01/18, 35.30, 36.47, 35.07, 36.37, 9643154
10/31/18, 35.16, 35.90, 34.81, 35.08, 11132795
10/30/18, 32.44, 34.78, 32.33, 34.66, 13067628
10/29/18, 33.14, 33.995, 31.95, 32.60, 9405453
10/26/18, 31.40, 33.01, 31.30, 32.46, 11438628
10/25/18, 31.19, 33.33, 31.12, 32.37, 18375181
10/24/18, 32.48, 32.75, 30.24, 30.34, 15348177
10/23/18, 31.53, 32.44, 30.60, 32.38, 12468259
10/22/18, 32.27, 32.52, 31.82, 32.16, 7572134
10/19/18, 32.09, 32.65, 31.81, 32.04, 10445246
10/18/18, 33.58, 33.759, 31.87, 32.06, 12778275
10/17/18, 34.45, 35.40, 33.53, 33.57, 15068551
10/16/18, 32.06, 33.44, 31.98, 33.28, 11339164
10/15/18, 31.00, 32.24, 30.82, 31.78, 11092524
10/12/18, 31.97, 32.13, 30.81, 30.91, 12905185
10/11/18, 32.30, 32.75, 30.75, 31.27, 17115781
10/10/18, 33.33, 33.40, 31.59, 31.61, 20539018
10/09/18, 36.30, 36.39, 33.41, 33.55, 19662644
10/08/18, 35.9911, 36.85, 35.60, 35.90, 7879323
10/05/18, 37.93, 38.1275, 36.21, 36.44, 9127017
10/04/18, 38.80, 39.01, 37.48, 37.92, 5916661
10/03/18, 38.70, 39.26, 38.42, 38.80, 6370307
10/02/18, 39.60, 39.60, 38.40, 38.50, 7625022
10/01/18, 41.41, 41.75, 39.60, 39.61, 7213580
09/28/18, 41.37, 41.955, 40.70, 41.33, 5030569
09/27/18, 41.23, 42.20, 41.15, 41.50, 5654613
09/26/18, 40.84, 41.48, 40.78, 41.04, 4623712
09/25/18, 42.00, 42.19, 40.27, 40.81, 6744165
09/24/18, 43.27, 43.27, 41.85, 41.98, 7105075
09/21/18, 42.04, 43.89, 41.99, 43.60, 10743088
09/20/18, 41.82, 42.17, 41.19, 41.89, 6865565
09/19/18, 40.79, 41.7668, 40.70, 41.60, 7413645
09/18/18, 40.36, 40.86, 39.65, 40.79, 5548449
09/17/18, 39.70, 40.545, 39.70, 40.32, 5072753
09/14/18, 39.54, 39.97, 39.32, 39.74, 2905068
09/13/18, 39.49, 40.06, 39.42, 39.48, 4268883
09/12/18, 40.26, 40.401, 39.23, 39.26, 6103809
09/11/18, 39.33, 40.305, 39.065, 40.18, 5863979
09/10/18, 38.66, 39.49, 38.49, 39.43, 3901039
09/07/18, 38.31, 39.27, 38.15, 38.43, 4875809
09/06/18, 39.48, 39.69, 38.2485, 38.48, 6917509
09/05/18, 40.81, 41.37, 38.88, 39.67, 9738921
09/04/18, 40.32, 41.34, 40.32, 40.77, 7123152
08/31/18, 40.25, 40.55, 40.18, 40.48, 3464003
08/30/18, 40.36, 40.84, 40.1504, 40.40, 4330210
08/29/18, 40.66, 41.04, 40.25, 40.50, 4475067
08/28/18, 39.67, 40.70, 39.60, 40.69, 7373456
08/27/18, 39.02, 39.82, 39.02, 39.52, 11236016
08/24/18, 38.90, 39.15, 38.5272, 38.82, 3561731
08/23/18, 39.19, 39.39, 38.72, 38.83, 3931892
08/22/18, 40.08, 40.19, 39.14, 39.19, 5593343
08/21/18, 39.98, 40.71, 39.84, 40.33, 6491776
08/20/18, 38.04, 40.10, 37.99, 39.99, 9629081
08/17/18, 37.99, 38.21, 37.72, 37.79, 6365148
08/16/18, 37.75, 38.455, 37.44, 38.16, 5876946
08/15/18, 36.96, 37.51, 36.415, 37.44, 5599590
08/14/18, 36.84, 37.555, 36.83, 37.09, 3873119
08/13/18, 37.29, 37.33, 36.68, 36.79, 4052014
08/10/18, 37.75, 37.79, 36.445, 37.26, 7481823
08/09/18, 38.55, 38.74, 37.885, 37.92, 3699790
08/08/18, 38.41, 38.86, 38.22, 38.38, 3895478
08/07/18, 38.65, 38.74, 38.19, 38.26, 6427062
08/06/18, 38.26, 38.49, 37.87, 38.41, 3340207
08/03/18, 38.06, 38.62, 38.05, 38.42, 3975102
08/02/18, 37.86, 38.12, 37.35, 37.93, 5920730
08/01/18, 39.38, 39.47, 37.69, 38.14, 7080711
07/31/18, 39.26, 39.87, 39.14, 39.54, 5761144
07/30/18, 39.88, 40.29, 38.93, 38.97, 5746203
07/27/18, 39.93, 40.859, 39.51, 39.69, 8445143
07/26/18, 37.85, 40.45, 37.60, 40.02, 12832274
07/25/18, 37.32, 38.34, 37.32, 38.19, 7338068
07/24/18, 38.19, 38.39, 37.04, 37.45, 6415066
07/23/18, 37.65, 38.22, 37.36, 38.04, 4697307
07/20/18, 37.96, 38.3823, 37.8108, 37.88, 5303258
07/19/18, 38.32, 38.38, 37.545, 38.13, 4985234
07/18/18, 38.00, 39.20, 38.00, 38.37, 10297410
07/17/18, 37.10, 38.05, 37.08, 37.38, 6274419
07/16/18, 37.26, 37.58, 36.93, 37.28, 5358592
07/13/18, 36.31, 37.26, 36.14, 37.12, 10841910
07/12/18, 36.40, 36.77, 35.64, 36.33, 12226590
07/11/18, 38.31, 38.34, 35.90, 35.96, 24894183
07/10/18, 39.38, 39.40, 38.50, 39.12, 4909957
07/09/18, 38.21, 39.41, 38.07, 39.31, 4530423
07/06/18, 38.19, 38.39, 37.76, 38.09, 3695004
07/05/18, 37.85, 38.18, 37.52, 37.99, 6181460
07/03/18, 37.64, 38.33, 36.76, 37.75, 5645315
07/02/18, 37.74, 38.395, 37.44, 38.36, 3363452
06/29/18, 38.25, 38.75, 37.82, 37.96, 6032146
06/28/18, 38.33, 38.53, 37.06, 38.20, 7909702
06/27/18, 39.09, 39.18, 38.25, 38.26, 7391586
