Date, Open, High, Low, Close, Volume
03/25/19, 2.64, 2.64, 2.64, 2.64, 121
03/22/19, 2.65, 2.65, 2.65, 2.65, 101
03/21/19, 2.91, 2.92, 2.89, 2.89, 1018
03/20/19, 2.90, 2.90, 2.90, 2.90, 1267
03/19/19, 2.84, 2.87, 2.81, 2.83, 2025
03/18/19, 2.55, 2.55, 2.55, 2.55, 111
03/15/19, 2.70, 2.92, 2.70, 2.92, 9243
03/14/19, 2.43, 2.43, 2.43, 2.43, 159
03/13/19, 2.51, 2.71, 2.31, 2.70, 5848
03/12/19, 2.52, 2.53, 2.52, 2.52, 1690
03/11/19, 2.5201, 2.5201, 2.5201, 2.5201, 1061
03/08/19, 2.51, 2.69, 2.51, 2.58, 12628
03/07/19, 2.7035, 2.72, 2.66, 2.66, 1520
03/06/19, 2.70, 2.70, 2.70, 2.70, 74
03/05/19, 2.69, 2.69, 2.69, 2.69, 212
03/04/19, 2.854, 2.87, 2.85, 2.85, 8437
03/01/19, 2.85, 2.87, 2.806, 2.8565, 5005
02/28/19, 2.89, 2.89, 2.89, 2.89, 2159
02/27/19, 2.67, 2.67, 2.67, 2.67, 10
02/26/19, 2.79, 2.80, 2.79, 2.80, 981
02/25/19, 2.91, 2.91, 2.7935, 2.7935, 1211
02/22/19, 2.6719, 2.8526, 2.6672, 2.8526, 4229
02/21/19, 2.56, 2.56, 2.56, 2.56, 124
02/20/19, 2.62, 2.745, 2.5758, 2.63, 5974
02/19/19, 2.62, 2.62, 2.62, 2.62, 160
02/15/19, 2.58, 2.58, 2.58, 2.58, 260
02/14/19, 2.7368, 2.74, 2.73, 2.73, 2879
02/13/19, 2.5778, 2.60, 2.5778, 2.60, 2330
02/12/19, 2.58, 2.58, 2.58, 2.58, 56
02/11/19, 2.70, 2.70, 2.5778, 2.58, 2361
02/08/19, 2.51, 2.51, 2.51, 2.51, 177
02/07/19, 2.56, 2.803, 2.56, 2.68, 12734
02/06/19, 2.5541, 2.5541, 2.5541, 2.5541, 672
02/05/19, 2.55, 2.55, 2.55, 2.55, 41
02/04/19, 2.8498, 2.8498, 2.80, 2.80, 3116
02/01/19, 2.6513, 2.6513, 2.6513, 2.6513, 2079
01/31/19, 2.65, 2.7045, 2.65, 2.7045, 6636
01/30/19, 2.50, 2.56, 2.50, 2.53, 4547
01/29/19, 2.6569, 2.6569, 2.6569, 2.6569, 212
01/28/19, 2.54, 2.54, 2.54, 2.54, 79
01/25/19, 2.55, 2.675, 2.53, 2.66, 5856
01/24/19, 2.70, 2.82, 2.58, 2.82, 3837
01/23/19, 2.47, 2.47, 2.47, 2.47, 18
01/22/19, 2.60, 2.60, 2.51, 2.51, 1584
01/18/19, 2.46, 2.82, 2.46, 2.733, 3080
01/17/19, 2.62, 2.67, 2.442, 2.50, 6010
01/16/19, 2.52, 2.52, 2.50, 2.50, 1880
01/15/19, 2.55, 2.67, 2.4642, 2.67, 8836
01/14/19, 2.57, 2.57, 2.4401, 2.49, 6270
01/11/19, 2.60, 2.60, 2.60, 2.60, 1848
01/10/19, 2.4321, 2.45, 2.4321, 2.45, 592
01/09/19, 2.7927, 2.7927, 2.7927, 2.7927, 776
01/08/19, 2.8879, 2.8879, 2.43, 2.65, 6172
01/07/19, 2.41, 3.06, 2.41, 2.7737, 2622
01/04/19, 2.65, 3.06, 2.65, 2.9463, 1292
01/03/19, 2.5125, 2.72, 2.50, 2.65, 6932
01/02/19, 2.43, 2.49, 2.43, 2.49, 1788
12/31/18, 2.40, 2.42, 2.3932, 2.4087, 5905
12/28/18, 2.25, 2.3832, 2.25, 2.3832, 1463
12/27/18, 2.34, 2.37, 2.34, 2.37, 1919
12/26/18, 2.3833, 2.3833, 2.241, 2.241, 1328
12/24/18, 2.37, 2.3733, 2.2412, 2.3733, 1326
12/21/18, 2.3412, 2.343, 2.33, 2.33, 4147
12/20/18, 2.33, 2.33, 2.33, 2.33, 246
12/19/18, 2.3431, 2.3917, 2.33, 2.33, 3298
12/18/18, 2.40, 2.42, 2.33, 2.42, 7107
12/17/18, 2.40, 2.42, 2.3768, 2.4173, 8834
12/14/18, 2.40, 2.40, 2.40, 2.40, 338
12/13/18, 2.4089, 2.4089, 2.35, 2.35, 1824
12/12/18, 2.4122, 2.4122, 2.35, 2.35, 744
12/11/18, 2.373, 2.42, 2.36, 2.42, 1702
12/10/18, 2.3425, 2.42, 2.3425, 2.42, 3097
12/07/18, 2.5194, 2.5194, 2.42, 2.42, 1809
12/06/18, 2.68, 2.68, 2.6729, 2.68, 2624
12/04/18, 2.66, 2.6924, 2.65, 2.68, 2143
12/03/18, 2.8567, 2.8567, 2.66, 2.66, 1340
11/30/18, 2.85, 2.88, 2.611, 2.83, 6171
11/29/18, 2.7553, 2.86, 2.7553, 2.86, 1468
11/28/18, 2.81, 2.85, 2.81, 2.85, 2417
11/27/18, 2.80, 2.887, 2.61, 2.8225, 3235
11/26/18, 2.94, 3.111, 2.66, 2.85, 28125
11/23/18, 2.85, 3.0315, 2.85, 2.94, 1721
11/21/18, 3.08, 3.0915, 2.83, 2.83, 1907
11/20/18, 3.07, 3.1307, 3.02, 3.10, 9323
11/19/18, 2.93, 3.05, 2.93, 3.05, 2820
11/16/18, 2.8101, 3.03, 2.8101, 3.03, 565
11/15/18, 2.98, 2.98, 2.98, 2.98, 381
11/14/18, 3.17, 3.17, 2.84, 2.84, 7006
11/13/18, 3.11, 3.2799, 2.96, 3.196, 6584
11/12/18, 3.29, 3.42, 3.10, 3.42, 5553
11/09/18, 3.80, 3.80, 3.22, 3.22, 3695
11/08/18, 3.18, 3.5979, 3.18, 3.5979, 3806
11/07/18, 3.14, 3.57, 2.907, 3.50, 10046
11/06/18, 3.22, 3.60, 2.96, 3.10, 25186
11/05/18, 3.10, 3.10, 3.00, 3.10, 1313
11/02/18, 2.74, 3.10, 2.74, 3.10, 3097
11/01/18, 2.67, 2.94, 2.67, 2.71, 3418
10/31/18, 3.05, 3.05, 2.73, 2.80, 5102
10/30/18, 2.72, 3.10, 2.72, 3.10, 2979
10/29/18, 2.94, 2.94, 2.71, 2.71, 1326
10/26/18, 2.94, 2.94, 2.72, 2.93, 1762
10/25/18, 2.98, 2.98, 2.94, 2.97, 4119
10/24/18, 2.75, 2.99, 2.68, 2.97, 3219
10/23/18, 2.79, 2.90, 2.67, 2.75, 2911
10/22/18, 2.68, 2.79, 2.6701, 2.79, 2734
10/19/18, 2.80, 2.95, 2.80, 2.80, 2001
10/18/18, 2.75, 2.9719, 2.51, 2.95, 7657
10/17/18, 2.95, 2.95, 2.9296, 2.95, 2212
10/16/18, 2.90, 2.95, 2.67, 2.88, 7658
10/15/18, 2.7784, 2.95, 2.7784, 2.9001, 2346
10/12/18, 2.74, 2.98, 2.55, 2.75, 18022
10/11/18, 2.66, 2.7943, 2.66, 2.77, 2322
10/10/18, 2.68, 2.68, 2.5653, 2.60, 2943
10/09/18, 2.68, 2.7828, 2.4511, 2.71, 1613
10/08/18, 2.7429, 2.7429, 2.3718, 2.5537, 3323
10/05/18, 2.40, 2.40, 2.40, 2.40, 34
10/04/18, 2.60, 2.60, 2.31, 2.5027, 5590
10/03/18, 2.57, 2.70, 2.57, 2.6092, 1524
10/02/18, 2.70, 2.70, 2.45, 2.45, 5868
10/01/18, 2.55, 2.60, 2.40, 2.60, 2672
09/28/18, 2.55, 2.55, 2.50, 2.50, 4590
09/27/18, 2.575, 2.575, 2.30, 2.50, 9827
09/26/18, 2.425, 2.60, 2.30, 2.60, 3609
09/25/18, 2.5882, 2.5882, 2.35, 2.55, 1401
09/24/18, 2.40, 2.65, 2.40, 2.65, 3649
09/21/18, 2.70, 2.70, 2.35, 2.60, 9933
09/20/18, 2.90, 2.9317, 2.48, 2.75, 20330
09/19/18, 2.60, 2.90, 2.60, 2.90, 1189
09/18/18, 2.95, 2.95, 2.95, 2.95, 881
09/17/18, 2.65, 3.00, 2.45, 3.00, 11347
09/14/18, 2.875, 3.00, 2.60, 2.90, 3061
