Date, Open, High, Low, Close, Volume
03/25/19, 12.65, 12.76, 12.13, 12.32, 816419
03/22/19, 13.72, 13.74, 12.66, 12.71, 1105797
03/21/19, 13.42, 13.82, 13.40, 13.75, 515029
03/20/19, 13.82, 13.94, 13.2896, 13.44, 456806
03/19/19, 14.17, 14.17, 13.77, 13.82, 461332
03/18/19, 13.99, 14.2499, 13.92, 14.07, 573432
03/15/19, 13.94, 14.38, 13.87, 14.00, 1412067
03/14/19, 14.13, 14.50, 13.75, 13.84, 707087
03/13/19, 13.76, 14.77, 13.70, 14.08, 2287774
03/12/19, 13.29, 13.75, 13.11, 13.49, 720998
03/11/19, 13.01, 13.32, 12.9196, 13.30, 628689
03/08/19, 12.95, 13.09, 12.85, 12.88, 709119
03/07/19, 13.26, 13.44, 13.01, 13.01, 633295
03/06/19, 13.58, 13.71, 13.11, 13.30, 973122
03/05/19, 13.95, 13.97, 13.4599, 13.64, 839435
03/04/19, 13.39, 14.12, 13.11, 13.97, 1758220
03/01/19, 13.63, 13.7892, 13.23, 13.24, 3147934
02/28/19, 14.89, 14.95, 13.49, 13.50, 5093986
02/27/19, 16.37, 16.81, 15.93, 16.35, 953410
02/26/19, 16.82, 17.05, 16.0788, 16.53, 1008367
02/25/19, 15.66, 16.85, 15.50, 16.805, 2073390
02/22/19, 13.00, 15.49, 12.9001, 15.42, 3756746
02/21/19, 14.78, 15.10, 14.24, 14.60, 2179688
02/20/19, 14.95, 15.65, 14.61, 14.61, 1263637
02/19/19, 15.04, 15.08, 14.10, 14.93, 1598368
02/15/19, 14.81, 15.0499, 14.63, 15.03, 614853
02/14/19, 14.83, 14.98, 14.37, 14.72, 820747
02/13/19, 14.58, 15.22, 14.58, 14.94, 788196
02/12/19, 15.45, 15.45, 14.42, 14.66, 2233142
02/11/19, 15.96, 16.00, 15.34, 15.77, 549190
02/08/19, 15.66, 16.095, 15.59, 15.88, 563055
02/07/19, 17.25, 17.31, 15.65, 15.825, 1334456
02/06/19, 17.31, 17.71, 17.22, 17.39, 366496
02/05/19, 17.78, 18.00, 17.12, 17.29, 538965
02/04/19, 17.28, 18.04, 17.16, 17.79, 742736
02/01/19, 17.37, 17.66, 17.20, 17.29, 395147
