Date, Open, High, Low, Close, Volume
03/25/19, 42.39, 43.50, 42.1001, 43.18, 90528
03/22/19, 43.86, 44.35, 42.29, 42.38, 193302
03/21/19, 42.57, 44.56, 42.57, 44.28, 151523
03/20/19, 42.81, 43.69, 42.41, 42.82, 163107
03/19/19, 43.00, 43.18, 42.47, 42.87, 77462
03/18/19, 42.07, 42.91, 42.05, 42.80, 118585
03/15/19, 41.27, 42.29, 41.27, 41.93, 255923
03/14/19, 41.92, 42.065, 41.06, 41.19, 97819
03/13/19, 41.65, 42.41, 41.64, 41.94, 89186
03/12/19, 41.39, 41.99, 40.89, 41.57, 94578
03/11/19, 41.63, 41.89, 41.195, 41.37, 134368
03/08/19, 41.71, 42.29, 41.16, 41.59, 112054
03/07/19, 42.34, 42.53, 41.86, 41.94, 95759
03/06/19, 42.31, 42.58, 41.84, 42.42, 187331
03/05/19, 41.99, 42.51, 41.83, 42.38, 143293
03/04/19, 41.29, 42.00, 40.79, 41.78, 216994
03/01/19, 40.45, 41.52, 39.86, 41.26, 196374
02/28/19, 41.00, 42.00, 39.50, 39.86, 183565
02/27/19, 41.36, 41.78, 40.74, 41.56, 146532
02/26/19, 42.08, 42.10, 41.58, 41.75, 121478
02/25/19, 42.28, 43.14, 42.25, 42.28, 159866
02/22/19, 41.41, 42.21, 41.40, 42.18, 157222
02/21/19, 40.85, 41.40, 40.20, 41.40, 93499
02/20/19, 40.30, 40.89, 40.295, 40.87, 133055
02/19/19, 39.15, 40.37, 37.404, 40.37, 123344
02/15/19, 38.49, 39.61, 38.49, 39.46, 118602
02/14/19, 38.90, 39.05, 38.02, 38.46, 159631
02/13/19, 38.41, 39.20, 37.91, 39.13, 161362
02/12/19, 38.12, 38.87, 38.05, 38.20, 100696
02/11/19, 37.81, 38.09, 37.525, 38.05, 80870
02/08/19, 37.15, 37.82, 36.89, 37.81, 74905
02/07/19, 37.14, 37.66, 36.67, 37.28, 103920
02/06/19, 37.25, 37.64, 37.16, 37.37, 64989
02/05/19, 37.76, 37.89, 37.27, 37.34, 86769
02/04/19, 36.53, 37.74, 35.91, 37.66, 92385
02/01/19, 37.05, 37.14, 36.23, 36.54, 84796
01/31/19, 36.00, 37.05, 36.00, 36.94, 115413
01/30/19, 36.15, 36.24, 35.38, 36.21, 84877
01/29/19, 35.61, 36.15, 35.3601, 35.98, 61534
01/28/19, 35.38, 35.915, 35.13, 35.60, 86167
01/25/19, 37.09, 37.51, 35.57, 35.71, 185167
01/24/19, 36.27, 37.125, 36.27, 36.79, 95399
01/23/19, 37.81, 37.94, 36.00, 36.26, 125570
