Date, Open, High, Low, Close, Volume
03/25/19, 46.65, 47.90, 46.16, 46.51, 191777
03/22/19, 48.56, 48.70, 46.58, 46.70, 297571
03/21/19, 47.62, 49.56, 47.51, 49.03, 223797
03/20/19, 48.70, 49.39, 47.33, 47.96, 310176
03/19/19, 50.16, 50.16, 48.80, 49.06, 278881
03/18/19, 50.03, 50.20, 49.295, 49.89, 265121
03/15/19, 50.55, 51.43, 49.49, 49.57, 372203
03/14/19, 49.78, 50.68, 49.4474, 50.46, 185092
03/13/19, 49.53, 50.40, 49.52, 49.82, 308949
03/12/19, 49.29, 49.77, 49.01, 49.30, 150319
03/11/19, 49.13, 49.86, 48.99, 49.19, 397733
03/08/19, 48.40, 49.225, 48.28, 48.93, 171152
03/07/19, 49.83, 50.27, 48.64, 49.04, 239765
03/06/19, 51.42, 51.89, 49.92, 49.93, 308468
03/05/19, 51.66, 51.83, 50.60, 51.29, 528722
03/04/19, 54.14, 54.92, 51.535, 51.92, 382880
03/01/19, 54.19, 54.54, 53.26, 54.00, 345575
02/28/19, 54.53, 54.55, 53.70, 53.74, 242066
02/27/19, 54.93, 55.26, 54.23, 54.54, 257631
02/26/19, 55.39, 56.12, 54.89, 54.94, 293247
02/25/19, 55.92, 57.22, 55.26, 55.51, 783757
02/22/19, 59.61, 59.61, 58.03, 58.90, 236799
02/21/19, 60.69, 60.72, 59.17, 59.41, 303565
02/20/19, 59.60, 60.45, 58.09, 60.31, 347602
02/19/19, 57.32, 59.935, 56.005, 58.38, 915064
02/15/19, 54.35, 54.865, 53.9381, 54.23, 347983
02/14/19, 53.63, 54.66, 52.88, 54.28, 257796
02/13/19, 54.46, 54.80, 53.61, 53.80, 166763
02/12/19, 53.60, 54.7043, 53.54, 54.28, 229446
02/11/19, 51.56, 53.38, 50.97, 53.25, 304921
02/08/19, 51.12, 51.67, 50.25, 51.58, 226009
02/07/19, 52.47, 52.54, 50.87, 51.21, 331040
02/06/19, 54.08, 54.41, 52.49, 52.65, 285227
02/05/19, 54.50, 54.50, 53.05, 54.02, 205324
02/04/19, 53.49, 54.58, 53.045, 54.52, 313792
02/01/19, 53.55, 54.93, 53.21, 53.51, 387495
01/31/19, 52.80, 54.125, 52.75, 53.22, 464195
01/30/19, 51.49, 52.91, 50.30, 52.89, 339217
01/29/19, 51.49, 51.50, 50.835, 51.31, 162796
01/28/19, 50.55, 51.93, 50.50, 51.29, 178996
01/25/19, 51.19, 51.99, 50.955, 51.30, 141180
01/24/19, 49.84, 50.99, 49.72, 50.76, 188131
01/23/19, 50.35, 50.57, 49.25, 49.65, 270728
01/22/19, 50.15, 50.59, 49.37, 50.22, 300659
01/18/19, 49.42, 50.91, 49.27, 50.55, 321118
01/17/19, 47.55, 49.33, 47.41, 49.15, 248937
01/16/19, 48.00, 49.08, 47.57, 47.94, 204723
01/15/19, 47.80, 48.22, 47.00, 47.77, 278989
01/14/19, 47.85, 48.86, 47.4952, 47.70, 213735
01/11/19, 47.43, 48.79, 43.9704, 48.55, 317828
01/10/19, 46.35, 47.80, 46.015, 47.71, 190920
01/09/19, 43.97, 47.12, 43.97, 46.91, 485337
01/08/19, 43.46, 44.26, 42.79, 43.68, 298595
01/07/19, 42.13, 43.43, 41.65, 42.81, 209612
01/04/19, 41.14, 42.77, 41.105, 41.90, 247998
01/03/19, 41.20, 42.395, 39.88, 40.61, 290861
01/02/19, 41.28, 42.70, 40.70, 41.71, 442871
12/31/18, 41.82, 42.42, 40.8801, 42.19, 247362
12/28/18, 42.67, 43.12, 40.79, 41.38, 243239
12/27/18, 40.49, 42.48, 40.00, 42.47, 359401
12/26/18, 37.70, 40.97, 37.52, 40.94, 623505
12/24/18, 36.67, 38.07, 35.59, 37.31, 182110
12/21/18, 38.95, 39.7516, 36.85, 36.85, 822875
12/20/18, 39.15, 39.86, 38.29, 38.77, 420907
12/19/18, 41.83, 41.86, 39.01, 39.18, 743985
12/18/18, 43.14, 43.50, 41.975, 42.12, 441475
12/17/18, 45.00, 45.03, 42.45, 42.63, 417954
12/14/18, 45.69, 46.04, 45.0068, 45.25, 393910
12/13/18, 48.71, 50.04, 46.05, 46.53, 247411
12/12/18, 48.60, 49.53, 48.115, 48.58, 319316
12/11/18, 49.39, 49.7963, 47.12, 47.81, 330701
12/10/18, 50.10, 50.10, 47.50, 48.57, 288304
12/07/18, 51.84, 52.7775, 49.85, 50.10, 238625
12/06/18, 49.92, 51.89, 49.10, 51.83, 205182
12/04/18, 54.00, 54.23, 50.65, 50.77, 227606
12/03/18, 53.58, 54.89, 53.58, 54.52, 224800
11/30/18, 52.45, 53.64, 52.45, 53.25, 165841
11/29/18, 53.25, 53.44, 52.1301, 52.68, 319612
11/28/18, 51.38, 53.69, 50.75, 53.49, 261867
11/27/18, 51.33, 51.82, 50.47, 51.23, 155175
11/26/18, 51.13, 52.19, 50.605, 51.51, 177815
11/23/18, 49.90, 52.17, 49.0155, 50.66, 108383
11/21/18, 50.69, 51.46, 50.18, 50.35, 218575
11/20/18, 51.86, 52.395, 50.35, 50.43, 342897
11/19/18, 54.14, 54.4121, 52.45, 52.75, 237125
11/16/18, 54.82, 54.98, 53.40, 54.17, 309041
11/15/18, 54.09, 55.36, 53.17, 55.23, 625830
11/14/18, 55.34, 56.23, 53.75, 54.34, 123742
11/13/18, 54.00, 55.50, 53.52, 54.82, 191318
11/12/18, 54.05, 54.19, 53.145, 53.26, 207150
11/09/18, 55.89, 55.94, 54.34, 54.44, 201157
11/08/18, 56.92, 56.92, 55.64, 56.17, 117888
11/07/18, 55.15, 57.70, 54.80, 57.08, 285155
11/06/18, 54.51, 55.46, 53.695, 54.94, 149909
11/05/18, 55.20, 56.02, 54.25, 54.73, 339622
11/02/18, 53.50, 56.30, 53.50, 55.21, 518876
11/01/18, 52.00, 54.50, 49.31, 53.80, 750132
10/31/18, 49.08, 52.09, 49.05, 51.62, 500788
10/30/18, 49.38, 50.59, 48.30, 48.80, 397890
10/29/18, 51.78, 52.44, 48.82, 49.29, 158029
10/26/18, 49.38, 50.99, 48.53, 50.71, 322294
10/25/18, 48.19, 50.86, 48.19, 50.27, 343635
10/24/18, 51.17, 51.76, 48.54, 48.64, 361610
10/23/18, 51.55, 51.83, 50.42, 51.32, 237867
10/22/18, 52.50, 52.65, 51.92, 52.47, 434842
10/19/18, 52.41, 52.92, 51.84, 52.48, 189456
10/18/18, 53.40, 53.40, 52.06, 52.48, 272444
10/17/18, 53.83, 53.83, 52.72, 53.58, 183863
10/16/18, 53.25, 54.14, 51.875, 53.80, 308611
10/15/18, 53.10, 53.43, 52.57, 52.86, 226346
10/12/18, 53.43, 53.9099, 51.85, 53.13, 443171
10/11/18, 54.04, 54.10, 52.03, 52.08, 397297
10/10/18, 55.96, 56.20, 52.91, 53.72, 566262
10/09/18, 59.43, 59.7556, 55.75, 55.95, 564684
10/08/18, 59.30, 59.84, 58.42, 59.52, 224497
10/05/18, 60.59, 61.08, 59.435, 59.77, 237477
10/04/18, 63.02, 63.38, 61.94, 62.24, 167542
10/03/18, 62.37, 63.23, 61.92, 63.03, 141906
10/02/18, 61.84, 62.59, 61.83, 62.08, 122633
10/01/18, 63.99, 64.47, 61.73, 62.04, 154883
09/28/18, 63.50, 64.60, 63.50, 63.75, 181288
09/27/18, 63.40, 63.90, 63.25, 63.55, 123844
09/26/18, 62.55, 64.35, 62.35, 63.45, 211544
09/25/18, 62.45, 62.80, 61.90, 62.60, 370289
09/24/18, 63.25, 63.25, 61.00, 62.35, 320174
09/21/18, 64.75, 64.85, 63.30, 63.35, 373273
09/20/18, 64.00, 65.15, 63.95, 64.55, 355927
09/19/18, 63.20, 64.30, 61.286, 63.65, 292667
09/18/18, 63.55, 63.95, 62.70, 63.35, 231207
09/17/18, 63.90, 63.90, 63.15, 63.55, 328120
09/14/18, 63.65, 64.05, 62.70, 63.90, 214523
09/13/18, 64.70, 64.70, 62.85, 63.65, 211580
09/12/18, 63.95, 65.05, 63.90, 64.45, 256021
09/11/18, 63.45, 64.10, 62.30, 64.00, 251745
09/10/18, 61.70, 64.00, 61.55, 63.50, 284576
09/07/18, 61.95, 62.40, 60.80, 61.75, 145665
09/06/18, 61.80, 62.50, 61.10, 62.15, 161064
09/05/18, 61.30, 62.05, 60.95, 61.85, 158299
09/04/18, 61.15, 62.50, 60.25, 61.25, 208328
08/31/18, 61.55, 62.00, 60.70, 60.90, 194509
08/30/18, 61.95, 62.10, 60.70, 61.55, 165622
08/29/18, 62.25, 62.45, 61.95, 62.10, 261658
08/28/18, 62.60, 62.95, 61.75, 62.05, 76766
08/27/18, 62.20, 63.15, 61.85, 62.25, 130145
08/24/18, 61.80, 62.55, 61.70, 62.05, 212258
08/23/18, 60.70, 61.40, 60.2753, 61.40, 217645
08/22/18, 62.15, 62.5601, 60.65, 60.80, 180600
08/21/18, 61.35, 62.65, 61.35, 62.20, 359910
08/20/18, 60.40, 61.50, 60.00, 61.20, 186244
08/17/18, 59.80, 60.30, 58.85, 60.25, 168062
08/16/18, 58.55, 60.20, 58.40, 59.875, 237430
08/15/18, 59.70, 59.95, 58.30, 58.45, 574771
08/14/18, 60.25, 60.90, 59.70, 59.90, 135335
08/13/18, 60.70, 60.95, 59.50, 60.20, 286504
08/10/18, 61.40, 61.95, 60.525, 60.60, 294784
08/09/18, 61.80, 62.075, 61.55, 61.675, 207757
08/08/18, 62.50, 63.10, 61.45, 61.80, 255208
08/07/18, 64.00, 64.05, 62.2995, 62.325, 244649
08/06/18, 63.25, 64.30, 62.45, 63.65, 332985
08/03/18, 64.85, 65.75, 62.90, 63.10, 344847
08/02/18, 69.25, 69.80, 63.65, 64.65, 561909
08/01/18, 67.05, 68.075, 65.80, 67.50, 250725
07/31/18, 65.65, 67.10, 65.65, 67.05, 590805
07/30/18, 67.05, 68.50, 65.55, 65.60, 466597
07/27/18, 68.05, 68.45, 66.75, 67.25, 179118
07/26/18, 68.05, 68.90, 67.60, 67.80, 202989
07/25/18, 67.80, 68.95, 67.15, 67.65, 401342
07/24/18, 69.15, 69.25, 67.00, 67.85, 255668
07/23/18, 68.75, 69.05, 68.25, 68.60, 176391
07/20/18, 69.20, 69.50, 68.60, 69.00, 222809
07/19/18, 70.45, 70.45, 69.05, 69.25, 351856
07/18/18, 69.65, 70.60, 69.50, 70.55, 182379
07/17/18, 68.10, 69.35, 67.525, 69.10, 239380
07/16/18, 70.25, 71.20, 68.15, 68.35, 256936
07/13/18, 69.30, 71.45, 68.655, 70.50, 195697
07/12/18, 70.40, 70.845, 69.05, 69.55, 236575
07/11/18, 71.20, 71.30, 69.55, 70.40, 294241
07/10/18, 72.95, 73.15, 71.20, 71.50, 149580
07/09/18, 72.15, 73.05, 71.60, 72.55, 184275
07/06/18, 71.80, 71.80, 70.75, 71.45, 95966
07/05/18, 72.10, 72.30, 70.65, 71.45, 263898
07/03/18, 72.30, 72.87, 70.95, 71.50, 97503
07/02/18, 70.75, 72.425, 70.75, 72.00, 185831
06/29/18, 71.35, 72.25, 71.25, 71.70, 207167
06/28/18, 69.15, 70.975, 68.10, 70.35, 212215
06/27/18, 70.15, 71.10, 68.95, 69.10, 181786
06/26/18, 71.35, 71.35, 68.65, 69.85, 231393
06/25/18, 73.45, 75.00, 69.30, 70.95, 532767
06/22/18, 74.55, 74.60, 72.05, 73.55, 419854
06/21/18, 74.50, 74.75, 73.15, 74.00, 230697
06/20/18, 73.00, 74.35, 72.50, 74.00, 586433
06/19/18, 72.75, 74.75, 70.75, 72.55, 528078
06/18/18, 72.50, 73.40, 72.15, 73.40, 131383
06/15/18, 72.60, 72.90, 71.705, 72.85, 225606
06/14/18, 73.30, 73.905, 72.50, 72.85, 122162
06/13/18, 73.85, 73.85, 72.50, 72.90, 137544
06/12/18, 73.85, 75.2911, 72.60, 74.00, 266307
06/11/18, 71.20, 74.75, 71.10, 74.00, 1268131
06/08/18, 70.95, 71.35, 70.55, 70.90, 116817
06/07/18, 72.60, 72.60, 70.50, 71.00, 171843
06/06/18, 72.00, 73.00, 72.00, 72.40, 187352
06/05/18, 70.30, 72.00, 70.15, 71.80, 216604
06/04/18, 69.30, 70.525, 68.55, 70.30, 233584
06/01/18, 68.80, 69.90, 68.00, 69.30, 236057
05/31/18, 68.95, 69.20, 67.60, 68.15, 171567
05/30/18, 69.05, 69.95, 68.60, 68.80, 200669
05/29/18, 68.15, 70.845, 67.40, 68.55, 286351
05/25/18, 68.15, 69.20, 66.975, 68.80, 192741
05/24/18, 68.30, 68.35, 67.35, 68.15, 117426
05/23/18, 68.35, 68.35, 66.60, 67.90, 118455
05/22/18, 69.30, 69.65, 68.30, 68.50, 103741
05/21/18, 69.40, 69.95, 69.05, 69.25, 152437
05/18/18, 69.25, 69.75, 68.90, 69.20, 132104
05/17/18, 69.25, 69.80, 68.70, 69.25, 198145
05/16/18, 68.60, 70.00, 68.40, 69.40, 326141
05/15/18, 67.20, 68.60, 67.10, 68.45, 218654
05/14/18, 67.90, 68.65, 67.15, 67.60, 158448
05/11/18, 68.60, 69.20, 67.25, 68.05, 134526
05/10/18, 68.80, 69.33, 68.35, 68.45, 181232
05/09/18, 68.35, 69.00, 67.90, 68.55, 206568
05/08/18, 67.40, 68.55, 67.25, 68.05, 395837
05/07/18, 67.25, 67.85, 67.05, 67.75, 172128
05/04/18, 67.50, 67.70, 65.00, 67.15, 308491
05/03/18, 63.30, 68.00, 63.30, 67.40, 983735
05/02/18, 63.90, 63.90, 62.15, 62.75, 397180
05/01/18, 63.25, 63.90, 62.70, 63.60, 332381
04/30/18, 63.20, 63.85, 63.00, 63.40, 175270
04/27/18, 63.20, 63.55, 62.50, 63.45, 63736
04/26/18, 63.95, 63.95, 61.85, 63.05, 117485
04/25/18, 63.30, 63.90, 62.70, 63.80, 134958
04/24/18, 63.90, 64.545, 62.30, 63.25, 116135
04/23/18, 64.00, 64.15, 63.1852, 63.65, 86493
04/20/18, 63.90, 64.85, 63.50, 64.10, 163014
04/19/18, 63.75, 64.65, 62.75, 63.75, 276409
04/18/18, 63.65, 64.45, 63.40, 63.80, 235396
04/17/18, 64.90, 64.90, 61.70, 63.25, 408946
04/16/18, 63.25, 65.45, 63.20, 64.50, 284265
04/13/18, 63.35, 63.85, 63.20, 63.30, 163064
04/12/18, 62.25, 63.65, 61.55, 62.85, 180805
04/11/18, 61.90, 62.35, 61.25, 61.70, 99445
04/10/18, 60.90, 62.65, 60.90, 62.10, 181950
04/09/18, 61.25, 61.55, 59.85, 59.95, 128925
04/06/18, 62.45, 63.17, 60.25, 60.75, 154864
04/05/18, 61.60, 63.40, 60.625, 63.00, 210011
04/04/18, 59.75, 61.55, 58.95, 61.20, 189381
04/03/18, 59.45, 61.55, 59.45, 60.65, 186422
04/02/18, 59.85, 60.30, 58.35, 58.95, 142259
03/29/18, 59.60, 61.20, 59.50, 60.45, 332024
03/28/18, 59.15, 59.50, 58.35, 59.25, 145750
03/27/18, 60.35, 60.35, 58.75, 59.05, 241293
03/26/18, 59.30, 61.00, 58.90, 60.00, 198703
03/23/18, 61.60, 61.714, 58.65, 58.95, 477280
03/22/18, 62.75, 63.05, 60.95, 61.65, 341299
03/21/18, 64.05, 64.75, 63.50, 63.50, 182582
