Date, Open, High, Low, Close, Volume
03/25/19, 52.00, 53.35, 51.4388, 52.89, 315874
03/22/19, 54.11, 55.08, 52.00, 52.05, 785180
03/21/19, 52.28, 54.55, 52.28, 54.54, 680131
03/20/19, 52.26, 53.06, 50.86, 52.65, 684010
03/19/19, 51.30, 53.24, 51.0766, 52.04, 1127333
03/18/19, 48.12, 50.06, 48.09, 50.02, 882651
03/15/19, 47.05, 47.99, 46.85, 47.96, 1486661
03/14/19, 47.69, 48.0307, 47.01, 47.05, 601784
03/13/19, 48.50, 48.90, 47.5393, 47.63, 493167
03/12/19, 47.96, 48.52, 47.12, 48.33, 490445
03/11/19, 46.86, 48.15, 46.50, 47.97, 656291
03/08/19, 47.75, 47.75, 46.28, 46.86, 1057336
03/07/19, 49.82, 50.075, 48.20, 48.47, 571924
03/06/19, 51.51, 52.23, 49.8102, 49.98, 507709
03/05/19, 51.41, 51.64, 50.50, 51.40, 670822
03/04/19, 54.54, 54.86, 50.81, 51.20, 875814
03/01/19, 54.29, 54.60, 53.19, 54.45, 991984
02/28/19, 55.13, 55.75, 53.55, 53.83, 787042
02/27/19, 55.46, 55.65, 51.6001, 55.49, 2666815
02/26/19, 58.62, 60.30, 58.52, 60.22, 1686476
02/25/19, 56.44, 58.495, 56.28, 58.05, 1428837
02/22/19, 55.62, 55.95, 55.01, 55.74, 451955
02/21/19, 55.98, 56.1799, 55.25, 55.49, 323577
02/20/19, 55.88, 56.34, 55.58, 56.00, 384412
02/19/19, 55.43, 56.08, 55.21, 55.81, 424153
02/15/19, 54.90, 55.59, 54.41, 55.43, 419389
02/14/19, 53.36, 54.77, 53.35, 54.59, 305240
02/13/19, 53.66, 53.96, 53.06, 53.70, 310572
02/12/19, 53.80, 54.04, 52.72, 53.30, 402484
02/11/19, 51.52, 53.24, 51.52, 53.13, 425622
02/08/19, 51.75, 51.83, 50.81, 51.43, 350375
02/07/19, 51.84, 52.41, 51.14, 51.98, 375335
02/06/19, 52.69, 52.72, 51.42, 52.12, 310884
02/05/19, 53.00, 53.82, 52.2201, 52.50, 279802
02/04/19, 50.81, 52.96, 50.7101, 52.91, 487201
02/01/19, 51.11, 51.25, 50.45, 50.65, 367324
01/31/19, 49.63, 51.29, 49.63, 51.01, 354727
01/30/19, 49.08, 49.94, 48.04, 49.74, 394182
01/29/19, 49.14, 49.96, 48.92, 49.04, 250256
01/28/19, 48.79, 49.39, 48.345, 49.10, 290343
01/25/19, 48.83, 49.58, 48.31, 49.10, 319586
01/24/19, 48.11, 48.49, 47.13, 48.43, 567103
01/23/19, 49.08, 50.05, 47.46, 48.06, 428662
01/22/19, 49.86, 49.895, 48.05, 48.70, 470845
01/18/19, 50.42, 50.87, 50.02, 50.19, 398562
01/17/19, 49.41, 50.61, 49.3917, 50.22, 485238
01/16/19, 49.36, 50.005, 48.68, 49.63, 311817
01/15/19, 50.13, 50.40, 49.02, 49.35, 376449
01/14/19, 49.00, 50.11, 48.24, 49.78, 454098
01/11/19, 49.56, 49.89, 48.499, 49.45, 497829
01/10/19, 49.85, 50.22, 48.81, 49.69, 529229
01/09/19, 49.84, 50.61, 49.13, 50.26, 692362
01/08/19, 48.98, 49.91, 48.6466, 49.41, 769602
01/07/19, 46.45, 48.71, 46.39, 48.15, 768520
01/04/19, 43.95, 46.21, 43.19, 46.01, 865853
01/03/19, 44.34, 44.697, 42.42, 43.29, 964247
01/02/19, 42.99, 45.12, 42.62, 45.11, 1108668
12/31/18, 43.58, 44.26, 43.13, 43.75, 675677
12/28/18, 43.04, 43.74, 42.02, 43.03, 579067
12/27/18, 41.17, 43.01, 41.00, 43.00, 811875
12/26/18, 39.81, 41.81, 39.54, 41.76, 625784
12/24/18, 40.45, 40.86, 39.43, 39.74, 645009
12/21/18, 41.50, 43.40, 41.3333, 41.79, 2091193
12/20/18, 44.44, 45.43, 40.01, 41.37, 1195451
12/19/18, 44.45, 45.53, 44.35, 44.82, 846479
12/18/18, 44.44, 45.43, 44.13, 44.46, 735076
12/17/18, 44.50, 45.07, 43.475, 43.80, 622000
12/14/18, 44.60, 45.86, 44.50, 44.65, 763560
12/13/18, 46.00, 46.00, 44.85, 45.12, 576371
12/12/18, 45.88, 46.88, 45.00, 45.59, 1034250
12/11/18, 45.59, 46.29, 43.67, 44.21, 1018633
12/10/18, 43.31, 44.82, 43.31, 44.30, 735631
12/07/18, 44.37, 45.08, 42.895, 43.52, 650276
12/06/18, 42.60, 44.65, 42.00, 44.51, 853999
12/04/18, 45.15, 46.045, 43.57, 43.64, 949001
12/03/18, 43.91, 45.50, 43.80, 45.18, 1567970
11/30/18, 43.71, 44.28, 42.83, 43.47, 1232905
11/29/18, 45.30, 45.93, 43.33, 44.07, 1014890
11/28/18, 46.66, 47.1573, 45.26, 45.38, 939588
11/27/18, 46.68, 47.40, 46.40, 46.52, 445720
11/26/18, 47.26, 47.6907, 46.0401, 46.86, 381475
11/23/18, 46.20, 47.50, 46.20, 46.68, 222155
11/21/18, 45.76, 47.17, 45.56, 46.66, 534255
11/20/18, 45.09, 46.28, 43.70, 45.22, 1397237
11/19/18, 50.00, 50.03, 46.77, 46.99, 628671
11/16/18, 49.09, 50.02, 48.04, 49.95, 777819
11/15/18, 49.36, 50.07, 47.80, 49.58, 767568
