Date, Open, High, Low, Close, Volume
03/25/19, 33.46, 33.76, 32.91, 33.32, 323370
03/22/19, 34.57, 34.72, 33.02, 33.49, 512646
03/21/19, 35.25, 35.33, 34.41, 34.97, 786796
03/20/19, 37.01, 37.195, 35.31, 35.37, 496549
03/19/19, 38.57, 38.59, 36.90, 37.04, 385837
03/18/19, 37.96, 38.64, 37.96, 38.33, 241887
03/15/19, 38.05, 38.405, 37.79, 37.92, 689022
03/14/19, 38.39, 38.39, 37.93, 38.17, 322383
03/13/19, 38.42, 38.49, 38.10, 38.33, 218640
03/12/19, 38.41, 38.72, 37.99, 38.23, 260524
03/11/19, 38.16, 38.485, 37.84, 38.33, 322431
03/08/19, 37.53, 38.24, 37.42, 38.03, 392067
03/07/19, 39.21, 39.50, 38.09, 38.14, 416344
03/06/19, 40.70, 40.84, 39.25, 39.28, 362543
03/05/19, 40.79, 41.09, 40.16, 40.79, 259339
03/04/19, 41.10, 41.535, 40.595, 40.78, 379675
03/01/19, 41.11, 41.19, 40.33, 40.87, 250508
02/28/19, 40.79, 41.18, 40.68, 40.77, 250390
02/27/19, 40.84, 41.39, 40.66, 41.09, 321643
02/26/19, 41.29, 41.67, 40.79, 40.85, 332131
02/25/19, 41.62, 42.01, 41.55, 41.55, 499290
02/22/19, 40.68, 41.48, 40.67, 41.44, 411361
02/21/19, 41.20, 41.20, 40.21, 40.67, 224912
02/20/19, 40.53, 41.04, 40.34, 40.93, 430511
02/19/19, 39.60, 40.705, 39.36, 40.62, 340803
02/15/19, 38.64, 39.87, 38.46, 39.69, 680056
02/14/19, 38.68, 38.90, 38.16, 38.29, 297228
02/13/19, 39.08, 39.28, 38.79, 38.98, 214505
02/12/19, 38.54, 39.02, 38.35, 39.02, 361569
02/11/19, 37.99, 38.31, 37.50, 38.31, 265377
02/08/19, 38.19, 38.36, 37.42, 37.74, 280023
02/07/19, 38.04, 38.375, 37.68, 38.26, 465800
02/06/19, 37.83, 38.03, 37.59, 37.94, 192715
02/05/19, 38.23, 38.23, 37.49, 37.82, 329536
02/04/19, 37.57, 38.17, 37.46, 38.16, 312175
02/01/19, 38.02, 38.21, 37.32, 37.65, 543065
01/31/19, 37.64, 37.98, 37.29, 37.95, 517212
01/30/19, 38.29, 38.29, 37.29, 37.86, 374815
01/29/19, 38.63, 39.1056, 37.91, 37.91, 664462
01/28/19, 35.85, 37.88, 35.85, 37.61, 641989
01/25/19, 36.20, 36.79, 34.79, 36.51, 855355
01/24/19, 35.42, 35.75, 34.77, 35.27, 168414
01/23/19, 35.64, 35.69, 35.20, 35.45, 359118
01/22/19, 36.02, 36.17, 35.23, 35.54, 550811
01/18/19, 35.95, 36.72, 35.465, 36.24, 376617
01/17/19, 35.16, 35.99, 34.96, 35.90, 688580
01/16/19, 34.61, 35.37, 34.525, 35.34, 310544
