Date, Open, High, Low, Close, Volume
03/25/19, 7.49, 7.63, 7.49, 7.59, 32505
03/22/19, 7.55, 7.61, 7.50, 7.52, 25932
03/21/19, 7.70, 7.70, 7.52, 7.55, 40183
03/20/19, 7.63, 7.73, 7.57, 7.70, 23646
03/19/19, 7.58, 7.70, 7.58, 7.60, 37428
03/18/19, 7.55, 7.65, 7.51, 7.58, 20513
03/15/19, 7.69, 7.69, 7.53, 7.60, 17858
03/14/19, 7.69, 7.73, 7.59, 7.63, 38381
03/13/19, 7.67, 7.76, 7.52, 7.69, 49912
03/12/19, 7.54, 7.82, 7.51, 7.54, 139010
03/11/19, 7.61, 7.68, 7.42, 7.46, 38954
03/08/19, 7.35, 7.64, 7.20, 7.64, 55451
03/07/19, 7.24, 7.36, 7.17, 7.35, 22180
03/06/19, 7.1966, 7.33, 7.14, 7.25, 30966
03/05/19, 7.26, 7.31, 7.06, 7.25, 30116
03/04/19, 7.30, 7.37, 7.05, 7.27, 49136
03/01/19, 7.06, 7.35, 7.00, 7.35, 19010
02/28/19, 7.1229, 7.20, 6.98, 7.16, 37147
02/27/19, 7.3343, 7.34, 7.06, 7.14, 22703
02/26/19, 7.03, 7.2672, 6.98, 7.25, 41054
02/25/19, 7.02, 7.09, 6.98, 7.01, 23724
02/22/19, 6.95, 7.03, 6.92, 6.98, 39867
02/21/19, 7.13, 7.13, 6.91, 6.99, 47832
02/20/19, 7.19, 7.33, 7.06, 7.06, 88549
02/19/19, 7.30, 7.30, 7.04, 7.18, 33185
02/15/19, 7.34, 7.50, 7.30, 7.32, 17546
02/14/19, 7.33, 7.53, 7.33, 7.37, 36965
02/13/19, 7.4405, 7.4405, 7.35, 7.38, 6710
02/12/19, 7.40, 7.553, 7.40, 7.42, 6717
02/11/19, 7.37, 7.40, 7.3373, 7.3873, 5541
02/08/19, 7.30, 7.41, 7.30, 7.31, 9218
02/07/19, 7.66, 7.66, 7.31, 7.36, 52204
02/06/19, 7.68, 7.72, 7.55, 7.67, 34060
02/05/19, 7.69, 7.81, 7.64, 7.66, 38634
02/04/19, 7.38, 7.82, 7.38, 7.76, 58492
02/01/19, 7.34, 7.39, 7.31, 7.35, 19302
01/31/19, 7.22, 7.31, 7.20, 7.24, 39302
01/30/19, 7.01, 7.23, 7.00, 7.20, 70256
01/29/19, 6.85, 7.04, 6.8009, 7.015, 93461
01/28/19, 6.82, 6.88, 6.82, 6.88, 68666
01/25/19, 6.78, 6.8578, 6.7701, 6.80, 8323
01/24/19, 6.72, 6.78, 6.72, 6.74, 9188
01/23/19, 6.67, 6.78, 6.67, 6.6812, 9528
01/22/19, 6.68, 6.78, 6.66, 6.70, 16206
01/18/19, 6.8249, 6.8249, 6.68, 6.68, 9937
01/17/19, 6.87, 6.87, 6.75, 6.79, 8096
01/16/19, 6.85, 7.00, 6.84, 6.88, 26778
01/15/19, 6.85, 6.85, 6.8263, 6.84, 124102
01/14/19, 6.85, 7.04, 6.75, 6.905, 18854
01/11/19, 6.76, 6.96, 6.76, 6.87, 35569
01/10/19, 6.89, 6.89, 6.76, 6.81, 47228
01/09/19, 6.98, 7.10, 6.80, 6.87, 38849
01/08/19, 6.99, 7.08, 6.90, 6.935, 30658
01/07/19, 6.86, 6.9459, 6.7801, 6.92, 26433
01/04/19, 6.80, 6.92, 6.73, 6.88, 33292
01/03/19, 6.63, 6.83, 6.56, 6.74, 33949
01/02/19, 6.47, 6.64, 6.4501, 6.64, 162972
12/31/18, 6.37, 6.55, 6.36, 6.47, 69012
12/28/18, 6.36, 6.50, 6.24, 6.41, 48054
12/27/18, 6.50, 6.68, 6.41, 6.52, 80333
12/26/18, 6.22, 6.64, 6.22, 6.56, 61594
12/24/18, 6.25, 6.31, 6.17, 6.25, 29610
12/21/18, 6.30, 6.39, 6.25, 6.26, 49237
12/20/18, 6.41, 6.62, 6.26, 6.26, 51707
12/19/18, 6.50, 6.56, 6.40, 6.41, 46792
12/18/18, 6.46, 6.55, 6.45, 6.47, 134148
12/17/18, 6.61, 6.69, 6.46, 6.46, 145628
12/14/18, 6.66, 7.00, 6.65, 6.66, 80815
12/13/18, 6.93, 7.05, 6.65, 6.67, 161905
12/12/18, 6.62, 7.0533, 6.60, 7.00, 148626
12/11/18, 6.50, 6.70, 6.4577, 6.61, 310655
12/10/18, 6.41, 6.4376, 6.28, 6.35, 64890
12/07/18, 6.40, 6.45, 6.36, 6.445, 29864
12/06/18, 6.46, 6.47, 6.35, 6.41, 55731
12/04/18, 6.55, 6.58, 6.43, 6.51, 36980
12/03/18, 6.49, 6.59, 6.4001, 6.59, 38291
11/30/18, 6.55, 6.569, 6.43, 6.49, 25278
11/29/18, 6.57, 6.63, 6.47, 6.565, 50169
11/28/18, 6.44, 6.60, 6.3501, 6.58, 132780
11/27/18, 6.37, 6.48, 6.21, 6.37, 97837
11/26/18, 6.45, 6.50, 6.3221, 6.37, 44997
11/23/18, 6.38, 6.50, 6.34, 6.455, 9995
11/21/18, 6.31, 6.45, 6.20, 6.43, 58056
11/20/18, 6.47, 6.47, 6.27, 6.32, 51873
11/19/18, 6.36, 6.60, 6.32, 6.45, 71222
11/16/18, 6.20, 6.39, 6.15, 6.32, 69926
11/15/18, 6.28, 6.3999, 6.26, 6.29, 50799
11/14/18, 6.41, 6.44, 6.27, 6.29, 63429
11/13/18, 6.40, 6.45, 6.39, 6.43, 43488
11/12/18, 6.50, 6.51, 6.35, 6.43, 54738
11/09/18, 6.55, 6.58, 6.40, 6.50, 46129
