Date, Open, High, Low, Close, Volume
03/25/19, 7.54, 7.64, 7.3584, 7.51, 271406
03/22/19, 8.27, 8.27, 7.48, 7.52, 578904
03/21/19, 7.77, 8.39, 7.7452, 8.31, 475961
03/20/19, 7.92, 8.13, 7.67, 7.86, 356526
03/19/19, 8.09, 8.10, 7.83, 7.94, 407181
03/18/19, 8.20, 8.25, 7.79, 8.09, 404482
03/15/19, 7.50, 8.14, 7.49, 8.10, 657130
03/14/19, 7.40, 7.62, 7.35, 7.42, 273354
03/13/19, 7.73, 7.73, 7.3175, 7.43, 268110
03/12/19, 7.55, 7.81, 7.47, 7.64, 529070
03/11/19, 7.24, 7.55, 7.18, 7.52, 274241
03/08/19, 7.01, 7.35, 7.00, 7.17, 300397
03/07/19, 7.03, 7.34, 7.00, 7.24, 262096
03/06/19, 7.87, 7.9363, 7.02, 7.05, 545237
03/05/19, 7.92, 8.07, 7.54, 7.83, 498631
03/04/19, 7.90, 8.39, 7.73, 7.96, 1068414
03/01/19, 7.07, 7.64, 6.93, 7.61, 472884
02/28/19, 7.09, 7.15, 6.88, 7.02, 221187
02/27/19, 7.03, 7.33, 6.91, 7.10, 325850
02/26/19, 7.27, 7.31, 6.98, 7.07, 455720
02/25/19, 6.77, 7.44, 6.63, 7.33, 1045588
02/22/19, 6.42, 6.51, 6.36, 6.47, 196768
02/21/19, 6.55, 6.56, 6.35, 6.38, 190952
02/20/19, 6.69, 6.77, 6.53, 6.55, 226323
02/19/19, 6.91, 6.91, 6.55, 6.68, 388591
02/15/19, 6.52, 6.68, 6.33, 6.63, 305761
02/14/19, 6.58, 6.71, 6.33, 6.50, 368464
02/13/19, 6.74, 6.79, 6.56, 6.59, 260167
02/12/19, 6.75, 6.99, 6.60, 6.68, 375177
02/11/19, 6.67, 6.75, 6.40, 6.70, 317434
02/08/19, 6.62, 6.765, 6.33, 6.53, 337067
02/07/19, 7.13, 7.13, 6.50, 6.62, 486473
02/06/19, 7.18, 7.27, 7.055, 7.20, 210437
02/05/19, 7.80, 8.00, 7.13, 7.23, 592934
02/04/19, 6.82, 7.7473, 6.75, 7.60, 923915
02/01/19, 6.85, 7.00, 6.62, 6.81, 578785
01/31/19, 6.62, 6.85, 6.615, 6.79, 375704
01/30/19, 6.49, 6.6229, 6.375, 6.59, 349378
01/29/19, 6.93, 6.99, 6.45, 6.46, 528091
01/28/19, 6.90, 7.03, 6.705, 6.94, 235107
01/25/19, 6.93, 7.12, 6.65, 7.04, 457056
01/24/19, 6.75, 6.93, 6.57, 6.91, 256451
01/23/19, 6.96, 7.09, 6.65, 6.75, 215054
01/22/19, 7.19, 7.28, 6.87, 6.89, 226494
01/18/19, 7.13, 7.32, 7.03, 7.26, 205705
01/17/19, 6.99, 7.22, 6.95, 7.12, 318932
01/16/19, 7.22, 7.52, 7.005, 7.02, 179680
01/15/19, 7.00, 7.285, 6.96, 7.21, 265283
01/14/19, 7.11, 7.1857, 6.97, 6.97, 461261
01/11/19, 7.21, 7.25, 7.07, 7.14, 261105
01/10/19, 7.31, 7.34, 7.11, 7.23, 264129
01/09/19, 7.31, 7.47, 7.22, 7.31, 221838
01/08/19, 7.61, 7.68, 7.24, 7.31, 464258
01/07/19, 7.09, 7.56, 7.02, 7.51, 688203
01/04/19, 6.77, 7.12, 6.545, 7.02, 488243
01/03/19, 7.03, 7.11, 6.51, 6.62, 538470
01/02/19, 7.00, 7.18, 6.81, 7.03, 415890
