Date, Open, High, Low, Close, Volume
03/25/19, 1.89, 1.98, 1.855, 1.9708, 139201
03/22/19, 1.96, 2.00, 1.90, 1.92, 108085
03/21/19, 1.91, 2.00, 1.881, 1.9833, 265089
03/20/19, 1.95, 1.97, 1.88, 1.91, 66614
03/19/19, 2.00, 2.00, 1.86, 1.915, 170830
03/18/19, 2.12, 2.15, 1.95, 1.99, 408365
03/15/19, 1.98, 2.05, 1.88, 2.0275, 471477
03/14/19, 1.83, 2.05, 1.81, 1.98, 714843
03/13/19, 1.85, 1.85, 1.80, 1.81, 96761
03/12/19, 1.84, 1.915, 1.80, 1.84, 53580
03/11/19, 1.80, 1.88, 1.79, 1.85, 71183
03/08/19, 1.96, 1.96, 1.60, 1.80, 345527
03/07/19, 1.81, 2.12, 1.80, 2.02, 854286
03/06/19, 1.84, 1.87, 1.76, 1.7872, 56709
03/05/19, 1.8165, 1.8315, 1.78, 1.83, 66235
03/04/19, 1.84, 1.90, 1.78, 1.80, 107697
03/01/19, 1.83, 1.88, 1.79, 1.88, 85080
02/28/19, 1.88, 1.88, 1.80, 1.80, 102572
02/27/19, 1.88, 1.8954, 1.842, 1.87, 56726
02/26/19, 1.88, 1.9186, 1.86, 1.90, 79681
02/25/19, 1.92, 1.92, 1.85, 1.87, 75072
02/22/19, 1.97, 1.97, 1.87, 1.88, 58373
02/21/19, 1.96, 1.9799, 1.87, 1.9435, 97990
02/20/19, 1.9001, 1.9136, 1.8611, 1.9092, 62536
02/19/19, 1.88, 1.90, 1.86, 1.8801, 97325
02/15/19, 1.92, 1.98, 1.86, 1.91, 105585
02/14/19, 1.91, 1.9432, 1.87, 1.918, 54437
02/13/19, 1.97, 1.9889, 1.86, 1.92, 183248
02/12/19, 1.82, 1.93, 1.8103, 1.927, 130209
02/11/19, 1.85, 1.85, 1.76, 1.82, 92257
02/08/19, 1.86, 1.88, 1.75, 1.82, 191259
02/07/19, 1.95, 1.96, 1.85, 1.90, 197258
02/06/19, 2.01, 2.0168, 1.90, 1.935, 157604
