Date, Open, High, Low, Close, Volume
03/25/19, 0.3831, 0.3949, 0.37, 0.3765, 198446
03/22/19, 0.4001, 0.4099, 0.37, 0.39, 392080
03/21/19, 0.4068, 0.419, 0.3951, 0.4114, 249620
03/20/19, 0.3827, 0.43, 0.3827, 0.42, 644572
03/19/19, 0.391, 0.405, 0.38, 0.40, 765998
03/18/19, 0.41, 0.435, 0.385, 0.40, 2045872
03/15/19, 0.412, 0.4149, 0.38, 0.389, 753574
03/14/19, 0.4029, 0.4297, 0.40, 0.415, 2167170
03/13/19, 0.4029, 0.422, 0.40, 0.409, 583829
03/12/19, 0.42, 0.445, 0.41, 0.44, 542543
03/11/19, 0.4201, 0.45, 0.42, 0.4265, 187304
03/08/19, 0.441, 0.4499, 0.4201, 0.4299, 428960
03/07/19, 0.47, 0.4798, 0.44, 0.4474, 686036
03/06/19, 0.44, 0.55, 0.44, 0.4568, 2632114
03/05/19, 0.45, 0.47, 0.441, 0.462, 238072
03/04/19, 0.4589, 0.48, 0.4425, 0.46, 524180
03/01/19, 0.4622, 0.50, 0.46, 0.468, 390478
02/28/19, 0.4384, 0.63, 0.4075, 0.4737, 2527792
02/27/19, 0.48, 0.48, 0.431, 0.4576, 637914
02/26/19, 0.428, 0.468, 0.4033, 0.468, 2044356
02/25/19, 0.45, 0.457, 0.4222, 0.435, 971705
02/22/19, 0.47, 0.5199, 0.4208, 0.4576, 3441371
02/21/19, 0.58, 0.60, 0.43, 0.475, 7144472
02/20/19, 0.9001, 0.97, 0.508, 0.508, 25937858
02/19/19, 0.382, 0.398, 0.382, 0.387, 54144
02/15/19, 0.382, 0.41, 0.382, 0.393, 116555
02/14/19, 0.41, 0.429, 0.37, 0.401, 339310
02/13/19, 0.38, 0.4099, 0.367, 0.4081, 127925
02/12/19, 0.352, 0.3888, 0.352, 0.375, 106951
02/11/19, 0.3886, 0.39, 0.3618, 0.3618, 135950
02/08/19, 0.387, 0.39, 0.37, 0.3701, 108670
02/07/19, 0.41, 0.41, 0.38, 0.388, 65666
02/06/19, 0.42, 0.42, 0.386, 0.39, 153118
02/05/19, 0.4068, 0.44, 0.3971, 0.40, 602338
02/04/19, 0.411, 0.42, 0.4102, 0.42, 46625
02/01/19, 0.406, 0.4252, 0.405, 0.4151, 112144
01/31/19, 0.422, 0.4361, 0.40, 0.4199, 126508
01/30/19, 0.4213, 0.442, 0.40, 0.435, 140739
01/29/19, 0.43, 0.4483, 0.4201, 0.44, 81963
01/28/19, 0.41, 0.4298, 0.41, 0.425, 39182
01/25/19, 0.4218, 0.425, 0.4125, 0.42, 54217
01/24/19, 0.4082, 0.4279, 0.4005, 0.4118, 41077
01/23/19, 0.4217, 0.43, 0.4005, 0.402, 43131
01/22/19, 0.42, 0.43, 0.41, 0.43, 73548
01/18/19, 0.40, 0.43, 0.392, 0.4248, 52516
01/17/19, 0.391, 0.4139, 0.383, 0.40, 21261
01/16/19, 0.4055, 0.41, 0.3801, 0.41, 50366
01/15/19, 0.41, 0.4121, 0.37, 0.41, 110424
01/14/19, 0.37, 0.42, 0.37, 0.407, 281533
01/11/19, 0.366, 0.39, 0.36, 0.385, 89849
01/10/19, 0.36, 0.39, 0.36, 0.39, 75986
01/09/19, 0.37, 0.38, 0.3639, 0.38, 74517
01/08/19, 0.398, 0.398, 0.363, 0.37, 114561
01/07/19, 0.382, 0.41, 0.3702, 0.38, 85107
01/04/19, 0.35, 0.42, 0.333, 0.3755, 353736
01/03/19, 0.33, 0.351, 0.3299, 0.3391, 142633
01/02/19, 0.308, 0.348, 0.308, 0.33, 130527
12/31/18, 0.32, 0.3335, 0.3021, 0.3335, 61307
12/28/18, 0.2625, 0.31, 0.2625, 0.3098, 147629
12/27/18, 0.30, 0.32, 0.27, 0.28, 229792
12/26/18, 0.3213, 0.3213, 0.272, 0.2844, 213516
12/24/18, 0.327, 0.3279, 0.30, 0.306, 107371
12/21/18, 0.3133, 0.368, 0.29, 0.291, 464457
12/20/18, 0.469, 0.47, 0.32, 0.34, 596032
12/19/18, 0.4663, 0.4879, 0.4502, 0.4549, 129423
12/18/18, 0.501, 0.5111, 0.46, 0.4662, 249545
12/17/18, 0.52, 0.5209, 0.5009, 0.505, 90769
12/14/18, 0.522, 0.53, 0.5001, 0.52, 47668
12/13/18, 0.533, 0.533, 0.5001, 0.5001, 42747
12/12/18, 0.51, 0.5518, 0.501, 0.5158, 264929
12/11/18, 0.5097, 0.5299, 0.5001, 0.5001, 45184
12/10/18, 0.51, 0.5249, 0.5038, 0.5095, 102762
12/07/18, 0.5007, 0.55, 0.50, 0.513, 291648
12/06/18, 0.5205, 0.5219, 0.501, 0.501, 77374
12/04/18, 0.5194, 0.53, 0.51, 0.51, 119980
12/03/18, 0.5157, 0.5414, 0.513, 0.5165, 117938
11/30/18, 0.5396, 0.5422, 0.5103, 0.5157, 118962
11/29/18, 0.5201, 0.545, 0.5201, 0.5303, 57281
11/28/18, 0.5489, 0.5499, 0.5208, 0.545, 97921
11/27/18, 0.5378, 0.5589, 0.5322, 0.5337, 79168
11/26/18, 0.547, 0.5598, 0.53, 0.5309, 190225
11/23/18, 0.5245, 0.547, 0.51, 0.5399, 50587
11/21/18, 0.5175, 0.5315, 0.51, 0.5245, 176223
11/20/18, 0.5207, 0.5351, 0.51, 0.53, 135799
11/19/18, 0.56, 0.56, 0.5114, 0.544, 262822
11/16/18, 0.60, 0.60, 0.5401, 0.56, 198425
11/15/18, 0.56, 0.60, 0.5036, 0.54, 946864
11/14/18, 0.712, 0.712, 0.6331, 0.67, 337482
11/13/18, 0.6992, 0.73, 0.68, 0.72, 163710
11/12/18, 0.71, 0.74, 0.70, 0.7103, 280215
11/09/18, 0.7894, 0.80, 0.686, 0.7144, 718985
11/08/18, 0.7752, 0.815, 0.75, 0.8138, 452720
11/07/18, 0.80, 0.85, 0.7701, 0.7992, 937975
11/06/18, 0.85, 0.8665, 0.76, 0.7867, 1970423
11/05/18, 0.79, 0.8899, 0.71, 0.8703, 3240287
11/02/18, 0.661, 0.77, 0.6358, 0.769, 1796680
11/01/18, 0.663, 0.74, 0.60, 0.6797, 887191
10/31/18, 0.56, 0.75, 0.56, 0.68, 2798331
10/30/18, 0.561, 0.60, 0.55, 0.5646, 61034
10/29/18, 0.5591, 0.6198, 0.555, 0.5659, 185079
10/26/18, 0.56, 0.58, 0.55, 0.5591, 153137
10/25/18, 0.5533, 0.58, 0.5533, 0.554, 66575
10/24/18, 0.59, 0.59, 0.55, 0.5581, 168384
10/23/18, 0.5901, 0.6081, 0.5701, 0.58, 146384
10/22/18, 0.6003, 0.6269, 0.5935, 0.62, 98290
10/19/18, 0.61, 0.63, 0.5935, 0.6272, 123006
10/18/18, 0.62, 0.64, 0.6009, 0.63, 94497
10/17/18, 0.65, 0.6787, 0.62, 0.645, 91717
10/16/18, 0.6102, 0.6789, 0.5924, 0.6525, 250855
10/15/18, 0.5876, 0.68, 0.5646, 0.634, 718110
10/12/18, 0.5825, 0.60, 0.572, 0.60, 103007
10/11/18, 0.56, 0.60, 0.55, 0.5621, 165919
10/10/18, 0.59, 0.61, 0.58, 0.5851, 251196
10/09/18, 0.61, 0.64, 0.60, 0.6187, 415331
10/08/18, 0.657, 0.66, 0.62, 0.645, 243034
10/05/18, 0.71, 0.729, 0.623, 0.66, 817666
10/04/18, 0.673, 0.7489, 0.6601, 0.6898, 525561
10/03/18, 0.61, 0.80, 0.60, 0.6898, 1861210
10/02/18, 0.763, 0.85, 0.591, 0.66, 4978367
10/01/18, 0.58, 1.05, 0.58, 1.02, 8570168
09/28/18, 0.55, 0.57, 0.531, 0.56, 271232
09/27/18, 0.54, 0.56, 0.53, 0.536, 110612
09/26/18, 0.57, 0.58, 0.52, 0.53, 316933
09/25/18, 0.536, 0.67, 0.5151, 0.5633, 1701611
09/24/18, 0.5268, 0.54, 0.505, 0.52, 175628
09/21/18, 0.521, 0.55, 0.51, 0.51, 539544
