Date, Open, High, Low, Close, Volume
03/25/19, 321.30, 322.14, 313.00, 313.22, 762427
03/22/19, 334.24, 337.39, 322.87, 323.21, 406068
03/21/19, 337.94, 348.275, 337.10, 337.43, 529094
03/20/19, 337.90, 344.69, 337.90, 339.66, 411140
03/19/19, 334.60, 339.95, 330.99, 339.36, 351809
03/18/19, 334.68, 336.00, 328.67, 333.25, 465513
03/15/19, 326.89, 335.02, 326.89, 333.23, 562779
03/14/19, 325.39, 326.7674, 322.44, 325.61, 227755
03/13/19, 323.43, 329.54, 322.235, 325.63, 249369
03/12/19, 319.64, 324.24, 318.3292, 323.76, 248361
03/11/19, 313.13, 320.60, 310.98, 319.20, 248959
03/08/19, 314.00, 314.93, 305.37, 314.21, 400094
03/07/19, 317.85, 320.39, 311.40, 317.42, 437067
03/06/19, 334.23, 336.18, 317.43, 317.85, 707605
03/05/19, 337.48, 337.48, 332.40, 333.21, 359719
03/04/19, 348.22, 352.87, 332.53, 338.20, 376131
03/01/19, 337.20, 351.58, 336.95, 348.06, 375293
02/28/19, 336.43, 339.75, 332.42, 334.50, 420605
02/27/19, 339.17, 345.00, 334.53, 336.17, 445937
02/26/19, 350.72, 352.00, 337.635, 342.87, 587235
02/25/19, 354.28, 357.00, 346.1656, 352.89, 368913
02/22/19, 359.47, 360.877, 351.77, 352.60, 422926
02/21/19, 362.02, 362.02, 356.67, 358.36, 315775
02/20/19, 360.57, 362.29, 355.265, 362.25, 368841
02/19/19, 361.77, 364.31, 358.06, 359.37, 308183
02/15/19, 360.00, 362.33, 357.10, 362.06, 316491
02/14/19, 357.61, 361.02, 353.95, 357.82, 254470
02/13/19, 357.74, 364.15, 353.37, 361.50, 300080
02/12/19, 359.48, 361.76, 353.845, 358.08, 370315
02/11/19, 343.52, 356.30, 342.55, 354.92, 526024
02/08/19, 338.53, 341.52, 336.935, 341.21, 307537
02/07/19, 340.26, 344.02, 335.52, 341.61, 300581
02/06/19, 345.25, 350.00, 340.01, 344.78, 435175
02/05/19, 334.16, 350.49, 333.995, 344.28, 764733
02/04/19, 349.18, 352.44, 316.38, 330.41, 1682200
02/01/19, 348.79, 351.45, 340.92, 351.08, 496624
01/31/19, 359.54, 362.67, 342.3479, 351.07, 1073714
01/30/19, 331.11, 339.91, 327.38, 339.59, 414173
01/29/19, 338.38, 339.55, 326.4844, 330.38, 374337
01/28/19, 348.90, 349.995, 333.7612, 336.90, 388755
01/25/19, 349.99, 353.92, 346.46, 349.37, 415137
01/24/19, 337.50, 349.34, 334.95, 348.50, 734215
01/23/19, 339.14, 344.97, 332.75, 336.98, 376092
