Date, Open, High, Low, Close, Volume
03/25/19, 32.32, 33.09, 31.89, 32.60, 179284
03/22/19, 34.12, 34.12, 32.08, 32.27, 185198
03/21/19, 34.60, 35.25, 34.35, 34.42, 42552
03/20/19, 35.76, 36.00, 34.73, 34.77, 35771
03/19/19, 36.68, 36.70, 35.74, 35.83, 31988
03/18/19, 36.36, 36.92, 36.36, 36.57, 70229
03/15/19, 36.35, 36.77, 36.28, 36.34, 135501
03/14/19, 36.33, 36.56, 36.25, 36.36, 49956
03/13/19, 36.36, 36.50, 36.20, 36.30, 77426
03/12/19, 36.31, 36.54, 36.17, 36.24, 30711
03/11/19, 35.92, 36.47, 35.92, 36.32, 50876
03/08/19, 35.79, 36.09, 35.64, 35.89, 42705
03/07/19, 36.78, 36.84, 35.89, 35.97, 47298
03/06/19, 37.69, 38.01, 36.82, 36.91, 49705
03/05/19, 37.85, 38.00, 37.41, 37.68, 42992
03/04/19, 38.12, 38.35, 37.715, 37.84, 52344
03/01/19, 38.07, 38.50, 37.695, 38.12, 56764
02/28/19, 38.00, 38.29, 37.87, 38.26, 128189
02/27/19, 37.80, 38.25, 37.2816, 37.93, 49406
02/26/19, 37.75, 38.18, 37.24, 37.81, 52140
02/25/19, 38.49, 38.64, 37.93, 37.95, 45124
02/22/19, 38.61, 38.62, 38.18, 38.28, 47670
02/21/19, 38.79, 38.95, 38.30, 38.60, 44367
02/20/19, 38.73, 38.81, 38.3527, 38.80, 44023
02/19/19, 38.50, 38.83, 38.12, 38.74, 67869
02/15/19, 38.33, 38.76, 38.33, 38.75, 72672
02/14/19, 38.03, 38.50, 37.90, 38.15, 58070
02/13/19, 38.00, 38.25, 37.88, 38.17, 56556
02/12/19, 37.55, 38.20, 37.55, 38.00, 120916
02/11/19, 37.38, 37.985, 37.38, 37.88, 75777
02/08/19, 36.91, 37.49, 36.81, 37.37, 49952
02/07/19, 36.99, 37.18, 36.74, 37.12, 145931
02/06/19, 36.74, 36.92, 36.47, 36.73, 109970
02/05/19, 36.47, 36.73, 36.26, 36.55, 64285
02/04/19, 36.06, 36.64, 34.0896, 36.47, 200871
02/01/19, 36.01, 36.34, 35.86, 36.07, 57854
01/31/19, 35.88, 36.09, 35.62, 35.92, 56173
01/30/19, 36.18, 36.39, 35.90, 36.01, 112883
01/29/19, 36.21, 36.69, 35.93, 36.07, 65227
01/28/19, 35.13, 36.38, 35.13, 36.25, 138245
01/25/19, 35.43, 35.99, 34.92, 35.53, 86127
01/24/19, 35.76, 36.11, 35.25, 35.51, 75607
01/23/19, 35.85, 35.90, 35.60, 35.77, 24600
01/22/19, 36.25, 36.32, 35.58, 35.82, 58915
01/18/19, 36.03, 36.86, 35.90, 36.34, 49269
01/17/19, 35.92, 36.31, 35.79, 36.00, 32786
01/16/19, 35.42, 36.39, 35.42, 35.98, 43581
01/15/19, 35.02, 35.89, 34.96, 35.27, 46666
01/14/19, 34.78, 35.90, 34.50, 35.10, 38658
01/11/19, 34.79, 35.35, 34.72, 35.04, 59770
01/10/19, 35.77, 35.895, 34.84, 35.24, 67221
01/09/19, 35.60, 35.99, 35.35, 35.77, 42448
01/08/19, 35.11, 35.899, 34.68, 35.68, 54523
01/07/19, 34.52, 35.3299, 34.25, 35.01, 60747
01/04/19, 33.85, 35.02, 33.73, 34.75, 49485
01/03/19, 33.38, 33.84, 33.06, 33.55, 62802
01/02/19, 32.11, 33.47, 32.11, 33.45, 78911
12/31/18, 32.14, 32.38, 31.45, 32.37, 65444
12/28/18, 30.60, 31.69, 30.60, 31.55, 79401
12/27/18, 30.30, 31.10, 29.57, 30.48, 76899
12/26/18, 29.41, 30.78, 29.18, 30.68, 62895
12/24/18, 29.64, 30.09, 28.5802, 29.34, 22401
12/21/18, 30.05, 30.46, 29.55, 29.79, 210180
12/20/18, 29.99, 30.24, 29.10, 29.87, 120441
12/19/18, 31.58, 31.66, 29.93, 30.09, 87102
12/18/18, 32.07, 32.66, 30.569, 31.48, 84334
12/17/18, 32.27, 32.78, 31.37, 31.88, 67404
12/14/18, 33.00, 33.33, 32.31, 32.40, 48394
12/13/18, 34.25, 34.64, 33.00, 33.17, 55831
12/12/18, 34.00, 34.75, 34.00, 34.10, 100184
12/11/18, 34.50, 34.65, 33.97, 33.97, 67699
12/10/18, 34.19, 34.415, 33.30, 34.10, 96722
12/07/18, 34.93, 35.10, 34.16, 34.50, 45629
12/06/18, 34.79, 35.40, 34.62, 35.00, 93055
12/04/18, 37.21, 37.21, 35.16, 35.25, 94950
12/03/18, 38.50, 38.50, 37.32, 37.36, 61444
11/30/18, 38.05, 38.50, 37.56, 37.93, 79116
11/29/18, 38.83, 38.83, 37.25, 38.17, 87528
11/28/18, 38.00, 38.78, 37.635, 38.73, 132156
11/27/18, 37.75, 38.05, 35.99, 37.83, 25628
11/26/18, 37.78, 38.00, 33.61, 37.86, 27549
11/23/18, 37.35, 37.90, 37.26, 37.71, 14504
11/21/18, 37.18, 37.99, 37.12, 37.36, 26490
11/20/18, 37.80, 38.20, 37.16, 37.25, 34423
11/19/18, 38.18, 38.25, 37.86, 38.18, 52812
11/16/18, 38.23, 38.50, 37.72, 38.27, 48850
11/15/18, 37.74, 38.78, 33.05, 38.50, 36167
11/14/18, 38.85, 38.915, 37.74, 37.96, 47381
11/13/18, 38.60, 38.962, 38.25, 38.68, 45147
11/12/18, 38.88, 38.88, 37.63, 38.58, 49799
11/09/18, 38.89, 39.11, 38.70, 39.00, 52168
11/08/18, 38.80, 39.11, 38.75, 39.02, 53527
11/07/18, 39.27, 39.3267, 38.27, 38.80, 57611
11/06/18, 38.60, 39.28, 38.34, 39.28, 42868
11/05/18, 38.57, 39.00, 38.35, 38.77, 45453
11/02/18, 38.47, 39.18, 38.47, 38.60, 21504
11/01/18, 38.82, 39.86, 38.20, 38.47, 57242
10/31/18, 38.83, 39.105, 38.00, 38.71, 68103
10/30/18, 38.65, 38.99, 37.82, 38.40, 107397
10/29/18, 38.69, 39.91, 37.67, 38.78, 50483
10/26/18, 38.02, 39.73, 37.59, 38.36, 49920
10/25/18, 37.70, 40.00, 37.40, 39.65, 41202
10/24/18, 38.30, 39.36, 37.18, 37.18, 54431
10/23/18, 38.72, 40.1137, 38.36, 38.40, 59951
10/22/18, 40.27, 40.944, 38.44, 39.13, 61230
10/19/18, 39.93, 41.23, 39.55, 40.12, 36496
10/18/18, 40.57, 41.2548, 39.74, 40.00, 24479
10/17/18, 40.54, 41.42, 40.03, 40.71, 54435
10/16/18, 40.39, 40.77, 39.5974, 40.59, 24384
10/15/18, 39.94, 40.34, 39.57, 39.98, 33218
10/12/18, 40.29, 40.415, 38.42, 39.69, 97497
10/11/18, 41.40, 41.73, 39.75, 39.76, 69028
10/10/18, 41.745, 42.56, 41.44, 41.46, 38154
10/09/18, 42.16, 43.4468, 41.52, 42.25, 33684
10/08/18, 41.445, 42.30, 41.33, 42.27, 56675
10/05/18, 41.97, 41.97, 41.30, 41.31, 29320
10/04/18, 42.78, 43.32, 41.93, 42.13, 25550
10/03/18, 41.21, 43.36, 41.19, 43.09, 55951
10/02/18, 40.62, 40.94, 40.40, 40.81, 19730
10/01/18, 41.76, 42.64, 40.51, 40.61, 31079
09/28/18, 41.40, 42.25, 41.00, 41.70, 20289
09/27/18, 40.75, 42.45, 40.75, 41.50, 42687
09/26/18, 42.40, 42.75, 40.55, 40.75, 34108
09/25/18, 43.45, 43.50, 42.80, 42.85, 8871
09/24/18, 44.70, 44.70, 43.15, 43.35, 20574
09/21/18, 44.95, 45.20, 44.55, 44.75, 42148
09/20/18, 43.75, 45.10, 43.75, 45.00, 32641
09/19/18, 44.00, 44.35, 43.60, 43.80, 18229
09/18/18, 43.15, 43.85, 42.50, 43.65, 15536
09/17/18, 44.55, 44.55, 43.30, 43.55, 26679
09/14/18, 43.40, 44.80, 43.2149, 44.00, 16746
09/13/18, 43.80, 44.00, 43.70, 43.80, 10268
09/12/18, 44.55, 44.55, 43.45, 43.75, 36801
09/11/18, 43.85, 45.00, 43.75, 44.95, 30886
09/10/18, 44.80, 44.80, 43.85, 44.05, 10009
09/07/18, 44.20, 44.75, 44.20, 44.75, 6659
09/06/18, 44.22, 44.7449, 44.10, 44.40, 8004
09/05/18, 44.90, 45.00, 44.05, 44.50, 9311
09/04/18, 44.35, 45.25, 44.35, 44.90, 12671
08/31/18, 44.05, 44.85, 43.85, 44.55, 23264
08/30/18, 44.30, 44.70, 40.55, 44.35, 14751
08/29/18, 43.85, 44.50, 43.625, 44.35, 13337
08/28/18, 44.70, 44.80, 44.20, 44.55, 10170
08/27/18, 44.80, 45.10, 44.55, 44.55, 15496
08/24/18, 45.00, 45.00, 44.70, 44.75, 10400
08/23/18, 45.35, 45.35, 44.80, 44.90, 19564
08/22/18, 45.20, 45.60, 44.999, 45.45, 10693
08/21/18, 45.10, 45.35, 45.00, 45.10, 15405
08/20/18, 45.10, 45.6202, 43.80, 44.75, 20455
08/17/18, 45.05, 45.20, 44.85, 45.05, 20510
08/16/18, 45.00, 45.90, 44.85, 44.95, 24808
08/15/18, 45.15, 45.30, 44.25, 44.95, 20957
08/14/18, 45.00, 45.50, 44.85, 45.35, 66229
08/13/18, 44.85, 45.15, 44.10, 44.90, 26163
08/10/18, 44.45, 44.90, 44.35, 44.60, 11468
08/09/18, 45.05, 45.05, 44.15, 44.75, 21415
08/08/18, 44.25, 45.05, 44.25, 44.75, 6696
08/07/18, 44.35, 44.80, 44.10, 44.35, 16649
08/06/18, 44.15, 44.70, 44.15, 44.25, 8533
08/03/18, 45.20, 45.35, 43.90, 44.35, 21906
08/02/18, 44.85, 45.30, 44.85, 45.10, 21526
08/01/18, 45.00, 45.10, 44.30, 44.85, 19332
07/31/18, 44.55, 45.40, 44.0017, 44.95, 26623
07/30/18, 44.70, 44.85, 43.85, 44.10, 12228
07/27/18, 45.40, 45.55, 44.40, 44.60, 22248
07/26/18, 45.60, 45.60, 44.90, 45.30, 31192
07/25/18, 45.20, 45.30, 44.55, 45.05, 26194
07/24/18, 45.95, 46.00, 44.85, 45.15, 34667
