Date, Open, High, Low, Close, Volume
03/25/19, 3.54, 3.61, 3.30, 3.59, 164966
03/22/19, 3.70, 3.76, 3.52, 3.53, 139914
03/21/19, 3.70, 3.83, 3.67, 3.70, 112585
03/20/19, 3.73, 3.78, 3.66, 3.74, 110412
03/19/19, 3.89, 3.91, 3.71, 3.73, 106444
03/18/19, 3.83, 3.90, 3.80, 3.86, 102397
03/15/19, 3.76, 3.91, 3.76, 3.83, 192890
03/14/19, 3.98, 4.01, 3.75, 3.75, 140437
03/13/19, 4.16, 4.18, 3.7742, 3.98, 115893
03/12/19, 3.95, 4.16, 3.95, 4.13, 157987
03/11/19, 3.74, 4.02, 3.74, 4.01, 147799
03/08/19, 4.15, 4.15, 3.70, 3.70, 381003
03/07/19, 4.02, 4.155, 3.96, 4.02, 103894
03/06/19, 4.27, 4.27, 4.00, 4.02, 120011
03/05/19, 4.41, 4.51, 4.24, 4.27, 125393
03/04/19, 4.61, 4.71, 4.20, 4.44, 218574
03/01/19, 4.44, 4.75, 4.40, 4.57, 541917
02/28/19, 4.24, 4.48, 4.11, 4.39, 430079
02/27/19, 3.97, 4.27, 3.97, 4.22, 211945
02/26/19, 4.03, 4.09, 3.91, 3.99, 108019
02/25/19, 3.80, 4.04, 3.71, 4.03, 166003
02/22/19, 3.77, 3.90, 3.75, 3.79, 133899
02/21/19, 3.63, 3.76, 3.55, 3.75, 109961
02/20/19, 3.76, 3.77, 3.64, 3.64, 100515
02/19/19, 3.87, 4.06, 3.71, 3.77, 88894
02/15/19, 3.71, 3.88, 3.6601, 3.87, 132768
02/14/19, 3.85, 3.865, 3.60, 3.70, 184053
02/13/19, 3.92, 4.12, 3.85, 3.89, 137571
02/12/19, 3.91, 3.97, 3.84, 3.89, 75634
02/11/19, 3.90, 3.95, 3.80, 3.89, 41170
02/08/19, 3.73, 3.91, 3.73, 3.89, 72764
02/07/19, 3.71, 3.80, 3.52, 3.74, 121853
02/06/19, 3.84, 3.8808, 3.68, 3.74, 41195
02/05/19, 4.00, 4.13, 3.80, 3.84, 84039
02/04/19, 3.86, 3.99, 3.78, 3.98, 100168
02/01/19, 3.69, 3.89, 3.6514, 3.87, 94697
01/31/19, 3.70, 3.80, 3.64, 3.69, 105159
01/30/19, 3.57, 3.74, 3.49, 3.71, 68932
01/29/19, 3.61, 3.76, 3.53, 3.54, 46758
01/28/19, 3.89, 3.89, 3.56, 3.61, 208237
01/25/19, 3.54, 4.065, 3.49, 3.96, 1195464
01/24/19, 3.46, 3.57, 3.40, 3.51, 72163
01/23/19, 3.58, 3.64, 3.42, 3.46, 68551
01/22/19, 3.65, 3.79, 3.50, 3.54, 134906
01/18/19, 3.94, 3.94, 3.6764, 3.69, 161352
01/17/19, 3.86, 4.19, 3.86, 3.93, 125236
01/16/19, 3.73, 4.0201, 3.70, 3.89, 177038
01/15/19, 3.42, 3.78, 3.42, 3.72, 155801
01/14/19, 3.72, 3.76, 3.35, 3.41, 211897
01/11/19, 3.75, 3.78, 3.66, 3.73, 132913
01/10/19, 3.80, 3.85, 3.69, 3.75, 284769
01/09/19, 4.09, 4.10, 3.80, 3.82, 212580
01/08/19, 4.26, 4.26, 4.02, 4.05, 102111
01/07/19, 4.14, 4.35, 4.13, 4.20, 326293
01/04/19, 3.86, 4.17, 3.78, 4.10, 465751
01/03/19, 3.97, 4.06, 3.76, 3.77, 464083
01/02/19, 3.74, 4.03, 3.71, 4.00, 479512
12/31/18, 3.87, 3.99, 3.75, 3.83, 145009
12/28/18, 3.72, 4.00, 3.72, 3.88, 192751
12/27/18, 3.74, 3.99, 3.55, 3.70, 91366
12/26/18, 3.54, 3.86, 3.40, 3.84, 173179
12/24/18, 3.49, 3.6304, 3.20, 3.50, 228991
12/21/18, 3.86, 3.86, 3.50, 3.51, 474051
12/20/18, 4.28, 4.33, 3.66, 3.87, 270337
12/19/18, 4.25, 4.44, 4.21, 4.25, 146740
12/18/18, 4.45, 4.54, 4.20, 4.27, 200530
12/17/18, 4.38, 4.78, 4.30, 4.41, 250526
12/14/18, 4.35, 4.59, 4.33, 4.38, 215066
12/13/18, 4.63, 4.68, 4.34, 4.39, 122196
12/12/18, 4.48, 4.62, 4.40, 4.60, 159610
12/11/18, 4.54, 4.55, 4.39, 4.44, 107672
12/10/18, 4.39, 4.54, 4.31, 4.45, 251372
12/07/18, 4.60, 4.66, 4.37, 4.40, 120184
12/06/18, 4.45, 4.67, 4.44, 4.58, 88999
12/04/18, 4.68, 4.87, 4.53, 4.53, 174766
12/03/18, 4.52, 4.735, 4.40, 4.72, 225080
11/30/18, 4.74, 4.77, 4.30, 4.36, 242970
11/29/18, 4.69, 4.80, 4.4421, 4.77, 120746
11/28/18, 4.47, 4.6459, 4.14, 4.63, 307877
11/27/18, 4.50, 4.65, 4.46, 4.47, 109434
11/26/18, 5.05, 5.17, 4.50, 4.72, 259017
11/23/18, 4.63, 5.15, 4.5236, 5.00, 292628
11/21/18, 4.52, 4.73, 4.38, 4.68, 171660
11/20/18, 4.38, 4.75, 4.30, 4.45, 258701
11/19/18, 4.69, 4.71, 4.43, 4.46, 85085
11/16/18, 4.52, 4.80, 4.4019, 4.71, 170401
11/15/18, 4.36, 4.63, 4.27, 4.58, 182102
11/14/18, 4.85, 4.89, 4.35, 4.38, 160205
11/13/18, 4.48, 4.91, 4.45, 4.77, 237225
11/12/18, 4.58, 4.74, 4.32, 4.43, 247686
11/09/18, 5.32, 5.32, 4.635, 4.65, 220463
11/08/18, 4.95, 5.66, 4.51, 5.40, 462187
11/07/18, 4.76, 4.99, 4.70, 4.95, 239919
11/06/18, 4.61, 4.82, 4.60, 4.75, 158004
11/05/18, 5.19, 5.24, 4.53, 4.60, 387563
11/02/18, 4.77, 5.281, 4.65, 5.17, 522767
11/01/18, 4.30, 4.92, 4.30, 4.78, 367660
10/31/18, 4.32, 4.40, 4.199, 4.24, 172079
10/30/18, 4.22, 4.39, 4.17, 4.24, 150530
10/29/18, 4.50, 4.52, 4.17, 4.26, 174623
10/26/18, 4.21, 4.45, 4.12, 4.41, 205605
10/25/18, 4.12, 4.47, 4.12, 4.28, 278419
10/24/18, 4.53, 4.55, 4.10, 4.12, 312506
10/23/18, 4.31, 4.60, 4.25, 4.52, 331315
10/22/18, 4.32, 4.44, 4.18, 4.34, 277683
10/19/18, 4.39, 4.55, 4.32, 4.34, 236084
10/18/18, 4.65, 4.65, 4.22, 4.44, 589011
10/17/18, 4.75, 5.23, 4.50, 4.71, 934211
10/16/18, 4.43, 4.75, 4.13, 4.65, 1329182
10/15/18, 4.69, 4.69, 4.01, 4.14, 557281
10/12/18, 4.27, 4.68, 4.08, 4.31, 631522
10/11/18, 4.64, 4.71, 4.10, 4.11, 1065333
10/10/18, 5.94, 6.105, 4.06, 4.57, 3425021
10/09/18, 8.99, 8.99, 5.895, 6.00, 3802004
10/08/18, 9.35, 9.42, 8.759, 9.09, 253157
10/05/18, 9.26, 9.61, 9.23, 9.38, 200826
10/04/18, 9.46, 9.60, 9.25, 9.34, 250891
10/03/18, 9.44, 9.57, 9.21, 9.50, 145036
10/02/18, 9.69, 9.78, 9.30, 9.39, 207965
10/01/18, 9.45, 9.82, 9.19, 9.66, 272124
09/28/18, 9.70, 9.75, 9.275, 9.45, 229191
09/27/18, 9.80, 10.00, 9.50, 9.70, 207337
09/26/18, 9.90, 9.90, 9.65, 9.75, 172284
09/25/18, 9.55, 9.95, 9.55, 9.90, 202211
09/24/18, 9.35, 9.55, 9.35, 9.50, 193070
09/21/18, 9.90, 9.9565, 9.45, 9.50, 258461
09/20/18, 9.40, 10.15, 9.325, 9.95, 282079
09/19/18, 9.55, 9.65, 9.325, 9.35, 134595
09/18/18, 9.30, 9.65, 9.25, 9.55, 240979
09/17/18, 9.70, 9.80, 9.25, 9.30, 216305
09/14/18, 9.65, 10.00, 9.40, 9.60, 208271
09/13/18, 9.55, 9.70, 9.40, 9.65, 182817
