Date, Open, High, Low, Close, Volume
03/25/19, 26.04, 26.70, 25.5307, 26.19, 1117297
03/22/19, 27.05, 27.38, 25.97, 26.10, 1464365
03/21/19, 25.86, 27.49, 25.65, 27.22, 1267321
03/20/19, 26.97, 27.09, 25.95, 26.22, 858053
03/19/19, 27.32, 27.42, 26.68, 26.92, 945509
03/18/19, 26.80, 27.71, 26.65, 27.10, 1281817
03/15/19, 26.84, 27.3319, 26.68, 26.85, 3179457
03/14/19, 27.50, 28.12, 26.61, 26.68, 1607136
03/13/19, 26.39, 27.44, 26.22, 27.38, 1906049
03/12/19, 26.13, 26.47, 25.73, 26.20, 1039768
03/11/19, 25.19, 26.10, 25.076, 26.07, 1200320
03/08/19, 25.19, 25.78, 24.7184, 25.76, 1107379
03/07/19, 25.64, 25.84, 24.99, 25.39, 1511826
03/06/19, 26.84, 26.84, 25.55, 25.65, 1476640
03/05/19, 26.90, 27.70, 26.57, 26.66, 1858559
03/04/19, 26.92, 27.385, 26.2833, 26.85, 1752350
03/01/19, 26.56, 27.20, 26.25, 26.60, 1889308
02/28/19, 25.59, 26.81, 25.51, 26.50, 2670633
02/27/19, 23.01, 25.97, 22.61, 25.53, 4015853
02/26/19, 23.48, 23.86, 23.26, 23.56, 1887497
02/25/19, 23.32, 23.86, 23.19, 23.75, 1779925
02/22/19, 22.44, 22.96, 22.13, 22.93, 1408108
02/21/19, 22.84, 22.99, 22.15, 22.26, 894180
02/20/19, 23.02, 23.41, 22.58, 22.82, 923336
02/19/19, 23.25, 23.74, 22.81, 22.98, 1137206
02/15/19, 22.05, 23.48, 21.88, 23.25, 1839016
02/14/19, 22.20, 22.25, 21.56, 21.93, 1372090
02/13/19, 22.52, 22.85, 22.11, 22.31, 727523
02/12/19, 21.59, 22.53, 21.59, 22.39, 1470836
02/11/19, 22.16, 22.49, 21.035, 21.48, 2003239
02/08/19, 22.24, 22.47, 21.70, 21.99, 1291473
02/07/19, 22.72, 22.915, 21.96, 22.34, 903684
02/06/19, 23.12, 23.18, 22.86, 22.91, 911802
02/05/19, 22.85, 23.27, 22.68, 23.09, 1520768
02/04/19, 22.79, 22.94, 22.50, 22.70, 1019229
02/01/19, 22.82, 22.855, 22.41, 22.74, 1272250
01/31/19, 22.97, 23.29, 22.53, 22.78, 1521817
01/30/19, 22.38, 22.93, 22.05, 22.93, 1349476
01/29/19, 22.15, 22.37, 21.91, 22.31, 968508
01/28/19, 22.21, 22.50, 21.68, 22.10, 1867869
01/25/19, 21.73, 22.64, 21.54, 22.61, 1765069
01/24/19, 20.80, 21.68, 20.62, 21.64, 1170049
01/23/19, 20.44, 20.94, 20.12, 20.81, 1648446
01/22/19, 20.87, 20.87, 20.175, 20.32, 1537201
01/18/19, 21.69, 21.69, 20.70, 21.07, 2635110
01/17/19, 21.77, 22.12, 21.41, 21.58, 1426459
01/16/19, 21.36, 21.89, 21.27, 21.77, 1480605
01/15/19, 20.88, 21.53, 20.72, 21.33, 1970048
01/14/19, 20.76, 21.05, 20.42, 20.66, 1893036
01/11/19, 20.65, 21.2897, 20.15, 21.08, 1739884
01/10/19, 19.67, 20.975, 19.35, 20.71, 2524455
01/09/19, 18.65, 20.13, 18.40, 19.74, 1809970
01/08/19, 18.41, 18.54, 17.60, 18.54, 1765194
01/07/19, 17.88, 18.40, 17.30, 18.23, 2200530
01/04/19, 16.44, 17.65, 16.44, 17.57, 2198442
01/03/19, 16.80, 17.27, 16.15, 16.17, 1847824
01/02/19, 15.84, 16.75, 15.725, 16.65, 1649735
12/31/18, 15.70, 16.32, 15.56, 16.17, 1719435
12/28/18, 15.36, 16.00, 15.11, 15.65, 1304764
12/27/18, 15.65, 15.78, 14.56, 15.45, 1616335
