Date, Open, High, Low, Close, Volume
03/25/19, 16.83, 17.21, 16.80, 17.08, 313952
03/22/19, 17.55, 17.55, 16.69, 16.84, 168855
03/21/19, 17.99, 18.00, 17.60, 17.63, 144920
03/20/19, 18.65, 18.71, 18.06, 18.08, 101491
03/19/19, 19.04, 19.04, 18.57, 18.65, 95543
03/18/19, 18.86, 19.23, 18.86, 19.01, 59592
03/15/19, 18.92, 18.98, 18.80, 18.86, 458320
03/14/19, 18.90, 19.19, 18.88, 18.91, 66742
03/13/19, 19.02, 19.14, 18.87, 18.88, 75261
03/12/19, 19.10, 19.25, 18.88, 18.94, 80637
03/11/19, 18.93, 19.14, 18.72, 19.09, 62029
03/08/19, 18.60, 18.96, 18.54, 18.92, 70773
03/07/19, 18.59, 18.87, 18.41, 18.65, 83459
03/06/19, 19.33, 19.35, 18.61, 18.61, 106748
03/05/19, 19.33, 19.44, 19.08, 19.32, 271871
03/04/19, 19.27, 19.48, 19.19, 19.32, 175794
03/01/19, 19.37, 19.46, 19.23, 19.28, 72054
02/28/19, 19.18, 19.46, 19.17, 19.28, 85800
02/27/19, 19.12, 19.355, 19.0383, 19.16, 73919
02/26/19, 19.35, 19.48, 19.16, 19.16, 60778
02/25/19, 19.65, 19.791, 19.39, 19.39, 72822
02/22/19, 19.46, 19.63, 19.44, 19.60, 88562
02/21/19, 19.66, 19.66, 19.39, 19.45, 197044
02/20/19, 19.62, 19.73, 19.46, 19.65, 94839
02/19/19, 19.21, 19.68, 19.21, 19.63, 61918
02/15/19, 19.15, 19.51, 19.15, 19.34, 72085
02/14/19, 18.70, 19.18, 18.69, 19.05, 108474
02/13/19, 18.66, 18.92, 18.66, 18.78, 68769
02/12/19, 18.75, 18.845, 18.66, 18.71, 139914
02/11/19, 18.67, 18.71, 18.44, 18.67, 65242
02/08/19, 18.44, 18.849, 18.3085, 18.66, 118729
02/07/19, 18.68, 18.86, 18.465, 18.55, 148252
02/06/19, 18.65, 18.95, 18.54, 18.55, 138313
02/05/19, 18.71, 18.91, 18.55, 18.64, 132486
02/04/19, 18.29, 18.73, 18.25, 18.61, 188807
02/01/19, 18.65, 18.65, 17.31, 18.14, 117751
01/31/19, 18.36, 18.385, 17.95, 18.08, 117218
01/30/19, 18.42, 18.46, 18.27, 18.34, 90655
01/29/19, 18.32, 18.63, 18.31, 18.42, 61292
01/28/19, 18.40, 18.50, 18.23, 18.33, 83109
01/25/19, 18.90, 18.90, 18.41, 18.43, 72764
01/24/19, 18.34, 18.50, 18.27, 18.39, 57246
01/23/19, 18.40, 18.54, 18.27, 18.35, 82861
01/22/19, 18.14, 18.62, 18.14, 18.36, 117219
01/18/19, 17.84, 18.37, 17.84, 18.17, 155508
01/17/19, 17.96, 18.19, 17.84, 17.85, 242028
01/16/19, 17.87, 18.25, 17.87, 17.99, 166262
01/15/19, 17.93, 17.97, 17.74, 17.80, 82586
01/14/19, 17.86, 18.19, 17.86, 17.95, 95207
01/11/19, 18.00, 18.05, 17.85, 17.99, 131961
01/10/19, 17.85, 17.94, 17.655, 17.86, 223171
01/09/19, 17.99, 18.14, 17.85, 17.93, 61846
01/08/19, 17.82, 18.02, 17.57, 17.99, 250817
01/07/19, 17.53, 17.84, 16.80, 17.77, 119743
01/04/19, 17.08, 17.615, 17.02, 17.60, 102250
01/03/19, 16.85, 17.33, 16.75, 16.99, 125623
01/02/19, 16.13, 17.03, 15.9655, 16.96, 154024
12/31/18, 16.53, 16.75, 16.34, 16.37, 137597
12/28/18, 16.08, 16.72, 16.04, 16.54, 119432
12/27/18, 16.07, 16.21, 15.79, 16.08, 117646
12/26/18, 15.69, 16.26, 15.4137, 16.24, 113165
12/24/18, 15.63, 16.05, 15.34, 15.71, 59543
12/21/18, 15.89, 16.08, 15.57, 15.82, 165039
12/20/18, 15.87, 16.28, 15.865, 15.91, 268480
12/19/18, 16.18, 16.35, 15.96, 16.04, 209563
12/18/18, 16.35, 16.45, 16.19, 16.21, 140286
12/17/18, 16.57, 16.69, 16.26, 16.29, 151286
12/14/18, 16.92, 17.29, 16.37, 16.57, 176321
12/13/18, 17.55, 17.74, 16.92, 16.95, 243767
12/12/18, 17.51, 17.83, 17.48, 17.60, 113673
12/11/18, 17.56, 17.77, 17.42, 17.43, 132319
12/10/18, 17.40, 17.57, 17.07, 17.53, 101753
12/07/18, 17.55, 17.78, 17.345, 17.46, 116004
12/06/18, 17.10, 17.55, 17.10, 17.48, 162520
12/04/18, 18.34, 18.40, 17.245, 17.30, 103216
12/03/18, 18.55, 18.59, 18.28, 18.45, 108902
11/30/18, 17.97, 18.47, 17.97, 18.41, 133274
11/29/18, 17.85, 18.13, 17.82, 18.09, 107640
11/28/18, 18.00, 18.275, 17.86, 17.99, 209003
11/27/18, 17.96, 18.12, 17.95, 17.99, 92409
11/26/18, 18.13, 18.54, 18.03, 18.10, 103605
