Date, Open, High, Low, Close, Volume
03/25/19, 22.93, 23.50, 22.67, 23.47, 25281
03/22/19, 23.52, 23.52, 22.53, 22.90, 22313
03/21/19, 23.70, 24.20, 23.40, 23.51, 18612
03/20/19, 23.34, 24.00, 23.235, 23.75, 94940
03/19/19, 23.45, 24.25, 23.01, 23.50, 57053
03/18/19, 22.99, 23.30, 22.565, 23.30, 21773
03/15/19, 23.23, 23.33, 22.82, 22.95, 10717
03/14/19, 23.36, 23.89, 22.8101, 23.22, 14132
03/13/19, 23.49, 24.50, 23.12, 23.64, 42807
03/12/19, 22.1809, 23.75, 22.1809, 23.32, 53331
03/11/19, 22.30, 22.30, 21.431, 21.90, 42031
03/08/19, 23.10, 23.50, 22.15, 22.24, 17919
03/07/19, 23.46, 23.61, 23.00, 23.38, 15163
03/06/19, 23.52, 23.813, 23.27, 23.45, 29106
03/05/19, 23.90, 23.90, 23.40, 23.40, 17756
03/04/19, 23.61, 24.99, 23.42, 23.90, 74459
03/01/19, 23.70, 24.73, 23.40, 23.60, 46077
02/28/19, 23.54, 23.93, 23.42, 23.70, 25280
02/27/19, 23.63, 23.68, 23.48, 23.68, 22655
02/26/19, 23.57, 23.74, 23.42, 23.58, 18917
02/25/19, 23.70, 23.86, 23.32, 23.50, 70111
02/22/19, 24.04, 24.3501, 23.60, 23.61, 23548
02/21/19, 23.78, 24.13, 23.41, 23.87, 22357
02/20/19, 24.00, 24.05, 23.40, 23.78, 21852
02/19/19, 23.75, 24.25, 23.56, 23.95, 27375
02/15/19, 23.90, 24.13, 22.99, 23.72, 32924
02/14/19, 24.10, 24.85, 23.40, 23.40, 43711
02/13/19, 24.25, 24.35, 23.335, 24.35, 63486
02/12/19, 23.56, 24.27, 23.21, 23.99, 39767
02/11/19, 23.40, 23.60, 23.202, 23.31, 12785
02/08/19, 22.97, 23.4499, 22.97, 23.28, 17544
02/07/19, 23.50, 23.50, 22.97, 23.20, 10575
02/06/19, 23.62, 23.99, 23.335, 23.70, 24293
02/05/19, 24.00, 24.10, 23.63, 23.76, 10009
02/04/19, 24.59, 24.59, 23.74, 23.75, 20957
02/01/19, 24.54, 24.599, 24.1201, 24.47, 21987
01/31/19, 24.04, 24.50, 23.9873, 24.49, 14213
01/30/19, 23.27, 24.29, 22.6129, 24.24, 19956
01/29/19, 24.00, 24.00, 22.94, 23.04, 30080
01/28/19, 24.25, 24.26, 23.39, 23.90, 16090
01/25/19, 24.11, 24.40, 23.80, 24.26, 13839
01/24/19, 25.03, 25.03, 23.551, 23.90, 25116
01/23/19, 25.05, 25.05, 24.60, 25.00, 12375
01/22/19, 25.20, 25.20, 23.91, 24.80, 10514
01/18/19, 24.24, 25.00, 23.422, 24.99, 20715
01/17/19, 23.90, 24.41, 23.495, 24.02, 25505
01/16/19, 24.06, 24.155, 23.67, 23.82, 11162
01/15/19, 23.96, 24.47, 23.67, 23.81, 11083
01/14/19, 24.75, 25.00, 22.54, 23.91, 34420
01/11/19, 25.25, 25.3926, 23.525, 25.00, 23941
01/10/19, 23.27, 25.15, 22.4264, 25.15, 62394
01/09/19, 23.57, 23.9799, 23.10, 23.60, 34793
01/08/19, 23.50, 24.95, 22.74, 23.50, 38842
01/07/19, 21.65, 23.25, 21.00, 23.09, 39208
01/04/19, 20.50, 21.60, 20.401, 21.50, 19649
01/03/19, 21.24, 21.24, 19.69, 20.40, 35102
01/02/19, 19.92, 21.95, 19.90, 21.45, 47657
12/31/18, 18.79, 20.44, 18.79, 20.12, 20330
12/28/18, 18.74, 18.74, 17.50, 18.25, 32327
12/27/18, 18.09, 18.6653, 17.70, 18.53, 32121
12/26/18, 16.51, 18.63, 16.51, 18.42, 34922
12/24/18, 16.51, 17.35, 16.51, 16.55, 2081
12/21/18, 17.46, 17.9699, 16.60, 16.69, 42638
12/20/18, 17.01, 18.86, 16.815, 17.46, 91435
12/19/18, 17.20, 17.39, 16.04, 16.71, 35452
