Date, Open, High, Low, Close, Volume
03/25/19, 0.185, 0.185, 0.1641, 0.1645, 1372868
03/22/19, 0.171, 0.178, 0.1625, 0.172, 2381675
03/21/19, 0.1775, 0.1799, 0.1711, 0.1731, 1432409
03/20/19, 0.18, 0.185, 0.171, 0.1775, 2251989
03/19/19, 0.189, 0.19, 0.178, 0.18, 2177982
03/18/19, 0.196, 0.202, 0.18, 0.1895, 3328500
03/15/19, 0.19, 0.2089, 0.18, 0.19, 3168899
03/14/19, 0.1825, 0.20, 0.1701, 0.1865, 3053740
03/13/19, 0.214, 0.218, 0.19, 0.2014, 4049871
03/12/19, 0.2512, 0.30, 0.20, 0.2117, 13575343
03/11/19, 0.16, 0.27, 0.1526, 0.2512, 13755714
03/08/19, 0.181, 0.195, 0.145, 0.1491, 5036854
03/07/19, 0.205, 0.21, 0.185, 0.1897, 1697419
03/06/19, 0.216, 0.23, 0.191, 0.205, 3616755
03/05/19, 0.19, 0.24, 0.1725, 0.2301, 5181854
03/04/19, 0.1988, 0.1988, 0.171, 0.1791, 4388049
03/01/19, 0.215, 0.23, 0.19, 0.1996, 5212495
02/28/19, 0.345, 0.3855, 0.225, 0.2346, 19209169
02/27/19, 0.17, 0.425, 0.1535, 0.2628, 54425808
02/26/19, 0.23, 0.24, 0.1401, 0.143, 6058461
02/25/19, 0.27, 0.28, 0.225, 0.2399, 2244560
02/22/19, 0.32, 0.32, 0.2519, 0.255, 3142208
02/21/19, 0.30, 0.3198, 0.2353, 0.3192, 7782156
02/20/19, 0.3795, 0.81, 0.345, 0.3531, 19447377
02/19/19, 1.03, 1.10, 1.03, 1.03, 388158
02/15/19, 1.12, 1.18, 1.08, 1.10, 383826
02/14/19, 1.26, 1.27, 0.96, 1.10, 1033092
02/13/19, 1.26, 1.51, 1.23, 1.25, 1010969
02/12/19, 1.54, 1.54, 1.40, 1.48, 285506
02/11/19, 1.57, 1.65, 1.51, 1.54, 444813
02/08/19, 1.41, 1.82, 1.41, 1.57, 1319315
02/07/19, 1.39, 1.60, 1.38, 1.40, 516225
02/06/19, 1.50, 1.5132, 1.37, 1.40, 196673
02/05/19, 1.37, 1.50, 1.29, 1.49, 685367
02/04/19, 1.24, 1.29, 1.21, 1.24, 91167
02/01/19, 1.21, 1.32, 1.1725, 1.23, 182433
01/31/19, 1.23, 1.23, 1.1815, 1.21, 64634
01/30/19, 1.20, 1.24, 1.16, 1.23, 85451
01/29/19, 1.23, 1.27, 1.19, 1.205, 60863
01/28/19, 1.29, 1.30, 1.17, 1.20, 249694
01/25/19, 1.25, 1.35, 1.25, 1.30, 98779
01/24/19, 1.32, 1.3784, 1.23, 1.25, 141292
