Date, Open, High, Low, Close, Volume
03/25/19, 32.11, 32.33, 31.94, 31.97, 895512
03/22/19, 32.07, 32.33, 31.888, 32.06, 1066895
03/21/19, 31.94, 32.46, 31.85, 32.29, 1345765
03/20/19, 32.30, 32.41, 31.94, 31.98, 681144
03/19/19, 32.97, 33.05, 32.31, 32.36, 1079634
03/18/19, 32.88, 32.99, 32.685, 32.84, 1196940
03/15/19, 32.64, 32.985, 32.48, 32.87, 1289869
03/14/19, 32.40, 32.65, 32.29, 32.55, 993271
03/13/19, 32.58, 32.65, 32.28, 32.42, 894301
03/12/19, 32.50, 32.70, 32.24, 32.41, 1313471
03/11/19, 32.27, 32.52, 32.09, 32.38, 743506
03/08/19, 31.99, 32.37, 31.53, 32.11, 1139496
03/07/19, 32.54, 32.67, 32.18, 32.24, 985349
03/06/19, 32.78, 32.99, 32.54, 32.58, 684369
03/05/19, 32.95, 32.98, 32.62, 32.84, 758110
03/04/19, 32.91, 33.04, 32.53, 32.94, 1027134
03/01/19, 32.79, 33.035, 32.60, 32.87, 1093755
02/28/19, 32.38, 32.83, 32.24, 32.67, 1573974
02/27/19, 32.24, 32.49, 31.83, 32.36, 1475072
02/26/19, 32.08, 32.445, 32.08, 32.38, 1563312
02/25/19, 32.38, 32.50, 32.18, 32.26, 1632557
02/22/19, 32.34, 32.42, 32.17, 32.30, 1398868
02/21/19, 32.28, 32.37, 32.05, 32.29, 809078
02/20/19, 32.10, 32.35, 31.97, 32.30, 1011966
02/19/19, 31.46, 32.15, 31.31, 32.07, 1228392
02/15/19, 31.36, 31.86, 31.36, 31.50, 2055797
02/14/19, 31.93, 31.94, 31.09, 31.12, 1641105
02/13/19, 31.00, 32.30, 30.85, 31.96, 1898882
02/12/19, 30.46, 30.96, 30.29, 30.83, 1698433
02/11/19, 30.31, 30.36, 30.095, 30.33, 880084
02/08/19, 30.14, 30.40, 29.95, 30.31, 769664
02/07/19, 30.13, 30.47, 30.12, 30.37, 804478
02/06/19, 30.24, 30.33, 29.95, 30.27, 627596
02/05/19, 30.00, 30.30, 29.74, 30.28, 862890
02/04/19, 29.68, 30.00, 29.505, 29.98, 664423
02/01/19, 29.44, 29.75, 29.31, 29.74, 590741
01/31/19, 29.18, 29.40, 29.15, 29.35, 1037566
01/30/19, 28.82, 29.27, 28.74, 29.25, 1086124
01/29/19, 28.73, 28.93, 28.60, 28.79, 686515
01/28/19, 28.73, 28.85, 28.60, 28.74, 828971
01/25/19, 28.90, 29.02, 28.74, 28.83, 779220
01/24/19, 28.54, 28.955, 28.515, 28.80, 1186164
01/23/19, 28.53, 28.63, 28.37, 28.57, 802061
01/22/19, 28.47, 28.61, 28.15, 28.42, 676523
01/18/19, 28.32, 28.70, 28.26, 28.48, 1030893
01/17/19, 27.84, 28.28, 27.75, 28.24, 1029493
01/16/19, 27.85, 27.90, 27.48, 27.87, 1254649
01/15/19, 26.90, 27.63, 26.80, 27.59, 1433397
01/14/19, 26.52, 26.98, 26.49, 26.91, 943048
01/11/19, 26.95, 26.95, 26.29, 26.68, 960138
01/10/19, 26.65, 27.13, 26.59, 27.12, 620559
01/09/19, 27.47, 27.47, 26.56, 26.77, 658648
01/08/19, 26.42, 26.495, 25.85, 26.43, 1098884
01/07/19, 26.38, 26.72, 26.26, 26.33, 766800
01/04/19, 25.98, 26.48, 25.0748, 26.39, 913205
01/03/19, 25.97, 26.155, 25.75, 25.78, 896959
