Date, Open, High, Low, Close, Volume
03/25/19, 23.70, 23.82, 23.681, 23.82, 41287
03/22/19, 23.72, 23.74, 23.6201, 23.72, 24119
03/21/19, 23.70, 23.83, 23.5815, 23.71, 59228
03/20/19, 23.64, 23.70, 23.5108, 23.70, 17066
03/19/19, 23.72, 23.74, 23.57, 23.61, 20241
03/18/19, 23.78, 23.78, 23.6233, 23.72, 32332
03/15/19, 23.77, 23.77, 23.50, 23.56, 35825
03/14/19, 23.78, 23.78, 23.53, 23.69, 36314
03/13/19, 23.80, 23.8318, 23.69, 23.83, 18568
03/12/19, 23.69, 23.74, 23.67, 23.67, 16535
03/11/19, 23.65, 23.7784, 23.6101, 23.64, 20367
03/08/19, 23.68, 23.73, 23.58, 23.61, 22764
03/07/19, 23.82, 23.84, 23.68, 23.70, 35272
03/06/19, 23.72, 23.82, 23.70, 23.82, 38865
03/05/19, 23.60, 23.67, 23.47, 23.67, 40390
03/04/19, 23.51, 23.66, 23.47, 23.47, 39088
03/01/19, 23.29, 23.58, 23.29, 23.47, 42936
02/28/19, 23.70, 23.70, 23.15, 23.15, 165071
02/27/19, 23.69, 23.69, 23.51, 23.57, 22022
02/26/19, 23.69, 23.69, 23.55, 23.64, 19408
02/25/19, 23.77, 23.77, 23.62, 23.62, 16153
02/22/19, 23.64, 23.73, 23.62, 23.62, 14856
02/21/19, 23.67, 23.77, 23.5501, 23.58, 12734
02/20/19, 23.37, 23.64, 23.37, 23.64, 30970
02/19/19, 23.39, 23.508, 23.2701, 23.32, 29957
02/15/19, 23.30, 23.37, 23.1617, 23.37, 10049
02/14/19, 23.24, 23.2582, 23.06, 23.15, 9816
02/13/19, 23.15, 23.31, 23.15, 23.19, 27417
02/12/19, 23.00, 23.15, 23.00, 23.15, 24207
02/11/19, 22.99, 23.09, 22.915, 23.00, 22330
02/08/19, 23.00, 23.00, 22.77, 22.99, 24263
02/07/19, 23.19, 23.19, 22.87, 22.97, 16146
02/06/19, 23.22, 23.2299, 23.02, 23.14, 22238
02/05/19, 23.05, 23.22, 23.05, 23.19, 19179
02/04/19, 23.06, 23.17, 22.99, 23.15, 28261
02/01/19, 23.05, 23.1005, 23.00, 23.06, 66951
01/31/19, 22.80, 23.07, 22.76, 23.05, 103869
01/30/19, 22.69, 22.80, 22.66, 22.79, 30855
01/29/19, 22.63, 22.69, 22.56, 22.56, 35745
01/28/19, 22.65, 22.65, 22.48, 22.63, 41842
01/25/19, 22.65, 22.72, 22.61, 22.62, 18294
01/24/19, 22.50, 22.63, 22.44, 22.55, 31546
01/23/19, 22.64, 22.64, 22.43, 22.54, 37204
01/22/19, 22.72, 22.7429, 22.4854, 22.57, 31522
01/18/19, 22.59, 22.69, 22.51, 22.69, 50281
01/17/19, 22.37, 22.54, 22.33, 22.54, 20757
01/16/19, 22.64, 22.64, 22.33, 22.37, 39016
01/15/19, 22.59, 22.66, 22.5152, 22.62, 59748
01/14/19, 22.33, 22.59, 22.21, 22.59, 38867
01/11/19, 22.15, 22.48, 22.01, 22.39, 77792
01/10/19, 22.10, 22.15, 21.91, 22.15, 27361
01/09/19, 22.25, 22.25, 22.00, 22.13, 50091
01/08/19, 21.99, 22.17, 21.93, 22.13, 41552
01/07/19, 21.58, 22.06, 21.58, 21.85, 80087
01/04/19, 20.98, 21.6039, 20.98, 21.48, 71905
01/03/19, 20.87, 21.04, 20.46, 20.77, 35186
01/02/19, 20.30, 20.8858, 20.27, 20.81, 63758
12/31/18, 20.30, 20.53, 20.27, 20.33, 193922
12/28/18, 20.10, 20.4099, 20.00, 20.18, 69653
12/27/18, 20.18, 20.2394, 19.85, 20.03, 125421
12/26/18, 20.38, 20.38, 20.16, 20.1771, 62118
12/24/18, 20.42, 20.4999, 20.24, 20.38, 64143
12/21/18, 20.59, 20.67, 20.3001, 20.55, 79059
12/20/18, 20.67, 20.69, 20.16, 20.68, 83514
12/19/18, 20.85, 20.9289, 20.65, 20.69, 54014
12/18/18, 20.88, 21.04, 20.8401, 20.85, 70548
12/17/18, 21.10, 21.10, 20.8813, 20.93, 58976
12/14/18, 21.05, 21.09, 20.85, 21.07, 74617
12/13/18, 21.25, 21.25, 20.92, 21.05, 98078
12/12/18, 21.45, 21.45, 21.34, 21.36, 42642
12/11/18, 21.42, 21.54, 21.30, 21.32, 71922
12/10/18, 21.48, 21.48, 21.33, 21.33, 30960
12/07/18, 21.52, 21.57, 21.35, 21.4827, 56542
12/06/18, 21.60, 21.66, 21.3843, 21.52, 62830
12/04/18, 21.81, 21.93, 21.3828, 21.61, 47443
12/03/18, 21.72, 21.99, 21.70, 21.79, 37114
11/30/18, 21.75, 21.90, 21.70, 21.70, 29243
11/29/18, 21.85, 22.09, 21.78, 21.83, 105562
11/28/18, 22.00, 22.04, 21.71, 21.8748, 69889
11/27/18, 22.04, 22.04, 21.815, 21.84, 39482
11/26/18, 22.24, 22.25, 21.93, 21.93, 37940
11/23/18, 22.12, 22.12, 22.055, 22.10, 11170
11/21/18, 22.08, 22.13, 21.9701, 22.12, 20650
11/20/18, 22.21, 22.21, 21.92, 22.02, 50516
11/19/18, 22.30, 22.30, 22.15, 22.15, 24751
11/16/18, 22.39, 22.39, 22.14, 22.20, 40917
11/15/18, 22.54, 22.5799, 22.2957, 22.32, 45028
11/14/18, 22.68, 22.68, 22.45, 22.54, 20143
11/13/18, 22.59, 22.6799, 22.51, 22.5799, 23455
11/12/18, 22.60, 22.6799, 22.403, 22.56, 39234
11/09/18, 22.60, 22.67, 22.47, 22.55, 23605
11/08/18, 22.73, 22.73, 22.59, 22.60, 49470
11/07/18, 22.67, 22.701, 22.61, 22.61, 19585
11/06/18, 22.50, 22.67, 22.49, 22.58, 43387
11/05/18, 22.45, 22.49, 22.3601, 22.49, 16858
11/02/18, 22.73, 22.73, 22.40, 22.40, 36251
11/01/18, 22.57, 22.70, 22.57, 22.62, 32106
10/31/18, 22.58, 22.6899, 22.47, 22.54, 25100
10/30/18, 22.54, 22.6883, 22.52, 22.52, 16089
10/29/18, 22.59, 22.70, 22.4701, 22.67, 24897
10/26/18, 22.52, 22.60, 22.3922, 22.51, 30628
10/25/18, 22.27, 22.5289, 22.27, 22.44, 34610
10/24/18, 22.38, 22.41, 22.26, 22.26, 24625
10/23/18, 22.43, 22.50, 22.22, 22.33, 60378
10/22/18, 22.33, 22.54, 22.3291, 22.41, 20750
10/19/18, 22.39, 22.44, 22.27, 22.44, 47782
10/18/18, 22.34, 22.35, 22.19, 22.33, 16471
10/17/18, 22.26, 22.36, 22.20, 22.32, 21672
10/16/18, 22.27, 22.36, 22.26, 22.26, 31348
10/15/18, 22.32, 22.345, 22.20, 22.27, 24445
10/12/18, 22.27, 22.36, 22.16, 22.16, 35626
10/11/18, 22.29, 22.50, 22.20, 22.2136, 42338
10/10/18, 22.44, 22.44, 21.95, 22.29, 45613
10/09/18, 22.31, 22.45, 22.28, 22.44, 39981
10/08/18, 22.17, 22.33, 22.17, 22.23, 30927
10/05/18, 22.32, 22.35, 22.0259, 22.173, 65056
10/04/18, 22.52, 22.63, 22.30, 22.36, 113496
10/03/18, 23.10, 23.2516, 22.49, 22.75, 50903
10/02/18, 23.23, 23.45, 23.10, 23.10, 27296
10/01/18, 23.81, 23.8173, 23.15, 23.20, 65477
09/28/18, 23.63, 23.79, 23.57, 23.57, 30150
09/27/18, 23.60, 23.64, 23.43, 23.50, 23410
09/26/18, 23.70, 23.70, 23.50, 23.573, 31996
09/25/18, 23.75, 23.75, 23.39, 23.70, 35931
09/24/18, 23.6845, 23.80, 23.68, 23.75, 10497
09/21/18, 23.63, 23.79, 23.63, 23.67, 14137
09/20/18, 23.70, 23.77, 23.62, 23.66, 30865
09/19/18, 23.90, 23.90, 23.60, 23.60, 29030
09/18/18, 24.00, 24.00, 23.856, 23.86, 37565
09/17/18, 24.05, 24.05, 23.81, 23.85, 25351
09/14/18, 24.05, 24.115, 24.00, 24.0144, 11983
09/13/18, 24.16, 24.2299, 24.05, 24.085, 23875
09/12/18, 24.36, 24.44, 24.2901, 24.39, 27112
09/11/18, 24.31, 24.41, 24.28, 24.281, 24963
09/10/18, 24.18, 24.4374, 24.15, 24.28, 16097
09/07/18, 24.40, 24.40, 23.931, 24.08, 48338
09/06/18, 24.58, 24.58, 24.32, 24.321, 41741
09/05/18, 24.77, 24.77, 24.4065, 24.43, 36722
09/04/18, 24.87, 24.87, 24.67, 24.68, 40096
08/31/18, 24.88, 24.88, 24.7599, 24.79, 21997
08/30/18, 24.85, 24.8622, 24.77, 24.84, 16876
08/29/18, 24.86, 24.871, 24.73, 24.74, 15021
08/28/18, 24.75, 24.79, 24.68, 24.79, 20418
08/27/18, 24.70, 24.8255, 24.70, 24.80, 6635
08/24/18, 24.72, 24.73, 24.6701, 24.73, 6540
08/23/18, 24.72, 24.72, 24.6622, 24.72, 11893
08/22/18, 24.67, 24.72, 24.65, 24.72, 15985
08/21/18, 24.66, 24.66, 24.5801, 24.65, 9264
08/20/18, 24.6999, 24.70, 24.48, 24.67, 18677
08/17/18, 24.63, 24.69, 24.57, 24.57, 5480
08/16/18, 24.61, 24.63, 24.531, 24.57, 13370
08/15/18, 24.61, 24.61, 24.521, 24.61, 7614
08/14/18, 24.55, 24.62, 24.50, 24.57, 11562
08/13/18, 24.51, 24.55, 24.42, 24.50, 25529
08/10/18, 24.56, 24.56, 24.40, 24.40, 12507
08/09/18, 24.67, 24.67, 24.45, 24.45, 18249
08/08/18, 24.66, 24.6699, 24.5701, 24.60, 15036
08/07/18, 24.63, 24.63, 24.50, 24.56, 21297
08/06/18, 24.60, 24.647, 24.55, 24.55, 14774
08/03/18, 24.6295, 24.73, 24.416, 24.50, 23653
08/02/18, 24.69, 24.69, 24.461, 24.58, 9573
08/01/18, 24.78, 24.78, 24.51, 24.51, 23364
07/31/18, 24.75, 24.796, 24.56, 24.677, 20482
07/30/18, 24.73, 24.813, 24.68, 24.7248, 6904
07/27/18, 24.8297, 24.87, 24.63, 24.672, 18219
07/26/18, 24.79, 24.9182, 24.76, 24.81, 11905
07/25/18, 24.78, 24.83, 24.61, 24.83, 17393
07/24/18, 24.81, 24.83, 24.6583, 24.66, 11519
07/23/18, 24.84, 24.917, 24.60, 24.72, 15562
07/20/18, 24.6175, 24.84, 24.5691, 24.84, 32469
07/19/18, 24.62, 24.65, 24.6078, 24.65, 14435
07/18/18, 24.51, 24.64, 24.51, 24.62, 19696
07/17/18, 24.80, 24.80, 24.50, 24.51, 83861
07/16/18, 24.92, 24.92, 24.76, 24.80, 8191
07/13/18, 24.93, 24.93, 24.76, 24.84, 6313
07/12/18, 24.90, 24.94, 24.761, 24.93, 50750
07/11/18, 24.98, 24.98, 24.76, 24.76, 22617
07/10/18, 24.94, 24.98, 24.88, 24.98, 20097
07/09/18, 24.95, 24.994, 24.84, 24.94, 29683
07/06/18, 24.82, 25.05, 24.82, 25.04, 29712
07/05/18, 24.81, 24.81, 24.779, 24.80, 16257
07/03/18, 24.72, 24.83, 24.65, 24.74, 27462
07/02/18, 24.54, 24.70, 24.5393, 24.70, 23499
06/29/18, 24.48, 24.62, 24.41, 24.41, 21444
06/28/18, 24.48, 24.48, 24.42, 24.47, 7960
06/27/18, 24.42, 24.49, 24.41, 24.46, 10535
06/26/18, 24.44, 24.44, 24.36, 24.40, 21432
06/25/18, 24.46, 24.46, 24.35, 24.36, 15696
06/22/18, 24.4232, 24.44, 24.35, 24.43, 15588
06/21/18, 24.33, 24.425, 24.32, 24.32, 27482
06/20/18, 24.62, 24.62, 24.25, 24.28, 72866
06/19/18, 24.56, 24.63, 24.50, 24.51, 102002
06/18/18, 24.37, 24.42, 24.34, 24.38, 27073
06/15/18, 24.34, 24.38, 24.281, 24.37, 16341
06/14/18, 24.43, 24.43, 24.26, 24.26, 51723
06/13/18, 24.86, 24.86, 24.62, 24.70, 28023
06/12/18, 24.85, 24.85, 24.72, 24.72, 20387
06/11/18, 24.84, 24.91, 24.75, 24.76, 18581
06/08/18, 24.95, 24.95, 24.74, 24.80, 89546
06/07/18, 24.89, 24.90, 24.701, 24.89, 27670
06/06/18, 24.88, 24.9899, 24.85, 24.94, 47210
06/05/18, 24.68, 24.89, 24.68, 24.89, 42164
06/04/18, 24.61, 24.73, 24.543, 24.62, 157102
06/01/18, 24.36, 24.62, 24.26, 24.62, 60220
05/31/18, 24.24, 24.32, 24.11, 24.32, 36616
05/30/18, 24.10, 24.24, 24.0426, 24.23, 43781
05/29/18, 24.24, 24.24, 24.04, 24.04, 27600
05/25/18, 24.11, 24.23, 24.08, 24.10, 10179
05/24/18, 23.94, 24.125, 23.9367, 24.04, 41371
05/23/18, 24.01, 24.01, 23.92, 23.94, 14683
05/22/18, 24.02, 24.02, 23.92, 24.00, 17574
05/21/18, 24.00, 24.04, 23.95, 23.98, 27091
05/18/18, 24.01, 24.10, 23.91, 23.95, 34501
05/17/18, 24.16, 24.16, 24.01, 24.01, 15337
05/16/18, 24.12, 24.18, 23.94, 24.07, 30398
05/15/18, 24.24, 24.24, 23.973, 24.15, 21858
05/14/18, 24.22, 24.2941, 24.131, 24.1615, 12206
05/11/18, 24.05, 24.30, 23.97, 24.30, 24661
05/10/18, 24.04, 24.1525, 23.965, 24.05, 27851
05/09/18, 24.02, 24.1521, 24.00, 24.10, 10478
05/08/18, 24.12, 24.165, 23.93, 24.11, 36997
05/07/18, 24.10, 24.15, 24.00, 24.12, 25709
05/04/18, 24.06, 24.17, 24.04, 24.08, 17431
05/03/18, 24.12, 24.192, 23.851, 23.97, 15078
05/02/18, 24.29, 24.29, 24.01, 24.03, 16306
05/01/18, 24.13, 24.14, 23.9916, 24.07, 11359
04/30/18, 24.08, 24.13, 23.92, 24.13, 9835
04/27/18, 24.04, 24.0891, 23.8318, 23.90, 11781
04/26/18, 24.19, 24.19, 23.8351, 24.03, 32625
04/25/18, 24.08, 24.09, 23.7845, 23.95, 18949
04/24/18, 24.27, 24.27, 24.01, 24.19, 24134
04/23/18, 24.35, 24.3716, 24.02, 24.21, 27784
04/20/18, 24.2846, 24.36, 24.2301, 24.36, 22141
04/19/18, 24.25, 24.2666, 24.15, 24.20, 22121
04/18/18, 24.47, 24.47, 24.16, 24.31, 35368
04/17/18, 24.46, 24.47, 24.3623, 24.47, 21247
04/16/18, 24.47, 24.47, 24.28, 24.36, 14588
04/13/18, 24.50, 24.57, 24.15, 24.35, 22065
04/12/18, 24.36, 24.47, 24.135, 24.47, 25678
04/11/18, 24.13, 24.36, 24.111, 24.36, 31556
04/10/18, 24.23, 24.2599, 24.06, 24.07, 27422
04/09/18, 24.33, 24.33, 24.11, 24.20, 22611
04/06/18, 24.36, 24.36, 24.18, 24.35, 15957
04/05/18, 24.29, 24.4099, 24.27, 24.36, 18200
04/04/18, 24.30, 24.37, 24.2123, 24.37, 17161
04/03/18, 24.44, 24.44, 24.17, 24.29, 44065
04/02/18, 24.54, 24.54, 24.2081, 24.25, 20950
03/29/18, 24.43, 24.54, 24.3746, 24.54, 17188
03/28/18, 24.33, 24.41, 24.27, 24.40, 16616
03/27/18, 24.44, 24.44, 24.30, 24.31, 19416
03/26/18, 24.48, 24.48, 24.30, 24.30, 23773
03/23/18, 24.45, 24.48, 24.3887, 24.41, 23721
03/22/18, 24.55, 24.5536, 24.42, 24.42, 37070
03/21/18, 24.65, 24.65, 24.41, 24.54, 30187
03/20/18, 24.64, 24.64, 24.51, 24.55, 46561
03/19/18, 24.66, 24.705, 24.48, 24.5499, 99476
03/16/18, 24.55, 24.68, 24.52, 24.68, 32649
03/15/18, 24.61, 24.62, 24.48, 24.55, 41954
03/14/18, 24.53, 24.72, 24.53, 24.62, 55346
03/13/18, 24.94, 24.94, 24.74, 24.77, 42182
03/12/18, 24.81, 24.945, 24.75, 24.85, 28385
03/09/18, 24.85, 25.03, 24.81, 24.81, 16881
03/08/18, 24.71, 24.84, 24.71, 24.84, 49704
03/07/18, 24.72, 24.7869, 24.66, 24.71, 18715
03/06/18, 24.62, 24.74, 24.60, 24.66, 28012
03/05/18, 24.44, 24.57, 24.3462, 24.57, 46240
03/02/18, 24.25, 24.46, 24.22, 24.46, 141021
03/01/18, 24.27, 24.32, 24.19, 24.21, 75360
02/28/18, 24.03, 24.19, 24.02, 24.19, 42269
02/27/18, 24.06, 24.18, 23.94, 24.13, 47938
02/26/18, 24.36, 24.41, 23.97, 23.97, 77757
02/23/18, 24.05, 24.315, 24.05, 24.26, 25070
02/22/18, 24.08, 24.13, 23.97, 23.97, 44754
02/21/18, 24.02, 24.12, 23.98, 23.98, 74716
02/20/18, 23.87, 23.98, 23.75, 23.98, 110959
02/16/18, 23.86, 23.91, 23.75, 23.81, 20374
02/15/18, 23.83, 23.9478, 23.7001, 23.77, 54203
02/14/18, 24.27, 24.27, 23.8201, 23.83, 28292
02/13/18, 24.41, 24.41, 24.02, 24.02, 19378
02/12/18, 24.20, 24.23, 24.02, 24.18, 58811
02/09/18, 24.00, 24.13, 23.68, 24.06, 54633
02/08/18, 24.11, 24.17, 23.9245, 23.98, 32024
02/07/18, 24.18, 24.18, 24.02, 24.11, 71034
02/06/18, 23.67, 24.13, 23.67, 24.03, 135007
02/05/18, 23.92, 24.11, 23.75, 23.77, 69668
02/02/18, 24.38, 24.38, 24.03, 24.06, 85593
02/01/18, 24.41, 24.62, 24.34, 24.39, 45658
01/31/18, 24.41, 24.60, 24.31, 24.43, 76337
01/30/18, 24.90, 24.9299, 24.20, 24.20, 155282
01/29/18, 25.15, 25.22, 24.7159, 24.72, 245204
01/26/18, 25.30, 25.60, 25.20, 25.21, 56248
01/25/18, 25.52, 25.52, 25.1905, 25.32, 34383
01/24/18, 25.60, 25.60, 25.33, 25.345, 62060
01/23/18, 25.70, 25.70, 25.50, 25.64, 38054
01/22/18, 25.71, 25.71, 25.5201, 25.65, 72084
01/19/18, 25.40, 25.83, 25.27, 25.78, 833280
01/18/18, 25.46, 25.465, 25.23, 25.44, 68993
01/17/18, 25.50, 25.52, 25.37, 25.50, 71973
01/16/18, 25.54, 25.54, 25.33, 25.49, 70338
01/12/18, 25.50, 25.55, 25.41, 25.55, 57007
01/11/18, 25.43, 25.51, 25.16, 25.51, 56725
01/10/18, 25.38, 25.45, 25.1721, 25.45, 70693
01/09/18, 25.45, 25.45, 25.12, 25.32, 118847
01/08/18, 25.10, 25.44, 25.10, 25.38, 137806
01/05/18, 25.22, 25.22, 25.06, 25.08, 38408
01/04/18, 25.05, 25.239, 25.0465, 25.15, 48575
01/03/18, 25.15, 25.15, 24.92, 25.04, 144945
01/02/18, 25.46, 25.46, 25.06, 25.09, 74471
12/29/17, 25.55, 25.653, 25.34, 25.34, 176911
12/28/17, 25.42, 25.56, 25.36, 25.41, 103069
12/27/17, 25.25, 25.42, 25.217, 25.3975, 53185
12/26/17, 25.20, 25.26, 25.19, 25.21, 92835
12/22/17, 25.17, 25.25, 25.1448, 25.18, 104547
12/21/17, 25.28, 25.28, 25.16, 25.17, 62777
12/20/17, 25.30, 25.35, 25.22, 25.22, 48973
12/19/17, 25.40, 25.40, 25.25, 25.33, 77958
12/18/17, 25.44, 25.44, 25.252, 25.33, 127698
