Date, Open, High, Low, Close, Volume
03/25/19, 22.98, 22.99, 22.94, 22.99, 16849
03/22/19, 22.95, 22.98, 22.91, 22.98, 24050
03/21/19, 23.00, 23.08, 22.88, 22.95, 42794
03/20/19, 23.00, 23.00, 22.85, 23.00, 30141
03/19/19, 23.07, 23.07, 22.88, 22.95, 30599
03/18/19, 22.95, 23.09, 22.95, 23.07, 37794
03/15/19, 23.01, 23.01, 22.90, 22.91, 38583
03/14/19, 23.02, 23.05, 22.9035, 23.04, 41684
03/13/19, 23.05, 23.15, 23.05, 23.15, 30245
03/12/19, 22.98, 23.05, 22.97, 23.05, 31562
03/11/19, 22.99, 22.99, 22.9101, 22.99, 27400
03/08/19, 22.93, 22.99, 22.901, 22.93, 38622
03/07/19, 23.03, 23.05, 22.96, 23.00, 80467
03/06/19, 23.00, 23.134, 23.00, 23.06, 69209
03/05/19, 22.91, 23.04, 22.91, 23.04, 60204
03/04/19, 23.08, 23.09, 22.99, 23.00, 36668
03/01/19, 22.86, 22.96, 22.71, 22.95, 39369
02/28/19, 22.72, 22.94, 22.6077, 22.79, 61491
02/27/19, 22.88, 22.92, 22.81, 22.92, 25498
02/26/19, 22.97, 22.97, 22.86, 22.88, 27299
02/25/19, 22.90, 22.95, 22.82, 22.95, 31719
02/22/19, 22.90, 22.95, 22.87, 22.88, 27211
02/21/19, 22.80, 22.90, 22.80, 22.85, 27141
02/20/19, 22.69, 22.80, 22.69, 22.79, 40356
02/19/19, 22.49, 22.68, 22.4458, 22.62, 37102
02/15/19, 22.35, 22.58, 22.35, 22.49, 30565
02/14/19, 22.20, 22.35, 22.15, 22.35, 40496
02/13/19, 22.26, 22.40, 22.25, 22.35, 31826
02/12/19, 22.26, 22.31, 22.2042, 22.26, 23748
02/11/19, 22.22, 22.255, 22.20, 22.25, 18209
02/08/19, 22.25, 22.25, 22.01, 22.22, 27718
02/07/19, 22.34, 22.34, 22.11, 22.16, 27316
02/06/19, 22.54, 22.54, 22.21, 22.28, 44067
02/05/19, 22.50, 22.53, 22.41, 22.50, 14685
02/04/19, 22.45, 22.50, 22.24, 22.50, 25215
02/01/19, 22.50, 22.5499, 22.36, 22.40, 24505
01/31/19, 22.20, 22.56, 22.1856, 22.56, 140339
01/30/19, 22.10, 22.23, 22.10, 22.22, 81076
01/29/19, 22.10, 22.10, 22.00, 22.06, 18200
01/28/19, 22.08, 22.09, 21.95, 22.02, 57380
01/25/19, 22.13, 22.13, 21.97, 22.02, 35080
01/24/19, 21.98, 22.0221, 21.87, 21.99, 55837
01/23/19, 22.00, 22.06, 21.86, 21.98, 53007
01/22/19, 22.05, 22.05, 21.8721, 22.00, 49899
01/18/19, 21.90, 22.05, 21.81, 22.05, 75977
01/17/19, 21.62, 21.8699, 21.62, 21.80, 23850
01/16/19, 21.86, 21.9699, 21.62, 21.62, 40747
01/15/19, 21.98, 21.98, 21.81, 21.86, 23776
01/14/19, 21.78, 22.00, 21.64, 21.98, 53357
01/11/19, 21.58, 21.79, 21.21, 21.79, 135072
01/10/19, 21.58, 21.58, 21.38, 21.58, 26972
01/09/19, 21.61, 21.65, 21.435, 21.60, 94741
01/08/19, 21.52, 21.65, 21.31, 21.61, 54850
01/07/19, 21.17, 21.43, 21.17, 21.31, 56941
01/04/19, 20.48, 20.99, 20.48, 20.86, 62329
01/03/19, 20.25, 20.37, 20.05, 20.22, 38282
01/02/19, 19.77, 20.38, 19.75, 20.21, 56434
12/31/18, 19.81, 20.0605, 19.72, 19.87, 72399
12/28/18, 19.50, 19.9073, 19.50, 19.72, 74940
12/27/18, 19.65, 19.68, 19.27, 19.45, 115476
12/26/18, 19.56, 19.73, 19.5006, 19.64, 72117
12/24/18, 19.70, 19.7978, 19.66, 19.76, 75261
12/21/18, 19.79, 20.0199, 19.78, 19.90, 80509
12/20/18, 20.22, 20.27, 19.38, 20.04, 78402
12/19/18, 20.26, 20.3381, 20.08, 20.22, 51137
12/18/18, 20.27, 20.41, 20.24, 20.26, 74494
12/17/18, 20.26, 20.4422, 20.26, 20.34, 76540
12/14/18, 20.26, 20.44, 20.26, 20.425, 62221
12/13/18, 20.60, 20.60, 20.31, 20.37, 66198
12/12/18, 20.62, 20.83, 20.60, 20.71, 60157
12/11/18, 20.69, 20.8551, 20.53, 20.74, 111970
12/10/18, 20.74, 21.05, 20.65, 20.68, 54694
12/07/18, 20.90, 21.0999, 20.68, 20.73, 91229
12/06/18, 21.02, 21.08, 20.66, 20.80, 60035
12/04/18, 21.23, 21.23, 20.7873, 21.01, 61478
12/03/18, 21.22, 21.30, 21.05, 21.23, 35657
11/30/18, 21.32, 21.32, 21.03, 21.12, 44783
11/29/18, 21.34, 21.3653, 21.20, 21.21, 27878
11/28/18, 21.21, 21.38, 21.21, 21.30, 36101
11/27/18, 21.44, 21.49, 21.15, 21.20, 50857
11/26/18, 21.57, 21.65, 21.35, 21.37, 38383
11/23/18, 21.40, 21.5525, 21.37, 21.49, 24511
11/21/18, 21.50, 21.61, 21.48, 21.51, 35084
11/20/18, 21.70, 21.79, 21.45, 21.47, 30760
11/19/18, 21.81, 21.88, 21.66, 21.66, 19059
11/16/18, 21.73, 21.8089, 21.73, 21.80, 23349
11/15/18, 22.09, 22.09, 21.81, 21.90, 41817
11/14/18, 22.10, 22.13, 22.09, 22.0945, 15662
11/13/18, 22.13, 22.13, 22.0525, 22.095, 19138
11/12/18, 22.13, 22.13, 22.05, 22.095, 31723
11/09/18, 22.10, 22.12, 22.07, 22.0901, 27483
11/08/18, 22.13, 22.1799, 22.07, 22.08, 12021
11/07/18, 22.10, 22.16, 22.07, 22.07, 34567
11/06/18, 22.08, 22.17, 22.08, 22.08, 26546
11/05/18, 21.95, 22.09, 21.95, 22.09, 23604
11/02/18, 22.30, 22.30, 21.95, 21.95, 20823
11/01/18, 22.22, 22.2555, 22.20, 22.20, 28533
10/31/18, 22.30, 22.32, 22.20, 22.21, 40050
10/30/18, 22.35, 22.42, 22.20, 22.21, 27343
10/29/18, 22.33, 22.44, 22.21, 22.24, 34637
10/26/18, 22.27, 22.3287, 22.20, 22.27, 18234
10/25/18, 22.22, 22.235, 22.10, 22.20, 34668
10/24/18, 22.10, 22.18, 22.05, 22.05, 26631
10/23/18, 22.19, 22.2085, 22.05, 22.06, 31140
10/22/18, 22.12, 22.22, 22.08, 22.19, 23670
10/19/18, 22.08, 22.20, 21.9601, 22.20, 40842
10/18/18, 22.00, 22.09, 21.94, 21.95, 28004
10/17/18, 22.00, 22.0689, 21.95, 21.96, 33536
10/16/18, 22.07, 22.07, 21.98, 21.98, 25019
10/15/18, 21.94, 22.05, 21.86, 21.94, 45723
10/12/18, 22.02, 22.10, 21.82, 21.83, 63152
10/11/18, 22.06, 22.06, 21.9001, 21.97, 40443
10/10/18, 22.16, 22.23, 21.70, 22.06, 90487
10/09/18, 22.00, 22.33, 22.00, 22.22, 109098
10/08/18, 21.75, 21.97, 21.75, 21.81, 47666
10/05/18, 21.60, 22.08, 21.50, 22.00, 138471
10/04/18, 22.60, 22.60, 22.08, 22.09, 77071
10/03/18, 22.50, 22.6999, 21.73, 22.63, 92256
10/02/18, 22.65, 22.7711, 22.47, 22.48, 51903
10/01/18, 22.80, 22.9316, 22.48, 22.55, 115548
09/28/18, 23.01, 23.179, 23.01, 23.01, 37840
09/27/18, 23.25, 23.2602, 23.085, 23.21, 30535
09/26/18, 23.25, 23.32, 23.20, 23.24, 34410
09/25/18, 23.30, 23.3399, 23.06, 23.20, 37294
09/24/18, 23.26, 23.3342, 23.23, 23.29, 10884
09/21/18, 23.30, 23.3313, 23.24, 23.30, 32052
09/20/18, 23.29, 23.30, 23.22, 23.30, 41161
09/19/18, 23.33, 23.35, 23.131, 23.22, 39109
09/18/18, 23.40, 23.40, 23.30, 23.33, 32997
09/17/18, 23.50, 23.50, 23.25, 23.34, 43966
09/14/18, 23.51, 23.5162, 23.3469, 23.47, 24289
09/13/18, 23.63, 23.63, 23.46, 23.48, 48258
09/12/18, 23.77, 23.82, 23.75, 23.82, 69158
09/11/18, 23.73, 23.74, 23.68, 23.70, 72822
09/10/18, 23.69, 23.75, 23.62, 23.68, 122090
09/07/18, 24.09, 24.09, 23.45, 23.55, 148906
09/06/18, 24.08, 24.1214, 24.02, 24.04, 36788
09/05/18, 24.19, 24.21, 24.06, 24.09, 48277
09/04/18, 24.16, 24.16, 24.0959, 24.12, 20186
08/31/18, 24.09, 24.13, 24.05, 24.05, 23952
08/30/18, 24.10, 24.14, 24.0601, 24.12, 25858
08/29/18, 24.06, 24.10, 24.06, 24.10, 37588
08/28/18, 24.02, 24.02, 23.931, 24.02, 18839
08/27/18, 24.00, 24.02, 23.99, 24.02, 28223
08/24/18, 23.95, 23.99, 23.9101, 23.99, 29156
08/23/18, 23.98, 23.98, 23.905, 23.95, 28062
08/22/18, 24.02, 24.02, 23.954, 23.98, 21247
08/21/18, 23.98, 23.98, 23.9583, 23.96, 22892
08/20/18, 23.98, 23.98, 23.911, 23.9679, 16506
08/17/18, 23.93, 23.93, 23.88, 23.88, 25654
08/16/18, 23.93, 23.93, 23.8622, 23.8711, 14235
08/15/18, 23.90, 23.91, 23.8566, 23.90, 22686
08/14/18, 23.86, 23.90, 23.82, 23.82, 32421
08/13/18, 23.90, 23.90, 23.82, 23.85, 20281
08/10/18, 23.92, 23.92, 23.86, 23.90, 20389
08/09/18, 23.92, 23.92, 23.88, 23.88, 21226
08/08/18, 23.90, 23.92, 23.88, 23.90, 23203
08/07/18, 23.93, 23.93, 23.90, 23.92, 23949
08/06/18, 23.95, 23.95, 23.8601, 23.93, 26315
08/03/18, 23.90, 24.092, 23.86, 23.90, 15702
08/02/18, 23.79, 24.0324, 23.75, 23.84, 30137
08/01/18, 23.88, 23.88, 23.76, 23.80, 38320
07/31/18, 23.92, 23.995, 23.72, 23.75, 50234
07/30/18, 23.90, 23.961, 23.80, 23.82, 50755
07/27/18, 23.95, 24.04, 23.87, 23.8795, 24954
07/26/18, 23.92, 24.0128, 23.92, 23.92, 14889
07/25/18, 23.95, 23.95, 23.88, 23.92, 24410
07/24/18, 23.95, 23.99, 23.90, 23.94, 42909
07/23/18, 23.87, 23.87, 23.84, 23.85, 50595
07/20/18, 23.90, 23.90, 23.8401, 23.89, 62638
07/19/18, 23.85, 23.886, 23.82, 23.88, 34555
07/18/18, 23.94, 23.94, 23.80, 23.80, 55228
07/17/18, 24.08, 24.08, 23.91, 23.94, 27617
07/16/18, 24.14, 24.14, 24.00, 24.08, 24999
07/13/18, 24.15, 24.18, 24.07, 24.14, 74262
07/12/18, 24.15, 24.16, 24.07, 24.13, 38608
07/11/18, 24.19, 24.20, 24.09, 24.135, 29524
07/10/18, 24.19, 24.19, 24.13, 24.19, 24944
07/09/18, 24.20, 24.24, 24.10, 24.21, 105015
07/06/18, 24.13, 24.17, 24.0891, 24.125, 49708
07/05/18, 24.19, 24.19, 24.085, 24.145, 43431
07/03/18, 24.07, 24.18, 24.0416, 24.15, 26718
07/02/18, 23.96, 24.18, 23.93, 24.00, 58233
06/29/18, 24.00, 24.05, 23.93, 23.94, 50587
06/28/18, 24.00, 24.00, 23.821, 23.88, 42886
06/27/18, 24.00, 24.00, 23.96, 23.98, 28288
06/26/18, 23.96, 23.97, 23.84, 23.945, 32812
06/25/18, 24.00, 24.00, 23.895, 23.92, 28496
06/22/18, 24.05, 24.05, 23.96, 24.00, 33824
06/21/18, 23.98, 23.98, 23.90, 23.92, 23724
06/20/18, 24.07, 24.07, 23.8907, 23.98, 75812
06/19/18, 24.06, 24.06, 23.95, 24.04, 29451
06/18/18, 24.05, 24.09, 24.02, 24.06, 14355
06/15/18, 24.10, 24.10, 24.02, 24.06, 37907
06/14/18, 24.20, 24.20, 24.00, 24.06, 51049
06/13/18, 24.40, 24.40, 24.34, 24.39, 59135
06/12/18, 24.38, 24.38, 24.30, 24.34, 84333
06/11/18, 24.49, 24.49, 24.3209, 24.36, 58646
06/08/18, 24.50, 24.50, 24.371, 24.39, 45416
06/07/18, 24.40, 24.40, 24.35, 24.40, 41445
06/06/18, 24.40, 24.44, 24.36, 24.40, 121176
06/05/18, 24.45, 24.45, 24.38, 24.42, 110085
06/04/18, 24.25, 24.36, 24.20, 24.35, 60754
06/01/18, 23.96, 24.08, 23.91, 24.08, 32774
05/31/18, 23.88, 23.88, 23.79, 23.85, 33321
05/30/18, 23.90, 23.9254, 23.85, 23.91, 33997
05/29/18, 23.87, 23.885, 23.82, 23.84, 29587
05/25/18, 23.82, 23.96, 23.76, 23.81, 19020
05/24/18, 23.75, 23.82, 23.70, 23.82, 51656
05/23/18, 23.69, 23.70, 23.65, 23.68, 24505
05/22/18, 23.70, 23.72, 23.6198, 23.71, 62439
05/21/18, 23.80, 23.80, 23.64, 23.69, 46382
05/18/18, 23.67, 23.68, 23.56, 23.60, 45841
05/17/18, 23.70, 23.7212, 23.63, 23.65, 22380
05/16/18, 23.71, 23.71, 23.55, 23.68, 20762
