Date, Open, High, Low, Close, Volume
03/25/19, 29.97, 30.24, 29.30, 29.48, 691624
03/22/19, 31.13, 31.13, 30.02, 30.06, 475587
03/21/19, 30.09, 31.285, 30.08, 31.22, 970670
03/20/19, 30.93, 31.17, 30.10, 30.27, 713290
03/19/19, 30.55, 31.27, 30.26, 30.94, 704008
03/18/19, 30.13, 30.79, 29.79, 30.46, 907775
03/15/19, 30.71, 31.05, 29.95, 30.12, 1353473
03/14/19, 30.18, 30.92, 30.075, 30.59, 1454914
03/13/19, 29.76, 30.56, 29.61, 30.06, 974365
03/12/19, 29.62, 30.35, 29.515, 29.70, 1120015
03/11/19, 28.98, 29.89, 28.73, 29.68, 1328564
03/08/19, 28.15, 29.01, 27.825, 28.98, 1151712
03/07/19, 28.30, 28.6699, 27.47, 28.49, 1209284
03/06/19, 29.22, 29.32, 28.17, 28.25, 1904246
03/05/19, 30.53, 30.6794, 28.97, 29.29, 1551093
03/04/19, 30.15, 30.60, 29.32, 30.17, 1690651
03/01/19, 26.38, 31.10, 26.38, 30.41, 3739971
02/28/19, 26.30, 26.53, 25.85, 26.29, 1584643
02/27/19, 27.33, 27.39, 26.16, 26.23, 1102883
02/26/19, 28.06, 28.12, 27.20, 27.43, 1416046
02/25/19, 27.69, 28.52, 27.65, 27.85, 1179318
02/22/19, 27.81, 28.0064, 27.40, 27.70, 948024
02/21/19, 27.58, 28.10, 27.52, 27.72, 872891
02/20/19, 28.02, 28.22, 27.47, 27.54, 835496
02/19/19, 28.20, 28.64, 28.01, 28.09, 743298
02/15/19, 27.43, 28.42, 27.10, 28.41, 922849
02/14/19, 26.98, 27.40, 26.72, 27.18, 867150
02/13/19, 27.19, 27.52, 26.685, 27.13, 998092
02/12/19, 27.00, 27.57, 26.80, 27.16, 815399
02/11/19, 26.50, 26.86, 26.06, 26.76, 1301657
02/08/19, 27.48, 27.75, 25.91, 26.40, 1850681
02/07/19, 27.50, 27.775, 27.305, 27.61, 642665
02/06/19, 27.65, 28.1065, 27.255, 27.72, 619937
02/05/19, 27.86, 28.74, 27.69, 27.79, 1481845
02/04/19, 27.70, 27.94, 27.01, 27.79, 689100
02/01/19, 27.50, 28.13, 27.05, 27.77, 923217
01/31/19, 27.71, 27.96, 27.29, 27.36, 1073046
01/30/19, 27.65, 27.96, 27.41, 27.77, 1672395
01/29/19, 27.59, 27.91, 27.33, 27.48, 928844
01/28/19, 27.49, 28.48, 27.06, 27.49, 876733
01/25/19, 27.82, 28.2075, 27.55, 27.56, 891027
01/24/19, 27.84, 28.52, 27.65, 27.78, 841296
01/23/19, 28.68, 29.16, 27.81, 27.89, 887028
01/22/19, 28.70, 28.76, 28.14, 28.32, 1313890
01/18/19, 29.20, 29.405, 28.91, 28.99, 683910
01/17/19, 28.98, 29.465, 28.92, 29.20, 664627
01/16/19, 28.83, 29.47, 28.82, 29.05, 744058
01/15/19, 28.26, 29.00, 28.17, 28.77, 764582
01/14/19, 28.80, 29.35, 28.09, 28.14, 793846
01/11/19, 28.44, 29.31, 27.81, 29.03, 2197898
01/10/19, 27.40, 28.72, 27.32, 28.67, 867041
01/09/19, 27.18, 27.91, 27.03, 27.50, 1079182
01/08/19, 26.61, 27.03, 26.19, 26.99, 713840
01/07/19, 25.99, 26.82, 25.79, 26.30, 810042
01/04/19, 25.62, 26.43, 25.42, 26.14, 2271899
01/03/19, 25.70, 26.27, 25.19, 25.40, 1172570
01/02/19, 25.42, 26.10, 25.13, 25.86, 796823
12/31/18, 25.78, 25.97, 25.26, 25.71, 909757
12/28/18, 25.86, 26.01, 25.23, 25.56, 821995
12/27/18, 25.68, 25.80, 24.7297, 25.80, 988234
12/26/18, 25.05, 25.92, 24.31, 25.91, 823145
12/24/18, 24.62, 25.34, 24.27, 24.75, 808857
12/21/18, 26.96, 27.22, 25.04, 25.19, 2372489
12/20/18, 27.22, 27.43, 26.43, 26.78, 1791029
12/19/18, 27.86, 28.21, 26.97, 27.19, 1894288
12/18/18, 27.35, 28.38, 27.205, 27.84, 2651018
12/17/18, 27.85, 28.17, 26.68, 27.60, 3334644
12/14/18, 30.45, 30.895, 28.84, 28.93, 3040132
12/13/18, 31.28, 31.52, 30.3771, 31.06, 1136746
12/12/18, 31.79, 32.00, 31.08, 31.24, 1836468
12/11/18, 31.68, 31.89, 30.85, 31.19, 2408184
12/10/18, 31.60, 31.60, 30.51, 31.20, 1447321
12/07/18, 31.93, 32.51, 31.04, 31.66, 2217233
12/06/18, 32.84, 32.84, 31.26, 32.01, 2465770
12/04/18, 33.94, 34.27, 33.03, 33.10, 952822
12/03/18, 34.63, 35.22, 33.29, 33.89, 1735550
11/30/18, 33.80, 34.43, 33.02, 33.97, 1177974
11/29/18, 33.04, 33.85, 32.81, 33.80, 921774
11/28/18, 32.98, 33.60, 32.26, 33.38, 1040993
11/27/18, 32.77, 33.05, 32.26, 32.61, 2119684
11/26/18, 31.44, 33.82, 31.44, 32.99, 1737620
11/23/18, 31.76, 31.91, 30.88, 31.65, 695025
11/21/18, 31.28, 32.34, 30.74, 32.05, 1172133
11/20/18, 33.13, 33.48, 28.63, 31.58, 4093357
11/19/18, 32.41, 33.30, 31.48, 32.045, 2894337
11/16/18, 37.61, 39.31, 28.02, 32.55, 11578511
11/15/18, 37.06, 37.995, 36.34, 37.86, 1769810
11/14/18, 36.28, 38.08, 36.14, 37.49, 3627686
11/13/18, 42.17, 42.97, 33.53, 36.01, 15190755
11/12/18, 42.17, 43.30, 41.74, 41.94, 1923762
11/09/18, 42.03, 43.22, 42.00, 42.50, 4260989
11/08/18, 40.81, 42.15, 40.39, 41.72, 4274096
11/07/18, 39.00, 41.81, 38.77, 40.91, 5060678
11/06/18, 41.07, 41.74, 38.00, 39.00, 11092401
11/05/18, 44.72, 44.75, 38.73, 40.58, 8529762
11/02/18, 44.66, 45.35, 44.05, 44.75, 2255728
11/01/18, 43.42, 45.125, 42.23, 44.75, 4189454
10/31/18, 41.14, 42.02, 39.48, 41.50, 4057201
10/30/18, 40.83, 41.95, 40.05, 41.19, 3157309
10/29/18, 40.32, 41.90, 39.46, 40.60, 3819358
10/26/18, 38.30, 40.20, 37.80, 39.50, 2905140
10/25/18, 38.82, 39.83, 38.495, 38.58, 1809155
10/24/18, 41.07, 42.49, 38.68, 38.74, 2881067
10/23/18, 38.12, 40.68, 37.88, 40.62, 3734006
10/22/18, 38.33, 39.34, 38.33, 38.83, 1760548
10/19/18, 38.49, 39.32, 38.08, 38.40, 1869574
10/18/18, 39.35, 39.50, 38.10, 38.57, 8379217
10/17/18, 33.67, 36.29, 32.82, 35.77, 3367255
10/16/18, 36.29, 36.57, 35.16, 35.48, 2497672
10/15/18, 34.00, 36.01, 33.62, 35.94, 5342402
10/12/18, 35.23, 35.50, 32.37, 33.30, 3285398
10/11/18, 36.28, 36.49, 33.58, 34.69, 4129895
10/10/18, 38.41, 38.48, 36.22, 36.55, 2844415
10/09/18, 37.02, 39.27, 36.49, 38.69, 2217236
10/08/18, 35.82, 38.24, 35.24, 36.98, 2504775
10/05/18, 35.80, 36.83, 35.20, 35.70, 1997760
10/04/18, 35.05, 37.55, 35.04, 35.55, 2879262
10/03/18, 34.59, 35.84, 34.38, 35.17, 1547779
10/02/18, 34.83, 35.15, 34.47, 34.61, 1363182
10/01/18, 35.44, 35.49, 34.45, 34.81, 677424
09/28/18, 34.51, 35.31, 34.51, 35.20, 732162
09/27/18, 34.52, 35.03, 34.3401, 34.53, 844582
09/26/18, 35.35, 35.645, 34.48, 34.56, 996123
09/25/18, 36.11, 36.12, 35.42, 35.50, 813168
09/24/18, 35.69, 36.04, 34.99, 36.00, 985690
09/21/18, 35.93, 36.23, 35.445, 35.69, 2186387
09/20/18, 35.13, 36.10, 35.02, 36.00, 1504723
09/19/18, 35.51, 35.87, 34.91, 35.11, 665118
09/18/18, 35.54, 36.20, 35.1967, 35.45, 704322
09/17/18, 36.01, 36.165, 35.45, 35.53, 1157065
09/14/18, 36.48, 36.53, 35.92, 35.95, 1014422
09/13/18, 36.23, 36.81, 35.54, 36.28, 1341233
09/12/18, 37.37, 37.64, 36.63, 36.72, 880840
09/11/18, 37.80, 38.49, 37.22, 37.30, 1241581
09/10/18, 39.03, 39.15, 37.835, 37.96, 741178
09/07/18, 39.85, 40.11, 38.78, 38.89, 701276
09/06/18, 40.01, 40.21, 39.51, 39.88, 1026324
09/05/18, 42.19, 42.19, 39.9738, 40.00, 1090661
09/04/18, 41.69, 42.48, 41.48, 42.23, 651174
08/31/18, 40.50, 41.59, 40.21, 41.53, 605422
08/30/18, 40.47, 40.70, 40.13, 40.63, 452014
08/29/18, 40.58, 40.83, 40.205, 40.62, 698553
08/28/18, 40.55, 40.75, 40.10, 40.52, 397484
08/27/18, 39.99, 40.59, 39.99, 40.43, 409291
08/24/18, 39.92, 40.24, 39.73, 39.94, 387007
08/23/18, 39.60, 39.83, 39.26, 39.80, 454014
08/22/18, 38.98, 39.63, 38.8325, 39.50, 263848
08/21/18, 39.10, 39.49, 38.92, 39.10, 526213
