Date, Open, High, Low, Close, Volume
03/25/19, 2.95, 2.99, 2.87, 2.96, 2371493
03/22/19, 3.11, 3.16, 2.93, 2.93, 1405634
03/21/19, 2.96, 3.16, 2.93, 3.13, 1364802
03/20/19, 3.13, 3.30, 2.975, 2.99, 3475389
03/19/19, 3.09, 3.13, 3.025, 3.13, 1460108
03/18/19, 3.05, 3.13, 2.95, 3.06, 1230963
03/15/19, 3.01, 3.07, 2.95, 3.05, 4511190
03/14/19, 3.02, 3.12, 2.935, 3.01, 2194507
03/13/19, 2.94, 3.0599, 2.90, 3.04, 1819807
03/12/19, 2.83, 2.93, 2.81, 2.92, 1781388
03/11/19, 2.67, 2.855, 2.67, 2.83, 2409906
03/08/19, 2.65, 2.74, 2.65, 2.69, 537389
03/07/19, 2.76, 2.76, 2.56, 2.66, 1054329
03/06/19, 2.76, 2.865, 2.645, 2.67, 1425684
03/05/19, 2.64, 2.82, 2.635, 2.76, 1975484
03/04/19, 2.68, 2.93, 2.565, 2.63, 3615025
03/01/19, 2.54, 2.67, 2.525, 2.67, 1650740
02/28/19, 2.60, 2.6532, 2.50, 2.51, 870288
02/27/19, 2.54, 2.67, 2.53, 2.59, 756348
02/26/19, 2.63, 2.68, 2.54, 2.55, 1013271
02/25/19, 2.50, 2.62, 2.4688, 2.62, 2453550
02/22/19, 2.49, 2.52, 2.36, 2.50, 1549084
02/21/19, 2.46, 2.49, 2.41, 2.47, 856846
02/20/19, 2.44, 2.46, 2.375, 2.45, 1045979
02/19/19, 2.38, 2.47, 2.37, 2.43, 1000713
02/15/19, 2.35, 2.44, 2.33, 2.38, 1111260
02/14/19, 2.36, 2.38, 2.30, 2.35, 552157
02/13/19, 2.36, 2.41, 2.31, 2.36, 2160248
02/12/19, 2.29, 2.37, 2.28, 2.35, 2339996
02/11/19, 2.22, 2.29, 2.16, 2.29, 1257005
02/08/19, 2.12, 2.22, 2.06, 2.22, 921813
02/07/19, 2.19, 2.25, 2.09, 2.14, 1752674
02/06/19, 2.27, 2.27, 2.19, 2.21, 1737806
02/05/19, 2.24, 2.32, 2.15, 2.26, 867496
02/04/19, 2.24, 2.27, 2.22, 2.24, 1728674
02/01/19, 2.19, 2.28, 2.17, 2.24, 1436224
01/31/19, 2.17, 2.24, 2.15, 2.19, 2646960
01/30/19, 2.14, 2.18, 2.065, 2.17, 1266091
01/29/19, 2.24, 2.24, 2.10, 2.12, 1576336
01/28/19, 2.26, 2.26, 2.14, 2.22, 1655198
01/25/19, 2.21, 2.36, 2.17, 2.28, 2098453
01/24/19, 2.18, 2.24, 2.12, 2.19, 2291860
01/23/19, 2.12, 2.27, 2.11, 2.18, 1722793
