Date, Open, High, Low, Close, Volume
03/25/19, 2.86, 3.1397, 2.78, 3.02, 285610
03/22/19, 2.95, 3.0064, 2.82, 2.83, 255536
03/21/19, 3.13, 3.1456, 2.98, 2.98, 291836
03/20/19, 3.09, 3.27, 3.0334, 3.17, 451117
03/19/19, 3.17, 3.25, 3.07, 3.12, 291939
03/18/19, 2.86, 3.2801, 2.77, 3.17, 1127824
03/15/19, 4.16, 4.30, 3.00, 3.01, 14108432
03/14/19, 2.43, 2.48, 2.42, 2.45, 2209077
03/13/19, 2.47, 2.47, 2.35, 2.45, 152341
03/12/19, 2.40, 2.45, 2.37, 2.39, 162382
03/11/19, 2.38, 2.45, 2.33, 2.40, 84159
03/08/19, 2.46, 2.50, 2.37, 2.37, 220317
03/07/19, 2.67, 2.695, 2.40, 2.50, 274942
03/06/19, 2.44, 2.76, 2.38, 2.61, 546333
03/05/19, 2.50, 2.54, 2.40, 2.46, 174537
03/04/19, 2.44, 2.50, 2.35, 2.42, 369234
03/01/19, 2.45, 2.54, 2.43, 2.45, 342571
02/28/19, 2.42, 2.60, 2.39, 2.45, 464521
02/27/19, 2.41, 2.63, 2.40, 2.45, 795763
02/26/19, 2.58, 2.7433, 2.3401, 2.45, 1418907
02/25/19, 3.02, 3.07, 2.45, 2.65, 4806077
02/22/19, 2.78, 4.54, 2.72, 3.30, 68893368
02/21/19, 1.5776, 1.82, 1.55, 1.79, 145467
02/20/19, 1.81, 1.8399, 1.52, 1.58, 189890
02/19/19, 1.70, 1.7525, 1.70, 1.74, 32628
02/15/19, 1.73, 1.74, 1.67, 1.68, 18381
02/14/19, 1.75, 1.75, 1.63, 1.74, 52964
02/13/19, 1.72, 1.7914, 1.6611, 1.7486, 89534
02/12/19, 1.63, 1.71, 1.63, 1.68, 25294
02/11/19, 1.62, 1.67, 1.62, 1.63, 75816
02/08/19, 1.67, 1.68, 1.6201, 1.6342, 39650
02/07/19, 1.65, 1.6934, 1.61, 1.65, 39251
02/06/19, 1.61, 1.73, 1.61, 1.68, 73777
02/05/19, 1.67, 1.745, 1.62, 1.62, 77944
02/04/19, 1.75, 1.80, 1.63, 1.672, 185737
02/01/19, 1.52, 1.70, 1.4922, 1.6784, 210977
01/31/19, 1.50, 1.5929, 1.47, 1.50, 122032
01/30/19, 1.41, 1.471, 1.41, 1.46, 31063
01/29/19, 1.39, 1.46, 1.3288, 1.42, 26114
01/28/19, 1.43, 1.47, 1.36, 1.40, 44083
01/25/19, 1.49, 1.59, 1.41, 1.46, 261516
01/24/19, 1.29, 1.49, 1.25, 1.461, 396348
01/23/19, 1.29, 1.31, 1.231, 1.254, 62368
01/22/19, 1.30, 1.30, 1.2501, 1.29, 100396
01/18/19, 1.30, 1.3411, 1.25, 1.33, 49679
01/17/19, 1.30, 1.3537, 1.23, 1.30, 88623
01/16/19, 1.32, 1.3932, 1.21, 1.26, 195339
01/15/19, 1.23, 1.48, 1.2076, 1.42, 907517
01/14/19, 1.26, 1.35, 1.16, 1.16, 780184
01/11/19, 1.28, 1.32, 1.23, 1.23, 58349
01/10/19, 1.27, 1.32, 1.25, 1.26, 60808
01/09/19, 1.35, 1.37, 1.27, 1.32, 84282
01/08/19, 1.46, 1.46, 1.31, 1.33, 58658
01/07/19, 1.37, 1.43, 1.23, 1.348, 120064
01/04/19, 1.30, 1.45, 1.26, 1.35, 171909
01/03/19, 1.2737, 1.36, 1.16, 1.31, 244664
01/02/19, 1.26, 1.3599, 1.25, 1.28, 113455
12/31/18, 1.20, 1.24, 1.1901, 1.21, 62329
