Date, Open, High, Low, Close, Volume
03/25/19, 54.68, 55.52, 53.62, 55.11, 1245988
03/22/19, 57.67, 58.11, 54.37, 54.80, 1393811
03/21/19, 55.44, 58.5489, 55.44, 58.09, 1560276
03/20/19, 55.58, 56.329, 54.83, 55.65, 894929
03/19/19, 56.05, 56.64, 55.19, 55.63, 906873
03/18/19, 54.43, 56.35, 54.16, 55.93, 1468213
03/15/19, 53.64, 54.70, 53.50, 54.17, 1189791
03/14/19, 53.95, 54.03, 53.16, 53.45, 566710
03/13/19, 53.99, 54.13, 53.02, 53.68, 1055830
03/12/19, 53.70, 54.70, 53.21, 54.17, 462154
03/11/19, 52.23, 54.0899, 52.05, 53.59, 1482337
03/08/19, 52.58, 52.58, 50.81, 52.00, 1391203
03/07/19, 53.51, 54.05, 52.5013, 53.27, 438337
03/06/19, 54.22, 54.24, 52.54, 53.49, 1142461
03/05/19, 55.47, 55.97, 54.07, 54.42, 1127389
03/04/19, 54.50, 56.1181, 54.50, 55.52, 1127408
03/01/19, 53.81, 55.00, 53.37, 54.19, 872717
02/28/19, 53.12, 54.00, 52.76, 53.35, 1708555
02/27/19, 53.52, 53.77, 52.34, 53.48, 1219607
02/26/19, 55.73, 55.89, 53.81, 53.92, 1578532
02/25/19, 56.00, 57.53, 55.90, 56.46, 1663831
02/22/19, 48.75, 55.715, 48.56, 55.45, 3608651
02/21/19, 46.98, 48.29, 46.85, 47.17, 1327692
02/20/19, 45.48, 47.04, 45.35, 46.59, 785545
02/19/19, 44.66, 45.51, 44.30, 45.32, 681221
02/15/19, 44.74, 44.80, 43.92, 44.66, 558899
02/14/19, 43.38, 44.79, 43.25, 44.43, 535985
02/13/19, 43.75, 45.00, 43.68, 43.69, 467860
02/12/19, 42.90, 43.64, 42.90, 43.39, 475784
02/11/19, 42.03, 42.91, 41.35, 42.86, 460439
02/08/19, 41.63, 42.30, 41.58, 41.76, 444596
02/07/19, 42.23, 42.45, 41.51, 41.96, 331150
02/06/19, 43.16, 43.7199, 42.50, 42.62, 402787
02/05/19, 42.57, 43.73, 42.32, 42.98, 475552
02/04/19, 42.33, 43.01, 42.14, 42.34, 721733
02/01/19, 43.48, 44.12, 42.90, 43.09, 416315
01/31/19, 43.38, 44.63, 43.31, 43.51, 494319
01/30/19, 43.11, 43.475, 42.34, 43.14, 448401
01/29/19, 43.44, 43.91, 42.30, 42.53, 327266
01/28/19, 43.13, 44.01, 42.7504, 43.32, 263948
01/25/19, 43.21, 44.595, 43.21, 44.05, 380085
01/24/19, 42.25, 44.00, 42.1752, 43.19, 456581
01/23/19, 41.41, 42.30, 41.295, 42.08, 299938
01/22/19, 42.40, 42.70, 40.86, 41.28, 293838
01/18/19, 42.81, 43.25, 42.49, 42.63, 351280
01/17/19, 42.15, 43.05, 41.709, 42.61, 267797
01/16/19, 43.03, 43.36, 42.24, 42.30, 238268
01/15/19, 41.92, 43.29, 41.92, 42.86, 191658
01/14/19, 42.21, 42.46, 41.455, 41.91, 360137
01/11/19, 42.25, 43.32, 42.05, 42.69, 214677
01/10/19, 41.60, 43.23, 41.20, 42.47, 282807
01/09/19, 41.75, 43.22, 41.28, 41.96, 628512
01/08/19, 39.70, 41.77, 39.23, 41.66, 765490
01/07/19, 38.54, 39.74, 38.22, 39.17, 470059
01/04/19, 37.45, 38.86, 36.76, 38.44, 817854
01/03/19, 37.74, 38.00, 36.05, 36.73, 512716
01/02/19, 37.75, 38.84, 37.00, 38.36, 363116
12/31/18, 38.00, 38.20, 37.54, 38.00, 461756
12/28/18, 38.00, 38.33, 37.07, 37.69, 296213
12/27/18, 37.30, 38.31, 36.46, 37.66, 406315
12/26/18, 36.36, 38.08, 36.28, 38.03, 245961
12/24/18, 36.04, 37.21, 36.0001, 36.17, 172609
12/21/18, 38.87, 38.87, 36.35, 36.52, 750032
