Date, Open, High, Low, Close, Volume
03/25/19, 4.76, 5.08, 4.71, 5.05, 412708
03/22/19, 4.52, 5.20, 4.52, 4.76, 1612055
03/21/19, 4.45, 4.64, 4.37, 4.50, 442641
03/20/19, 4.60, 4.65, 4.48, 4.65, 340775
03/19/19, 4.65, 4.65, 4.3498, 4.54, 1921717
03/18/19, 4.60, 4.65, 4.5558, 4.63, 154372
03/15/19, 4.52, 4.64, 4.45, 4.61, 151732
03/14/19, 4.73, 4.73, 4.41, 4.51, 206294
03/13/19, 4.65, 4.67, 4.54, 4.64, 151287
03/12/19, 4.62, 4.66, 4.5415, 4.63, 268436
03/11/19, 4.49, 4.64, 4.26, 4.62, 290874
03/08/19, 4.34, 4.48, 4.31, 4.42, 95949
03/07/19, 4.33, 4.49, 4.25, 4.35, 150363
03/06/19, 4.65, 4.65, 4.25, 4.34, 407839
03/05/19, 4.65, 4.67, 4.6164, 4.64, 428043
03/04/19, 4.57, 4.651, 4.54, 4.64, 264399
03/01/19, 4.65, 4.69, 4.51, 4.56, 538044
02/28/19, 4.58, 4.70, 4.52, 4.62, 421228
02/27/19, 4.60, 4.67, 4.52, 4.62, 384131
02/26/19, 4.50, 4.67, 4.48, 4.52, 244733
02/25/19, 4.41, 4.55, 4.30, 4.51, 195992
02/22/19, 4.66, 4.899, 4.24, 4.35, 673625
02/21/19, 4.20, 4.7203, 4.175, 4.63, 855927
02/20/19, 4.01, 4.27, 4.01, 4.21, 344722
02/19/19, 3.99, 4.0918, 3.93, 4.01, 235415
02/15/19, 3.93, 3.97, 3.8871, 3.97, 238743
02/14/19, 3.93, 3.95, 3.8805, 3.90, 168739
02/13/19, 4.00, 4.00, 3.91, 3.91, 187150
02/12/19, 3.96, 4.05, 3.865, 4.00, 937511
02/11/19, 3.90, 3.94, 3.87, 3.92, 311855
02/08/19, 3.96, 4.05, 3.88, 3.92, 372380
02/07/19, 3.96, 4.00, 3.8337, 3.97, 931235
02/06/19, 3.99, 4.12, 3.8701, 4.00, 687295
02/05/19, 3.95, 4.03, 3.81, 3.92, 824528
02/04/19, 4.00, 4.0307, 3.85, 3.97, 595994
02/01/19, 4.04, 4.25, 3.8502, 3.98, 1432843
01/31/19, 3.76, 4.15, 3.75, 4.12, 2456311
01/30/19, 5.01, 5.10, 3.25, 3.65, 14278736
01/29/19, 10.50, 10.96, 10.425, 10.73, 107806
01/28/19, 10.95, 10.95, 10.26, 10.46, 94692
01/25/19, 10.38, 11.07, 10.33, 10.86, 77508
01/24/19, 10.35, 10.49, 9.90, 10.30, 101484
01/23/19, 10.95, 11.14, 10.01, 10.25, 227194
01/22/19, 11.39, 11.55, 10.60, 10.83, 184478
01/18/19, 11.11, 11.47, 10.51, 11.34, 89790
01/17/19, 11.50, 11.62, 11.11, 11.18, 121914
01/16/19, 11.78, 12.145, 11.16, 11.49, 215837
01/15/19, 11.01, 11.98, 10.96, 11.68, 1008864
01/14/19, 10.79, 11.10, 10.62, 11.04, 44233
01/11/19, 10.80, 11.005, 10.655, 10.75, 54079
01/10/19, 10.60, 10.92, 10.37, 10.80, 61539
01/09/19, 10.60, 10.985, 10.1813, 10.75, 92769
01/08/19, 10.68, 10.9902, 10.42, 10.71, 509112
01/07/19, 10.37, 10.90, 10.37, 10.50, 186177
01/04/19, 9.91, 10.69, 9.91, 10.05, 119612
01/03/19, 10.20, 10.57, 9.43, 9.43, 56801
01/02/19, 9.38, 10.22, 9.20, 10.22, 44691
12/31/18, 9.76, 9.93, 9.18, 9.45, 89886
12/28/18, 9.46, 10.00, 9.34, 9.78, 84275
12/27/18, 9.56, 9.97, 8.7011, 9.45, 67672
12/26/18, 8.99, 9.61, 8.6115, 9.61, 98230
12/24/18, 8.78, 9.39, 8.26, 8.93, 109484
12/21/18, 9.11, 9.22, 8.06, 8.76, 1105912
12/20/18, 9.10, 9.22, 8.28, 9.00, 247462
12/19/18, 9.72, 10.73, 8.57, 8.95, 305767
12/18/18, 11.48, 11.5385, 9.60, 9.72, 275246
12/17/18, 11.10, 11.80, 10.60, 11.28, 198706
12/14/18, 11.68, 11.95, 11.09, 11.19, 120458
12/13/18, 11.11, 11.97, 11.11, 11.70, 148502
12/12/18, 11.89, 12.50, 11.07, 11.10, 279539
12/11/18, 11.00, 11.86, 10.9631, 11.55, 89550
12/10/18, 11.20, 11.29, 10.91, 10.95, 66348
12/07/18, 10.68, 11.36, 10.68, 11.15, 76957
12/06/18, 10.71, 10.79, 10.01, 10.66, 55762
12/04/18, 11.18, 11.44, 10.725, 10.91, 50607
12/03/18, 11.16, 11.52, 11.01, 11.30, 106088
11/30/18, 11.19, 11.43, 10.815, 11.12, 167412
11/29/18, 11.22, 11.40, 11.015, 11.33, 159226
11/28/18, 11.20, 11.66, 10.57, 11.21, 100294
11/27/18, 10.71, 11.40, 10.62, 11.17, 104464
11/26/18, 10.40, 11.11, 10.32, 10.74, 125641
11/23/18, 10.46, 11.09, 10.30, 10.79, 141676
11/21/18, 10.00, 10.50, 10.00, 10.46, 113879
11/20/18, 10.00, 10.06, 9.29, 9.94, 72181
11/19/18, 10.01, 10.50, 9.98, 10.19, 183425
11/16/18, 9.64, 9.84, 9.405, 9.77, 35219
11/15/18, 8.79, 9.77, 8.79, 9.65, 84164
11/14/18, 8.93, 9.07, 8.50, 8.84, 40751
11/13/18, 9.22, 9.29, 8.265, 8.93, 62551
11/12/18, 8.72, 8.94, 8.37, 8.66, 17151
11/09/18, 8.90, 9.285, 8.59, 8.73, 34063
11/08/18, 8.71, 9.02, 8.565, 8.89, 32949
11/07/18, 8.59, 8.84, 8.47, 8.82, 53907
11/06/18, 8.43, 8.82, 8.17, 8.60, 46101
11/05/18, 9.14, 9.32, 8.75, 8.92, 43662
11/02/18, 8.70, 9.18, 8.13, 9.02, 110227
11/01/18, 8.26, 8.88, 8.26, 8.72, 45135
10/31/18, 8.41, 8.455, 8.05, 8.28, 40428
10/30/18, 8.05, 8.45, 8.05, 8.41, 24461
10/29/18, 8.86, 8.86, 7.93, 8.04, 97922
10/26/18, 8.10, 8.87, 8.10, 8.53, 53566
10/25/18, 8.69, 8.69, 7.85, 8.05, 181709
10/24/18, 8.68, 8.98, 8.52, 8.73, 83926
10/23/18, 9.01, 9.12, 8.63, 8.71, 54314
10/22/18, 9.93, 10.32, 9.02, 9.11, 138520
10/19/18, 9.61, 10.36, 9.4201, 9.64, 394741
10/18/18, 9.50, 9.67, 8.98, 9.62, 144766
10/17/18, 9.41, 9.62, 9.23, 9.58, 76814
10/16/18, 9.00, 9.90, 8.90, 9.50, 177298
10/15/18, 8.60, 9.08, 8.36, 8.87, 230205
10/12/18, 8.10, 8.64, 7.9301, 8.64, 169630
10/11/18, 7.95, 8.22, 7.78, 8.01, 65676
10/10/18, 8.08, 8.45, 7.5026, 7.98, 74451
10/09/18, 7.35, 8.00, 7.35, 7.95, 449449
