Date, Open, High, Low, Close, Volume
03/25/19, 32.16, 32.32, 31.89, 32.24, 582375
03/22/19, 33.07, 33.37, 32.17, 32.18, 544077
03/21/19, 32.86, 33.51, 32.6625, 33.33, 670389
03/20/19, 33.11, 33.48, 32.6439, 32.90, 639792
03/19/19, 33.54, 33.725, 33.05, 33.18, 594623
03/18/19, 33.66, 34.21, 33.35, 33.39, 584302
03/15/19, 33.36, 33.95, 32.94, 33.65, 1296794
03/14/19, 33.15, 33.79, 33.07, 33.28, 612830
03/13/19, 33.05, 33.40, 33.00, 33.14, 538360
03/12/19, 32.63, 33.00, 32.44, 32.91, 429957
03/11/19, 32.00, 32.88, 32.00, 32.61, 774018
03/08/19, 31.98, 32.68, 31.62, 31.94, 1188691
03/07/19, 32.01, 32.01, 31.395, 31.52, 872743
03/06/19, 32.90, 32.915, 31.95, 32.06, 809267
03/05/19, 33.08, 33.2198, 32.635, 32.94, 670289
03/04/19, 32.99, 33.29, 32.36, 33.07, 1442163
03/01/19, 32.23, 33.315, 32.15, 33.07, 1055700
02/28/19, 30.11, 32.47, 28.37, 31.87, 1693803
02/27/19, 30.98, 31.18, 30.66, 31.18, 713626
02/26/19, 31.41, 31.595, 31.04, 31.08, 1100805
02/25/19, 31.84, 31.97, 31.41, 31.43, 641314
02/22/19, 31.66, 31.90, 31.44, 31.65, 646580
02/21/19, 31.07, 31.365, 30.85, 31.33, 516403
02/20/19, 31.00, 31.24, 30.88, 31.10, 586920
02/19/19, 30.62, 31.03, 30.57, 30.85, 506915
02/15/19, 30.41, 30.76, 30.08, 30.75, 637370
02/14/19, 30.09, 30.48, 30.09, 30.20, 809761
02/13/19, 30.28, 30.50, 29.96, 30.22, 843832
02/12/19, 30.27, 30.44, 30.16, 30.24, 867387
02/11/19, 30.46, 30.6327, 30.16, 30.26, 543465
02/08/19, 29.77, 30.31, 29.69, 30.30, 601252
02/07/19, 30.16, 30.27, 29.84, 29.94, 672523
02/06/19, 30.09, 30.51, 29.79, 30.49, 590902
02/05/19, 29.96, 30.24, 29.93, 30.06, 774824
02/04/19, 29.47, 30.005, 29.47, 29.90, 472613
02/01/19, 29.44, 29.64, 29.29, 29.56, 607462
01/31/19, 28.76, 29.60, 28.73, 29.56, 1182607
01/30/19, 28.85, 28.85, 28.30, 28.73, 687555
01/29/19, 28.82, 28.82, 28.48, 28.60, 587792
01/28/19, 28.87, 29.10, 28.71, 28.82, 651938
01/25/19, 28.91, 29.35, 28.8289, 29.23, 526450
01/24/19, 28.43, 28.66, 28.19, 28.61, 881858
01/23/19, 28.33, 28.46, 27.96, 28.43, 955606
01/22/19, 28.48, 28.65, 27.97, 28.23, 648144
01/18/19, 28.56, 29.02, 28.51, 28.74, 1040876
01/17/19, 28.25, 28.845, 28.25, 28.62, 656204
01/16/19, 28.09, 28.65, 28.08, 28.44, 605858
01/15/19, 27.81, 27.99, 27.71, 27.94, 991728
01/14/19, 27.89, 28.04, 26.76, 27.79, 289316
01/11/19, 27.97, 28.49, 27.81, 28.14, 307067
01/10/19, 27.56, 28.13, 27.51, 28.10, 465595
01/09/19, 27.49, 28.10, 27.37, 27.74, 757612
01/08/19, 26.81, 27.43, 26.53, 27.39, 676547
01/07/19, 26.28, 27.37, 26.19, 26.51, 665968
01/04/19, 25.68, 26.45, 25.59, 26.17, 692252
01/03/19, 26.22, 26.56, 25.12, 25.16, 938990
01/02/19, 27.39, 27.53, 26.63, 27.14, 772421
12/31/18, 27.41, 27.80, 27.11, 27.67, 592752
12/28/18, 27.63, 27.89, 27.16, 27.25, 846259
12/27/18, 26.41, 27.51, 26.32, 27.48, 916461
12/26/18, 25.55, 26.98, 25.31, 26.93, 666116
12/24/18, 25.98, 26.19, 25.27, 25.32, 367904
12/21/18, 26.55, 27.47, 26.0386, 26.23, 2357929
12/20/18, 26.89, 27.27, 25.81, 26.55, 795576
12/19/18, 27.04, 27.98, 26.78, 27.04, 658074
12/18/18, 27.08, 27.33, 26.66, 26.96, 833901
12/17/18, 27.33, 27.65, 26.57, 26.70, 837609
12/14/18, 27.63, 28.00, 27.37, 27.47, 339208
12/13/18, 28.10, 28.28, 27.58, 27.89, 594752
12/12/18, 27.93, 28.38, 27.78, 28.06, 450274
12/11/18, 27.71, 28.29, 27.07, 27.47, 601732
12/10/18, 27.14, 27.94, 26.895, 27.19, 576694
12/07/18, 28.35, 28.35, 26.87, 27.16, 713850
12/06/18, 27.76, 28.33, 27.62, 28.33, 713540
12/04/18, 29.41, 29.41, 28.025, 28.25, 759265
12/03/18, 29.31, 29.53, 29.05, 29.44, 640805
11/30/18, 29.02, 29.20, 28.59, 28.88, 925446
11/29/18, 29.07, 29.44, 28.755, 28.99, 502323
11/28/18, 28.30, 29.52, 28.30, 29.32, 897242
11/27/18, 28.52, 28.98, 27.98, 28.08, 453518
11/26/18, 28.48, 28.83, 28.23, 28.77, 738547
11/23/18, 28.08, 28.60, 27.54, 28.14, 173725
11/21/18, 28.23, 28.80, 28.115, 28.43, 920673
11/20/18, 27.44, 27.95, 26.92, 27.90, 982486
11/19/18, 29.47, 29.48, 27.89, 27.98, 752599
11/16/18, 28.92, 29.63, 28.63, 29.52, 516859
11/15/18, 28.36, 29.25, 28.10, 29.23, 680291
11/14/18, 29.15, 29.45, 28.399, 28.51, 594397
11/13/18, 29.28, 29.53, 28.46, 28.80, 703785
11/12/18, 30.08, 30.20, 28.90, 29.13, 967093
11/09/18, 29.31, 30.25, 28.91, 30.12, 1468278
11/08/18, 29.65, 30.00, 28.25, 29.00, 3101292
11/07/18, 25.45, 26.23, 25.38, 26.01, 893304
11/06/18, 25.10, 25.525, 25.10, 25.39, 416600
11/05/18, 25.55, 25.6075, 25.03, 25.18, 459428
11/02/18, 25.44, 25.74, 25.25, 25.55, 651397
11/01/18, 25.18, 25.79, 24.94, 25.43, 667237
10/31/18, 24.89, 25.24, 24.71, 25.09, 616998
10/30/18, 24.45, 24.83, 24.21, 24.69, 504813
10/29/18, 25.27, 25.685, 24.02, 24.40, 499685
10/26/18, 24.90, 25.43, 24.39, 24.85, 604482
10/25/18, 25.15, 25.515, 24.96, 25.33, 599163
10/24/18, 25.81, 25.97, 24.78, 24.89, 1035713
10/23/18, 25.89, 26.08, 25.39, 25.81, 597117
10/22/18, 26.08, 26.48, 25.92, 26.28, 377845
10/19/18, 26.00, 26.57, 25.88, 25.94, 445725
10/18/18, 26.66, 26.79, 26.17, 26.29, 345714
10/17/18, 26.81, 26.91, 26.52, 26.81, 424942
10/16/18, 25.94, 26.92, 25.78, 26.88, 531558
10/15/18, 25.39, 26.01, 25.30, 25.74, 457866
10/12/18, 25.53, 25.72, 25.10, 25.50, 752577
10/11/18, 25.08, 25.39, 24.73, 25.08, 821786
10/10/18, 26.33, 26.33, 25.17, 25.24, 609588
10/09/18, 26.62, 26.7899, 26.15, 26.43, 613260
10/08/18, 26.83, 27.02, 26.30, 26.65, 903599
10/05/18, 26.73, 26.95, 26.34, 26.82, 733647
10/04/18, 27.15, 27.15, 26.41, 26.68, 424391
10/03/18, 26.94, 27.45, 26.61, 27.25, 440588
