Date, Open, High, Low, Close, Volume
03/25/19, 14.93, 15.50, 14.47, 15.16, 110089
03/22/19, 16.26, 16.32, 14.28, 14.48, 159124
03/21/19, 15.91, 16.68, 15.90, 16.44, 108892
03/20/19, 15.68, 16.3899, 14.5008, 15.93, 307635
03/19/19, 14.88, 17.50, 14.82, 15.95, 719051
03/18/19, 13.63, 14.90, 13.52, 14.87, 405788
03/15/19, 13.84, 13.88, 13.24, 13.65, 151310
03/14/19, 12.77, 14.00, 12.75, 13.80, 340944
03/13/19, 11.88, 12.89, 11.87, 12.66, 100582
03/12/19, 11.9799, 11.98, 11.685, 11.89, 50868
03/11/19, 11.76, 12.00, 11.54, 11.86, 51759
03/08/19, 10.91, 11.99, 10.91, 11.65, 50931
03/07/19, 12.95, 12.95, 10.65, 11.09, 199126
03/06/19, 13.35, 13.35, 12.49, 12.68, 124485
03/05/19, 12.42, 13.36, 12.42, 13.35, 154184
03/04/19, 11.60, 12.48, 11.60, 12.43, 103742
03/01/19, 11.50, 11.64, 11.4269, 11.60, 13447
02/28/19, 11.39, 11.50, 11.2624, 11.35, 20774
02/27/19, 11.48, 11.51, 11.14, 11.38, 11437
02/26/19, 11.54, 11.72, 11.43, 11.45, 9285
02/25/19, 11.60, 11.95, 11.60, 11.75, 67472
02/22/19, 11.20, 11.66, 11.14, 11.59, 127145
02/21/19, 11.39, 11.39, 10.75, 11.14, 58112
02/20/19, 9.99, 11.724, 9.99, 11.50, 191919
02/19/19, 9.50, 9.975, 9.45, 9.97, 79037
02/15/19, 9.40, 9.56, 9.31, 9.50, 33652
02/14/19, 9.35, 9.6999, 9.20, 9.43, 71787
02/13/19, 9.35, 9.71, 9.16, 9.34, 40161
02/12/19, 9.35, 9.4899, 9.02, 9.48, 45122
02/11/19, 9.34, 9.49, 9.31, 9.32, 31293
02/08/19, 9.278, 9.3804, 9.278, 9.31, 23667
02/07/19, 9.35, 9.45, 9.22, 9.26, 22988
02/06/19, 9.33, 9.4269, 9.31, 9.39, 11467
02/05/19, 9.32, 9.4899, 9.2501, 9.42, 17913
02/04/19, 9.34, 9.42, 9.22, 9.32, 21866
02/01/19, 9.31, 9.4899, 9.21, 9.29, 28028
01/31/19, 9.36, 9.56, 9.28, 9.31, 45618
01/30/19, 9.57, 9.5755, 9.3287, 9.49, 18916
01/29/19, 9.80, 9.80, 9.50, 9.61, 9128
01/28/19, 9.77, 10.04, 9.60, 9.72, 17905
01/25/19, 9.87, 10.12, 9.80, 10.02, 23893
01/24/19, 9.26, 9.75, 9.26, 9.75, 26529
01/23/19, 9.50, 9.70, 9.22, 9.27, 28807
01/22/19, 9.77, 9.89, 9.34, 9.35, 33146
01/18/19, 10.29, 10.3367, 9.58, 9.77, 28718
01/17/19, 10.25, 10.39, 10.02, 10.28, 13031
01/16/19, 10.50, 10.50, 10.249, 10.45, 10658
01/15/19, 10.38, 10.43, 10.22, 10.43, 4471
01/14/19, 10.3549, 10.46, 10.18, 10.26, 11023
01/11/19, 10.45, 10.51, 10.30, 10.51, 9446
01/10/19, 10.55, 10.60, 10.36, 10.50, 7270
01/09/19, 10.719, 10.74, 10.40, 10.58, 17231
01/08/19, 10.80, 10.80, 10.43, 10.73, 12381
01/07/19, 10.5167, 10.86, 9.9915, 10.75, 27241
01/04/19, 10.3716, 10.80, 10.357, 10.70, 22662
01/03/19, 10.80, 10.80, 10.3113, 10.37, 21272
01/02/19, 10.77, 10.99, 10.62, 10.87, 26279
12/31/18, 10.55, 10.98, 10.27, 10.88, 19796
12/28/18, 10.50, 10.50, 10.21, 10.47, 28124
12/27/18, 10.36, 10.50, 10.1002, 10.46, 32784
12/26/18, 10.32, 10.50, 10.04, 10.42, 27541
12/24/18, 10.10, 10.49, 10.06, 10.06, 14811
12/21/18, 10.25, 10.30, 10.11, 10.26, 46759
12/20/18, 10.33, 10.50, 10.04, 10.26, 28071
12/19/18, 10.39, 10.55, 10.11, 10.15, 17472
12/18/18, 10.31, 10.55, 10.22, 10.22, 12217
12/17/18, 10.39, 10.72, 10.06, 10.27, 29311
12/14/18, 10.86, 10.86, 10.41, 10.41, 3618
12/13/18, 10.95, 10.95, 10.3802, 10.62, 7804
12/12/18, 10.96, 10.96, 10.70, 10.78, 12429
