Date, Open, High, Low, Close, Volume
03/25/19, 35.6175, 35.89, 35.00, 35.80, 7662
03/22/19, 36.21, 36.21, 35.00, 35.04, 12594
03/21/19, 36.20, 36.57, 35.75, 36.39, 9938
03/20/19, 36.2052, 36.2899, 35.822, 36.27, 5634
03/19/19, 36.65, 36.8751, 36.15, 36.29, 7327
03/18/19, 36.6686, 37.00, 35.81, 36.35, 23295
03/15/19, 38.55, 38.55, 36.86, 36.86, 36038
03/14/19, 37.30, 38.69, 37.30, 38.44, 3052
03/13/19, 36.78, 37.44, 36.78, 37.44, 9990
03/12/19, 36.75, 37.00, 36.58, 36.58, 9826
03/11/19, 36.31, 36.87, 36.0034, 36.39, 11884
03/08/19, 37.02, 37.02, 35.75, 36.11, 18716
03/07/19, 37.34, 37.686, 37.02, 37.02, 8268
03/06/19, 37.52, 38.15, 37.27, 37.27, 6751
03/05/19, 38.64, 39.1053, 37.02, 37.93, 14739
03/04/19, 40.22, 40.22, 38.745, 38.77, 11396
03/01/19, 39.50, 40.98, 39.1485, 40.38, 12140
02/28/19, 39.26, 39.828, 38.28, 39.40, 13137
02/27/19, 39.30, 40.3187, 38.28, 39.47, 14982
02/26/19, 40.7071, 40.7071, 39.1175, 39.19, 10817
02/25/19, 39.59, 41.00, 39.11, 39.11, 15908
02/22/19, 40.9999, 40.9999, 39.18, 39.70, 14022
02/21/19, 39.76, 40.00, 39.22, 39.65, 9368
02/20/19, 39.42, 40.3435, 38.9004, 39.66, 19316
02/19/19, 38.83, 39.823, 38.75, 39.74, 11242
02/15/19, 38.36, 39.77, 38.2201, 39.20, 16292
02/14/19, 37.88, 38.55, 37.765, 38.15, 16018
02/13/19, 38.03, 38.1987, 37.6484, 37.90, 9153
02/12/19, 37.98, 39.4838, 37.9701, 38.24, 4414
02/11/19, 36.9422, 39.60, 36.7691, 37.73, 10459
02/08/19, 36.95, 37.49, 36.80, 37.12, 11450
02/07/19, 36.55, 36.73, 36.55, 36.73, 1447
02/06/19, 36.42, 36.86, 36.0592, 36.78, 10138
02/05/19, 36.45, 36.89, 36.053, 36.32, 10087
02/04/19, 36.62, 36.88, 35.8301, 36.55, 6887
02/01/19, 36.41, 36.8234, 36.015, 36.62, 7786
01/31/19, 36.89, 37.25, 36.03, 36.40, 11176
01/30/19, 37.25, 37.27, 36.87, 37.27, 5929
01/29/19, 36.62, 37.36, 36.16, 37.04, 8023
01/28/19, 36.91, 37.441, 36.4307, 36.60, 11440
01/25/19, 36.53, 36.90, 36.2101, 36.88, 8708
