Date, Open, High, Low, Close, Volume
03/25/19, 13.08, 13.27, 12.61, 13.13, 907757
03/22/19, 14.01, 14.04, 13.09, 13.13, 708048
03/21/19, 13.53, 14.06, 13.48, 14.05, 736258
03/20/19, 14.36, 14.41, 13.51, 13.69, 569169
03/19/19, 14.40, 14.71, 14.28, 14.35, 726772
03/18/19, 14.66, 14.96, 14.30, 14.39, 661333
03/15/19, 14.68, 14.90, 14.59, 14.63, 1411294
03/14/19, 14.42, 14.70, 14.30, 14.60, 642914
03/13/19, 14.01, 14.58, 13.93, 14.47, 660687
03/12/19, 13.63, 14.15, 13.58, 13.93, 483803
03/11/19, 13.53, 13.61, 12.82, 13.58, 1099140
03/08/19, 13.69, 13.85, 13.40, 13.51, 674945
03/07/19, 13.79, 14.04, 13.42, 13.86, 671077
03/06/19, 14.42, 14.42, 13.75, 13.80, 657227
03/05/19, 14.64, 15.02, 14.46, 14.49, 748855
03/04/19, 15.19, 15.3962, 14.45, 14.63, 858050
03/01/19, 14.85, 15.41, 14.67, 15.08, 1465823
02/28/19, 14.25, 14.82, 13.845, 14.74, 1166941
02/27/19, 13.97, 14.54, 13.65, 14.25, 1294829
02/26/19, 13.42, 14.03, 13.32, 14.00, 2441523
02/25/19, 13.14, 13.43, 13.00, 13.42, 1021042
02/22/19, 13.18, 13.21, 12.55, 12.93, 1207824
02/21/19, 13.17, 13.65, 13.13, 13.38, 955122
02/20/19, 13.66, 13.7705, 12.94, 13.10, 1927488
02/19/19, 14.34, 14.34, 13.50, 13.61, 1148267
02/15/19, 15.40, 16.04, 13.95, 14.30, 2579106
02/14/19, 15.41, 15.72, 15.11, 15.56, 1382815
02/13/19, 15.35, 15.875, 15.35, 15.42, 554789
02/12/19, 15.03, 15.44, 14.92, 15.34, 574742
02/11/19, 15.16, 15.3382, 14.75, 14.95, 715387
02/08/19, 15.15, 15.39, 14.935, 15.09, 460070
02/07/19, 15.80, 15.82, 14.96, 15.17, 574524
02/06/19, 16.24, 16.38, 15.81, 15.90, 415879
02/05/19, 16.33, 16.91, 15.75, 16.18, 594968
02/04/19, 16.58, 16.79, 16.10, 16.25, 519241
02/01/19, 16.68, 17.02, 16.40, 16.58, 688806
01/31/19, 16.75, 17.41, 16.41, 16.63, 1617710
01/30/19, 15.63, 16.50, 15.63, 16.47, 850333
01/29/19, 15.27, 15.65, 15.17, 15.61, 517068
01/28/19, 15.68, 15.88, 15.1601, 15.40, 609894
01/25/19, 15.62, 16.01, 15.225, 15.95, 639934
01/24/19, 16.04, 16.25, 15.39, 15.56, 491590
01/23/19, 16.02, 16.145, 15.61, 16.01, 617901
01/22/19, 16.19, 16.275, 15.37, 15.93, 880212
01/18/19, 16.87, 17.0898, 16.06, 16.26, 793053
01/17/19, 16.76, 17.06, 16.65, 16.89, 749190
01/16/19, 16.54, 17.34, 16.34, 16.80, 735456
01/15/19, 16.56, 16.64, 16.23, 16.57, 661023
01/14/19, 16.90, 17.00, 16.35, 16.40, 992402
01/11/19, 17.36, 17.57, 16.97, 17.05, 1293108
01/10/19, 16.84, 17.55, 16.36, 17.47, 1123817
01/09/19, 16.27, 17.365, 16.1023, 16.98, 1556430
01/08/19, 16.78, 16.88, 15.94, 16.18, 1272739
01/07/19, 16.89, 17.01, 16.31, 16.50, 948702
01/04/19, 16.54, 16.92, 15.95, 16.72, 1043285
01/03/19, 16.09, 16.3221, 15.3208, 15.90, 925101
01/02/19, 15.26, 16.305, 14.97, 16.22, 1133472
12/31/18, 14.98, 15.80, 14.92, 15.58, 683035
12/28/18, 15.00, 15.385, 14.70, 14.98, 621683
12/27/18, 15.15, 15.66, 14.32, 14.85, 879570
12/26/18, 13.62, 15.75, 13.15, 15.68, 1336800
12/24/18, 14.17, 14.44, 13.154, 13.77, 2060946
12/21/18, 13.92, 14.07, 12.86, 12.94, 1924741
12/20/18, 14.60, 15.03, 13.73, 13.93, 907962
12/19/18, 16.00, 16.33, 14.55, 14.62, 571919
12/18/18, 16.51, 16.64, 15.64, 15.89, 497859
12/17/18, 16.25, 16.93, 16.20, 16.34, 564217
12/14/18, 15.78, 16.48, 15.62, 16.18, 466525
12/13/18, 16.47, 16.69, 15.84, 15.98, 692328
12/12/18, 16.22, 16.64, 15.77, 16.37, 1159689
12/11/18, 17.02, 17.45, 16.00, 16.16, 3413869
12/10/18, 18.57, 19.24, 17.82, 19.03, 556600
12/07/18, 18.88, 19.32, 18.43, 18.63, 686844
12/06/18, 18.37, 18.82, 18.02, 18.81, 535366
12/04/18, 20.60, 20.93, 18.30, 18.55, 1215478
12/03/18, 20.77, 20.95, 20.03, 20.78, 591257
11/30/18, 20.24, 20.64, 19.9801, 20.43, 457720
11/29/18, 20.79, 21.13, 19.94, 20.13, 418956
11/28/18, 19.99, 20.83, 19.52, 20.81, 580315
11/27/18, 20.07, 20.07, 19.40, 19.87, 421298
11/26/18, 19.28, 20.32, 19.28, 20.28, 785246
11/23/18, 18.93, 19.25, 18.85, 19.05, 190037
11/21/18, 18.80, 19.20, 18.45, 19.07, 326939
11/20/18, 18.93, 19.36, 18.47, 18.56, 281457
11/19/18, 19.70, 20.17, 19.04, 19.13, 377939
11/16/18, 18.86, 19.8799, 18.56, 19.78, 429798
11/15/18, 18.55, 19.32, 18.27, 18.97, 630257
11/14/18, 19.47, 19.53, 18.27, 18.60, 527230
