Date, Open, High, Low, Close, Volume
03/25/19, 6.09, 6.09, 5.75, 5.94, 641692
03/22/19, 6.18, 6.25, 5.9602, 6.12, 436957
03/21/19, 6.37, 6.52, 6.0502, 6.27, 618480
03/20/19, 6.85, 6.94, 6.3604, 6.43, 593863
03/19/19, 6.73, 6.945, 6.44, 6.91, 888269
03/18/19, 5.61, 7.51, 5.61, 6.78, 1710368
03/15/19, 5.92, 6.00, 5.55, 5.63, 1116316
03/14/19, 5.93, 6.00, 5.74, 5.91, 470169
03/13/19, 5.77, 6.14, 5.72, 5.93, 478316
03/12/19, 5.64, 5.77, 5.49, 5.72, 425164
03/11/19, 5.80, 5.97, 5.56, 5.63, 324525
03/08/19, 5.90, 5.94, 5.54, 5.77, 568253
03/07/19, 5.96, 6.16, 5.86, 5.98, 322494
03/06/19, 6.64, 6.6677, 5.91, 5.98, 1065633
03/05/19, 6.83, 6.90, 6.60, 6.63, 323607
03/04/19, 6.37, 7.06, 6.37, 6.81, 1037083
03/01/19, 6.53, 6.54, 6.22, 6.33, 558254
02/28/19, 6.48, 6.55, 6.25, 6.48, 527970
02/27/19, 6.46, 6.57, 6.26, 6.46, 581834
02/26/19, 6.58, 6.61, 6.34, 6.46, 621770
02/25/19, 6.82, 6.97, 6.50, 6.57, 566956
02/22/19, 6.46, 6.74, 6.40, 6.74, 326060
02/21/19, 6.51, 6.65, 6.32, 6.41, 355204
02/20/19, 6.90, 6.9233, 6.52, 6.54, 358230
02/19/19, 7.44, 7.455, 6.87, 6.90, 415239
02/15/19, 7.52, 7.54, 7.33, 7.42, 474440
02/14/19, 6.99, 7.69, 6.97, 7.44, 614602
02/13/19, 7.20, 7.33, 6.98, 6.99, 268841
02/12/19, 6.85, 7.19, 6.76, 7.17, 982428
02/11/19, 7.06, 7.06, 6.73, 6.79, 374547
02/08/19, 7.03, 7.19, 6.84, 7.01, 335198
02/07/19, 6.92, 7.10, 6.74, 7.05, 396295
02/06/19, 6.86, 6.96, 6.66, 6.94, 319356
02/05/19, 6.86, 7.005, 6.71, 6.85, 301392
02/04/19, 6.98, 7.00, 6.79, 6.84, 202267
02/01/19, 6.99, 7.12, 6.82, 6.96, 284740
01/31/19, 6.98, 7.16, 6.86, 6.97, 345503
01/30/19, 6.78, 7.08, 6.77, 7.02, 440989
01/29/19, 6.78, 6.89, 6.555, 6.72, 263402
01/28/19, 6.69, 6.83, 6.551, 6.73, 490775
01/25/19, 6.29, 6.76, 6.29, 6.70, 636374
01/24/19, 6.05, 6.28, 5.96, 6.27, 388793
01/23/19, 6.18, 6.32, 6.03, 6.06, 302594
01/22/19, 6.32, 6.36, 6.00, 6.15, 555230
01/18/19, 6.20, 6.426, 5.95, 6.36, 1021436
01/17/19, 6.43, 6.55, 6.17, 6.22, 388480
01/16/19, 6.93, 6.94, 6.415, 6.46, 673289
01/15/19, 6.90, 7.05, 6.79, 6.91, 515317
01/14/19, 7.12, 7.29, 6.85, 6.86, 315934
01/11/19, 7.15, 7.17, 7.00, 7.15, 357701
01/10/19, 7.38, 7.50, 7.09, 7.19, 532676
01/09/19, 7.72, 7.72, 7.37, 7.39, 354092
01/08/19, 7.88, 8.19, 7.66, 7.71, 357522
01/07/19, 7.70, 7.95, 7.61, 7.84, 528890
01/04/19, 7.41, 7.71, 7.34, 7.63, 284191
01/03/19, 7.64, 7.67, 7.25, 7.34, 626682
01/02/19, 7.26, 7.77, 7.0009, 7.66, 431406
12/31/18, 7.41, 7.46, 7.085, 7.39, 501866
12/28/18, 6.98, 7.39, 6.98, 7.31, 519975
12/27/18, 7.03, 7.19, 6.70, 6.99, 1168524
12/26/18, 6.93, 7.18, 6.81, 7.14, 434446
12/24/18, 6.90, 6.99, 6.80, 6.84, 734983
12/21/18, 6.92, 7.09, 6.60, 6.98, 2458048
12/20/18, 6.85, 7.00, 6.70, 6.86, 981806
12/19/18, 6.35, 7.13, 6.325, 6.90, 842364
12/18/18, 7.09, 7.09, 6.15, 6.30, 1404749
12/17/18, 7.25, 7.57, 6.98, 7.00, 787634
12/14/18, 7.56, 7.81, 6.86, 7.31, 1684753
12/13/18, 8.23, 8.30, 7.51, 7.65, 568761
12/12/18, 8.31, 8.49, 8.10, 8.18, 205143
12/11/18, 8.30, 8.31, 7.57, 8.21, 451559
12/10/18, 8.27, 8.385, 7.85, 8.18, 288405
12/07/18, 8.62, 8.80, 8.00, 8.26, 286931
12/06/18, 8.51, 8.72, 8.39, 8.59, 633387
12/04/18, 9.46, 9.52, 8.68, 8.79, 509543
12/03/18, 9.41, 9.75, 9.17, 9.47, 883381
11/30/18, 8.79, 9.51, 8.67, 9.32, 822751
11/29/18, 8.66, 8.88, 8.35, 8.75, 1489687
11/28/18, 8.35, 9.02, 8.30, 8.70, 533958
11/27/18, 8.48, 8.62, 8.30, 8.34, 485591
11/26/18, 8.52, 8.84, 8.23, 8.53, 422783
11/23/18, 8.50, 8.82, 8.47, 8.515, 134620
11/21/18, 8.64, 8.86, 8.44, 8.56, 372463
11/20/18, 8.66, 8.90, 8.50, 8.57, 358115
11/19/18, 8.80, 9.00, 8.39, 8.76, 720336
11/16/18, 8.60, 8.88, 8.48, 8.81, 636928
11/15/18, 9.08, 9.43, 8.63, 8.68, 478716
11/14/18, 9.70, 9.85, 8.98, 9.11, 348566
11/13/18, 9.85, 10.08, 9.60, 9.64, 392161
11/12/18, 10.54, 10.61, 9.82, 9.86, 317403
11/09/18, 11.54, 11.84, 10.525, 10.62, 291773
11/08/18, 11.98, 12.14, 11.56, 11.63, 431876
11/07/18, 11.51, 12.54, 11.075, 12.02, 582194
11/06/18, 12.16, 12.245, 11.57, 11.75, 263068
11/05/18, 12.24, 12.86, 12.16, 12.24, 426141
11/02/18, 12.21, 12.90, 11.96, 12.22, 553342
11/01/18, 11.89, 12.45, 11.72, 12.14, 994156
10/31/18, 12.36, 12.38, 11.61, 11.89, 395472
10/30/18, 11.88, 12.38, 11.77, 12.21, 736081
10/29/18, 12.11, 12.36, 11.56, 11.90, 376486
10/26/18, 12.00, 12.50, 11.872, 12.08, 781178
10/25/18, 11.76, 12.58, 11.45, 12.14, 529714
10/24/18, 12.45, 12.685, 11.56, 11.56, 545482
10/23/18, 12.36, 12.90, 12.171, 12.37, 425072
10/22/18, 12.51, 13.19, 12.38, 12.53, 449073
10/19/18, 12.16, 12.94, 11.90, 12.50, 635682
10/18/18, 11.20, 12.25, 11.00, 12.17, 2739572
10/17/18, 12.45, 12.45, 11.4686, 12.17, 370390
10/16/18, 13.25, 13.27, 12.37, 12.46, 863444
10/15/18, 13.53, 13.6456, 13.25, 13.41, 129574
10/12/18, 13.45, 13.73, 13.25, 13.58, 205116
10/11/18, 13.16, 13.61, 13.15, 13.30, 246621
10/10/18, 13.02, 13.38, 12.92, 13.16, 225090
10/09/18, 13.21, 13.59, 12.84, 13.09, 512360
10/08/18, 13.57, 13.72, 13.03, 13.26, 265408
10/05/18, 13.80, 14.155, 13.02, 13.50, 247383
10/04/18, 15.34, 15.42, 13.80, 13.81, 432293
10/03/18, 15.01, 15.98, 14.99, 15.40, 355823
10/02/18, 14.92, 15.00, 14.52, 14.86, 122728
10/01/18, 14.55, 15.40, 14.55, 14.90, 176159
09/28/18, 14.98, 15.25, 14.36, 14.52, 172682
09/27/18, 15.16, 15.49, 14.99, 15.01, 146613
09/26/18, 15.06, 15.31, 14.95, 15.13, 170490
09/25/18, 15.19, 15.38, 14.81, 15.01, 168318
09/24/18, 15.19, 15.86, 15.06, 15.22, 104600
09/21/18, 15.47, 15.49, 14.91, 15.17, 393444
09/20/18, 15.52, 15.77, 15.39, 15.43, 133898
09/19/18, 14.98, 15.68, 14.98, 15.45, 205628
09/18/18, 15.05, 15.26, 14.72, 14.98, 208646
09/17/18, 15.32, 16.07, 14.93, 15.05, 223400
09/14/18, 15.08, 15.38, 14.85, 15.29, 114540
09/13/18, 15.01, 15.20, 14.71, 15.07, 117183
09/12/18, 15.13, 15.19, 14.78, 14.99, 188332
09/11/18, 15.13, 15.39, 14.87, 15.16, 161612
09/10/18, 15.27, 15.72, 15.06, 15.09, 104558
09/07/18, 14.97, 15.425, 14.7435, 15.28, 238152
09/06/18, 16.06, 16.49, 15.25, 15.26, 257652
09/05/18, 15.41, 16.13, 15.235, 16.00, 235717
09/04/18, 15.91, 15.91, 15.26, 15.42, 142081
08/31/18, 14.75, 16.02, 14.66, 15.92, 200679
08/30/18, 15.67, 15.80, 14.57, 14.70, 376880
08/29/18, 15.91, 16.16, 15.38, 15.67, 320437
08/28/18, 14.47, 16.18, 14.31, 15.94, 932344
08/27/18, 15.50, 15.78, 14.31, 14.38, 230783
08/24/18, 14.52, 15.55, 14.33, 15.45, 616149
08/23/18, 15.50, 15.63, 14.115, 14.45, 596820
08/22/18, 15.91, 16.37, 15.47, 15.52, 127258
08/21/18, 16.01, 16.30, 15.74, 15.93, 150669
08/20/18, 15.83, 16.19, 15.54, 16.02, 221927
08/17/18, 15.80, 15.95, 15.43, 15.65, 174540
08/16/18, 15.96, 16.21, 15.66, 15.80, 124620
08/15/18, 16.30, 16.38, 15.07, 15.77, 317474
08/14/18, 17.11, 17.22, 16.24, 16.27, 127834
08/13/18, 17.31, 17.39, 17.00, 17.12, 136773
08/10/18, 17.43, 17.52, 17.23, 17.30, 87588
08/09/18, 17.34, 17.60, 17.28, 17.46, 90171
08/08/18, 17.24, 17.46, 17.05, 17.37, 157405
08/07/18, 17.27, 17.42, 16.71, 17.25, 267749
08/06/18, 17.88, 17.98, 17.245, 17.245, 353166
08/03/18, 18.89, 18.9775, 16.12, 17.805, 505551
08/02/18, 17.38, 18.29, 17.27, 18.08, 221766
08/01/18, 17.10, 17.74, 17.10, 17.48, 311856
07/31/18, 16.84, 17.19, 16.31, 17.14, 254411
07/30/18, 18.01, 18.12, 16.67, 16.74, 280141
07/27/18, 18.77, 18.77, 17.765, 17.99, 335901
07/26/18, 19.86, 19.86, 18.47, 18.67, 186765
07/25/18, 19.95, 20.32, 19.78, 19.85, 177847
07/24/18, 20.60, 20.62, 19.82, 19.98, 507870
07/23/18, 20.45, 20.75, 20.189, 20.57, 118877
07/20/18, 20.40, 20.5589, 20.19, 20.48, 119709
07/19/18, 20.29, 20.50, 19.93, 20.43, 196074
07/18/18, 20.05, 20.28, 19.78, 20.20, 167622
07/17/18, 20.67, 20.80, 19.95, 20.10, 119535
07/16/18, 20.56, 20.56, 19.81, 20.50, 176320
07/13/18, 20.46, 20.65, 20.21, 20.59, 164734
07/12/18, 20.87, 21.02, 19.735, 20.43, 281705
07/11/18, 20.83, 21.37, 20.64, 20.89, 188646
07/10/18, 20.90, 21.058, 20.25, 20.73, 149937
07/09/18, 20.56, 21.9688, 20.28, 20.80, 199413
07/06/18, 20.80, 21.11, 20.01, 20.49, 280418
07/05/18, 19.84, 20.79, 19.84, 20.75, 282510
07/03/18, 19.57, 19.98, 19.37, 19.76, 128607
07/02/18, 19.89, 19.96, 19.26, 19.53, 140505
06/29/18, 19.30, 20.47, 18.98, 19.97, 349266
06/28/18, 19.06, 19.23, 18.80, 19.16, 290215
06/27/18, 19.48, 20.03, 18.71, 19.12, 234277
06/26/18, 18.82, 19.67, 18.655, 19.47, 206752
06/25/18, 19.48, 19.64, 18.44, 18.88, 290450
06/22/18, 19.96, 20.05, 19.35, 19.39, 700608
06/21/18, 20.38, 20.54, 19.89, 19.92, 155435
06/20/18, 19.92, 20.43, 19.75, 20.33, 218210
06/19/18, 19.78, 20.09, 19.57, 19.85, 191515
06/18/18, 19.91, 20.08, 19.56, 19.85, 177895
06/15/18, 19.67, 20.09, 19.57, 19.93, 591273
06/14/18, 19.79, 20.16, 19.45, 19.78, 263843
06/13/18, 20.21, 20.37, 19.72, 19.82, 312618
06/12/18, 20.00, 20.41, 19.95, 20.13, 732777
06/11/18, 19.32, 20.00, 19.13, 19.85, 224555
06/08/18, 18.27, 19.65, 17.95, 19.37, 417912
06/07/18, 18.40, 18.70, 18.16, 18.35, 171362
06/06/18, 17.87, 18.53, 17.80, 18.34, 156083
06/05/18, 17.71, 18.09, 17.66, 17.78, 227146
06/04/18, 18.34, 18.34, 17.54, 17.71, 264528
06/01/18, 18.17, 18.50, 18.04, 18.26, 198343
05/31/18, 17.89, 18.39, 17.58, 18.07, 216402
05/30/18, 18.98, 19.12, 17.56, 17.90, 280728
05/29/18, 19.06, 19.445, 18.75, 18.95, 177617
05/25/18, 19.09, 19.45, 18.82, 19.08, 136516
05/24/18, 19.13, 19.315, 18.85, 19.14, 159705
05/23/18, 18.99, 19.55, 18.88, 19.11, 134266
05/22/18, 19.04, 19.375, 18.97, 18.99, 206128
05/21/18, 20.20, 20.20, 18.816, 19.09, 318480
05/18/18, 19.77, 20.12, 19.49, 20.03, 198116
05/17/18, 19.49, 19.82, 19.45, 19.64, 143736
05/16/18, 19.49, 19.89, 19.00, 19.43, 343400
05/15/18, 19.36, 19.59, 19.01, 19.45, 161861
05/14/18, 18.91, 19.87, 18.91, 19.44, 268501
