Date, Open, High, Low, Close, Volume
03/25/19, 3.21, 3.30, 3.07, 3.22, 1698489
03/22/19, 3.22, 3.2887, 3.12, 3.16, 1738489
03/21/19, 3.29, 3.48, 3.1222, 3.25, 2433237
03/20/19, 3.42, 3.56, 3.30, 3.35, 2538573
03/19/19, 3.17, 3.47, 3.149, 3.41, 3011503
03/18/19, 3.10, 3.20, 3.08, 3.17, 1690335
03/15/19, 3.02, 3.18, 3.01, 3.10, 2054655
03/14/19, 3.01, 3.15, 2.96, 3.03, 1708529
03/13/19, 3.10, 3.13, 2.98, 3.00, 2347255
03/12/19, 3.06, 3.10, 2.89, 3.09, 3819707
03/11/19, 3.18, 3.20, 3.03, 3.07, 2977535
03/08/19, 3.55, 3.57, 3.25, 3.27, 4392184
03/07/19, 3.59, 3.80, 3.3601, 3.76, 4798228
03/06/19, 3.78, 3.81, 3.414, 3.61, 3701194
03/05/19, 3.89, 4.09, 3.12, 3.73, 8363642
03/04/19, 3.75, 3.95, 3.71, 3.83, 4511249
03/01/19, 3.40, 3.75, 3.36, 3.66, 3947185
02/28/19, 3.39, 3.42, 3.27, 3.36, 1538264
02/27/19, 3.18, 3.41, 3.16, 3.38, 2273175
02/26/19, 3.11, 3.19, 3.04, 3.16, 1612253
02/25/19, 3.19, 3.22, 3.03, 3.14, 2036689
02/22/19, 3.24, 3.28, 2.92, 3.20, 3864199
02/21/19, 3.45, 3.5499, 3.17, 3.26, 3952277
02/20/19, 3.22, 3.45, 3.22, 3.41, 4948620
02/19/19, 3.03, 3.29, 3.03, 3.17, 4959226
02/15/19, 2.79, 2.99, 2.72, 2.90, 7487560
02/14/19, 2.57, 2.64, 2.5347, 2.63, 885872
02/13/19, 2.58, 2.61, 2.51, 2.56, 801321
02/12/19, 2.52, 2.60, 2.50, 2.57, 1186842
02/11/19, 2.52, 2.56, 2.47, 2.51, 742896
02/08/19, 2.41, 2.52, 2.38, 2.51, 877156
02/07/19, 2.55, 2.55, 2.40, 2.42, 1242200
02/06/19, 2.68, 2.70, 2.54, 2.56, 1348441
02/05/19, 2.54, 2.70, 2.51, 2.66, 1827480
02/04/19, 2.50, 2.571, 2.46, 2.55, 1349687
02/01/19, 2.44, 2.51, 2.38, 2.48, 1310983
01/31/19, 2.44, 2.54, 2.43, 2.46, 1205693
01/30/19, 2.40, 2.48, 2.36, 2.46, 1274198
01/29/19, 2.43, 2.48, 2.33, 2.41, 1143996
01/28/19, 2.50, 2.5897, 2.42, 2.42, 1521546
01/25/19, 2.52, 2.53, 2.44, 2.51, 1112530
01/24/19, 2.50, 2.53, 2.38, 2.52, 980842
01/23/19, 2.54, 2.605, 2.44, 2.48, 2031932
01/22/19, 2.45, 2.565, 2.355, 2.53, 1974930
01/18/19, 2.58, 2.65, 2.43, 2.51, 2137727
01/17/19, 2.36, 2.525, 2.27, 2.48, 2081708
01/16/19, 2.33, 2.46, 2.25, 2.35, 1965817
01/15/19, 2.47, 2.47, 2.29, 2.35, 1867511
