Date, Open, High, Low, Close, Volume
03/25/19, 3.13, 3.33, 3.13, 3.27, 333713
03/22/19, 3.16, 3.19, 3.11, 3.14, 561684
03/21/19, 3.15, 3.181, 3.14, 3.16, 100605
03/20/19, 3.10, 3.18, 3.0916, 3.15, 217182
03/19/19, 3.10, 3.14, 3.07, 3.11, 199849
03/18/19, 3.02, 3.10, 3.0097, 3.09, 284673
03/15/19, 3.05, 3.12, 2.97, 3.02, 563658
03/14/19, 3.18, 3.20, 3.05, 3.05, 246063
03/13/19, 3.14, 3.17, 3.12, 3.15, 134658
03/12/19, 3.10, 3.17, 3.10, 3.15, 68952
03/11/19, 3.02, 3.17, 3.02, 3.13, 83410
03/08/19, 3.00, 3.05, 2.96, 3.04, 305442
03/07/19, 3.00, 3.0427, 2.98, 2.99, 431595
03/06/19, 3.03, 3.04, 2.99, 3.02, 241371
03/05/19, 3.05, 3.05, 3.00, 3.02, 88897
03/04/19, 3.04, 3.109, 3.02, 3.04, 63478
03/01/19, 2.95, 3.07, 2.95, 3.05, 65664
02/28/19, 3.11, 3.20, 3.04, 3.05, 62262
02/27/19, 3.09, 3.15, 2.94, 3.10, 33953
02/26/19, 3.16, 3.20, 3.11, 3.11, 51455
02/25/19, 3.18, 3.23, 3.13, 3.16, 72399
02/22/19, 3.12, 3.24, 3.12, 3.20, 52253
02/21/19, 3.16, 3.18, 3.09, 3.12, 40037
02/20/19, 3.16, 3.20, 3.16, 3.19, 52358
02/19/19, 3.15, 3.20, 3.15, 3.18, 80140
02/15/19, 3.15, 3.19, 3.10, 3.18, 83515
02/14/19, 3.19, 3.19, 3.11, 3.12, 66111
02/13/19, 3.18, 3.19, 3.17, 3.19, 32936
02/12/19, 3.23, 3.23, 3.12, 3.17, 77471
02/11/19, 3.16, 3.18, 3.135, 3.18, 63789
02/08/19, 3.07, 3.16, 3.05, 3.13, 59986
02/07/19, 3.09, 3.14, 3.04, 3.07, 49717
02/06/19, 3.08, 3.17, 3.06, 3.14, 90862
02/05/19, 3.13, 3.16, 3.10, 3.105, 80903
02/04/19, 3.06, 3.11, 3.02, 3.11, 122784
02/01/19, 3.01, 3.10, 3.01, 3.06, 82495
01/31/19, 3.06, 3.06, 3.01, 3.04, 76004
01/30/19, 3.01, 3.05, 3.01, 3.03, 81062
01/29/19, 3.09, 3.10, 3.00, 3.01, 130603
01/28/19, 3.05, 3.08, 3.00, 3.07, 155067
01/25/19, 3.08, 3.11, 3.03, 3.05, 49863
01/24/19, 3.03, 3.09, 3.03, 3.09, 62461
01/23/19, 3.04, 3.10, 2.99, 3.05, 96150
01/22/19, 3.03, 3.08, 2.98, 3.03, 138879
01/18/19, 3.09, 3.09, 3.01, 3.03, 102503
01/17/19, 3.13, 3.13, 3.04, 3.10, 79785
01/16/19, 3.0542, 3.14, 3.05, 3.13, 132908
01/15/19, 3.03, 3.10, 3.0061, 3.06, 75265
01/14/19, 3.05, 3.10, 3.00, 3.04, 74616
01/11/19, 3.03, 3.11, 3.00, 3.06, 106272
01/10/19, 3.14, 3.14, 3.05, 3.06, 138050
01/09/19, 3.14, 3.19, 3.10, 3.13, 74851
01/08/19, 3.07, 3.18, 3.01, 3.14, 135961
01/07/19, 3.01, 3.09, 2.97, 3.07, 170054
01/04/19, 3.02, 3.10, 2.97, 2.99, 182687
01/03/19, 3.07, 3.13, 2.97, 3.00, 163009
01/02/19, 2.95, 3.13, 2.94, 3.10, 132407
12/31/18, 3.00, 3.01, 2.85, 2.98, 208056
12/28/18, 2.87, 3.02, 2.83, 3.00, 207980
12/27/18, 2.82, 2.87, 2.79, 2.87, 210839
12/26/18, 2.90, 2.90, 2.83, 2.85, 174973
12/24/18, 2.91, 2.91, 2.84, 2.88, 79724
12/21/18, 2.83, 2.96, 2.75, 2.91, 528401
12/20/18, 2.91, 3.04, 2.82, 2.85, 355174
12/19/18, 3.00, 3.05, 2.91, 2.94, 199510
12/18/18, 2.96, 3.03, 2.91, 2.99, 100320
12/17/18, 3.00, 3.01, 2.94, 2.95, 167906
12/14/18, 3.04, 3.0725, 2.96, 2.99, 118642
12/13/18, 3.11, 3.16, 2.92, 3.04, 211043
12/12/18, 3.28, 3.28, 3.05, 3.10, 128848
12/11/18, 3.30, 3.30, 3.22, 3.25, 154300
12/10/18, 3.08, 3.29, 3.03, 3.27, 185686
12/07/18, 3.02, 3.06, 2.9665, 3.03, 120953
12/06/18, 2.98, 3.095, 2.96, 3.01, 77252
12/04/18, 3.18, 3.18, 2.96, 2.99, 93847
12/03/18, 3.19, 3.19, 3.05, 3.18, 121319
11/30/18, 3.16, 3.22, 3.075, 3.18, 138668
11/29/18, 3.17, 3.19, 3.14, 3.17, 75180
11/28/18, 3.09, 3.22, 3.02, 3.13, 149357
11/27/18, 3.02, 3.09, 2.98, 3.07, 53114
11/26/18, 3.09, 3.10, 3.03, 3.05, 79821
11/23/18, 2.97, 3.09, 2.97, 3.09, 26801
11/21/18, 2.97, 3.06, 2.97, 3.00, 78788
11/20/18, 2.99, 3.02, 2.915, 2.97, 159458
11/19/18, 3.05, 3.11, 2.95, 2.99, 133782
11/16/18, 3.10, 3.15, 3.00, 3.06, 109552
11/15/18, 3.14, 3.17, 3.09, 3.15, 88273
11/14/18, 3.25, 3.25, 3.13, 3.16, 122169
11/13/18, 3.20, 3.25, 3.1314, 3.22, 43993
11/12/18, 3.20, 3.20, 3.1102, 3.19, 77292
11/09/18, 3.28, 3.2899, 3.20, 3.20, 54214
11/08/18, 3.30, 3.33, 3.23, 3.30, 25612
11/07/18, 3.26, 3.32, 3.20, 3.31, 110483
