Date, Open, High, Low, Close, Volume
03/25/19, 3.61, 3.85, 3.55, 3.75, 249809
03/22/19, 3.83, 3.83, 3.60, 3.63, 235807
03/21/19, 3.84, 3.89, 3.74, 3.83, 256256
03/20/19, 3.83, 3.91, 3.76, 3.89, 288504
03/19/19, 3.91, 3.94, 3.82, 3.84, 149609
03/18/19, 3.96, 4.1369, 3.87, 3.88, 206547
03/15/19, 3.94, 4.08, 3.86, 3.97, 252122
03/14/19, 3.94, 4.04, 3.825, 3.93, 327292
03/13/19, 4.06, 4.13, 3.90, 3.93, 151128
03/12/19, 3.91, 4.10, 3.88, 4.03, 165480
03/11/19, 3.80, 3.91, 3.79, 3.90, 224962
03/08/19, 4.07, 4.1999, 3.70, 3.72, 502790
03/07/19, 4.07, 4.20, 3.91, 4.13, 393693
03/06/19, 4.38, 4.392, 4.00, 4.01, 319776
03/05/19, 4.30, 4.59, 4.1385, 4.39, 490322
03/04/19, 4.60, 4.607, 4.24, 4.27, 431431
03/01/19, 4.42, 4.68, 4.35, 4.57, 230242
02/28/19, 4.70, 4.7448, 4.33, 4.39, 472774
02/27/19, 4.90, 5.15, 4.54, 4.64, 284500
02/26/19, 4.81, 5.06, 4.75, 4.86, 187660
02/25/19, 4.65, 4.94, 4.4815, 4.81, 379956
02/22/19, 4.64, 4.82, 4.48, 4.57, 311006
02/21/19, 4.71, 4.71, 4.55, 4.66, 187468
02/20/19, 4.72, 4.79, 4.625, 4.71, 194395
02/19/19, 4.92, 4.97, 4.68, 4.71, 176873
02/15/19, 4.84, 4.96, 4.65, 4.94, 223939
02/14/19, 4.82, 4.98, 4.75, 4.84, 251764
02/13/19, 5.37, 5.4299, 4.80, 4.82, 330936
02/12/19, 5.17, 5.37, 5.09, 5.33, 214754
02/11/19, 5.05, 5.18, 4.92, 5.15, 165582
02/08/19, 4.64, 5.00, 4.54, 4.99, 351451
02/07/19, 4.82, 4.89, 4.53, 4.65, 282611
02/06/19, 4.71, 4.9464, 4.60, 4.87, 193598
02/05/19, 4.89, 4.95, 4.65, 4.68, 209970
02/04/19, 5.11, 5.24, 4.85, 4.86, 202878
02/01/19, 4.90, 5.29, 4.8258, 5.06, 253207
01/31/19, 4.68, 5.00, 4.68, 4.87, 253512
01/30/19, 4.67, 4.76, 4.48, 4.66, 210760
01/29/19, 4.52, 4.7925, 4.50, 4.60, 172448
01/28/19, 4.67, 4.69, 4.40, 4.50, 260002
01/25/19, 4.49, 4.77, 4.4885, 4.69, 100260
01/24/19, 4.50, 4.73, 4.36, 4.49, 217819
01/23/19, 4.48, 4.739, 4.41, 4.47, 260295
01/22/19, 4.86, 4.87, 4.49, 4.53, 466096
01/18/19, 5.04, 5.085, 4.73, 4.86, 434215
01/17/19, 5.30, 5.30, 5.01, 5.04, 168285
01/16/19, 5.32, 5.97, 5.16, 5.31, 167966
01/15/19, 5.40, 5.52, 5.26, 5.30, 233088
01/14/19, 5.70, 5.70, 5.21, 5.39, 335091
01/11/19, 5.85, 5.96, 5.66, 5.74, 157237
01/10/19, 5.81, 5.95, 5.60, 5.84, 186577
01/09/19, 5.80, 5.88, 5.71, 5.83, 197483
01/08/19, 6.22, 6.31, 5.69, 5.80, 371130
01/07/19, 5.79, 6.17, 5.69, 6.06, 288668
01/04/19, 5.43, 6.0196, 5.42, 5.72, 943904
01/03/19, 5.45, 5.66, 5.19, 5.34, 399822
01/02/19, 5.63, 5.70, 5.31, 5.54, 414399
12/31/18, 5.08, 5.79, 5.025, 5.75, 697026
12/28/18, 4.81, 5.16, 4.50, 5.15, 1265411
12/27/18, 4.41, 4.86, 4.29, 4.85, 1017938
12/26/18, 4.37, 4.5781, 4.0504, 4.49, 925954
12/24/18, 3.68, 4.38, 3.60, 4.38, 592060
12/21/18, 3.97, 4.04, 3.64, 3.76, 682372
12/20/18, 4.19, 4.23, 3.89, 3.98, 919431
12/19/18, 4.31, 4.52, 4.06, 4.11, 611935
12/18/18, 4.43, 4.6099, 4.18, 4.30, 850083
12/17/18, 5.12, 5.12, 4.09, 4.40, 1692298
12/14/18, 5.27, 5.385, 5.10, 5.16, 371966
12/13/18, 5.29, 5.3615, 5.17, 5.36, 403053
12/12/18, 5.55, 5.59, 4.82, 5.25, 1730586
12/11/18, 5.91, 6.0383, 5.58, 5.75, 385034
12/10/18, 5.71, 5.91, 5.62, 5.87, 245162
12/07/18, 5.74, 5.89, 5.50, 5.72, 375980
12/06/18, 5.83, 6.01, 5.59, 5.75, 675269
12/04/18, 6.23, 6.42, 5.63, 5.96, 834826
12/03/18, 6.23, 6.55, 6.17, 6.25, 858597
11/30/18, 5.89, 6.21, 5.62, 6.16, 687062
11/29/18, 5.17, 6.01, 5.15, 5.95, 844169
11/28/18, 5.10, 5.18, 4.91, 5.15, 1017548
11/27/18, 5.29, 5.29, 5.03, 5.11, 524329
11/26/18, 5.74, 5.74, 5.26, 5.29, 358190
11/23/18, 5.43, 5.72, 5.43, 5.69, 206112
11/21/18, 5.50, 5.79, 5.24, 5.44, 306603
11/20/18, 5.55, 5.87, 5.4022, 5.48, 589106
11/19/18, 5.40, 5.705, 5.1198, 5.65, 554028
11/16/18, 5.48, 5.56, 5.205, 5.43, 618043
11/15/18, 5.55, 5.86, 5.35, 5.50, 490607
11/14/18, 6.02, 6.13, 5.50, 5.65, 549822
11/13/18, 6.33, 6.57, 6.00, 6.00, 487559
11/12/18, 6.17, 6.48, 6.08, 6.32, 472042
11/09/18, 6.57, 6.7712, 6.02, 6.18, 682929
11/08/18, 6.69, 6.90, 6.50, 6.66, 320803
11/07/18, 6.60, 7.26, 6.52, 6.65, 681509
11/06/18, 7.86, 8.04, 6.305, 6.53, 1125326
11/05/18, 7.16, 7.30, 6.941, 7.13, 402714
11/02/18, 6.94, 7.13, 6.7212, 7.09, 331982
11/01/18, 6.20, 6.94, 6.16, 6.86, 646489
10/31/18, 6.03, 6.255, 5.97, 6.20, 303684
10/30/18, 5.89, 6.07, 5.73, 6.00, 382252
10/29/18, 6.03, 6.44, 5.76, 5.94, 501632
10/26/18, 6.62, 6.74, 5.93, 6.23, 717929
10/25/18, 6.62, 6.85, 6.49, 6.54, 583916
10/24/18, 7.07, 7.46, 6.42, 6.485, 1043004
10/23/18, 7.55, 7.80, 6.72, 7.03, 2135921
10/22/18, 7.45, 10.11, 7.40, 7.55, 3260275
10/19/18, 11.00, 11.07, 10.30, 10.76, 594791
10/18/18, 11.40, 11.50, 10.57, 10.88, 782365
10/17/18, 11.85, 11.85, 10.88, 11.54, 591401
10/16/18, 12.20, 12.36, 11.82, 11.85, 264907
