Date, Open, High, Low, Close, Volume
03/25/19, 259.21, 263.12, 257.10, 262.27, 2639365
03/22/19, 263.47, 264.64, 259.52, 259.69, 3454012
03/21/19, 259.00, 264.34, 258.40, 264.18, 2359850
03/20/19, 260.54, 262.30, 256.17, 259.74, 3732580
03/19/19, 259.43, 260.64, 256.34, 260.42, 4257338
03/18/19, 257.11, 259.96, 253.8901, 257.76, 4013389
03/15/19, 258.03, 260.00, 252.03, 257.09, 12110485
03/14/19, 265.26, 268.00, 263.52, 267.69, 5113443
03/13/19, 265.50, 269.80, 264.13, 264.38, 3992487
03/12/19, 261.86, 264.75, 259.01, 263.51, 2583623
03/11/19, 255.98, 261.46, 255.77, 260.96, 2711658
03/08/19, 251.49, 255.02, 249.0954, 254.74, 2195350
03/07/19, 255.77, 257.49, 253.2855, 255.46, 3185202
03/06/19, 257.40, 259.49, 253.84, 256.40, 1950615
03/05/19, 259.00, 259.865, 256.365, 257.38, 2101785
03/04/19, 266.70, 267.00, 254.08, 258.16, 2995155
03/01/19, 265.75, 266.24, 261.50, 264.01, 2594052
02/28/19, 262.40, 266.24, 261.76, 262.50, 3810382
02/27/19, 259.77, 263.08, 256.52, 262.90, 2267003
02/26/19, 258.00, 262.58, 256.3734, 261.22, 2539030
02/25/19, 261.50, 262.98, 258.18, 258.62, 1815766
02/22/19, 257.61, 260.24, 257.61, 258.90, 2006123
02/21/19, 257.30, 259.3491, 255.12, 257.76, 2607433
02/20/19, 258.13, 260.99, 255.9164, 258.10, 2484800
02/19/19, 258.98, 260.06, 256.45, 257.81, 3475615
02/15/19, 260.34, 260.97, 258.0725, 259.45, 2999236
02/14/19, 259.40, 261.71, 258.01, 260.14, 1884977
02/13/19, 263.13, 263.3645, 259.37, 260.23, 1899835
02/12/19, 260.15, 262.2509, 258.67, 261.37, 2518430
02/11/19, 258.89, 259.90, 256.19, 258.39, 3538128
02/08/19, 251.39, 257.05, 250.64, 257.00, 2756758
02/07/19, 251.33, 254.31, 250.28, 253.74, 2099743
02/06/19, 255.06, 255.93, 250.71, 254.35, 2539068
02/05/19, 256.74, 258.56, 254.01, 254.82, 3041982
02/04/19, 248.56, 256.99, 248.06, 254.74, 3705123
02/01/19, 247.82, 251.035, 246.10, 247.38, 3033305
01/31/19, 243.00, 249.00, 243.00, 247.82, 5007179
01/30/19, 240.16, 243.00, 238.87, 242.67, 2483107
01/29/19, 241.81, 242.8653, 237.27, 238.27, 1937089
01/28/19, 241.00, 243.22, 239.35, 241.85, 2110409
01/25/19, 244.99, 247.10, 243.43, 244.95, 3821429
01/24/19, 245.62, 245.98, 241.18, 242.56, 3642950
01/23/19, 244.91, 248.16, 240.5963, 245.14, 2031718
01/22/19, 245.13, 245.6083, 241.19, 243.85, 4155486
01/18/19, 247.45, 250.68, 244.45, 247.51, 3711300
01/17/19, 240.13, 245.04, 238.7801, 244.40, 2836201
01/16/19, 243.60, 244.00, 239.68, 241.95, 2885155
01/15/19, 237.90, 243.93, 237.2552, 242.36, 3656486
01/14/19, 235.33, 236.255, 231.9587, 234.56, 2607012
01/11/19, 235.71, 239.32, 235.23, 237.55, 3179485
01/10/19, 233.77, 238.04, 231.71, 237.77, 2704960
01/09/19, 234.01, 238.59, 232.00, 235.43, 3594435
01/08/19, 232.65, 233.77, 228.3298, 232.68, 3685900
01/07/19, 229.95, 232.60, 227.29, 229.26, 3638526
01/04/19, 219.84, 227.65, 217.48, 226.19, 4043376
01/03/19, 220.88, 223.63, 215.15, 215.70, 3663514
01/02/19, 219.91, 226.17, 219.00, 224.57, 2784109
12/31/18, 225.56, 227.33, 223.235, 226.24, 2866443
12/28/18, 227.58, 228.11, 220.87, 223.13, 3160241
12/27/18, 219.99, 225.17, 214.16, 225.14, 3931134
