Date, Open, High, Low, Close, Volume
03/25/19, 10.96, 11.70, 10.93, 11.66, 174078
03/22/19, 11.13, 11.25, 10.81, 10.84, 170523
03/21/19, 11.16, 11.39, 11.07, 11.11, 63143
03/20/19, 11.23, 11.43, 11.00, 11.15, 101065
03/19/19, 11.40, 11.4175, 10.75, 11.09, 137078
03/18/19, 11.30, 11.48, 11.14, 11.39, 102297
03/15/19, 11.11, 11.39, 11.06, 11.31, 273041
03/14/19, 11.27, 11.27, 11.00, 11.08, 44512
03/13/19, 11.51, 11.51, 11.20, 11.28, 27354
03/12/19, 11.30, 11.62, 11.22, 11.47, 69488
03/11/19, 11.57, 11.64, 11.12, 11.27, 68182
03/08/19, 11.62, 11.67, 11.3699, 11.58, 112929
03/07/19, 11.79, 11.87, 11.54, 11.62, 79758
03/06/19, 11.87, 11.87, 11.75, 11.75, 105189
03/05/19, 11.88, 11.96, 11.79, 11.85, 147951
03/04/19, 11.83, 12.00, 11.75, 11.77, 132242
03/01/19, 11.86, 11.90, 11.75, 11.84, 53083
02/28/19, 11.87, 11.99, 11.76, 11.82, 103853
02/27/19, 11.84, 12.00, 11.77, 11.87, 176951
02/26/19, 11.98, 12.08, 11.85, 11.85, 150735
02/25/19, 12.05, 12.19, 11.92, 11.97, 132866
02/22/19, 11.82, 12.10, 11.76, 12.06, 138876
02/21/19, 12.02, 12.175, 11.73, 11.82, 84977
02/20/19, 11.85, 12.19, 11.74, 12.02, 197976
02/19/19, 11.59, 11.95, 11.56, 11.825, 117280
02/15/19, 11.63, 11.84, 11.60, 11.71, 131078
02/14/19, 11.70, 11.90, 11.58, 11.77, 88442
02/13/19, 11.71, 11.7599, 11.68, 11.70, 91127
02/12/19, 11.65, 11.725, 11.57, 11.70, 62032
02/11/19, 11.60, 11.72, 11.52, 11.62, 63750
02/08/19, 11.28, 11.63, 11.25, 11.62, 40085
02/07/19, 11.47, 11.51, 11.22, 11.28, 40949
02/06/19, 11.56, 11.73, 11.40, 11.50, 63746
02/05/19, 11.37, 11.58, 11.2138, 11.56, 49802
02/04/19, 11.41, 11.41, 11.25, 11.33, 34412
02/01/19, 11.38, 11.4914, 11.26, 11.39, 26548
01/31/19, 11.48, 11.53, 11.29, 11.33, 74014
01/30/19, 11.51, 11.58, 11.42, 11.48, 63958
01/29/19, 11.63, 11.63, 11.42, 11.45, 41785
01/28/19, 11.51, 11.66, 11.43, 11.64, 61175
01/25/19, 11.48, 11.89, 11.45, 11.49, 225052
01/24/19, 11.36, 11.52, 11.30, 11.51, 64957
01/23/19, 11.25, 11.42, 11.15, 11.36, 51381
01/22/19, 11.33, 11.33, 11.01, 11.19, 75443
01/18/19, 11.05, 11.17, 10.94, 11.14, 90164
01/17/19, 11.01, 11.20, 10.90, 11.05, 82084
01/16/19, 10.86, 11.14, 10.57, 11.08, 129804
01/15/19, 10.63, 10.95, 10.535, 10.95, 64301
01/14/19, 10.80, 10.895, 10.67, 10.72, 53704
01/11/19, 10.83, 10.8307, 10.57, 10.83, 42229
01/10/19, 10.58, 10.87, 10.53, 10.84, 50424
01/09/19, 10.77, 10.78, 10.50, 10.66, 52694
01/08/19, 10.88, 10.94, 10.4004, 10.73, 66612
01/07/19, 10.65, 11.02, 10.58, 10.85, 56573
01/04/19, 10.50, 10.78, 10.42, 10.69, 76427
01/03/19, 10.61, 10.61, 10.13, 10.30, 51569
01/02/19, 10.50, 10.75, 10.38, 10.70, 89205
12/31/18, 9.95, 10.55, 9.93, 10.55, 231722
12/28/18, 9.76, 10.25, 9.67, 10.07, 253570
12/27/18, 9.73, 9.93, 9.62, 9.89, 69287
12/26/18, 9.59, 9.96, 9.501, 9.84, 126737
12/24/18, 10.00, 10.05, 9.50, 9.55, 63497
12/21/18, 9.98, 10.19, 9.92, 9.95, 254582
12/20/18, 10.03, 10.22, 9.88, 9.98, 122509
12/19/18, 9.96, 10.10, 9.93, 10.03, 76937
