Date, Open, High, Low, Close, Volume
03/25/19, 104.84, 106.09, 104.00, 105.25, 2690762
03/22/19, 109.79, 109.99, 107.32, 107.40, 2300198
03/21/19, 109.00, 111.12, 108.50, 110.18, 3724878
03/20/19, 109.97, 110.265, 108.12, 108.61, 2640754
03/19/19, 109.91, 110.3778, 109.29, 109.95, 1944912
03/18/19, 109.03, 110.3678, 108.43, 109.15, 2745885
03/15/19, 108.98, 110.6473, 108.35, 109.39, 4574397
03/14/19, 108.39, 108.39, 107.12, 108.25, 1961349
03/13/19, 108.42, 109.06, 107.69, 108.08, 1814147
03/12/19, 107.67, 108.55, 106.66, 107.91, 2392048
03/11/19, 105.45, 107.74, 105.43, 107.68, 2884084
03/08/19, 104.75, 105.68, 104.12, 105.41, 4791732
03/07/19, 106.76, 106.76, 105.221, 105.68, 2507023
03/06/19, 108.32, 108.6575, 106.56, 106.79, 2027957
03/05/19, 108.61, 109.04, 107.96, 108.23, 2843095
03/04/19, 109.00, 109.48, 106.76, 108.66, 2518086
03/01/19, 107.84, 108.79, 106.7501, 108.44, 2821391
02/28/19, 104.95, 107.215, 104.95, 106.96, 3212327
02/27/19, 106.33, 106.62, 104.97, 105.93, 2617056
02/26/19, 107.36, 107.8599, 106.80, 107.18, 2083544
02/25/19, 106.80, 108.22, 106.61, 107.90, 3987499
02/22/19, 106.08, 106.33, 105.19, 105.91, 2248044
02/21/19, 106.33, 106.80, 104.92, 105.28, 3518525
02/20/19, 105.10, 108.28, 104.71, 106.82, 4811711
02/19/19, 105.44, 105.70, 104.15, 104.22, 3722183
02/15/19, 105.37, 105.83, 104.285, 105.74, 2289419
02/14/19, 104.23, 105.035, 103.61, 104.49, 2971563
02/13/19, 104.43, 105.09, 103.47, 104.42, 2417148
02/12/19, 103.13, 104.88, 102.88, 104.06, 3693593
02/11/19, 102.40, 102.65, 101.02, 101.75, 2232265
02/08/19, 99.45, 100.92, 99.07, 100.73, 2407748
02/07/19, 101.32, 102.10, 99.54, 100.63, 3472016
02/06/19, 101.05, 103.48, 101.00, 102.41, 3279378
02/05/19, 99.54, 100.51, 99.05, 100.40, 2472731
02/04/19, 100.47, 100.79, 98.73, 99.70, 2541880
02/01/19, 99.17, 100.63, 98.84, 100.54, 3074268
01/31/19, 98.74, 98.96, 98.03, 98.86, 2588241
01/30/19, 97.57, 99.44, 97.11, 99.01, 2653877
01/29/19, 98.30, 98.30, 96.5732, 97.01, 2171811
01/28/19, 94.95, 97.70, 94.86, 97.34, 2260147
01/25/19, 95.80, 98.145, 95.55, 97.67, 4300164
01/24/19, 90.53, 95.50, 90.53, 94.75, 6478707
01/23/19, 89.40, 89.71, 87.77, 88.86, 1590502
01/22/19, 90.57, 90.75, 88.21, 89.13, 2749466
01/18/19, 89.61, 91.53, 88.43, 91.36, 3471566
01/17/19, 86.51, 88.85, 85.44, 88.81, 2562998
01/16/19, 87.60, 88.52, 86.89, 87.00, 1667126
01/15/19, 87.66, 88.54, 87.0067, 87.61, 1960489
01/14/19, 88.68, 88.99, 87.36, 87.50, 2239285
01/11/19, 88.07, 91.11, 88.07, 90.06, 3029782
01/10/19, 86.89, 88.66, 86.57, 88.61, 2042362
01/09/19, 85.82, 88.50, 85.82, 87.40, 3321565
01/08/19, 84.27, 85.28, 82.67, 85.24, 3993489
01/07/19, 82.54, 84.19, 82.08, 83.21, 2656324
01/04/19, 81.46, 83.01, 80.46, 82.69, 3470021
01/03/19, 82.99, 84.35, 80.55, 80.73, 4376622
01/02/19, 84.03, 86.43, 83.96, 85.92, 2524098
12/31/18, 86.09, 86.54, 84.97, 85.83, 1748374
12/28/18, 85.49, 86.90, 84.43, 85.46, 2070730
12/27/18, 83.26, 85.43, 81.8573, 85.36, 2070255
12/26/18, 81.19, 84.43, 80.08, 84.34, 2519007
12/24/18, 82.11, 82.91, 80.36, 80.42, 1353267
12/21/18, 83.41, 85.11, 81.94, 82.32, 5189039
12/20/18, 83.24, 84.55, 81.53, 82.74, 3555429
12/19/18, 86.73, 87.92, 83.2429, 83.69, 4216233
12/18/18, 88.23, 89.36, 87.50, 88.05, 2873878
12/17/18, 87.25, 88.96, 86.75, 87.31, 2933798
12/14/18, 87.48, 88.39, 86.97, 87.27, 2947820
12/13/18, 89.67, 89.99, 88.08, 88.46, 1668358
12/12/18, 90.52, 90.52, 89.00, 89.08, 2300987
12/11/18, 89.91, 91.04, 88.28, 88.64, 2094321
12/10/18, 86.36, 88.635, 86.00, 88.48, 2600581
12/07/18, 89.07, 89.98, 86.19, 86.42, 2961144
12/06/18, 87.33, 89.55, 86.17, 89.53, 2957421
12/04/18, 93.14, 93.38, 90.34, 90.44, 3858005
12/03/18, 93.34, 94.62, 92.81, 93.51, 3563789
11/30/18, 89.70, 91.97, 88.79, 91.92, 3335829
11/29/18, 89.98, 90.59, 89.35, 89.52, 2831694
11/28/18, 89.43, 90.79, 88.00, 90.72, 3864592
11/27/18, 89.46, 90.14, 88.36, 89.58, 2614661
11/26/18, 90.31, 90.63, 89.02, 90.07, 2474599
11/23/18, 88.65, 89.401, 87.87, 88.64, 1163007
11/21/18, 89.55, 90.83, 88.21, 89.68, 3561144
11/20/18, 84.76, 89.87, 83.84, 89.02, 6660128
11/19/18, 89.62, 89.97, 85.45, 85.52, 6808356
11/16/18, 88.10, 89.96, 87.64, 89.48, 3167913
11/15/18, 86.03, 89.87, 86.03, 89.82, 4772932
11/14/18, 86.32, 87.11, 85.47, 86.13, 2395787
11/13/18, 84.84, 86.81, 84.63, 85.30, 3042486
11/12/18, 86.40, 86.615, 84.10, 84.20, 3334328
11/09/18, 89.46, 89.73, 87.01, 87.59, 3043165
11/08/18, 87.59, 90.08, 87.59, 89.93, 2551090
11/07/18, 89.01, 89.02, 87.39, 88.31, 2253960
11/06/18, 86.56, 88.00, 86.37, 87.96, 1751269
11/05/18, 87.09, 87.42, 85.59, 86.38, 2143887
11/02/18, 88.32, 89.01, 86.25, 87.18, 3754858
11/01/18, 84.16, 88.50, 83.72, 88.00, 3669670
10/31/18, 83.93, 84.30, 82.88, 83.71, 3499104
10/30/18, 80.62, 82.86, 80.415, 82.80, 4698768
10/29/18, 81.32, 81.95, 78.98, 80.41, 5055470
10/26/18, 77.56, 80.10, 76.62, 79.03, 4536644
10/25/18, 78.94, 79.90, 78.76, 79.08, 4192534
10/24/18, 80.32, 80.74, 77.76, 77.82, 7790890
