Date, Open, High, Low, Close, Volume
03/25/19, 2.99, 2.99, 2.83, 2.98, 59500
03/22/19, 3.10, 3.13, 2.85, 3.01, 139078
03/21/19, 2.91, 3.11, 2.74, 3.11, 198303
03/20/19, 3.00, 3.07, 2.88, 2.92, 96022
03/19/19, 3.01, 3.1489, 2.92, 2.98, 205421
03/18/19, 3.35, 3.39, 2.99, 3.01, 476968
03/15/19, 3.60, 3.73, 3.30, 3.31, 519280
03/14/19, 3.60, 3.90, 3.60, 3.63, 724355
03/13/19, 3.47, 3.67, 3.43, 3.63, 288588
03/12/19, 3.59, 3.69, 3.4207, 3.45, 383601
03/11/19, 3.35, 3.706, 3.35, 3.61, 561036
03/08/19, 3.30, 3.92, 3.29, 3.39, 1768982
03/07/19, 3.50, 3.51, 3.27, 3.33, 203931
03/06/19, 3.36, 3.5798, 3.268, 3.45, 750512
03/05/19, 3.38, 3.40, 3.25, 3.33, 203063
03/04/19, 3.50, 3.5499, 3.27, 3.37, 146552
03/01/19, 3.61, 3.65, 3.4141, 3.51, 181550
02/28/19, 3.65, 4.09, 3.42, 3.61, 752325
02/27/19, 3.76, 3.78, 3.57, 3.60, 142161
02/26/19, 3.78, 3.9289, 3.6805, 3.69, 270908
02/25/19, 3.76, 4.00, 3.56, 3.97, 343138
02/22/19, 3.98, 4.19, 3.80, 3.83, 531179
02/21/19, 3.35, 4.60, 3.29, 3.97, 5511641
02/20/19, 3.80, 3.90, 3.20, 3.37, 888085
02/19/19, 4.07, 4.15, 3.52, 3.59, 712226
02/15/19, 4.36, 4.3799, 3.941, 4.20, 452120
02/14/19, 4.37, 4.65, 4.21, 4.30, 326303
02/13/19, 4.72, 5.05, 4.35, 4.64, 527709
02/12/19, 4.98, 5.15, 4.21, 4.74, 1430028
02/11/19, 5.35, 5.76, 5.21, 5.25, 166148
02/08/19, 5.76, 5.76, 5.1847, 5.39, 172173
02/07/19, 5.95, 5.95, 5.65, 5.86, 82694
02/06/19, 6.10, 6.13, 5.75, 5.95, 223025
02/05/19, 6.17, 6.64, 6.05, 6.19, 253005
02/04/19, 6.76, 6.80, 6.10, 6.46, 837424
02/01/19, 5.75, 7.00, 5.65, 6.88, 1899218
01/31/19, 5.42, 5.5999, 5.09, 5.47, 117430
01/30/19, 4.96, 6.11, 4.70, 5.48, 358767
01/29/19, 5.16, 5.4025, 4.66, 4.82, 292877
01/28/19, 5.69, 5.69, 5.07, 5.20, 300267
01/25/19, 5.96, 6.00, 5.52, 5.84, 103687
01/24/19, 5.71, 6.389, 5.35, 5.95, 363180
01/23/19, 5.66, 5.80, 5.00, 5.40, 400243
01/22/19, 6.44, 7.14, 5.78, 5.80, 430411
01/18/19, 7.10, 8.00, 6.31, 6.70, 551900
01/17/19, 7.60, 7.6807, 6.90, 7.10, 263752
01/16/19, 8.19, 8.489, 7.52, 7.60, 277324
01/15/19, 7.48, 9.44, 7.35, 8.33, 1449236
01/14/19, 7.09, 7.55, 6.97, 7.27, 295521
01/11/19, 6.83, 7.49, 6.50, 6.97, 387673
01/10/19, 6.00, 7.09, 6.00, 6.78, 843409
01/09/19, 6.23, 6.2451, 6.00, 6.05, 66434
01/08/19, 5.89, 6.29, 5.78, 6.29, 172004
01/07/19, 6.40, 6.55, 5.70, 6.00, 260390
01/04/19, 6.78, 7.15, 6.11, 6.40, 769807
01/03/19, 6.29, 7.18, 6.05, 6.75, 2134476
01/02/19, 4.94, 6.50, 4.65, 6.50, 1003165
12/31/18, 5.42, 5.508, 5.01, 5.12, 246863
12/28/18, 5.80, 5.90, 5.10, 5.55, 563512
12/27/18, 5.70, 6.67, 5.45, 5.78, 2576258
12/26/18, 5.50, 7.45, 5.45, 6.31, 10023548
12/24/18, 3.85, 5.75, 3.60, 4.95, 4458344
12/21/18, 3.20, 4.30, 3.00, 4.30, 812004
12/20/18, 3.57, 3.57, 2.86, 3.07, 945229
12/19/18, 3.52, 4.18, 3.29, 3.64, 10434192
12/18/18, 2.89, 3.1833, 2.72, 2.95, 441659
12/17/18, 3.46, 3.60, 2.80, 2.80, 718071
12/14/18, 3.65, 4.09, 3.33, 3.80, 4458749
12/13/18, 2.88, 4.33, 2.55, 4.16, 29023954
12/12/18, 2.02, 2.25, 1.85, 2.03, 274954
12/11/18, 2.14, 2.2404, 1.80, 1.96, 147769
12/10/18, 2.38, 2.4978, 1.98, 2.13, 255618
12/07/18, 3.00, 3.03, 2.38, 2.38, 226050
12/06/18, 2.80, 3.14, 2.50, 3.00, 461289
12/04/18, 2.80, 3.39, 2.67, 2.80, 614528
12/03/18, 3.50, 3.50, 2.77, 2.83, 1096025
11/30/18, 3.54, 5.00, 3.5374, 3.84, 18333982
11/29/18, 1.42, 4.26, 1.42, 2.80, 6571852
11/28/18, 1.47, 1.47, 1.30, 1.32, 28171
11/27/18, 1.66, 1.66, 1.3334, 1.35, 12060
11/26/18, 1.54, 1.68, 1.425, 1.66, 49360
11/23/18, 1.54, 1.5445, 1.33, 1.33, 44013
11/21/18, 1.45, 1.5699, 1.44, 1.52, 34422
11/20/18, 1.26, 1.5199, 1.26, 1.35, 40664
11/19/18, 1.44, 1.44, 1.2851, 1.38, 34215
11/16/18, 1.45, 1.45, 1.22, 1.44, 6868
11/15/18, 1.27, 1.4409, 1.1055, 1.3838, 56663
11/14/18, 1.27, 1.3936, 1.11, 1.21, 37713
11/13/18, 1.4997, 1.4997, 1.27, 1.27, 65203
11/12/18, 1.623, 1.642, 1.4045, 1.41, 38234
11/09/18, 1.487, 1.6543, 1.30, 1.57, 139774
11/08/18, 1.5438, 2.10, 1.2601, 1.4001, 512507
11/07/18, 1.68, 1.68, 1.23, 1.40, 78655
11/06/18, 2.12, 2.12, 1.6973, 1.70, 47691
11/05/18, 1.90, 2.25, 1.86, 1.93, 253433
11/02/18, 1.88, 2.115, 1.8701, 2.00, 45580
11/01/18, 1.97, 1.97, 1.85, 1.91, 19851
10/31/18, 1.91, 1.91, 1.85, 1.8944, 11458
10/30/18, 2.01, 2.0594, 1.90, 1.90, 5649
10/29/18, 2.04, 2.04, 1.88, 1.88, 417
10/26/18, 1.9919, 2.10, 1.8601, 1.95, 1406
10/25/18, 2.24, 2.24, 1.85, 2.00, 10565
10/24/18, 2.5125, 2.5125, 2.05, 2.11, 16046
10/23/18, 2.599, 2.79, 2.25, 2.60, 9304
10/22/18, 2.62, 2.62, 2.40, 2.41, 2580
10/19/18, 2.5182, 2.6799, 2.5182, 2.63, 2714
10/18/18, 2.57, 2.59, 2.17, 2.19, 11199
10/17/18, 2.56, 2.5701, 2.56, 2.5701, 1070
10/16/18, 2.62, 2.62, 2.56, 2.56, 7605
10/15/18, 2.59, 2.59, 2.56, 2.56, 3443
10/12/18, 2.63, 2.63, 2.61, 2.61, 3044
10/11/18, 2.74, 2.86, 2.56, 2.64, 6125
