Date, Open, High, Low, Close, Volume
03/25/19, 3.35, 3.39, 3.09, 3.30, 1025662
03/22/19, 3.55, 3.64, 3.2901, 3.31, 624511
03/21/19, 3.95, 3.95, 3.4078, 3.50, 1222308
03/20/19, 4.04, 4.13, 3.87, 3.90, 383392
03/19/19, 4.27, 4.36, 3.94, 3.97, 602858
03/18/19, 4.02, 4.34, 4.00, 4.24, 612924
03/15/19, 3.92, 4.09, 3.90, 3.99, 776718
03/14/19, 3.97, 4.03, 3.90, 3.93, 386049
03/13/19, 3.98, 3.9881, 3.87, 3.89, 182595
03/12/19, 3.91, 4.02, 3.87, 3.93, 204368
03/11/19, 4.03, 4.17, 3.89, 3.89, 186307
03/08/19, 3.97, 4.04, 3.87, 4.01, 227581
03/07/19, 4.16, 4.17, 3.94, 3.95, 523483
03/06/19, 4.13, 4.21, 3.89, 4.17, 643296
03/05/19, 4.24, 4.25, 4.0601, 4.15, 152245
03/04/19, 4.20, 4.36, 4.045, 4.26, 344036
03/01/19, 4.09, 4.17, 4.02, 4.17, 171578
02/28/19, 4.21, 4.23, 4.04, 4.09, 251157
02/27/19, 4.27, 4.35, 4.125, 4.20, 181373
02/26/19, 4.21, 4.36, 4.15, 4.28, 343966
02/25/19, 4.43, 4.4821, 4.10, 4.25, 272470
02/22/19, 4.00, 4.39, 4.00, 4.35, 332405
02/21/19, 4.00, 4.06, 3.86, 3.98, 186094
02/20/19, 4.01, 4.138, 3.8752, 4.00, 380675
02/19/19, 4.24, 4.3299, 3.80, 4.005, 575368
02/15/19, 3.86, 4.41, 3.80, 4.22, 1012271
02/14/19, 3.56, 3.8432, 3.52, 3.82, 436349
02/13/19, 3.52, 3.90, 3.43, 3.60, 1533951
02/12/19, 3.00, 3.75, 3.00, 3.48, 3974902
02/11/19, 2.77, 2.90, 2.68, 2.88, 309944
02/08/19, 2.66, 2.86, 2.56, 2.77, 619609
02/07/19, 2.84, 3.04, 2.59, 2.61, 801468
02/06/19, 2.90, 2.90, 2.65, 2.78, 1549348
02/05/19, 2.90, 2.9759, 2.85, 2.89, 186230
02/04/19, 2.81, 3.03, 2.80, 2.94, 284517
02/01/19, 2.95, 3.03, 2.69, 2.82, 647546
01/31/19, 3.14, 3.35, 2.84, 2.95, 579785
01/30/19, 3.08, 3.19, 2.911, 3.15, 342807
01/29/19, 3.15, 3.25, 3.055, 3.07, 222658
01/28/19, 3.21, 3.37, 3.11, 3.13, 446696
01/25/19, 3.27, 3.39, 3.17, 3.22, 229453
01/24/19, 3.22, 3.45, 3.13, 3.23, 567233
01/23/19, 3.41, 3.45, 3.16, 3.22, 284530
01/22/19, 3.34, 3.4499, 3.2953, 3.40, 228355
01/18/19, 3.36, 3.61, 3.3406, 3.36, 229308
01/17/19, 3.39, 3.64, 3.34, 3.36, 362791
01/16/19, 3.25, 3.55, 3.23, 3.40, 564514
01/15/19, 3.32, 3.35, 3.20, 3.24, 253135
01/14/19, 3.32, 3.33, 3.13, 3.31, 265822
01/11/19, 3.40, 3.41, 3.25, 3.35, 179535
01/10/19, 3.47, 3.489, 3.32, 3.39, 206110
01/09/19, 3.37, 3.47, 3.27, 3.42, 236393
01/08/19, 3.30, 3.41, 3.20, 3.41, 528579
01/07/19, 3.08, 3.39, 3.00, 3.14, 522767
01/04/19, 2.85, 2.96, 2.81, 2.95, 218845
01/03/19, 2.61, 3.11, 2.61, 2.81, 421092
01/02/19, 2.38, 2.68, 2.34, 2.62, 260345
12/31/18, 2.25, 2.40, 2.238, 2.39, 234394
12/28/18, 2.32, 2.35, 2.13, 2.23, 349493
12/27/18, 2.11, 2.35, 2.08, 2.34, 508682
12/26/18, 2.39, 2.44, 2.16, 2.17, 484390
12/24/18, 2.38, 2.51, 2.30, 2.39, 362550
12/21/18, 2.28, 2.56, 2.22, 2.41, 694635
12/20/18, 2.75, 2.8474, 2.1315, 2.29, 1722067
12/19/18, 3.96, 4.50, 3.96, 4.21, 401783
12/18/18, 4.50, 4.63, 3.90, 4.01, 291212
12/17/18, 4.66, 4.7881, 4.40, 4.45, 225803
12/14/18, 4.82, 4.98, 4.49, 4.53, 152961
12/13/18, 4.77, 4.86, 4.5843, 4.83, 71318
12/12/18, 4.79, 4.8747, 4.70, 4.75, 72051
12/11/18, 4.46, 4.81, 4.45, 4.77, 93128
12/10/18, 4.71, 4.7201, 4.38, 4.45, 192258
12/07/18, 4.94, 4.98, 4.66, 4.74, 96956
12/06/18, 4.93, 5.0955, 4.74, 4.93, 276786
12/04/18, 5.22, 5.2297, 4.82, 4.94, 255891
12/03/18, 5.35, 5.47, 5.16, 5.26, 127690
11/30/18, 5.38, 5.48, 5.23, 5.27, 135123
11/29/18, 5.40, 5.49, 5.34, 5.41, 75256
11/28/18, 5.42, 5.49, 5.26, 5.40, 71232
11/27/18, 5.39, 5.47, 5.35, 5.39, 76257
11/26/18, 5.22, 5.5299, 5.20, 5.41, 126043
11/23/18, 5.07, 5.2829, 5.07, 5.16, 21657
11/21/18, 5.03, 5.24, 5.00, 5.10, 81830
11/20/18, 4.96, 5.20, 4.9044, 5.01, 112334
11/19/18, 5.12, 5.21, 4.97, 5.01, 72816
11/16/18, 5.00, 5.18, 5.00, 5.15, 89519
11/15/18, 4.96, 5.07, 4.95, 5.03, 106974
11/14/18, 5.11, 5.13, 4.94, 5.01, 126208
11/13/18, 5.21, 5.35, 5.00, 5.11, 129737
11/12/18, 5.21, 5.2599, 5.02, 5.16, 130091
11/09/18, 5.85, 5.85, 5.215, 5.26, 177456
11/08/18, 5.76, 5.9274, 5.65, 5.74, 144804
11/07/18, 5.47, 5.7978, 5.37, 5.76, 131314
11/06/18, 5.60, 5.65, 5.46, 5.49, 107378
11/05/18, 5.67, 5.79, 5.51, 5.60, 109762
11/02/18, 5.56, 5.71, 5.55, 5.62, 98759
11/01/18, 5.38, 5.67, 5.32, 5.53, 232245
10/31/18, 5.40, 5.40, 5.15, 5.37, 147060
10/30/18, 5.30, 5.48, 5.2056, 5.36, 358774
10/29/18, 5.37, 5.37, 4.865, 5.03, 263482
10/26/18, 5.53, 5.58, 5.25, 5.33, 117410
10/25/18, 5.50, 5.79, 5.42, 5.61, 338684
10/24/18, 5.51, 5.5299, 5.30, 5.49, 287226
10/23/18, 5.39, 5.61, 5.31, 5.48, 163981
10/22/18, 5.54, 5.54, 5.40, 5.50, 147706
10/19/18, 5.57, 5.6242, 5.40, 5.53, 305314
10/18/18, 5.38, 5.66, 5.3509, 5.58, 252830
10/17/18, 5.27, 5.56, 4.50, 5.37, 597776
10/16/18, 5.38, 5.41, 5.14, 5.29, 182947
10/15/18, 5.20, 5.41, 5.07, 5.36, 152436
10/12/18, 5.58, 5.6327, 5.13, 5.23, 289698
10/11/18, 5.61, 5.65, 5.37, 5.555, 243053
10/10/18, 5.93, 5.99, 5.64, 5.70, 166754
10/09/18, 5.72, 6.005, 5.5681, 5.94, 219638
10/08/18, 5.88, 5.97, 5.60, 5.77, 119175
10/05/18, 5.97, 6.20, 5.70, 5.91, 175058
10/04/18, 6.12, 6.12, 5.91, 6.00, 156024
10/03/18, 6.45, 6.45, 5.94, 6.12, 298817
10/02/18, 5.88, 6.09, 5.75, 5.90, 279491
10/01/18, 6.36, 6.4482, 5.75, 5.85, 363562
09/28/18, 6.16, 6.34, 6.01, 6.21, 143994
09/27/18, 6.25, 6.33, 6.12, 6.20, 165905
09/26/18, 6.42, 6.49, 6.12, 6.20, 173159
09/25/18, 6.30, 6.56, 6.20, 6.42, 243990
09/24/18, 6.14, 6.14, 6.01, 6.29, 195674
09/21/18, 6.55, 6.68, 6.15, 6.15, 340614
