Date, Open, High, Low, Close, Volume
03/25/19, 2.11, 2.12, 1.98, 2.07, 832608
03/22/19, 2.25, 2.25, 2.14, 2.14, 431917
03/21/19, 2.32, 2.32, 2.19, 2.26, 466173
03/20/19, 2.33, 2.37, 2.25, 2.32, 576979
03/19/19, 2.33, 2.3595, 2.1739, 2.31, 1223056
03/18/19, 2.60, 2.6899, 2.35, 2.39, 1163093
03/15/19, 2.90, 2.93, 2.60, 2.71, 1128779
03/14/19, 2.87, 2.87, 2.75, 2.82, 509788
03/13/19, 2.88, 2.88, 2.77, 2.81, 266460
03/12/19, 2.88, 2.88, 2.80, 2.85, 185799
03/11/19, 2.70, 2.88, 2.6705, 2.88, 185505
03/08/19, 2.70, 2.77, 2.58, 2.72, 312978
03/07/19, 2.70, 2.7647, 2.65, 2.69, 236014
03/06/19, 2.76, 2.81, 2.70, 2.71, 289834
03/05/19, 2.76, 2.88, 2.70, 2.85, 322230
03/04/19, 2.88, 2.94, 2.75, 2.75, 431708
03/01/19, 2.96, 2.98, 2.78, 2.90, 564358
02/28/19, 3.08, 3.08, 2.93, 2.96, 391780
02/27/19, 3.00, 3.14, 2.95, 3.06, 664514
02/26/19, 3.17, 3.29, 3.15, 3.22, 281476
02/25/19, 3.21, 3.2794, 3.12, 3.17, 533347
02/22/19, 3.16, 3.179, 3.11, 3.17, 267877
02/21/19, 3.10, 3.145, 3.10, 3.13, 191569
02/20/19, 3.03, 3.18, 3.03, 3.13, 472678
02/19/19, 3.10, 3.13, 3.01, 3.03, 172685
02/15/19, 3.10, 3.15, 2.92, 3.12, 559021
02/14/19, 3.09, 3.13, 3.08, 3.10, 121830
02/13/19, 3.14, 3.15, 3.07, 3.11, 163919
02/12/19, 3.08, 3.15, 3.03, 3.12, 249196
02/11/19, 3.06, 3.1069, 3.01, 3.06, 192192
02/08/19, 3.06, 3.08, 2.97, 3.06, 212706
02/07/19, 3.05, 3.09, 2.90, 3.06, 403207
02/06/19, 3.12, 3.12, 3.05, 3.08, 165221
02/05/19, 3.12, 3.18, 3.09, 3.09, 241897
02/04/19, 3.08, 3.14, 3.07, 3.12, 229462
02/01/19, 3.03, 3.15, 3.01, 3.05, 176691
01/31/19, 3.09, 3.19, 3.03, 3.07, 270184
01/30/19, 3.14, 3.19, 3.06, 3.09, 357309
01/29/19, 3.14, 3.25, 3.10, 3.13, 401012
01/28/19, 3.04, 3.25, 2.91, 3.16, 561784
01/25/19, 2.92, 3.12, 2.90, 3.08, 664268
01/24/19, 2.87, 2.98, 2.86, 2.91, 297540
01/23/19, 2.79, 2.91, 2.75, 2.87, 333694
01/22/19, 2.85, 2.8649, 2.71, 2.82, 299589
01/18/19, 2.92, 2.95, 2.8119, 2.88, 458035
