Date, Open, High, Low, Close, Volume
03/25/19, 7.65, 7.65, 7.26, 7.30, 385846
03/22/19, 7.95, 7.99, 7.66, 7.66, 293236
03/21/19, 7.92, 8.09, 7.89, 7.99, 269938
03/20/19, 7.99, 8.25, 7.90, 8.01, 397633
03/19/19, 7.85, 8.04, 7.81, 7.99, 314105
03/18/19, 7.83, 7.95, 7.70, 7.83, 286314
03/15/19, 7.89, 8.24, 7.79, 7.81, 749495
03/14/19, 7.51, 7.95, 7.43, 7.90, 482525
03/13/19, 7.79, 7.82, 7.48, 7.50, 633103
03/12/19, 7.56, 7.80, 7.52, 7.71, 427652
03/11/19, 7.76, 7.82, 7.46, 7.55, 589198
03/08/19, 7.85, 7.99, 7.64, 7.76, 577461
03/07/19, 7.81, 8.00, 7.57, 7.87, 1600106
03/06/19, 8.33, 8.5497, 7.60, 7.77, 3163024
03/05/19, 8.70, 9.05, 8.11, 8.16, 5213791
03/04/19, 12.00, 12.57, 11.66, 12.15, 892532
03/01/19, 11.40, 11.80, 11.07, 11.80, 508322
02/28/19, 11.00, 11.23, 10.87, 11.19, 187478
02/27/19, 11.00, 11.26, 10.88, 10.97, 191482
02/26/19, 11.48, 11.48, 10.98, 11.08, 224222
02/25/19, 11.32, 11.47, 11.115, 11.26, 309424
02/22/19, 11.00, 11.14, 10.88, 11.11, 190227
02/21/19, 11.27, 11.7781, 10.81, 10.99, 484351
02/20/19, 10.70, 11.2534, 10.70, 11.24, 640050
02/19/19, 10.69, 10.7789, 10.225, 10.68, 594624
02/15/19, 10.00, 10.59, 9.9179, 10.53, 632093
02/14/19, 9.28, 9.98, 9.16, 9.92, 516575
02/13/19, 9.14, 9.69, 9.10, 9.31, 445414
02/12/19, 9.04, 9.25, 9.00, 9.08, 473756
02/11/19, 9.06, 9.12, 8.79, 8.99, 379776
02/08/19, 8.95, 9.12, 8.90, 8.97, 283909
02/07/19, 9.00, 9.14, 8.79, 8.96, 412235
02/06/19, 9.35, 9.35, 8.85, 9.03, 355699
02/05/19, 8.92, 9.37, 8.92, 9.30, 803334
02/04/19, 9.06, 9.22, 8.60, 8.87, 833396
02/01/19, 8.99, 9.22, 8.72, 9.08, 342892
01/31/19, 8.91, 9.09, 8.80, 9.00, 530530
01/30/19, 8.45, 9.02, 8.37, 8.89, 443597
01/29/19, 8.55, 8.87, 8.25, 8.405, 399655
01/28/19, 8.65, 8.65, 8.26, 8.53, 274239
01/25/19, 8.73, 8.79, 8.27, 8.78, 408696
01/24/19, 8.59, 8.80, 8.34, 8.66, 369436
