Date, Open, High, Low, Close, Volume
03/25/19, 0.428, 0.438, 0.40, 0.4299, 708452
03/22/19, 0.39, 0.428, 0.385, 0.414, 1042404
03/21/19, 0.39, 0.40, 0.3711, 0.395, 514415
03/20/19, 0.365, 0.419, 0.36, 0.3869, 1500257
03/19/19, 0.352, 0.378, 0.35, 0.3689, 294423
03/18/19, 0.362, 0.398, 0.36, 0.368, 604104
03/15/19, 0.34, 0.3601, 0.34, 0.3555, 269049
03/14/19, 0.3678, 0.3695, 0.341, 0.3599, 181997
03/13/19, 0.3781, 0.3798, 0.35, 0.3525, 103008
03/12/19, 0.3599, 0.3899, 0.34, 0.3601, 517842
03/11/19, 0.36, 0.36, 0.324, 0.351, 397525
03/08/19, 0.361, 0.38, 0.34, 0.357, 375263
03/07/19, 0.41, 0.41, 0.3602, 0.3602, 262369
03/06/19, 0.44, 0.44, 0.3713, 0.376, 687017
03/05/19, 0.44, 0.44, 0.40, 0.4061, 403890
03/04/19, 0.46, 0.46, 0.4151, 0.427, 421735
03/01/19, 0.45, 0.45, 0.4149, 0.436, 399217
02/28/19, 0.439, 0.45, 0.43, 0.44, 284771
02/27/19, 0.44, 0.4566, 0.4227, 0.435, 1015660
02/26/19, 0.42, 0.45, 0.3801, 0.4301, 1477779
02/25/19, 0.45, 0.473, 0.41, 0.4195, 775748
02/22/19, 0.50, 0.50, 0.4105, 0.435, 1216796
02/21/19, 0.50, 0.51, 0.451, 0.469, 1853209
02/20/19, 0.37, 0.50, 0.37, 0.486, 4102148
02/19/19, 0.39, 0.4199, 0.37, 0.38, 996130
02/15/19, 0.45, 0.516, 0.3831, 0.3831, 5432765
02/14/19, 0.29, 0.42, 0.2802, 0.4002, 4303650
02/13/19, 0.34, 0.35, 0.31, 0.3201, 1693260
02/12/19, 0.27, 0.35, 0.262, 0.325, 3152755
02/11/19, 0.2601, 0.2707, 0.255, 0.2582, 225862
02/08/19, 0.265, 0.2782, 0.253, 0.2555, 116531
02/07/19, 0.29, 0.29, 0.265, 0.2699, 266875
02/06/19, 0.2782, 0.2919, 0.2707, 0.2801, 211410
02/05/19, 0.28, 0.289, 0.265, 0.265, 273565
02/04/19, 0.27, 0.295, 0.26, 0.2674, 486626
02/01/19, 0.266, 0.27, 0.2525, 0.2575, 170987
01/31/19, 0.251, 0.2797, 0.24, 0.266, 280643
01/30/19, 0.2626, 0.2626, 0.25, 0.25, 134707
01/29/19, 0.2798, 0.2985, 0.244, 0.257, 404953
01/28/19, 0.252, 0.30, 0.2431, 0.273, 606041
01/25/19, 0.2362, 0.2499, 0.23, 0.24, 268462
01/24/19, 0.24, 0.24, 0.2251, 0.2301, 337007
01/23/19, 0.255, 0.2679, 0.235, 0.24, 317609
01/22/19, 0.27, 0.28, 0.244, 0.25, 150401
01/18/19, 0.285, 0.285, 0.223, 0.2551, 356822
01/17/19, 0.273, 0.273, 0.26, 0.26, 110195
01/16/19, 0.29, 0.29, 0.27, 0.27, 213473
01/15/19, 0.265, 0.2998, 0.265, 0.2662, 168807
01/14/19, 0.294, 0.31, 0.25, 0.2738, 418285
01/11/19, 0.33, 0.33, 0.26, 0.2741, 391924
