Date, Open, High, Low, Close, Volume
03/25/19, 153.48, 154.21, 152.76, 153.75, 1235203
03/22/19, 154.93, 155.30, 153.65, 153.81, 1659713
03/21/19, 153.44, 156.04, 153.44, 155.34, 1848253
03/20/19, 154.43, 154.99, 153.4974, 154.02, 1974925
03/19/19, 155.00, 155.18, 153.82, 154.63, 1439817
03/18/19, 155.31, 155.80, 154.04, 154.69, 1716586
03/15/19, 153.01, 155.36, 152.6614, 155.31, 5612259
03/14/19, 153.34, 153.67, 152.27, 153.51, 1840866
03/13/19, 152.71, 153.98, 152.21, 152.84, 1539349
03/12/19, 151.75, 152.81, 151.10, 151.99, 1796620
03/11/19, 149.88, 151.19, 149.03, 151.09, 1817145
03/08/19, 149.01, 149.58, 148.15, 149.24, 1928067
03/07/19, 151.35, 151.98, 150.12, 150.42, 2915273
03/06/19, 152.47, 153.32, 152.17, 152.53, 1643040
03/05/19, 153.45, 153.60, 152.35, 152.66, 2914038
03/04/19, 153.89, 154.32, 151.41, 153.26, 3966832
03/01/19, 154.25, 154.4114, 153.1503, 153.90, 1773260
02/28/19, 152.68, 153.56, 152.30, 153.03, 2241544
02/27/19, 152.08, 153.40, 151.66, 152.98, 1479023
02/26/19, 152.54, 153.415, 152.25, 152.88, 1400592
02/25/19, 154.06, 154.55, 152.23, 152.49, 1560872
02/22/19, 151.62, 153.21, 151.22, 153.18, 1608761
02/21/19, 150.14, 151.50, 149.61, 150.98, 1309158
02/20/19, 150.66, 150.71, 149.473, 150.56, 1621981
02/19/19, 149.02, 150.55, 149.02, 150.31, 1354821
02/15/19, 149.55, 150.32, 148.44, 149.67, 2862880
02/14/19, 149.625, 150.00, 148.07, 148.15, 2656935
02/13/19, 150.00, 151.35, 149.89, 150.46, 2136727
02/12/19, 148.71, 149.9268, 148.27, 149.50, 2181755
02/11/19, 147.19, 147.74, 146.79, 147.51, 1949594
02/08/19, 144.32, 146.85, 144.04, 146.81, 1711997
02/07/19, 144.02, 145.89, 143.93, 145.68, 2638193
02/06/19, 145.00, 146.09, 144.60, 145.54, 2039649
02/05/19, 145.02, 145.49, 144.12, 145.29, 2802391
02/04/19, 141.73, 143.69, 141.39, 143.63, 2848005
02/01/19, 139.71, 141.69, 139.71, 141.62, 2940936
01/31/19, 138.83, 141.15, 138.125, 139.84, 5836557
01/30/19, 137.00, 140.79, 135.01, 139.41, 3734452
01/29/19, 135.37, 135.88, 133.76, 134.00, 1726504
01/28/19, 134.96, 135.73, 134.29, 135.50, 1930622
01/25/19, 136.02, 136.74, 135.26, 136.41, 1710183
01/24/19, 134.66, 135.715, 133.87, 134.75, 1903188
01/23/19, 133.62, 134.6299, 132.65, 134.42, 1923032
01/22/19, 133.99, 134.52, 132.04, 133.17, 2908933
01/18/19, 134.25, 135.38, 133.04, 135.18, 2281016
01/17/19, 132.13, 133.75, 132.0495, 132.94, 2194832
01/16/19, 132.66, 133.55, 131.84, 132.76, 2080991
01/15/19, 130.95, 133.22, 130.95, 132.33, 3286146
01/14/19, 130.16, 131.65, 130.00, 130.90, 1787819
01/11/19, 131.80, 132.00, 130.67, 131.65, 1185704
01/10/19, 130.52, 132.58, 130.5085, 132.46, 2051891
01/09/19, 131.86, 131.86, 129.47, 131.42, 1844526
01/08/19, 131.48, 132.4275, 129.06, 131.30, 2275635
01/07/19, 130.99, 132.1539, 129.50, 130.53, 3455834
01/04/19, 128.39, 131.39, 127.5368, 131.24, 2161258
01/03/19, 128.51, 129.30, 126.06, 126.21, 3854018
01/02/19, 129.16, 130.78, 128.61, 130.14, 2190104
12/31/18, 130.08, 131.18, 129.35, 131.12, 2509069
12/28/18, 130.09, 131.26, 127.76, 129.23, 1665845
12/27/18, 125.57, 129.76, 124.4706, 129.73, 2152623
12/26/18, 123.28, 127.78, 121.40, 127.70, 2321035
12/24/18, 125.02, 126.25, 121.83, 121.95, 1345658
12/21/18, 129.75, 131.96, 125.17, 125.37, 4349871
12/20/18, 129.73, 131.13, 128.2579, 130.29, 3757355
12/19/18, 129.92, 134.14, 128.85, 130.33, 3496753
12/18/18, 133.76, 134.49, 129.40, 130.00, 6609511
12/17/18, 134.67, 135.92, 131.63, 132.47, 3749163
12/14/18, 136.71, 137.40, 134.595, 134.82, 1967098
12/13/18, 139.57, 139.57, 136.75, 138.20, 1871656
12/12/18, 142.49, 142.63, 139.45, 139.57, 2566203
12/11/18, 141.71, 142.35, 138.71, 139.99, 2190021
12/10/18, 139.63, 140.291, 136.685, 139.73, 1660291
12/07/18, 142.20, 143.51, 138.70, 139.33, 2830401
12/06/18, 141.89, 143.23, 138.293, 143.18, 3299671
12/04/18, 147.04, 147.70, 143.18, 143.61, 4018809
12/03/18, 149.19, 149.67, 145.38, 147.41, 4110661
11/30/18, 146.21, 147.56, 145.80, 147.42, 4150774
11/29/18, 147.70, 148.135, 145.71, 145.85, 1750220
11/28/18, 145.89, 148.66, 145.49, 148.61, 3159330
11/27/18, 143.93, 145.33, 142.8425, 145.32, 1442258
11/26/18, 142.83, 144.74, 142.02, 144.65, 1643523
11/23/18, 139.54, 141.91, 139.54, 140.89, 676649
11/21/18, 141.48, 142.63, 139.45, 141.08, 1500689
11/20/18, 142.83, 147.38, 140.13, 140.52, 2995285
11/19/18, 146.41, 147.01, 141.22, 143.44, 2264933
11/16/18, 147.22, 147.82, 145.425, 146.55, 5416741
11/15/18, 141.36, 147.29, 140.80, 147.25, 2564017
11/14/18, 145.83, 146.41, 142.50, 142.72, 2248666
11/13/18, 144.96, 145.86, 143.04, 144.72, 2087268
11/12/18, 146.68, 147.095, 143.95, 144.17, 1665262
11/09/18, 147.08, 147.66, 146.00, 147.19, 2371360
11/08/18, 147.63, 148.67, 147.17, 147.89, 2082149
11/07/18, 145.56, 148.45, 144.97, 148.30, 2616301
11/06/18, 141.52, 144.03, 141.51, 143.92, 2094411
11/05/18, 141.32, 141.80, 139.72, 141.41, 1787840
11/02/18, 141.12, 142.55, 139.02, 140.72, 1921062
11/01/18, 143.75, 144.00, 139.96, 140.91, 2559318
10/31/18, 141.37, 145.62, 139.98, 144.08, 3522795
10/30/18, 135.87, 137.26, 134.47, 137.26, 2884501
10/29/18, 138.80, 139.76, 133.13, 135.30, 3272026
10/26/18, 137.24, 138.66, 135.5164, 136.35, 2968919
10/25/18, 139.65, 141.40, 137.445, 140.49, 2192928
10/24/18, 142.01, 143.02, 137.27, 137.65, 2291535
10/23/18, 141.64, 143.44, 140.30, 142.44, 1818959
10/22/18, 143.85, 144.91, 142.998, 143.99, 1147112
10/19/18, 143.78, 145.145, 142.71, 143.41, 1793230
10/18/18, 143.76, 144.60, 141.06, 142.92, 1863873
10/17/18, 143.43, 144.13, 142.04, 143.66, 1069369
10/16/18, 140.60, 143.93, 140.28, 143.28, 1965968
10/15/18, 140.02, 141.54, 139.04, 140.25, 1387459
10/12/18, 140.32, 141.30, 138.55, 140.72, 2477082
10/11/18, 141.71, 143.02, 137.05, 138.18, 3402038
10/10/18, 150.26, 150.46, 141.57, 141.78, 2834919
10/09/18, 149.50, 152.36, 149.22, 150.14, 1398622
10/08/18, 150.12, 151.31, 148.05, 149.30, 1626914
10/05/18, 150.42, 151.55, 149.84, 150.99, 1306480
10/04/18, 151.36, 151.59, 148.93, 150.22, 1364771
10/03/18, 151.90, 153.51, 151.34, 151.59, 1425497
10/02/18, 151.11, 152.28, 150.12, 151.77, 1279091
10/01/18, 151.38, 152.47, 150.31, 150.74, 1252597
09/28/18, 149.82, 151.32, 149.71, 150.66, 1686440
09/27/18, 149.78, 150.26, 149.37, 149.91, 957149
09/26/18, 149.05, 150.982, 148.88, 149.62, 1723554
09/25/18, 149.66, 150.59, 146.50, 148.89, 2763665
09/24/18, 149.59, 150.11, 148.71, 149.07, 1320745
09/21/18, 149.68, 151.01, 148.79, 150.68, 4234330
09/20/18, 147.60, 149.09, 147.37, 148.88, 1068162
09/19/18, 147.70, 147.96, 146.56, 146.97, 1206022
09/18/18, 147.27, 148.11, 147.045, 147.56, 1127641
09/17/18, 147.68, 148.30, 146.86, 147.04, 1173315
09/14/18, 147.00, 147.94, 146.62, 147.46, 1061751
09/13/18, 146.99, 147.42, 146.50, 146.92, 1058191
09/12/18, 146.99, 147.43, 146.48, 147.13, 1484599
09/11/18, 147.18, 147.45, 146.44, 147.00, 946017
09/10/18, 147.43, 147.57, 146.43, 147.02, 1066741
09/07/18, 146.44, 147.73, 146.24, 146.73, 1837263
09/06/18, 145.78, 147.335, 145.01, 147.28, 1647660
09/05/18, 145.52, 146.30, 144.435, 146.14, 1966857
09/04/18, 144.35, 146.14, 144.19, 145.81, 3445948
08/31/18, 145.17, 146.96, 145.01, 146.75, 1432747
08/30/18, 146.00, 146.79, 144.93, 145.49, 1503233
08/29/18, 144.45, 146.68, 143.87, 146.35, 2282841
08/28/18, 143.76, 144.275, 143.28, 143.83, 3101002
08/27/18, 144.33, 144.33, 143.20, 143.60, 1398644
08/24/18, 143.86, 144.04, 142.86, 143.59, 1087519
08/23/18, 143.13, 143.925, 142.82, 143.35, 1388305
08/22/18, 142.73, 143.62, 142.32, 143.30, 1355228
08/21/18, 142.85, 143.49, 142.63, 143.04, 2288005
08/20/18, 142.82, 142.87, 142.10, 142.16, 1524328
08/17/18, 141.17, 142.95, 140.99, 142.55, 1891391
08/16/18, 141.85, 141.85, 139.1405, 141.24, 1758091
08/15/18, 140.06, 141.72, 139.44, 141.24, 2079325
08/14/18, 139.88, 141.44, 139.415, 141.15, 3567324
08/13/18, 139.82, 141.30, 139.42, 139.67, 1721288
08/10/18, 137.77, 139.98, 137.77, 139.29, 2118425
08/09/18, 138.29, 139.135, 138.00, 138.37, 2729793
08/08/18, 138.25, 138.43, 137.01, 137.82, 1352715
08/07/18, 135.50, 138.23, 135.06, 137.91, 1942045
08/06/18, 134.28, 135.63, 133.98, 135.56, 1592314
