Date, Open, High, Low, Close, Volume
03/25/19, 3.66, 3.86, 3.49, 3.85, 638728
03/22/19, 3.85, 3.93, 3.67, 3.67, 317514
03/21/19, 3.89, 4.00, 3.82, 3.87, 282554
03/20/19, 3.94, 4.04, 3.89, 3.91, 464177
03/19/19, 4.00, 4.1487, 3.90, 3.90, 763697
03/18/19, 4.14, 4.32, 3.975, 4.00, 806804
03/15/19, 4.02, 4.23, 3.98, 4.12, 1244004
03/14/19, 3.96, 4.15, 3.96, 3.99, 1352440
03/13/19, 4.08, 4.19, 3.95, 3.95, 709738
03/12/19, 3.99, 4.15, 3.89, 4.08, 360074
03/11/19, 3.89, 4.00, 3.84, 3.98, 385486
03/08/19, 3.76, 3.88, 3.69, 3.87, 320622
03/07/19, 3.82, 3.91, 3.70, 3.77, 384091
03/06/19, 4.06, 4.08, 3.77, 3.82, 332044
03/05/19, 4.25, 4.25, 4.0238, 4.07, 442009
03/04/19, 4.24, 4.28, 4.03, 4.19, 509789
03/01/19, 4.29, 4.45, 4.06, 4.21, 477303
02/28/19, 4.20, 4.38, 3.67, 4.30, 1053401
02/27/19, 4.20, 4.50, 4.20, 4.28, 428061
02/26/19, 4.20, 4.40, 4.10, 4.22, 578129
02/25/19, 4.15, 4.26, 4.07, 4.20, 494631
02/22/19, 4.08, 4.24, 3.94, 4.09, 1572708
02/21/19, 3.84, 4.14, 3.76, 4.08, 533301
02/20/19, 3.85, 3.98, 3.77, 3.86, 339458
02/19/19, 3.99, 4.06, 3.80, 3.88, 820640
02/15/19, 3.71, 4.38, 3.66, 4.05, 1329553
02/14/19, 3.56, 3.75, 3.56, 3.68, 470434
02/13/19, 3.52, 3.69, 3.46, 3.58, 412368
02/12/19, 3.53, 3.5985, 3.48, 3.50, 336893
02/11/19, 3.37, 3.60, 3.33, 3.53, 300898
02/08/19, 3.39, 3.4293, 3.25, 3.35, 232075
02/07/19, 3.43, 3.50, 3.21, 3.39, 366168
02/06/19, 3.48, 3.5975, 3.39, 3.44, 571186
02/05/19, 3.48, 3.59, 3.36, 3.47, 449471
02/04/19, 3.24, 3.64, 3.20, 3.48, 898910
02/01/19, 2.96, 3.43, 2.9378, 3.26, 864518
01/31/19, 2.74, 2.99, 2.72, 2.98, 948546
01/30/19, 2.50, 2.74, 2.37, 2.72, 2052250
01/29/19, 2.40, 2.49, 2.34, 2.47, 740056
01/28/19, 2.62, 2.64, 2.37, 2.42, 633797
01/25/19, 2.59, 2.67, 2.5824, 2.64, 489690
01/24/19, 2.60, 2.68, 2.56, 2.58, 845116
01/23/19, 2.70, 2.75, 2.53, 2.58, 311050
01/22/19, 2.71, 2.83, 2.6201, 2.71, 458995
01/18/19, 2.87, 2.87, 2.68, 2.70, 326039
01/17/19, 2.79, 2.94, 2.7003, 2.88, 516148
01/16/19, 2.85, 2.93, 2.77, 2.80, 238981
01/15/19, 2.85, 2.93, 2.7526, 2.85, 606037
01/14/19, 2.97, 2.97, 2.80, 2.83, 291594
01/11/19, 2.85, 3.01, 2.78, 2.98, 618666
01/10/19, 2.77, 2.90, 2.68, 2.86, 557738
01/09/19, 2.99, 3.05, 2.76, 2.77, 1008173
01/08/19, 3.09, 3.14, 2.95, 2.98, 1365118
01/07/19, 2.96, 3.17, 2.93, 3.05, 4119662
01/04/19, 3.00, 3.24, 2.90, 2.93, 2433175
01/03/19, 2.68, 2.99, 2.52, 2.94, 2539918
01/02/19, 2.58, 2.73, 2.56, 2.73, 1416297
12/31/18, 2.67, 2.80, 2.545, 2.64, 628574
12/28/18, 2.57, 2.75, 2.51, 2.65, 435838
12/27/18, 2.57, 2.63, 2.45, 2.57, 1295823
12/26/18, 2.50, 2.619, 2.34, 2.60, 606002
12/24/18, 2.56, 2.6344, 2.49, 2.50, 278883
12/21/18, 2.78, 2.82, 2.4701, 2.51, 822776
12/20/18, 2.92, 3.29, 2.67, 2.83, 2784112
12/19/18, 2.90, 3.15, 2.70, 2.96, 7230257
12/18/18, 2.64, 2.64, 2.4228, 2.47, 1451449
12/17/18, 2.71, 2.77, 2.57, 2.63, 578841
12/14/18, 2.72, 2.78, 2.6815, 2.74, 414378
12/13/18, 2.88, 2.88, 2.69, 2.73, 432452
12/12/18, 2.85, 3.05, 2.72, 2.84, 499989
12/11/18, 2.84, 2.86, 2.50, 2.80, 2144006
12/10/18, 2.70, 2.80, 2.55, 2.80, 399913
12/07/18, 2.85, 2.9099, 2.58, 2.68, 539925
12/06/18, 2.57, 2.89, 2.52, 2.88, 1011201
12/04/18, 2.52, 2.97, 2.5005, 2.57, 1657036
12/03/18, 2.52, 2.70, 2.48, 2.50, 1336937
11/30/18, 2.53, 2.6475, 2.47, 2.48, 725111
11/29/18, 2.55, 2.75, 2.49, 2.50, 3544277
11/28/18, 2.52, 2.60, 2.485, 2.54, 691586
11/27/18, 2.68, 2.74, 2.47, 2.49, 839362
11/26/18, 2.89, 2.94, 2.68, 2.69, 567016
11/23/18, 2.81, 3.03, 2.81, 2.86, 1159947
11/21/18, 3.05, 3.05, 2.75, 2.82, 911298
11/20/18, 2.98, 3.24, 2.85, 3.05, 1707854
11/19/18, 3.25, 3.30, 2.99, 3.02, 644223
11/16/18, 3.24, 3.44, 3.21, 3.28, 881001
11/15/18, 3.29, 3.48, 3.20, 3.29, 1728701
11/14/18, 3.23, 3.39, 3.2042, 3.33, 443511
11/13/18, 3.61, 3.64, 3.19, 3.20, 502111
11/12/18, 3.60, 3.7435, 3.58, 3.58, 282635
11/09/18, 4.13, 4.2076, 3.61, 3.63, 668370
11/08/18, 4.25, 4.26, 3.96, 4.21, 673390
11/07/18, 4.19, 4.32, 4.08, 4.25, 463699
11/06/18, 4.48, 4.59, 4.08, 4.19, 496953
11/05/18, 4.69, 4.88, 4.39, 4.48, 468790
11/02/18, 4.80, 4.93, 4.64, 4.66, 263634
11/01/18, 4.30, 4.8055, 4.2701, 4.77, 417116
10/31/18, 3.99, 4.45, 3.99, 4.24, 413746
10/30/18, 4.33, 4.54, 4.2956, 4.44, 247519
10/29/18, 4.48, 4.72, 4.24, 4.34, 251587
