Date, Open, High, Low, Close, Volume
03/25/19, 153.53, 155.55, 152.43, 154.69, 1768895
03/22/19, 158.00, 158.82, 153.9449, 154.22, 1858292
03/21/19, 154.27, 159.035, 154.27, 158.82, 1550309
03/20/19, 156.00, 156.27, 152.36, 154.31, 1805747
03/19/19, 154.62, 156.12, 153.657, 155.10, 2172943
03/18/19, 153.29, 155.3177, 152.33, 153.85, 1925263
03/15/19, 152.70, 154.68, 152.46, 153.28, 3513600
03/14/19, 153.05, 154.26, 151.93, 153.15, 2233797
03/13/19, 155.34, 157.09, 153.21, 153.38, 2143561
03/12/19, 154.36, 155.39, 152.88, 154.81, 1418569
03/11/19, 152.39, 155.28, 151.86, 154.04, 2074984
03/08/19, 150.29, 152.50, 149.50, 152.37, 1692091
03/07/19, 152.90, 153.97, 150.88, 152.77, 3167608
03/06/19, 154.76, 155.96, 152.04, 153.51, 1803535
03/05/19, 158.20, 158.20, 154.165, 154.71, 2193566
03/04/19, 161.00, 161.84, 153.245, 157.79, 4197521
03/01/19, 167.77, 169.05, 158.40, 159.77, 3836682
02/28/19, 164.07, 164.67, 162.59, 163.01, 2233265
02/27/19, 162.59, 164.32, 160.66, 164.28, 1530928
02/26/19, 163.78, 164.29, 161.705, 163.31, 1576231
02/25/19, 163.54, 166.29, 163.49, 163.94, 1976531
02/22/19, 160.87, 161.78, 160.19, 161.51, 948765
02/21/19, 159.64, 160.68, 158.85, 159.83, 1050602
02/20/19, 160.55, 161.49, 158.48, 159.80, 1175476
02/19/19, 160.43, 160.97, 159.00, 160.68, 1758595
02/15/19, 161.51, 161.51, 159.39, 160.35, 1699110
02/14/19, 158.84, 161.05, 158.005, 159.94, 1470416
02/13/19, 159.97, 161.10, 159.21, 160.03, 1898021
02/12/19, 156.40, 159.61, 155.89, 159.54, 1738924
02/11/19, 155.00, 156.27, 153.80, 154.57, 1432168
02/08/19, 149.12, 154.41, 149.12, 154.31, 1407936
02/07/19, 151.00, 151.93, 149.135, 150.56, 1859557
02/06/19, 152.16, 153.14, 150.79, 152.28, 1325779
02/05/19, 151.73, 153.69, 151.67, 152.42, 1591408
02/04/19, 149.06, 152.65, 149.00, 151.59, 1717471
02/01/19, 147.78, 149.56, 146.895, 149.07, 1647404
01/31/19, 146.20, 148.57, 145.86, 147.20, 1416343
01/30/19, 141.68, 146.06, 140.61, 146.00, 1295768
01/29/19, 140.92, 141.77, 139.01, 140.16, 806642
01/28/19, 140.65, 141.09, 138.74, 140.77, 1314649
