Date, Open, High, Low, Close, Volume
03/25/19, 14.05, 14.19, 13.87, 14.06, 228248
03/22/19, 14.53, 14.66, 14.04, 14.04, 297747
03/21/19, 14.40, 14.70, 14.35, 14.65, 264040
03/20/19, 14.50, 14.59, 14.355, 14.42, 191512
03/19/19, 14.72, 14.81, 14.47, 14.54, 310213
03/18/19, 14.75, 14.91, 14.62, 14.67, 324195
03/15/19, 14.82, 14.96, 14.70, 14.75, 448420
03/14/19, 14.94, 15.04, 14.76, 14.77, 261736
03/13/19, 14.80, 15.04, 14.74, 14.91, 255906
03/12/19, 14.82, 14.91, 14.61, 14.72, 216503
03/11/19, 14.76, 14.85, 14.62, 14.81, 212013
03/08/19, 14.58, 14.81, 14.58, 14.75, 207622
03/07/19, 14.62, 14.70, 14.39, 14.65, 306836
03/06/19, 14.87, 14.94, 14.58, 14.66, 295844
03/05/19, 15.33, 15.40, 14.86, 14.91, 194521
03/04/19, 15.25, 15.40, 15.09, 15.30, 469659
03/01/19, 15.06, 15.26, 14.95, 15.20, 333899
02/28/19, 15.06, 15.14, 14.88, 15.02, 333361
02/27/19, 14.87, 15.30, 14.79, 15.08, 393447
02/26/19, 15.09, 15.16, 14.85, 14.86, 348405
02/25/19, 14.67, 15.18, 14.65, 15.10, 1117532
02/22/19, 14.60, 14.65, 14.52, 14.60, 868994
02/21/19, 14.56, 14.6075, 14.53, 14.54, 299269
02/20/19, 14.59, 14.67, 14.56, 14.58, 624816
02/19/19, 14.64, 14.84, 14.53, 14.56, 365633
02/15/19, 14.69, 14.965, 14.635, 14.69, 306345
02/14/19, 14.72, 14.8481, 14.595, 14.61, 342047
02/13/19, 14.58, 14.68, 14.47, 14.67, 241066
02/12/19, 14.32, 14.62, 14.32, 14.58, 200235
02/11/19, 14.08, 14.28, 13.91, 14.26, 228365
02/08/19, 14.14, 14.34, 14.01, 14.03, 175496
02/07/19, 14.17, 14.33, 14.12, 14.20, 277765
02/06/19, 14.30, 14.44, 14.04, 14.31, 319554
02/05/19, 14.27, 14.42, 14.22, 14.30, 343398
02/04/19, 14.38, 14.56, 14.13, 14.29, 354280
02/01/19, 14.58, 14.715, 14.26, 14.37, 457196
01/31/19, 14.65, 14.84, 14.51, 14.58, 314340
01/30/19, 14.56, 14.84, 14.21, 14.69, 334984
01/29/19, 13.85, 14.66, 13.85, 14.55, 448330
01/28/19, 13.93, 14.70, 13.8421, 14.69, 614756
01/25/19, 13.64, 14.37, 13.61, 14.04, 973584
01/24/19, 12.28, 13.74, 11.85, 13.56, 1431094
01/23/19, 11.79, 12.28, 11.79, 12.27, 713625
01/22/19, 11.87, 12.04, 11.69, 11.78, 255917
01/18/19, 11.88, 12.01, 11.84, 11.89, 436115
01/17/19, 11.74, 11.95, 11.49, 11.87, 317599
01/16/19, 11.62, 11.89, 11.62, 11.77, 160096
01/15/19, 11.60, 11.75, 11.4956, 11.61, 252366
01/14/19, 11.72, 11.89, 11.545, 11.62, 187532
01/11/19, 11.71, 11.87, 11.55, 11.78, 234423
01/10/19, 11.87, 11.96, 11.53, 11.76, 215835
01/09/19, 11.92, 12.09, 11.87, 11.94, 240690
01/08/19, 11.61, 11.87, 11.49, 11.83, 495907
01/07/19, 11.25, 11.70, 11.23, 11.54, 529918
01/04/19, 10.99, 11.42, 10.89, 11.26, 476093
01/03/19, 10.87, 11.14, 10.49, 10.88, 318180
01/02/19, 10.59, 11.035, 10.58, 10.85, 582533
12/31/18, 10.82, 10.90, 10.53, 10.74, 337923
12/28/18, 11.01, 11.24, 10.77, 10.82, 430699
12/27/18, 10.87, 11.12, 10.59, 10.95, 288821
12/26/18, 10.50, 11.10, 10.21, 11.07, 417230
12/24/18, 10.47, 10.59, 10.25, 10.43, 216075
12/21/18, 10.70, 10.92, 10.45, 10.52, 1672107
12/20/18, 10.60, 10.80, 10.40, 10.69, 344238
12/19/18, 10.96, 11.22, 10.58, 10.67, 261245
12/18/18, 11.07, 11.26, 10.84, 10.96, 277990
12/17/18, 11.52, 11.68, 10.90, 10.96, 366366
12/14/18, 11.69, 11.82, 11.48, 11.52, 139979
12/13/18, 12.08, 12.11, 11.61, 11.79, 419335
12/12/18, 11.74, 12.205, 11.73, 11.93, 353930
12/11/18, 11.93, 12.205, 11.45, 11.63, 254319
12/10/18, 11.99, 12.26, 11.58, 11.80, 408741
12/07/18, 12.51, 12.74, 11.94, 12.00, 247046
12/06/18, 12.36, 12.63, 11.92, 12.59, 320423
12/04/18, 12.76, 12.8173, 12.12, 12.54, 331976
12/03/18, 12.55, 12.80, 12.43, 12.78, 246365
11/30/18, 12.39, 12.50, 11.93, 12.45, 317109
11/29/18, 12.54, 12.69, 12.34, 12.40, 175207
11/28/18, 12.51, 12.71, 12.34, 12.55, 263200
11/27/18, 12.61, 12.68, 12.46, 12.51, 167341
11/26/18, 12.97, 13.04, 12.61, 12.73, 167964
11/23/18, 12.86, 13.07, 12.7977, 12.87, 57241
11/21/18, 12.64, 12.98, 12.56, 12.94, 165948
11/20/18, 13.26, 13.34, 12.54, 12.55, 172490
11/19/18, 13.60, 13.60, 13.02, 13.41, 322050
11/16/18, 13.68, 13.725, 13.45, 13.64, 257717
11/15/18, 13.66, 13.82, 13.36, 13.78, 192603
11/14/18, 13.80, 13.94, 13.47, 13.63, 410341
11/13/18, 13.55, 13.76, 13.49, 13.70, 161894
11/12/18, 14.01, 14.11, 13.44, 13.45, 383127
11/09/18, 14.40, 14.42, 14.00, 14.12, 281984
11/08/18, 14.29, 14.50, 14.2426, 14.47, 164747
11/07/18, 14.10, 14.32, 13.99, 14.32, 175703
11/06/18, 14.04, 14.27, 13.86, 13.99, 286069
11/05/18, 13.95, 14.17, 13.74, 14.05, 441658
11/02/18, 13.96, 14.04, 13.825, 13.92, 271676
11/01/18, 13.50, 13.94, 13.36, 13.90, 323573
10/31/18, 13.83, 13.93, 13.38, 13.44, 302414
10/30/18, 13.25, 13.78, 13.23, 13.72, 210428
10/29/18, 13.79, 13.91, 13.141, 13.30, 256024
10/26/18, 13.32, 13.68, 13.05, 13.54, 256240
10/25/18, 13.45, 13.72, 13.27, 13.52, 267361
10/24/18, 13.93, 13.94, 13.37, 13.39, 304807
10/23/18, 13.88, 14.10, 13.59, 13.94, 395439
10/22/18, 13.75, 14.39, 13.75, 14.01, 472509
10/19/18, 13.80, 14.30, 13.76, 13.78, 622834
10/18/18, 15.11, 15.11, 13.52, 13.83, 1253395
10/17/18, 17.23, 17.74, 14.79, 15.01, 2514719
10/16/18, 17.04, 18.40, 16.89, 18.12, 758903
10/15/18, 16.97, 17.30, 16.7412, 17.05, 237050
10/12/18, 17.05, 17.37, 16.83, 16.96, 199523
10/11/18, 16.93, 17.25, 16.86, 16.90, 240002
10/10/18, 17.56, 17.58, 17.015, 17.06, 212386
10/09/18, 17.14, 17.67, 17.03, 17.58, 230778
10/08/18, 17.34, 17.58, 17.025, 17.20, 190017
10/05/18, 17.71, 17.71, 17.18, 17.35, 213740
10/04/18, 18.01, 18.194, 17.59, 17.71, 184729
10/03/18, 17.90, 18.31, 17.81, 18.02, 240096
10/02/18, 17.51, 18.06, 17.42, 17.87, 376347
10/01/18, 17.71, 17.83, 17.37, 17.57, 337881
09/28/18, 17.40, 17.65, 17.35, 17.65, 232087
09/27/18, 18.15, 18.15, 17.45, 17.45, 267855
09/26/18, 18.25, 18.35, 18.05, 18.10, 157274
09/25/18, 18.30, 18.45, 18.05, 18.20, 235004
09/24/18, 18.65, 18.75, 18.20, 18.25, 163799
09/21/18, 18.50, 18.75, 18.30, 18.60, 1051552
09/20/18, 18.45, 18.65, 18.45, 18.50, 181828
09/19/18, 18.55, 18.60, 18.25, 18.35, 321265
09/18/18, 18.35, 18.75, 18.35, 18.60, 287793
09/17/18, 18.65, 18.70, 17.95, 18.45, 197696
09/14/18, 18.75, 18.975, 18.65, 18.75, 231487
09/13/18, 18.55, 19.30, 18.55, 18.80, 497456
09/12/18, 16.65, 18.80, 16.625, 18.55, 755520
09/11/18, 16.70, 16.70, 16.30, 16.50, 153812
09/10/18, 16.90, 16.90, 16.70, 16.70, 124630
09/07/18, 16.75, 16.95, 16.65, 16.90, 172330
09/06/18, 16.90, 16.90, 16.70, 16.75, 104464
09/05/18, 17.00, 17.05, 16.75, 16.95, 142287
09/04/18, 17.20, 17.25, 16.85, 16.95, 187908
08/31/18, 17.05, 17.20, 17.00, 17.20, 147759
08/30/18, 17.05, 17.15, 16.90, 17.10, 282630
08/29/18, 16.90, 17.10, 16.90, 17.00, 122502
08/28/18, 17.00, 17.05, 16.90, 16.95, 136579
08/27/18, 17.05, 17.15, 16.95, 17.00, 144951
08/24/18, 16.95, 17.15, 16.90, 16.95, 208763
08/23/18, 16.95, 17.15, 16.90, 17.00, 130629
08/22/18, 16.85, 17.05, 16.775, 16.95, 191202
08/21/18, 16.65, 16.90, 16.55, 16.90, 248342
08/20/18, 16.40, 16.65, 16.40, 16.55, 381153
08/17/18, 16.35, 16.575, 16.25, 16.35, 256315
08/16/18, 16.10, 16.50, 16.10, 16.45, 199995
08/15/18, 16.15, 16.15, 15.95, 16.05, 333545
08/14/18, 16.10, 16.25, 16.00, 16.20, 153087
08/13/18, 15.95, 16.125, 15.75, 16.10, 319297
08/10/18, 15.85, 16.00, 15.70, 15.90, 262036
08/09/18, 15.90, 16.10, 15.85, 15.90, 221577
08/08/18, 16.35, 16.35, 15.90, 15.95, 244040
