Date, Open, High, Low, Close, Volume
03/25/19, 63.11, 64.60, 61.81, 64.21, 94091
03/22/19, 66.00, 66.55, 63.00, 63.04, 84310
03/21/19, 65.35, 66.70, 65.35, 66.25, 86250
03/20/19, 66.31, 66.85, 64.78, 65.63, 70139
03/19/19, 66.52, 67.25, 65.90, 66.26, 102834
03/18/19, 64.45, 66.35, 63.83, 66.21, 101236
03/15/19, 64.41, 64.97, 63.99, 64.57, 163598
03/14/19, 63.23, 64.62, 62.605, 64.41, 69033
03/13/19, 61.69, 63.22, 61.19, 63.21, 153401
03/12/19, 61.51, 62.32, 60.23, 61.62, 79907
03/11/19, 61.10, 62.01, 59.8938, 61.28, 117830
03/08/19, 60.71, 61.67, 60.27, 61.28, 85142
03/07/19, 61.74, 62.09, 60.47, 60.83, 84934
03/06/19, 65.35, 65.55, 60.86, 61.55, 130131
03/05/19, 62.66, 66.78, 61.295, 64.67, 188973
03/04/19, 66.05, 66.90, 63.96, 64.27, 152038
03/01/19, 67.68, 67.74, 66.38, 66.50, 68209
02/28/19, 66.49, 67.94, 65.73, 67.21, 74555
02/27/19, 65.94, 67.06, 65.11, 66.35, 83519
02/26/19, 69.05, 69.56, 66.20, 66.25, 128919
02/25/19, 69.59, 71.20, 69.13, 69.27, 124058
02/22/19, 68.03, 69.36, 67.475, 69.35, 73709
02/21/19, 68.90, 69.3752, 67.775, 67.98, 51450
02/20/19, 67.87, 69.10, 67.18, 68.46, 118161
02/19/19, 67.78, 68.37, 66.60, 68.02, 73415
02/15/19, 68.07, 68.59, 67.3671, 67.86, 84493
02/14/19, 66.29, 67.66, 66.21, 67.20, 56250
02/13/19, 66.24, 67.14, 64.92, 66.56, 79548
02/12/19, 65.52, 65.99, 64.59, 65.97, 59370
02/11/19, 64.39, 65.12, 63.01, 65.02, 92384
02/08/19, 65.33, 65.58, 62.57, 64.30, 88152
02/07/19, 65.51, 66.35, 65.135, 65.39, 77961
02/06/19, 65.11, 66.06, 64.43, 65.88, 109460
02/05/19, 65.00, 67.24, 64.96, 65.14, 120335
02/04/19, 62.74, 65.40, 61.80, 64.59, 255680
02/01/19, 59.75, 61.47, 59.75, 61.25, 136685
01/31/19, 60.13, 60.44, 59.10, 60.15, 149012
01/30/19, 59.37, 60.47, 59.0664, 60.23, 89268
01/29/19, 58.95, 59.3544, 57.94, 58.77, 100611
01/28/19, 61.42, 61.90, 58.84, 58.98, 139289
01/25/19, 61.96, 62.76, 61.51, 62.41, 67508
01/24/19, 62.51, 62.51, 60.59, 61.90, 121027
01/23/19, 61.58, 63.02, 61.49, 62.50, 135012
01/22/19, 63.00, 63.50, 61.01, 61.57, 130132
01/18/19, 65.03, 65.70, 62.95, 63.59, 169847
01/17/19, 64.13, 65.04, 62.83, 64.96, 222248
01/16/19, 63.67, 64.915, 63.23, 64.33, 179197
01/15/19, 59.85, 64.13, 59.4827, 63.50, 289049
01/14/19, 62.08, 62.45, 59.78, 59.84, 210781
01/11/19, 62.00, 63.71, 60.48, 62.51, 139948
01/10/19, 65.94, 66.11, 62.13, 62.24, 132664
01/09/19, 65.94, 68.26, 65.94, 66.20, 121040
01/08/19, 68.06, 69.02, 65.265, 65.93, 190738
01/07/19, 66.40, 68.91, 66.40, 67.34, 101019
01/04/19, 64.36, 70.0767, 63.30, 66.12, 176259
01/03/19, 64.53, 66.35, 63.30, 63.82, 122520
01/02/19, 66.91, 67.06, 64.03, 65.17, 182674
12/31/18, 67.94, 68.89, 66.74, 67.88, 183634
12/28/18, 66.82, 68.37, 65.53, 67.27, 100526
12/27/18, 64.75, 66.79, 63.66, 66.64, 150011
12/26/18, 64.14, 65.74, 64.00, 65.69, 194113
12/24/18, 63.38, 64.98, 62.95, 63.74, 68918
12/21/18, 64.83, 65.61, 62.995, 63.71, 383742
12/20/18, 66.16, 66.16, 63.56, 64.66, 119500
12/19/18, 67.04, 68.15, 65.17, 66.25, 141055
12/18/18, 68.83, 72.295, 66.1701, 66.98, 176063
12/17/18, 71.85, 71.85, 67.7438, 68.37, 242702
12/14/18, 74.54, 75.12, 72.33, 72.94, 192924
12/13/18, 75.66, 75.89, 73.39, 75.07, 181143
12/12/18, 75.22, 77.3375, 75.22, 75.69, 219908
12/11/18, 75.17, 76.75, 73.82, 74.52, 191446
12/10/18, 74.32, 75.62, 72.94, 74.38, 127972
12/07/18, 76.25, 76.51, 73.49, 74.40, 155237
12/06/18, 74.88, 76.78, 73.89, 76.13, 211513
12/04/18, 76.23, 77.65, 75.21, 76.34, 237722
12/03/18, 74.69, 76.51, 73.63, 76.43, 247800
11/30/18, 75.31, 76.14, 73.45, 74.22, 2215640
11/29/18, 73.42, 76.26, 72.77, 75.58, 415685
11/28/18, 72.16, 74.015, 71.52, 73.99, 717513
11/27/18, 75.39, 77.82, 71.36, 71.75, 1361023
11/26/18, 68.98, 70.25, 67.87, 68.44, 87347
11/23/18, 69.23, 69.53, 67.78, 68.30, 72427
11/21/18, 69.30, 70.39, 67.49, 69.47, 53866
11/20/18, 68.15, 69.48, 67.2183, 69.00, 120003
11/19/18, 71.91, 73.08, 69.02, 69.49, 109181
11/16/18, 69.74, 72.79, 68.64, 72.28, 146139
11/15/18, 67.81, 70.91, 66.93, 70.30, 124435
11/14/18, 70.26, 70.57, 68.26, 68.28, 145495
11/13/18, 72.61, 73.84, 69.62, 70.02, 127402
11/12/18, 72.17, 73.831, 71.03, 72.50, 117534
11/09/18, 74.85, 74.85, 71.86, 72.49, 101503
11/08/18, 75.00, 76.89, 74.53, 74.99, 131059
11/07/18, 71.31, 74.97, 70.99, 74.89, 151263
11/06/18, 63.31, 71.51, 62.86, 69.67, 142130
11/05/18, 65.50, 65.805, 63.68, 64.93, 140169
11/02/18, 66.55, 67.19, 65.18, 65.40, 76944
11/01/18, 65.75, 67.06, 64.445, 66.33, 95015
10/31/18, 66.47, 66.92, 64.98, 65.50, 94060
