Date, Open, High, Low, Close, Volume
03/25/19, 5.47, 5.54, 5.35, 5.41, 296745
03/22/19, 5.95, 5.99, 5.26, 5.51, 1346672
03/21/19, 5.84, 6.22, 5.76, 6.02, 574961
03/20/19, 5.68, 5.895, 5.5432, 5.84, 970040
03/19/19, 5.71, 5.91, 5.4062, 5.70, 566442
03/18/19, 5.39, 5.76, 5.38, 5.65, 876787
03/15/19, 5.35, 5.42, 5.20, 5.38, 812970
03/14/19, 5.04, 5.45, 5.01, 5.33, 598603
03/13/19, 4.87, 5.09, 4.73, 5.04, 572348
03/12/19, 4.69, 4.96, 4.65, 4.84, 322241
03/11/19, 4.40, 4.73, 4.32, 4.70, 291482
03/08/19, 4.74, 4.74, 4.30, 4.40, 249926
03/07/19, 4.45, 4.85, 4.25, 4.78, 468391
03/06/19, 4.63, 4.6399, 4.44, 4.45, 281634
03/05/19, 4.97, 4.97, 4.46, 4.65, 879141
03/04/19, 4.45, 5.086, 4.45, 4.92, 1071117
03/01/19, 4.09, 4.49, 4.05, 4.39, 391094
02/28/19, 4.36, 4.36, 4.04, 4.05, 434385
02/27/19, 4.14, 4.44, 4.04, 4.37, 426229
02/26/19, 4.25, 4.25, 4.01, 4.13, 468951
02/25/19, 3.96, 4.49, 3.91, 4.30, 2325863
02/22/19, 3.62, 3.74, 3.61, 3.70, 462073
02/21/19, 3.56, 3.67, 3.52, 3.63, 247166
02/20/19, 3.68, 3.73, 3.555, 3.58, 268642
02/19/19, 3.82, 3.88, 3.55, 3.69, 503329
02/15/19, 3.53, 3.90, 3.47, 3.81, 372574
02/14/19, 3.64, 3.66, 3.44, 3.50, 202495
02/13/19, 3.56, 3.69, 3.48, 3.64, 400708
02/12/19, 3.56, 3.60, 3.43, 3.55, 281145
02/11/19, 3.31, 3.54, 3.31, 3.52, 146623
02/08/19, 3.34, 3.40, 3.30, 3.33, 89062
02/07/19, 3.38, 3.50, 3.27, 3.37, 199828
02/06/19, 3.33, 3.40, 3.28, 3.38, 348225
02/05/19, 3.51, 3.58, 3.27, 3.34, 143407
02/04/19, 3.30, 3.555, 3.2607, 3.52, 211553
02/01/19, 3.16, 3.38, 3.16, 3.26, 173677
01/31/19, 3.06, 3.24, 2.99, 3.18, 237804
01/30/19, 3.01, 3.07, 2.90, 3.03, 318901
01/29/19, 3.08, 3.12, 3.02, 3.03, 120014
01/28/19, 3.19, 3.19, 3.08, 3.11, 128544
01/25/19, 3.11, 3.24, 3.09, 3.21, 96967
01/24/19, 3.07, 3.16, 3.05, 3.10, 110192
01/23/19, 3.12, 3.26, 3.03, 3.05, 109750
01/22/19, 3.17, 3.28, 3.11, 3.14, 182715
01/18/19, 3.15, 3.32, 3.08, 3.24, 224570
01/17/19, 3.19, 3.215, 3.11, 3.15, 141955
01/16/19, 3.35, 3.47, 3.18, 3.19, 227809
01/15/19, 3.21, 3.35, 3.21, 3.34, 172872
01/14/19, 3.55, 3.56, 3.1776, 3.20, 191974
01/11/19, 3.49, 3.60, 3.46, 3.59, 110405
01/10/19, 3.48, 3.53, 3.41, 3.52, 104297
01/09/19, 3.63, 3.63, 3.49, 3.51, 112335
01/08/19, 3.58, 3.58, 3.32, 3.51, 201305
01/07/19, 3.57, 3.67, 3.49, 3.54, 322439
01/04/19, 3.44, 3.61, 3.42, 3.56, 156487
01/03/19, 3.40, 3.51, 3.35, 3.38, 233491
01/02/19, 3.07, 3.43, 3.07, 3.41, 340923
12/31/18, 3.20, 3.27, 3.09, 3.15, 332757
12/28/18, 3.17, 3.27, 3.14, 3.20, 226945
12/27/18, 3.10, 3.195, 3.02, 3.18, 198439
12/26/18, 3.10, 3.16, 2.95, 3.14, 220682
12/24/18, 2.81, 3.12, 2.81, 3.08, 179999
12/21/18, 3.21, 3.25, 2.84, 2.87, 1487380
12/20/18, 3.41, 3.50, 3.1244, 3.21, 540804
12/19/18, 3.40, 3.62, 3.37, 3.43, 361238
12/18/18, 3.49, 3.56, 3.40, 3.43, 924960
12/17/18, 3.59, 3.70, 3.425, 3.45, 812946
12/14/18, 3.65, 3.755, 3.55, 3.59, 388559
12/13/18, 3.81, 3.84, 3.59, 3.66, 277953
12/12/18, 3.75, 4.00, 3.73, 3.81, 351102
12/11/18, 3.78, 3.81, 3.595, 3.69, 90944
12/10/18, 3.62, 3.71, 3.57, 3.68, 192384
12/07/18, 3.62, 3.69, 3.59, 3.64, 215747
12/06/18, 3.57, 3.67, 3.56, 3.61, 324200
12/04/18, 3.76, 3.86, 3.62, 3.65, 335913
12/03/18, 3.72, 3.79, 3.651, 3.76, 211981
11/30/18, 3.59, 3.75, 3.56, 3.59, 307597
11/29/18, 3.65, 3.75, 3.57, 3.63, 229348
11/28/18, 3.56, 3.69, 3.49, 3.69, 414424
11/27/18, 3.67, 3.67, 3.51, 3.54, 269209
11/26/18, 3.90, 3.93, 3.6425, 3.68, 526984
11/23/18, 3.75, 3.97, 3.7138, 3.84, 188107
11/21/18, 3.57, 3.82, 3.57, 3.76, 181347
11/20/18, 3.60, 3.73, 3.48, 3.62, 1065676
11/19/18, 3.78, 3.85, 3.70, 3.70, 362005
11/16/18, 3.70, 3.95, 3.69, 3.82, 763407
11/15/18, 3.54, 3.74, 3.48, 3.73, 951966
11/14/18, 3.71, 3.82, 3.54, 3.56, 309985
11/13/18, 3.71, 3.7533, 3.4624, 3.63, 2046082
11/12/18, 3.79, 3.85, 3.56, 3.71, 666398
11/09/18, 3.65, 3.87, 3.57, 3.76, 261560
11/08/18, 3.60, 3.96, 3.565, 3.74, 361734
11/07/18, 3.60, 3.89, 3.53, 3.69, 1852367
11/06/18, 3.32, 3.59, 3.26, 3.55, 634350
11/05/18, 3.07, 3.33, 3.06, 3.31, 1823030
11/02/18, 2.90, 3.36, 2.62, 3.34, 8367009
11/01/18, 4.22, 4.66, 4.1228, 4.55, 681834
10/31/18, 4.07, 4.25, 4.03, 4.20, 645247
10/30/18, 4.06, 4.31, 3.95, 4.05, 394712
10/29/18, 4.35, 4.35, 3.945, 4.07, 683727
10/26/18, 4.14, 4.34, 4.00, 4.27, 354416
10/25/18, 4.14, 4.37, 4.10, 4.23, 546472
10/24/18, 4.45, 4.66, 4.05, 4.07, 748052
10/23/18, 4.33, 4.61, 4.08, 4.46, 971160
10/22/18, 4.52, 4.60, 4.34, 4.42, 619678
10/19/18, 4.66, 4.72, 4.40, 4.49, 663593
10/18/18, 5.00, 5.18, 4.62, 4.70, 743485
10/17/18, 5.19, 5.59, 4.875, 5.04, 700904
10/16/18, 5.10, 5.37, 4.9401, 5.22, 455375
10/15/18, 5.12, 5.15, 4.78, 5.05, 547218
10/12/18, 5.23, 5.26, 5.065, 5.15, 565141
10/11/18, 5.12, 5.3099, 4.915, 5.105, 630119
10/10/18, 5.71, 5.72, 5.09, 5.11, 687529
10/09/18, 5.47, 5.78, 5.2568, 5.74, 373982
10/08/18, 5.55, 5.63, 5.25, 5.51, 429990
10/05/18, 5.60, 5.83, 5.48, 5.58, 406170
10/04/18, 5.91, 5.91, 5.53, 5.58, 447470
10/03/18, 5.73, 5.9814, 5.65, 5.92, 212034
10/02/18, 5.89, 5.90, 5.595, 5.71, 390467
10/01/18, 6.10, 6.20, 5.81, 5.91, 450738
