Date, Open, High, Low, Close, Volume
03/25/19, 0.50, 0.54, 0.485, 0.504, 4452712
03/22/19, 0.50, 0.50, 0.443, 0.48, 2106532
03/21/19, 0.48, 0.50, 0.475, 0.492, 2266888
03/20/19, 0.485, 0.49, 0.47, 0.4825, 1467350
03/19/19, 0.43, 0.4999, 0.425, 0.4605, 3411305
03/18/19, 0.43, 0.4348, 0.381, 0.425, 2100911
03/15/19, 0.445, 0.4475, 0.39, 0.427, 1705410
03/14/19, 0.5265, 0.549, 0.39, 0.425, 8263889
03/13/19, 0.45, 0.68, 0.4409, 0.507, 15474311
03/12/19, 0.385, 0.414, 0.34, 0.4134, 2141316
03/11/19, 0.3456, 0.347, 0.3211, 0.3336, 481960
03/08/19, 0.3342, 0.3415, 0.321, 0.3292, 406411
03/07/19, 0.34, 0.3499, 0.32, 0.33, 705896
03/06/19, 0.3505, 0.3578, 0.34, 0.343, 358489
03/05/19, 0.3484, 0.3599, 0.344, 0.355, 257123
03/04/19, 0.36, 0.3638, 0.34, 0.342, 689766
03/01/19, 0.3628, 0.3657, 0.3522, 0.362, 342899
02/28/19, 0.365, 0.3749, 0.3568, 0.3568, 296990
02/27/19, 0.37, 0.386, 0.361, 0.3649, 292394
02/26/19, 0.38, 0.40, 0.3602, 0.371, 321678
02/25/19, 0.3724, 0.38, 0.3601, 0.3798, 277941
02/22/19, 0.3821, 0.395, 0.36, 0.3634, 442485
02/21/19, 0.367, 0.40, 0.365, 0.3869, 689023
02/20/19, 0.3633, 0.371, 0.353, 0.3615, 373388
02/19/19, 0.40, 0.40, 0.3503, 0.3684, 830701
02/15/19, 0.43, 0.4367, 0.40, 0.40, 369777
02/14/19, 0.40, 0.44, 0.396, 0.412, 704509
02/13/19, 0.40, 0.4149, 0.3901, 0.395, 272807
02/12/19, 0.40, 0.415, 0.3801, 0.40, 404602
02/11/19, 0.3879, 0.40, 0.37, 0.39, 279346
02/08/19, 0.397, 0.4107, 0.3755, 0.382, 565780
02/07/19, 0.44, 0.441, 0.40, 0.4105, 827876
02/06/19, 0.38, 0.484, 0.375, 0.4442, 2935175
02/05/19, 0.3941, 0.3941, 0.3531, 0.37, 463631
02/04/19, 0.395, 0.395, 0.38, 0.39, 264337
02/01/19, 0.38, 0.395, 0.375, 0.388, 490056
01/31/19, 0.3413, 0.38, 0.3402, 0.379, 603436
01/30/19, 0.37, 0.375, 0.3233, 0.3401, 622690
01/29/19, 0.3833, 0.395, 0.3522, 0.36, 522542
01/28/19, 0.38, 0.4118, 0.355, 0.3779, 1040736
01/25/19, 0.3247, 0.383, 0.3005, 0.37, 759302
01/24/19, 0.29, 0.329, 0.2802, 0.315, 586194
01/23/19, 0.347, 0.347, 0.31, 0.312, 386242
01/22/19, 0.35, 0.36, 0.33, 0.347, 221600
01/18/19, 0.37, 0.389, 0.33, 0.3479, 476963
01/17/19, 0.3885, 0.39, 0.32, 0.35, 543673
01/16/19, 0.302, 0.40, 0.301, 0.37, 1636709
01/15/19, 0.29, 0.31, 0.29, 0.3012, 642259
01/14/19, 0.29, 0.3033, 0.265, 0.29, 614313
01/11/19, 0.33, 0.346, 0.2936, 0.2964, 1006524
01/10/19, 0.3571, 0.3788, 0.325, 0.351, 692399
