Date, Open, High, Low, Close, Volume
03/25/19, 16.70, 16.92, 16.45, 16.66, 106249
03/22/19, 17.01, 17.23, 16.69, 16.69, 202752
03/21/19, 16.99, 17.59, 16.99, 17.05, 150104
03/20/19, 17.22, 17.34, 16.84, 17.01, 196743
03/19/19, 17.15, 17.39, 16.82, 17.22, 84736
03/18/19, 17.05, 17.28, 17.05, 17.11, 144340
03/15/19, 16.92, 17.35, 16.91, 17.05, 374685
03/14/19, 16.92, 17.09, 16.90, 16.91, 96609
03/13/19, 16.97, 17.29, 16.89, 16.91, 138727
03/12/19, 17.01, 17.20, 16.86, 16.98, 103657
03/11/19, 16.71, 17.04, 16.60, 17.02, 110551
03/08/19, 16.80, 16.89, 16.62, 16.73, 91349
03/07/19, 16.86, 17.11, 16.675, 16.84, 137544
03/06/19, 17.51, 17.51, 16.85, 16.85, 180823
03/05/19, 17.61, 17.74, 17.42, 17.50, 116892
03/04/19, 17.65, 18.06, 17.29, 17.59, 203398
03/01/19, 17.52, 18.135, 17.48, 17.76, 196373
02/28/19, 20.54, 20.54, 17.31, 17.36, 490271
02/27/19, 20.63, 20.63, 20.34, 20.51, 118580
02/26/19, 20.80, 20.93, 20.55, 20.57, 86352
02/25/19, 20.69, 20.94, 20.64, 20.73, 73743
02/22/19, 20.96, 21.11, 20.64, 20.70, 107291
02/21/19, 20.89, 20.91, 20.59, 20.87, 86686
02/20/19, 20.53, 21.05, 20.38, 20.91, 158199
02/19/19, 20.10, 20.64, 20.04, 20.48, 107122
02/15/19, 19.85, 20.38, 19.85, 20.24, 103776
02/14/19, 19.44, 19.92, 19.44, 19.73, 137407
02/13/19, 18.92, 19.70, 18.92, 19.60, 136724
02/12/19, 18.69, 19.09, 18.69, 18.90, 81912
02/11/19, 18.50, 18.57, 18.15, 18.54, 69415
02/08/19, 18.46, 18.51, 17.11, 18.49, 80727
02/07/19, 19.20, 19.21, 18.46, 18.49, 88237
02/06/19, 18.83, 19.49, 18.83, 19.39, 153827
02/05/19, 18.28, 18.87, 18.28, 18.84, 104396
02/04/19, 17.90, 18.38, 17.70, 18.37, 103235
02/01/19, 18.15, 18.31, 17.9072, 17.95, 81158
01/31/19, 17.90, 18.325, 17.90, 18.15, 140405
01/30/19, 18.06, 18.07, 17.57, 17.97, 120738
01/29/19, 18.06, 18.24, 18.00, 18.01, 94663
01/28/19, 18.25, 18.3201, 17.93, 18.05, 109719
01/25/19, 18.40, 18.73, 18.35, 18.37, 78231
01/24/19, 18.23, 18.39, 18.055, 18.29, 83215
01/23/19, 18.54, 18.77, 18.10, 18.22, 52430
01/22/19, 18.69, 18.86, 18.32, 18.49, 130893
01/18/19, 18.44, 19.05, 18.05, 18.79, 155474
01/17/19, 18.26, 18.49, 17.84, 18.42, 103551
01/16/19, 18.15, 18.53, 18.04, 18.39, 93177
01/15/19, 18.20, 18.26, 18.03, 18.14, 52951
01/14/19, 18.11, 18.38, 17.94, 18.20, 96934
01/11/19, 18.15, 18.41, 17.975, 18.22, 119796
01/10/19, 18.00, 18.295, 17.86, 18.26, 109591
01/09/19, 17.73, 18.17, 17.53, 18.13, 115875
01/08/19, 17.63, 17.86, 17.41, 17.70, 129429
01/07/19, 17.26, 17.64, 16.96, 17.63, 158171
01/04/19, 16.82, 17.32, 16.82, 17.32, 191598
01/03/19, 16.67, 16.97, 16.41, 16.62, 153617
01/02/19, 16.10, 16.95, 15.94, 16.69, 170983
12/31/18, 16.25, 16.39, 15.96, 16.32, 123156
12/28/18, 15.93, 16.44, 15.87, 16.24, 167094
12/27/18, 15.78, 16.2761, 15.51, 16.01, 176383
12/26/18, 15.31, 16.12, 15.25, 16.10, 229871
12/24/18, 15.42, 15.92, 15.18, 15.28, 169221
12/21/18, 15.75, 16.43, 15.12, 15.49, 708042
12/20/18, 16.22, 16.71, 15.63, 15.70, 293588
12/19/18, 16.74, 17.25, 16.30, 16.35, 199252
12/18/18, 17.17, 17.6325, 16.76, 16.76, 229545
12/17/18, 17.16, 17.539, 17.05, 17.08, 252707
12/14/18, 17.32, 17.67, 17.255, 17.30, 118545
12/13/18, 18.04, 18.11, 17.35, 17.55, 191991
12/12/18, 18.15, 18.51, 18.00, 18.04, 148338
12/11/18, 17.97, 18.98, 17.70, 17.99, 241691
12/10/18, 17.15, 17.58, 17.07, 17.48, 181358
12/07/18, 17.51, 18.04, 17.11, 17.23, 155751
12/06/18, 17.39, 17.805, 17.06, 17.51, 162509
12/04/18, 18.85, 18.90, 17.57, 17.59, 207196
12/03/18, 19.23, 19.3527, 18.43, 18.84, 164628
11/30/18, 18.95, 19.33, 18.83, 19.10, 160109
11/29/18, 19.11, 19.37, 18.82, 18.97, 112761
11/28/18, 18.26, 19.29, 18.26, 19.22, 180094
11/27/18, 18.37, 18.61, 18.37, 18.47, 105442
11/26/18, 18.69, 18.87, 18.32, 18.44, 105180
11/23/18, 18.42, 18.82, 18.205, 18.54, 49424
11/21/18, 18.30, 18.795, 18.2638, 18.61, 55403
11/20/18, 18.75, 18.82, 17.78, 18.28, 191476
11/19/18, 18.80, 19.1867, 18.4796, 18.63, 143550
11/16/18, 18.82, 19.1567, 18.43, 18.79, 216171
11/15/18, 18.60, 19.13, 18.60, 19.02, 153430
11/14/18, 19.02, 19.49, 18.599, 18.75, 175999
11/13/18, 19.49, 19.945, 18.93, 18.94, 149454
11/12/18, 19.78, 20.15, 19.393, 19.45, 189843
11/09/18, 20.20, 20.76, 19.71, 19.74, 180495
11/08/18, 20.70, 20.82, 20.18, 20.33, 116082
11/07/18, 20.80, 21.20, 20.32, 20.70, 161934
11/06/18, 19.77, 21.06, 19.54, 20.79, 220516
11/05/18, 19.45, 20.12, 19.45, 19.86, 269589
11/02/18, 18.72, 19.66, 18.715, 19.45, 250947
11/01/18, 18.87, 19.24, 18.265, 18.62, 374781
10/31/18, 20.82, 21.74, 19.35, 19.36, 452941
