Date, Open, High, Low, Close, Volume
03/25/19, 1.38, 1.40, 1.36, 1.36, 21412
03/22/19, 1.37, 1.41, 1.37, 1.40, 9874
03/21/19, 1.38, 1.4031, 1.36, 1.36, 35716
03/20/19, 1.41, 1.44, 1.3604, 1.38, 36468
03/19/19, 1.46, 1.47, 1.40, 1.40, 22492
03/18/19, 1.44, 1.49, 1.4204, 1.45, 25689
03/15/19, 1.45, 1.50, 1.4023, 1.42, 10644
03/14/19, 1.42, 1.49, 1.38, 1.46, 25395
03/13/19, 1.44, 1.47, 1.39, 1.41, 26819
03/12/19, 1.40, 1.47, 1.40, 1.43, 23371
03/11/19, 1.32, 1.40, 1.32, 1.385, 7899
03/08/19, 1.33, 1.373, 1.2726, 1.30, 14865
03/07/19, 1.35, 1.40, 1.33, 1.35, 37181
03/06/19, 1.41, 1.41, 1.36, 1.36, 17554
03/05/19, 1.43, 1.43, 1.40, 1.41, 22827
03/04/19, 1.43, 1.44, 1.40, 1.43, 10706
03/01/19, 1.47, 1.47, 1.40, 1.42, 33029
02/28/19, 1.47, 1.51, 1.4401, 1.455, 43349
02/27/19, 1.44, 1.4928, 1.44, 1.48, 17708
02/26/19, 1.5027, 1.5031, 1.44, 1.44, 41954
02/25/19, 1.47, 1.50, 1.44, 1.44, 25453
02/22/19, 1.41, 1.50, 1.41, 1.4698, 40086
02/21/19, 1.42, 1.44, 1.39, 1.39, 30229
02/20/19, 1.42, 1.45, 1.38, 1.38, 42044
02/19/19, 1.39, 1.45, 1.38, 1.41, 40951
02/15/19, 1.36, 1.40, 1.36, 1.39, 11956
02/14/19, 1.39, 1.40, 1.3221, 1.33, 41919
02/13/19, 1.3001, 1.33, 1.3001, 1.33, 22856
02/12/19, 1.30, 1.3508, 1.30, 1.325, 17178
02/11/19, 1.30, 1.35, 1.29, 1.29, 11391
02/08/19, 1.33, 1.39, 1.2945, 1.30, 49376
02/07/19, 1.40, 1.422, 1.33, 1.37, 75909
02/06/19, 1.29, 1.439, 1.29, 1.40, 140148
02/05/19, 1.30, 1.32, 1.28, 1.29, 54250
02/04/19, 1.30, 1.3399, 1.28, 1.32, 20476
02/01/19, 1.26, 1.3398, 1.25, 1.30, 135865
01/31/19, 1.22, 1.26, 1.19, 1.25, 141282
01/30/19, 1.24, 1.241, 1.14, 1.22, 276706
01/29/19, 1.19, 1.24, 1.18, 1.23, 131488
01/28/19, 1.10, 1.21, 1.10, 1.18, 271075
01/25/19, 1.09, 1.14, 1.0803, 1.10, 63873
01/24/19, 1.10, 1.16, 1.05, 1.07, 324870
01/23/19, 1.12, 1.1295, 1.0811, 1.09, 52551
01/22/19, 1.16, 1.21, 1.04, 1.12, 375693
01/18/19, 1.07, 1.21, 1.07, 1.13, 323834
01/17/19, 1.19, 1.20, 1.03, 1.06, 544049
01/16/19, 1.18, 1.25, 1.14, 1.14, 170561
01/15/19, 1.28, 1.283, 1.13, 1.21, 429311
01/14/19, 1.40, 1.4399, 1.25, 1.28, 348275
01/11/19, 1.30, 1.58, 1.29, 1.42, 502510
01/10/19, 1.49, 1.97, 1.4694, 1.87, 484196
