Date, Open, High, Low, Close, Volume
03/25/19, 48.76, 49.24, 48.0648, 48.55, 189377
03/22/19, 50.30, 50.79, 48.6276, 48.85, 229715
03/21/19, 48.92, 51.34, 48.92, 50.72, 174273
03/20/19, 48.93, 49.72, 48.37, 48.97, 427492
03/19/19, 48.88, 49.52, 48.55, 48.94, 232226
03/18/19, 48.53, 49.345, 48.05, 48.63, 186916
03/15/19, 47.76, 49.99, 46.97, 48.55, 492513
03/14/19, 47.23, 48.22, 46.74, 47.55, 232561
03/13/19, 47.97, 48.00, 47.19, 47.24, 175303
03/12/19, 48.09, 48.20, 47.36, 47.88, 351293
03/11/19, 46.98, 48.41, 46.58, 47.93, 314498
03/08/19, 46.59, 47.4999, 46.01, 46.74, 197188
03/07/19, 48.94, 48.94, 47.05, 47.14, 275913
03/06/19, 50.37, 50.37, 48.795, 49.08, 283995
03/05/19, 50.97, 51.345, 50.31, 50.31, 262719
03/04/19, 51.28, 52.05, 50.58, 50.93, 237990
03/01/19, 50.78, 51.72, 50.48, 51.15, 170091
02/28/19, 50.51, 51.12, 50.05, 50.37, 259866
02/27/19, 51.39, 51.39, 50.21, 50.65, 120783
02/26/19, 51.86, 52.3541, 51.11, 51.58, 202824
02/25/19, 52.52, 53.31, 51.88, 51.92, 193787
02/22/19, 51.87, 52.05, 50.81, 51.94, 246381
02/21/19, 52.09, 52.305, 50.81, 51.62, 237077
02/20/19, 50.92, 52.56, 50.73, 52.31, 205036
02/19/19, 51.15, 51.73, 50.54, 50.93, 233016
02/15/19, 50.78, 51.19, 50.44, 51.16, 191413
02/14/19, 50.31, 51.245, 50.27, 50.72, 182345
02/13/19, 50.06, 50.92, 49.555, 50.46, 294911
02/12/19, 49.11, 50.02, 48.985, 49.97, 243601
02/11/19, 49.51, 50.1027, 48.415, 48.75, 249028
02/08/19, 49.19, 50.33, 48.68, 49.58, 339835
02/07/19, 50.50, 50.67, 49.15, 50.01, 298953
02/06/19, 50.04, 52.04, 49.76, 50.95, 321811
02/05/19, 49.90, 51.79, 48.93, 49.99, 570662
02/04/19, 52.15, 53.00, 51.875, 52.52, 418352
02/01/19, 51.66, 52.50, 50.69, 51.85, 313973
01/31/19, 50.54, 51.94, 50.43, 51.29, 294530
01/30/19, 49.98, 51.38, 49.75, 50.85, 362067
01/29/19, 50.99, 50.99, 49.22, 49.42, 299410
01/28/19, 49.64, 51.94, 47.66, 51.00, 279074
01/25/19, 48.99, 51.11, 48.60, 51.00, 357500
01/24/19, 45.75, 49.0899, 45.43, 48.55, 271906
01/23/19, 46.04, 46.29, 45.09, 45.25, 245265
01/22/19, 47.68, 47.68, 45.29, 45.63, 309141
01/18/19, 45.89, 48.50, 45.89, 48.00, 342865
01/17/19, 45.39, 45.95, 44.87, 45.74, 293018
01/16/19, 45.46, 46.82, 45.3468, 45.61, 314154
01/15/19, 45.63, 45.84, 44.70, 45.45, 154307
01/14/19, 45.55, 45.795, 44.6439, 45.51, 202485
01/11/19, 45.42, 46.40, 45.19, 46.03, 247935
01/10/19, 44.33, 45.74, 44.13, 45.63, 208480
01/09/19, 43.01, 44.78, 43.01, 44.66, 277727
01/08/19, 44.34, 44.34, 42.34, 42.97, 220841
01/07/19, 43.13, 44.895, 43.02, 44.04, 219398
01/04/19, 41.66, 43.2625, 41.27, 42.99, 198577
01/03/19, 42.95, 42.95, 40.76, 40.99, 301121
01/02/19, 42.08, 43.88, 42.08, 43.35, 218649
12/31/18, 43.05, 43.175, 41.98, 42.93, 281340
12/28/18, 42.84, 43.87, 41.93, 42.71, 346707
12/27/18, 40.67, 42.76, 40.67, 42.69, 362682
12/26/18, 39.14, 41.49, 38.77, 41.42, 264865
12/24/18, 39.75, 40.22, 38.745, 38.84, 146833
12/21/18, 40.29, 40.97, 39.78, 40.00, 1313720
12/20/18, 40.41, 41.28, 39.50, 40.29, 439741
12/19/18, 41.95, 42.72, 40.36, 40.43, 492920
12/18/18, 41.29, 42.78, 41.0241, 42.25, 385069
12/17/18, 40.86, 42.1426, 40.86, 40.98, 464267
12/14/18, 40.69, 42.16, 40.65, 41.01, 349722
12/13/18, 42.47, 42.80, 41.16, 41.20, 408648
12/12/18, 41.60, 42.68, 41.1841, 42.11, 307002
12/11/18, 42.41, 43.06, 41.03, 41.17, 272674
12/10/18, 41.79, 42.11, 41.32, 41.71, 321571
12/07/18, 43.52, 43.795, 41.457, 41.60, 290670
12/06/18, 43.80, 43.98, 42.98, 43.63, 365647
12/04/18, 46.80, 47.18, 44.33, 44.73, 354771
12/03/18, 47.73, 48.15, 46.37, 47.00, 354666
11/30/18, 46.52, 47.18, 45.83, 47.04, 303740
11/29/18, 46.62, 47.23, 45.94, 46.65, 363093
11/28/18, 45.42, 46.97, 44.81, 46.90, 293934
11/27/18, 44.60, 45.56, 44.34, 45.01, 291498
11/26/18, 43.82, 44.94, 43.4663, 44.77, 277709
11/23/18, 42.85, 44.02, 42.5975, 43.32, 109929
11/21/18, 43.05, 43.76, 42.68, 43.25, 167735
11/20/18, 41.45, 43.53, 41.05, 42.51, 259187
11/19/18, 43.40, 43.9299, 42.12, 42.40, 248772
11/16/18, 41.89, 43.60, 41.26, 43.46, 346793
11/15/18, 41.66, 43.23, 41.02, 42.96, 253439
11/14/18, 42.50, 43.38, 41.4147, 42.01, 334582
11/13/18, 42.16, 43.07, 41.742, 41.99, 322798
11/12/18, 43.12, 43.13, 41.56, 41.84, 322058
11/09/18, 44.60, 44.60, 42.73, 43.37, 346958
11/08/18, 45.04, 46.07, 44.11, 45.01, 248323
11/07/18, 45.57, 45.69, 44.36, 45.29, 406510
11/06/18, 44.58, 45.295, 44.06, 45.05, 413591
11/05/18, 46.89, 47.03, 44.26, 44.77, 347830
11/02/18, 47.28, 47.85, 45.72, 46.87, 507961
11/01/18, 43.49, 47.91, 43.49, 47.12, 610306
10/31/18, 41.80, 43.51, 41.43, 43.03, 684491
10/30/18, 41.06, 44.20, 40.43, 41.43, 1223098
10/29/18, 44.74, 45.99, 43.22, 44.09, 507683
10/26/18, 43.86, 44.83, 42.81, 44.22, 378977
10/25/18, 42.55, 45.19, 42.55, 45.00, 485182
10/24/18, 44.41, 45.23, 42.84, 42.90, 409396
10/23/18, 43.94, 45.17, 43.52, 44.82, 308588
10/22/18, 46.00, 46.00, 44.62, 45.17, 433548
10/19/18, 46.79, 47.15, 45.14, 45.47, 403906
10/18/18, 48.32, 48.32, 46.85, 46.90, 284663
10/17/18, 49.06, 49.89, 48.11, 48.42, 456183
10/16/18, 47.50, 48.56, 46.78, 48.42, 383801
10/15/18, 46.45, 47.37, 45.99, 46.87, 243797
10/12/18, 47.11, 47.72, 46.08, 46.58, 324100
10/11/18, 46.13, 47.595, 45.75, 45.98, 451581
10/10/18, 47.17, 48.13, 46.23, 46.33, 480151
10/09/18, 47.85, 48.19, 47.38, 47.65, 329921
10/08/18, 48.34, 49.43, 47.75, 48.05, 347431
10/05/18, 50.59, 50.6599, 48.29, 48.56, 513421
10/04/18, 52.24, 52.24, 50.47, 50.59, 328520
10/03/18, 52.97, 53.10, 51.80, 52.52, 304811
10/02/18, 52.27, 53.45, 52.27, 52.56, 301265
10/01/18, 51.89, 52.87, 51.38, 52.22, 512092
09/28/18, 51.72, 51.91, 50.68, 51.65, 337693
09/27/18, 50.79, 51.77, 50.50, 51.71, 302422
09/26/18, 50.89, 51.42, 50.15, 50.55, 369635
09/25/18, 53.55, 53.55, 51.00, 51.10, 544976
09/24/18, 53.99, 54.09, 53.14, 54.00, 498512
09/21/18, 52.67, 54.26, 52.67, 54.07, 686660
09/20/18, 53.07, 53.5143, 52.48, 52.79, 600194
09/19/18, 53.15, 53.30, 52.03, 52.59, 249272
09/18/18, 53.41, 53.485, 52.68, 52.99, 339412
09/17/18, 53.90, 53.90, 52.52, 53.10, 350340
09/14/18, 53.46, 53.89, 53.12, 53.69, 336193
09/13/18, 52.73, 53.71, 52.32, 53.16, 392447
09/12/18, 53.52, 53.825, 51.94, 52.16, 671603
09/11/18, 55.25, 55.60, 53.79, 54.03, 406760
09/10/18, 56.57, 56.57, 54.95, 55.65, 332279
09/07/18, 55.00, 56.33, 54.90, 56.07, 397954
09/06/18, 61.58, 62.00, 54.98, 55.02, 893718
09/05/18, 59.42, 61.93, 59.21, 61.90, 752587
09/04/18, 59.27, 59.54, 58.18, 59.14, 460789
08/31/18, 58.97, 59.81, 58.60, 59.58, 432478
08/30/18, 58.96, 59.755, 58.90, 59.13, 460772
08/29/18, 59.75, 59.78, 58.85, 58.98, 418958
08/28/18, 59.65, 60.22, 59.11, 59.66, 261895
08/27/18, 58.37, 60.21, 58.27, 59.36, 299332
08/24/18, 58.54, 58.745, 57.74, 58.04, 263137
08/23/18, 58.62, 59.33, 58.16, 58.20, 301899
08/22/18, 58.23, 58.91, 58.03, 58.51, 286144
08/21/18, 57.66, 59.03, 57.66, 58.45, 318552
08/20/18, 57.60, 58.00, 57.06, 57.49, 250468
08/17/18, 58.16, 58.62, 56.7164, 57.58, 541540
08/16/18, 59.54, 59.78, 58.51, 58.68, 322066
08/15/18, 59.64, 60.11, 58.60, 59.13, 356059
08/14/18, 59.86, 60.71, 59.86, 60.04, 429355
08/13/18, 59.73, 60.15, 59.395, 59.57, 331823
08/10/18, 60.49, 60.62, 59.09, 59.53, 363000
08/09/18, 62.22, 62.26, 60.94, 61.05, 465657
08/08/18, 61.14, 62.37, 61.04, 62.34, 355504
08/07/18, 61.53, 61.77, 60.99, 61.38, 269275
08/06/18, 60.51, 61.44, 59.83, 61.28, 473689
08/03/18, 60.36, 60.78, 59.50, 60.49, 405666
08/02/18, 59.53, 60.605, 59.0255, 60.05, 515659
08/01/18, 61.16, 61.76, 59.30, 59.90, 938776
07/31/18, 57.75, 64.25, 57.75, 61.24, 1230737
07/30/18, 60.01, 61.13, 59.965, 60.28, 875803
07/27/18, 59.16, 60.84, 59.16, 60.00, 388180
07/26/18, 57.42, 59.00, 57.42, 58.39, 317130
07/25/18, 58.82, 58.9504, 56.22, 57.45, 464468
07/24/18, 59.71, 60.34, 58.69, 58.83, 513010
07/23/18, 59.60, 59.70, 58.11, 59.34, 243551
07/20/18, 60.37, 60.71, 59.69, 59.84, 271827
07/19/18, 60.82, 61.50, 60.23, 60.46, 538749
07/18/18, 60.66, 61.15, 60.00, 60.90, 1027833
07/17/18, 59.05, 60.27, 59.05, 59.95, 459333
07/16/18, 59.05, 59.69, 58.89, 58.96, 347174
07/13/18, 59.71, 60.34, 59.11, 59.14, 306397
07/12/18, 59.36, 60.60, 59.14, 59.82, 386717
07/11/18, 60.60, 60.86, 59.10, 59.13, 316135
07/10/18, 61.05, 61.55, 60.95, 61.24, 194462
07/09/18, 61.12, 61.54, 59.835, 61.13, 287393
07/06/18, 60.27, 61.23, 59.1669, 61.16, 232020
07/05/18, 59.44, 60.51, 59.0848, 60.27, 352163
07/03/18, 59.03, 59.3888, 57.15, 57.55, 257362
07/02/18, 57.38, 58.91, 57.0343, 58.83, 327948
06/29/18, 58.32, 59.4296, 58.08, 58.09, 255065
06/28/18, 58.37, 58.93, 57.23, 57.94, 388040
06/27/18, 60.50, 61.16, 58.38, 58.44, 186104
06/26/18, 59.76, 60.98, 59.76, 60.37, 467072
06/25/18, 60.35, 60.38, 58.59, 58.99, 529369
06/22/18, 60.94, 61.27, 59.85, 60.85, 490510
06/21/18, 61.00, 61.16, 60.03, 60.42, 304157
06/20/18, 61.46, 61.95, 60.55, 61.01, 238664
06/19/18, 59.89, 61.09, 59.59, 61.02, 301211
06/18/18, 60.00, 60.84, 58.76, 60.70, 311209
06/15/18, 61.38, 61.54, 60.09, 60.26, 600109
06/14/18, 62.00, 62.67, 61.72, 61.93, 260530
06/13/18, 62.17, 62.87, 61.73, 61.83, 304707
06/12/18, 62.23, 62.23, 61.21, 62.17, 399701
