Date, Open, High, Low, Close, Volume
03/25/19, 0.97, 1.02, 0.96, 0.9601, 169010
03/22/19, 1.015, 1.015, 0.9692, 1.00, 11416
03/21/19, 1.01, 1.02, 0.99, 0.9944, 38190
03/20/19, 1.01, 1.03, 0.98, 1.00, 111997
03/19/19, 1.01, 1.05, 1.0001, 1.01, 72720
03/18/19, 1.02, 1.05, 1.0156, 1.03, 92712
03/15/19, 1.01, 1.021, 1.00, 1.01, 48085
03/14/19, 1.00, 1.03, 1.00, 1.02, 43891
03/13/19, 1.00, 1.04, 0.99, 1.00, 76768
03/12/19, 1.00, 1.03, 1.00, 1.02, 51200
03/11/19, 0.98, 1.02, 0.98, 1.01, 34383
03/08/19, 1.00, 1.02, 0.97, 0.982, 93488
03/07/19, 1.07, 1.07, 0.98, 0.99, 99688
03/06/19, 1.03, 1.07, 0.98, 0.9801, 188548
03/05/19, 1.02, 1.05, 1.0151, 1.03, 36432
03/04/19, 1.06, 1.06, 1.00, 1.03, 137801
03/01/19, 1.02, 1.05, 0.97, 1.05, 248805
02/28/19, 0.9749, 1.005, 0.97, 0.98, 55383
02/27/19, 1.00, 1.01, 0.97, 0.9902, 38257
02/26/19, 1.02, 1.0331, 0.9705, 0.9951, 33259
02/25/19, 1.00, 1.01, 0.96, 1.01, 82667
02/22/19, 1.03, 1.04, 0.98, 1.01, 69012
02/21/19, 1.05, 1.05, 0.98, 1.0099, 89615
02/20/19, 1.10, 1.10, 0.995, 1.02, 150293
02/19/19, 1.10, 1.1018, 1.001, 1.04, 209836
02/15/19, 1.10, 1.14, 1.07, 1.10, 78291
02/14/19, 0.95, 1.15, 0.95, 1.05, 406754
02/13/19, 1.17, 1.20, 0.901, 0.94, 1174150
02/12/19, 1.24, 1.30, 1.15, 1.20, 321552
02/11/19, 1.38, 1.42, 1.37, 1.37, 130139
02/08/19, 1.32, 1.40, 1.306, 1.36, 60488
02/07/19, 1.31, 1.335, 1.31, 1.33, 33297
02/06/19, 1.3334, 1.35, 1.31, 1.31, 24828
02/05/19, 1.36, 1.37, 1.32, 1.32, 16849
02/04/19, 1.28, 1.34, 1.28, 1.33, 35327
02/01/19, 1.3467, 1.37, 1.27, 1.31, 74080
01/31/19, 1.35, 1.38, 1.33, 1.33, 8270
01/30/19, 1.34, 1.36, 1.26, 1.35, 72320
01/29/19, 1.32, 1.3656, 1.30, 1.35, 47628
01/28/19, 1.33, 1.37, 1.31, 1.35, 78401
01/25/19, 1.37, 1.41, 1.30, 1.37, 65725
01/24/19, 1.35, 1.45, 1.30, 1.3933, 43510
01/23/19, 1.37, 1.43, 1.30, 1.3379, 36623
01/22/19, 1.40, 1.45, 1.36, 1.36, 46867
