Date, Open, High, Low, Close, Volume
03/25/19, 46.68, 47.40, 44.78, 45.51, 371209
03/22/19, 48.72, 49.40, 45.79, 46.82, 655826
03/21/19, 46.10, 50.10, 46.10, 49.25, 1062790
03/20/19, 45.96, 45.97, 44.49, 45.86, 369407
03/19/19, 47.04, 47.26, 45.54, 45.64, 530647
03/18/19, 47.32, 47.40, 45.47, 47.09, 409149
03/15/19, 47.69, 48.29, 46.89, 46.98, 616759
03/14/19, 47.82, 50.08, 47.51, 47.51, 1257962
03/13/19, 47.71, 49.3024, 46.9514, 47.97, 2210807
03/12/19, 46.64, 47.20, 45.52, 45.82, 597503
03/11/19, 46.20, 47.22, 45.42, 46.59, 548916
03/08/19, 46.03, 47.12, 45.95, 46.19, 325681
03/07/19, 46.16, 47.5099, 45.21, 46.55, 298141
03/06/19, 47.01, 47.01, 45.10, 46.45, 510937
03/05/19, 48.00, 48.10, 46.53, 46.75, 448832
03/04/19, 48.14, 49.0928, 46.37, 48.11, 723254
03/01/19, 47.04, 48.03, 45.73, 47.92, 497818
02/28/19, 46.07, 47.50, 45.55, 46.67, 797737
02/27/19, 45.85, 48.01, 45.55, 45.99, 992909
02/26/19, 39.50, 49.0699, 39.50, 46.13, 2245544
02/25/19, 40.51, 41.66, 39.97, 40.18, 2024412
02/22/19, 38.81, 40.30, 38.5687, 40.04, 1083149
02/21/19, 39.57, 39.87, 38.29, 38.70, 652453
02/20/19, 40.80, 41.32, 39.17, 39.61, 522478
02/19/19, 41.53, 42.04, 40.58, 40.80, 508448
02/15/19, 41.27, 41.89, 40.305, 41.75, 879343
02/14/19, 41.28, 41.955, 40.91, 41.07, 272038
02/13/19, 42.00, 42.91, 40.90, 41.55, 1028523
02/12/19, 40.54, 42.73, 39.80, 41.74, 922251
02/11/19, 40.59, 40.6456, 38.11, 40.30, 2387714
02/08/19, 42.92, 43.167, 40.36, 40.39, 1047746
02/07/19, 44.23, 44.6564, 42.87, 43.07, 414381
02/06/19, 46.76, 46.76, 44.43, 44.59, 558330
02/05/19, 47.59, 48.11, 46.09, 46.54, 517394
02/04/19, 46.77, 47.53, 46.55, 47.50, 322401
02/01/19, 47.02, 47.02, 45.44, 46.50, 539404
01/31/19, 46.97, 47.445, 46.08, 47.02, 479766
01/30/19, 46.61, 47.42, 46.30, 46.86, 651657
01/29/19, 45.76, 46.28, 45.44, 46.16, 668072
01/28/19, 45.55, 46.23, 45.00, 45.61, 692269
01/25/19, 45.02, 45.86, 44.04, 45.74, 564541
01/24/19, 43.69, 44.75, 43.08, 44.53, 349976
01/23/19, 44.06, 45.16, 43.08, 43.64, 608371
01/22/19, 43.75, 44.42, 43.40, 43.99, 396928
01/18/19, 42.85, 45.00, 42.29, 43.99, 647224
01/17/19, 42.02, 43.21, 41.54, 42.83, 243205
01/16/19, 42.76, 43.55, 40.84, 42.15, 539733
01/15/19, 42.50, 43.37, 42.30, 42.82, 233972
01/14/19, 42.14, 43.207, 41.66, 42.30, 615450
01/11/19, 41.26, 42.84, 40.84, 42.71, 516476
01/10/19, 39.78, 41.75, 39.31, 41.58, 313287
01/09/19, 39.79, 40.28, 38.75, 39.84, 247906
01/08/19, 40.65, 41.62, 39.37, 39.69, 427109
01/07/19, 38.02, 40.95, 37.77, 40.37, 365013
01/04/19, 37.45, 38.52, 36.03, 37.76, 407199
01/03/19, 36.22, 38.10, 35.81, 37.08, 684428
01/02/19, 35.34, 37.14, 34.94, 36.32, 449513
12/31/18, 35.65, 36.10, 34.88, 36.10, 517390
12/28/18, 35.94, 36.62, 35.46, 35.52, 562880
12/27/18, 34.22, 35.74, 34.20, 35.73, 829903
12/26/18, 33.66, 34.59, 32.29, 34.58, 420488
12/24/18, 32.68, 34.44, 32.40, 33.31, 256435
12/21/18, 33.46, 34.635, 32.18, 33.00, 1383629
12/20/18, 35.60, 35.67, 32.54, 33.21, 664731
12/19/18, 36.57, 37.65, 35.55, 35.77, 445804
12/18/18, 37.47, 38.42, 35.01, 36.41, 726571
12/17/18, 38.00, 38.85, 36.27, 37.11, 492038
12/14/18, 39.00, 39.06, 38.08, 38.22, 476790
12/13/18, 40.89, 40.89, 38.75, 39.01, 615226
12/12/18, 41.07, 41.9999, 40.30, 40.65, 387825
12/11/18, 40.37, 40.82, 39.64, 40.53, 332631
12/10/18, 39.68, 40.29, 39.18, 40.05, 655181
12/07/18, 40.16, 41.57, 39.38, 39.69, 488098
12/06/18, 40.19, 41.51, 39.41, 40.43, 577249
12/04/18, 41.42, 42.36, 40.54, 40.87, 646780
12/03/18, 39.93, 41.71, 39.21, 41.55, 444992
11/30/18, 41.04, 41.2175, 39.12, 39.89, 727832
11/29/18, 40.12, 42.3399, 39.755, 41.07, 410323
11/28/18, 38.79, 40.85, 38.72, 40.12, 849798
11/27/18, 41.67, 42.14, 38.50, 38.61, 823785
11/26/18, 44.39, 44.915, 41.70, 42.10, 458512
11/23/18, 42.93, 44.87, 42.93, 43.91, 177409
11/21/18, 41.59, 44.16, 41.28, 43.31, 434900
11/20/18, 43.74, 44.395, 40.47, 41.05, 605572
11/19/18, 42.46, 43.87, 42.05, 43.55, 544598
11/16/18, 42.30, 43.41, 41.07, 42.87, 554776
11/15/18, 41.24, 43.20, 40.92, 42.73, 665914
11/14/18, 43.80, 44.0675, 40.50, 41.40, 963675
11/13/18, 45.38, 45.66, 42.89, 43.32, 889671
11/12/18, 47.35, 47.66, 44.56, 44.65, 653006
11/09/18, 49.73, 49.865, 47.75, 47.76, 506285
11/08/18, 50.10, 50.885, 48.22, 50.01, 687815
11/07/18, 54.95, 56.00, 47.69, 51.03, 2881506
11/06/18, 53.33, 55.17, 52.85, 54.55, 573761
11/05/18, 53.77, 54.99, 52.88, 53.12, 715382
11/02/18, 55.71, 56.9848, 53.42, 53.84, 594464
11/01/18, 53.18, 55.5699, 52.43, 55.45, 650331
10/31/18, 52.34, 53.98, 51.94, 53.18, 497369
10/30/18, 54.73, 55.75, 50.38, 51.65, 943447
10/29/18, 56.23, 57.11, 53.94, 54.75, 597307
10/26/18, 54.00, 55.62, 53.345, 55.42, 390567
10/25/18, 54.09, 56.10, 53.39, 55.10, 424110
10/24/18, 59.22, 59.89, 53.79, 53.99, 544451
10/23/18, 57.20, 60.045, 56.59, 59.27, 410697
10/22/18, 58.79, 58.79, 57.38, 58.12, 264335
10/19/18, 58.35, 59.225, 57.67, 58.38, 429516
10/18/18, 60.03, 60.03, 57.65, 58.25, 293165
10/17/18, 58.99, 60.81, 58.595, 60.04, 611575
10/16/18, 56.79, 59.98, 56.00, 59.18, 608652
10/15/18, 55.26, 57.04, 54.88, 56.24, 442913
10/12/18, 53.45, 55.51, 53.11, 55.37, 537487
10/11/18, 51.34, 53.00, 51.32, 52.56, 340609
10/10/18, 53.31, 54.82, 51.54, 51.59, 358492
10/09/18, 53.70, 55.48, 53.04, 53.21, 297309
10/08/18, 54.88, 55.30, 52.865, 54.19, 273579
10/05/18, 57.08, 57.43, 54.85, 55.38, 403538
10/04/18, 59.37, 60.44, 56.01, 56.91, 512901
10/03/18, 57.90, 61.40, 57.85, 59.80, 627987
10/02/18, 59.09, 59.09, 56.01, 57.64, 448484
10/01/18, 61.48, 62.155, 58.75, 59.28, 615924
09/28/18, 61.90, 63.20, 60.55, 61.55, 1025306
09/27/18, 60.80, 62.25, 59.50, 61.95, 461570
09/26/18, 58.55, 61.25, 58.075, 60.85, 597055
09/25/18, 59.20, 59.30, 58.15, 58.40, 390553
09/24/18, 58.60, 59.50, 57.70, 58.90, 427821
09/21/18, 58.45, 59.175, 57.90, 58.45, 808366
09/20/18, 56.45, 58.50, 56.20, 58.35, 457872
09/19/18, 56.55, 57.40, 55.90, 56.20, 323586
09/18/18, 56.20, 57.40, 55.80, 56.55, 357751
09/17/18, 58.95, 58.95, 55.45, 56.15, 444596
09/14/18, 59.40, 60.35, 58.90, 59.15, 201743
09/13/18, 58.35, 60.65, 58.35, 59.45, 330197
09/12/18, 58.70, 58.70, 57.55, 58.35, 215737
09/11/18, 57.30, 58.95, 57.25, 58.40, 328448
09/10/18, 58.60, 58.60, 55.25, 56.45, 402373
09/07/18, 57.25, 59.15, 57.20, 58.30, 247687
09/06/18, 59.00, 59.35, 57.05, 57.55, 356328
09/05/18, 60.60, 60.70, 58.60, 58.95, 286492
09/04/18, 61.00, 61.25, 59.75, 60.65, 641112
08/31/18, 62.30, 62.65, 60.85, 61.35, 679294
08/30/18, 63.25, 63.90, 62.10, 62.40, 406657
08/29/18, 63.85, 64.25, 62.55, 63.55, 388972
08/28/18, 61.60, 64.10, 61.225, 63.95, 517583
08/27/18, 60.85, 61.55, 59.80, 61.45, 797310
08/24/18, 60.30, 61.75, 60.00, 61.00, 489303
08/23/18, 61.65, 62.10, 60.35, 60.75, 416959
08/22/18, 62.35, 62.875, 61.45, 61.85, 694850
08/21/18, 63.75, 64.45, 62.30, 62.50, 412027
08/20/18, 64.30, 64.30, 63.20, 63.80, 304173
08/17/18, 64.20, 64.95, 63.00, 63.95, 287065
08/16/18, 64.05, 64.60, 63.15, 64.10, 255738
08/15/18, 65.15, 65.90, 63.05, 63.60, 372792
08/14/18, 64.35, 65.90, 64.275, 65.75, 314654
08/13/18, 64.35, 65.025, 63.975, 64.15, 236641
08/10/18, 63.80, 65.20, 63.80, 64.50, 313687
08/09/18, 64.05, 65.85, 59.75, 64.35, 758894
08/08/18, 65.45, 65.95, 64.65, 64.75, 230830
08/07/18, 65.45, 67.05, 65.15, 65.50, 378506
08/06/18, 64.75, 65.65, 64.75, 65.05, 515494
08/03/18, 67.65, 67.65, 64.50, 65.10, 369426
08/02/18, 68.50, 69.20, 67.55, 67.95, 229940
08/01/18, 67.55, 70.00, 67.50, 68.70, 436916
07/31/18, 66.60, 67.625, 65.30, 67.55, 398477
07/30/18, 67.80, 68.20, 65.70, 66.70, 455647
07/27/18, 71.20, 71.20, 67.20, 67.75, 420252
07/26/18, 71.40, 71.55, 69.45, 71.40, 323259
07/25/18, 70.55, 72.10, 69.505, 71.40, 414030
07/24/18, 74.00, 74.00, 69.50, 70.20, 355290
07/23/18, 73.10, 73.65, 71.65, 73.10, 349082
07/20/18, 74.15, 74.75, 73.25, 73.40, 246028
07/19/18, 74.00, 74.60, 73.30, 73.90, 284618
07/18/18, 73.60, 74.05, 73.225, 73.60, 318780
07/17/18, 72.60, 74.20, 72.20, 73.80, 270919
07/16/18, 73.30, 73.30, 72.00, 73.00, 147552
07/13/18, 72.00, 74.55, 71.95, 73.10, 579168
07/12/18, 69.00, 71.65, 68.775, 71.50, 512113
07/11/18, 67.15, 69.095, 66.70, 68.75, 364829
07/10/18, 67.85, 68.40, 66.40, 67.25, 267779
07/09/18, 67.75, 68.65, 67.15, 67.80, 455219
07/06/18, 64.85, 67.475, 64.85, 67.40, 202601
07/05/18, 64.60, 64.95, 63.95, 64.55, 330805
07/03/18, 64.95, 64.95, 63.90, 64.05, 181117
07/02/18, 67.30, 67.40, 64.775, 65.00, 551606
06/29/18, 67.75, 68.65, 66.60, 67.55, 472969
06/28/18, 68.15, 69.00, 66.65, 67.20, 390778
06/27/18, 67.90, 68.65, 67.16, 67.75, 329652
06/26/18, 67.70, 69.30, 67.58, 68.05, 359200
06/25/18, 70.15, 70.15, 66.925, 68.10, 484237
06/22/18, 67.45, 71.30, 65.70, 70.45, 1203071
06/21/18, 66.05, 67.50, 65.50, 67.35, 599439
06/20/18, 65.40, 66.60, 64.60, 65.90, 290387
06/19/18, 63.95, 65.80, 63.20, 64.80, 551804
06/18/18, 63.75, 65.80, 63.25, 64.45, 346387
06/15/18, 64.10, 65.15, 63.90, 64.15, 504350
06/14/18, 63.55, 64.40, 60.70, 64.20, 298998
06/13/18, 64.75, 64.75, 62.9163, 63.00, 337614
06/12/18, 63.85, 65.45, 63.85, 64.25, 435811
06/11/18, 63.05, 64.375, 61.45, 63.60, 517178
06/08/18, 64.65, 65.025, 62.75, 63.25, 636408
06/07/18, 62.80, 66.25, 61.50, 65.15, 627110
06/06/18, 58.20, 65.20, 58.10, 63.05, 1278629
06/05/18, 56.45, 58.60, 56.45, 58.30, 741614
06/04/18, 54.45, 56.60, 53.80, 56.45, 462496
06/01/18, 51.50, 56.15, 50.975, 54.50, 559072
05/31/18, 50.45, 51.45, 49.65, 51.30, 398626
05/30/18, 50.40, 51.40, 50.15, 50.60, 237344
05/29/18, 49.50, 50.375, 49.10, 50.30, 200832
