Date, Open, High, Low, Close, Volume
03/25/19, 0.8599, 1.26, 0.8346, 0.95, 6732315
03/22/19, 0.7829, 0.849, 0.7785, 0.8311, 90830
03/21/19, 0.838, 0.8709, 0.801, 0.806, 154352
03/20/19, 0.7763, 0.871, 0.76, 0.82, 102649
03/19/19, 0.7711, 0.7924, 0.7701, 0.7924, 47966
03/18/19, 0.7857, 0.81, 0.762, 0.7701, 68491
03/15/19, 0.7998, 0.815, 0.754, 0.81, 77862
03/14/19, 0.759, 0.77, 0.7401, 0.765, 14471
03/13/19, 0.7651, 0.80, 0.74, 0.7401, 77870
03/12/19, 0.80, 0.80, 0.7601, 0.77, 28221
03/11/19, 0.7886, 0.80, 0.76, 0.76, 39180
03/08/19, 0.7511, 0.7797, 0.7337, 0.7787, 56271
03/07/19, 0.7739, 0.7999, 0.7301, 0.7501, 29620
03/06/19, 0.7592, 0.7699, 0.73, 0.7699, 16191
03/05/19, 0.798, 0.7999, 0.737, 0.737, 37507
03/04/19, 0.80, 0.81, 0.77, 0.7799, 59785
03/01/19, 0.8011, 0.8091, 0.773, 0.8005, 40718
02/28/19, 0.81, 0.81, 0.80, 0.802, 27013
02/27/19, 0.84, 0.84, 0.805, 0.8056, 23826
02/26/19, 0.85, 0.85, 0.8001, 0.82, 36751
02/25/19, 0.8001, 0.8241, 0.8001, 0.8097, 34408
02/22/19, 0.85, 0.85, 0.811, 0.82, 30563
02/21/19, 0.84, 0.86, 0.82, 0.8211, 40186
02/20/19, 0.8239, 0.8786, 0.8239, 0.85, 44936
02/19/19, 0.84, 0.85, 0.8101, 0.85, 65414
02/15/19, 0.8141, 0.86, 0.8055, 0.84, 62242
02/14/19, 0.815, 0.8299, 0.801, 0.805, 26559
02/13/19, 0.81, 0.838, 0.81, 0.825, 41325
02/12/19, 0.8399, 0.8399, 0.803, 0.83, 48640
02/11/19, 0.85, 0.8983, 0.80, 0.80, 122893
02/08/19, 0.86, 0.914, 0.86, 0.861, 191408
02/07/19, 0.90, 0.91, 0.8601, 0.8918, 36985
02/06/19, 0.93, 0.9326, 0.8801, 0.8946, 37209
02/05/19, 0.96, 0.96, 0.9248, 0.93, 55923
02/04/19, 0.91, 0.95, 0.91, 0.931, 59959
02/01/19, 0.95, 0.95, 0.9147, 0.93, 88417
01/31/19, 0.905, 0.9299, 0.905, 0.9299, 53685
01/30/19, 0.9102, 0.9298, 0.8801, 0.91, 123767
01/29/19, 0.9799, 0.9799, 0.90, 0.915, 98510
01/28/19, 0.92, 1.02, 0.92, 0.9425, 557988
01/25/19, 0.8421, 0.91, 0.841, 0.91, 199584
01/24/19, 0.848, 0.87, 0.8381, 0.8698, 23229
01/23/19, 0.84, 0.8735, 0.8302, 0.831, 49997
01/22/19, 0.93, 0.9349, 0.85, 0.86, 116170
01/18/19, 0.87, 0.9336, 0.85, 0.93, 191884
01/17/19, 0.85, 0.88, 0.8401, 0.8604, 90141
01/16/19, 0.845, 0.88, 0.82, 0.8501, 88564
01/15/19, 0.86, 0.8825, 0.80, 0.84, 90101
01/14/19, 0.89, 0.9223, 0.86, 0.897, 63418
01/11/19, 0.9496, 0.9496, 0.8601, 0.89, 64455
01/10/19, 0.98, 0.99, 0.90, 0.907, 166177
01/09/19, 0.90, 0.99, 0.8601, 0.9851, 568543
01/08/19, 0.855, 0.90, 0.815, 0.8957, 132780
01/07/19, 0.8398, 0.889, 0.802, 0.8403, 285618
01/04/19, 0.81, 0.855, 0.8001, 0.8368, 143883
01/03/19, 0.86, 0.86, 0.7501, 0.81, 96631
01/02/19, 0.8499, 0.8749, 0.814, 0.842, 123400
12/31/18, 0.85, 0.87, 0.8401, 0.87, 79753
12/28/18, 0.82, 0.8998, 0.80, 0.894, 519024
12/27/18, 0.93, 0.93, 0.7608, 0.8195, 123737
12/26/18, 0.9195, 0.9345, 0.8277, 0.8595, 157634
12/24/18, 0.80, 0.889, 0.7636, 0.85, 248493
12/21/18, 0.7169, 1.10, 0.60, 1.08, 1502160
12/20/18, 0.78, 0.89, 0.72, 0.7346, 422115
12/19/18, 0.92, 0.92, 0.75, 0.8292, 965610
12/18/18, 1.27, 1.27, 0.927, 0.96, 6632433
12/17/18, 0.95, 0.95, 0.8301, 0.84, 251688
12/14/18, 0.82, 0.9393, 0.8102, 0.89, 318140
12/13/18, 0.845, 0.9025, 0.84, 0.87, 286738
12/12/18, 0.8022, 0.9099, 0.8022, 0.89, 990794
12/11/18, 1.03, 1.03, 0.84, 0.855, 933321
12/10/18, 1.17, 1.19, 1.01, 1.0399, 562383
12/07/18, 1.17, 1.23, 1.02, 1.11, 1101456
12/06/18, 1.30, 1.34, 1.12, 1.16, 2556520
12/04/18, 1.25, 1.72, 1.16, 1.49, 30133302
12/03/18, 1.06, 1.55, 0.975, 1.08, 36583768
11/30/18, 0.42, 0.42, 0.40, 0.4001, 53062
11/29/18, 0.4479, 0.4479, 0.418, 0.429, 38478
11/28/18, 0.45, 0.45, 0.42, 0.4301, 30990
11/27/18, 0.4701, 0.4929, 0.3971, 0.458, 47061
11/26/18, 0.5385, 0.5385, 0.47, 0.481, 152493
11/23/18, 0.51, 0.5428, 0.51, 0.5129, 56137
11/21/18, 0.49, 0.5299, 0.47, 0.475, 45187
11/20/18, 0.4601, 0.50, 0.4528, 0.49, 13313
11/19/18, 0.50, 0.5229, 0.453, 0.495, 15525
11/16/18, 0.5039, 0.528, 0.49, 0.4972, 88580
11/15/18, 0.57, 0.58, 0.5042, 0.5251, 84124
11/14/18, 0.581, 0.6399, 0.5611, 0.58, 28270
11/13/18, 0.58, 0.6125, 0.5796, 0.5901, 18648
11/12/18, 0.627, 0.6498, 0.60, 0.613, 31267
11/09/18, 0.64, 0.64, 0.6102, 0.629, 64738
11/08/18, 0.6121, 0.64, 0.6121, 0.6125, 18944
11/07/18, 0.6599, 0.6599, 0.615, 0.6401, 63504
11/06/18, 0.62, 0.6399, 0.61, 0.6102, 33961
11/05/18, 0.61, 0.6459, 0.61, 0.62, 24370
11/02/18, 0.6251, 0.6599, 0.6101, 0.617, 24101
11/01/18, 0.6199, 0.6199, 0.568, 0.6199, 21075
10/31/18, 0.5601, 0.6134, 0.5601, 0.608, 60831
10/30/18, 0.58, 0.6245, 0.56, 0.5817, 13166
10/29/18, 0.65, 0.65, 0.60, 0.60, 46323
10/26/18, 0.63, 0.6377, 0.60, 0.603, 42332
10/25/18, 0.60, 0.6383, 0.60, 0.60, 74450
10/24/18, 0.6499, 0.7799, 0.6101, 0.6101, 680729
10/23/18, 0.6499, 0.6499, 0.6023, 0.6499, 8315
10/22/18, 0.7146, 0.72, 0.5501, 0.635, 138027
10/19/18, 0.6634, 0.7499, 0.657, 0.6806, 31022
10/18/18, 0.6591, 0.70, 0.659, 0.6662, 58068
10/17/18, 0.7035, 0.71, 0.6561, 0.6973, 22365
10/16/18, 0.6932, 0.75, 0.652, 0.69, 104921
10/15/18, 0.6999, 0.7329, 0.69, 0.6919, 25197
10/12/18, 0.7331, 0.7331, 0.6501, 0.6768, 49584
10/11/18, 0.72, 0.72, 0.6301, 0.6982, 60084
10/10/18, 0.7311, 0.7819, 0.73, 0.73, 33397
10/09/18, 0.7591, 0.79, 0.71, 0.7309, 67243
10/08/18, 0.77, 0.81, 0.7501, 0.7799, 53493
