Date, Open, High, Low, Close, Volume
03/25/19, 1.32, 1.38, 1.32, 1.38, 9700
03/22/19, 1.39, 1.39, 1.32, 1.35, 15813
03/21/19, 1.3505, 1.37, 1.35, 1.35, 9414
03/20/19, 1.35, 1.39, 1.34, 1.37, 65914
03/19/19, 1.4013, 1.41, 1.37, 1.37, 30050
03/18/19, 1.37, 1.41, 1.3632, 1.39, 64352
03/15/19, 1.36, 1.37, 1.3532, 1.36, 10364
03/14/19, 1.36, 1.37, 1.36, 1.36, 5272
03/13/19, 1.39, 1.39, 1.37, 1.37, 1200
03/12/19, 1.36, 1.38, 1.36, 1.36, 21182
03/11/19, 1.37, 1.40, 1.35, 1.37, 9501
03/08/19, 1.36, 1.39, 1.36, 1.39, 10213
03/07/19, 1.39, 1.39, 1.37, 1.39, 2599
03/06/19, 1.367, 1.39, 1.367, 1.39, 33872
03/05/19, 1.37, 1.37, 1.3632, 1.37, 3399
03/04/19, 1.35, 1.37, 1.35, 1.37, 863
03/01/19, 1.3685, 1.37, 1.3601, 1.37, 6035
02/28/19, 1.37, 1.37, 1.36, 1.37, 6357
02/27/19, 1.37, 1.37, 1.3628, 1.3634, 1162
02/26/19, 1.3467, 1.37, 1.3467, 1.35, 1131
02/25/19, 1.35, 1.37, 1.345, 1.3685, 15945
02/22/19, 1.36, 1.37, 1.36, 1.37, 3597
02/21/19, 1.35, 1.37, 1.35, 1.36, 7263
02/20/19, 1.35, 1.37, 1.35, 1.35, 4713
02/19/19, 1.38, 1.38, 1.35, 1.37, 37774
02/15/19, 1.3869, 1.40, 1.38, 1.38, 1908
02/14/19, 1.39, 1.39, 1.38, 1.38, 1850
02/13/19, 1.4252, 1.43, 1.3984, 1.40, 4862
02/12/19, 1.41, 1.4399, 1.407, 1.43, 19854
02/11/19, 1.42, 1.47, 1.42, 1.42, 21836
02/08/19, 1.45, 1.47, 1.4335, 1.45, 936
02/07/19, 1.47, 1.47, 1.4499, 1.45, 1923
02/06/19, 1.41, 1.4472, 1.40, 1.4472, 3113
02/05/19, 1.44, 1.45, 1.44, 1.44, 4534
02/04/19, 1.40, 1.44, 1.40, 1.44, 2782
02/01/19, 1.4372, 1.45, 1.40, 1.45, 7026
01/31/19, 1.45, 1.45, 1.43, 1.43, 1630
01/30/19, 1.45, 1.45, 1.4171, 1.45, 4936
01/29/19, 1.45, 1.45, 1.41, 1.41, 1519
01/28/19, 1.41, 1.46, 1.40, 1.46, 11891
01/25/19, 1.40, 1.4331, 1.39, 1.41, 14160
01/24/19, 1.40, 1.40, 1.3831, 1.40, 36607
01/23/19, 1.47, 1.48, 1.37, 1.37, 3416
01/22/19, 1.46, 1.48, 1.4226, 1.48, 2275
01/18/19, 1.42, 1.46, 1.42, 1.46, 2374
01/17/19, 1.3999, 1.45, 1.3801, 1.40, 19175
01/16/19, 1.41, 1.42, 1.38, 1.3868, 7725
01/15/19, 1.38, 1.42, 1.38, 1.42, 1848
01/14/19, 1.40, 1.42, 1.36, 1.42, 23280
01/11/19, 1.42, 1.44, 1.4171, 1.4171, 3405
01/10/19, 1.42, 1.44, 1.369, 1.415, 45723
01/09/19, 1.45, 1.4999, 1.38, 1.46, 43601
01/08/19, 1.40, 1.45, 1.40, 1.44, 4158
01/07/19, 1.45, 1.46, 1.39, 1.40, 2977
01/04/19, 1.3701, 1.48, 1.3701, 1.45, 21404
01/03/19, 1.42, 1.43, 1.36, 1.41, 9233
01/02/19, 1.35, 1.41, 1.33, 1.41, 29418
12/31/18, 1.381, 1.45, 1.38, 1.435, 13882
12/28/18, 1.31, 1.47, 1.31, 1.43, 122361
