Date, Open, High, Low, Close, Volume
03/25/19, 9.60, 9.60, 9.10, 9.10, 37962
03/22/19, 10.02, 10.157, 9.52, 9.55, 36956
03/21/19, 10.0702, 10.30, 10.01, 10.01, 12626
03/20/19, 10.30, 10.3213, 10.05, 10.26, 9277
03/19/19, 10.15, 10.6183, 10.075, 10.32, 23945
03/18/19, 10.61, 10.6248, 10.05, 10.20, 31596
03/15/19, 10.88, 11.1499, 10.08, 10.62, 24040
03/14/19, 10.29, 10.87, 10.27, 10.87, 39389
03/13/19, 10.09, 10.36, 10.00, 10.29, 16930
03/12/19, 10.20, 10.2399, 9.80, 10.09, 59929
03/11/19, 10.13, 10.38, 10.01, 10.28, 24317
03/08/19, 10.16, 10.19, 9.90, 10.15, 12982
03/07/19, 10.04, 10.32, 10.0035, 10.32, 20485
03/06/19, 10.40, 10.47, 10.01, 10.10, 20120
03/05/19, 10.49, 10.56, 10.1034, 10.40, 10177
03/04/19, 10.57, 10.73, 10.35, 10.50, 12856
03/01/19, 10.74, 10.74, 10.27, 10.55, 20746
02/28/19, 10.78, 10.8127, 10.36, 10.66, 41520
02/27/19, 10.80, 10.8767, 10.7011, 10.75, 9862
02/26/19, 11.19, 11.20, 10.5412, 10.83, 36408
02/25/19, 11.41, 11.60, 11.05, 11.10, 51326
02/22/19, 10.96, 11.50, 10.75, 11.30, 56736
02/21/19, 10.71, 10.99, 10.70, 10.90, 33293
02/20/19, 10.56, 10.70, 10.4101, 10.70, 25811
02/19/19, 10.43, 10.78, 9.99, 10.46, 24889
02/15/19, 9.70, 10.40, 9.70, 10.39, 44242
02/14/19, 9.75, 10.00, 9.65, 9.65, 21618
02/13/19, 10.00, 10.3699, 9.63, 9.76, 43838
02/12/19, 9.99, 10.16, 9.7863, 10.00, 42339
02/11/19, 11.00, 11.00, 9.06, 9.90, 355273
02/08/19, 10.42, 10.99, 10.2025, 10.99, 33828
02/07/19, 10.53, 10.90, 10.25, 10.55, 13460
02/06/19, 10.39, 10.7207, 10.34, 10.70, 32458
02/05/19, 10.0084, 10.88, 10.0084, 10.42, 34311
02/04/19, 9.89, 10.4199, 9.89, 10.01, 25201
02/01/19, 9.81, 10.20, 9.80, 9.85, 36360
01/31/19, 11.0062, 11.01, 9.5682, 9.8523, 72744
01/30/19, 11.18, 11.3014, 10.501, 11.00, 35535
01/29/19, 11.32, 11.64, 11.0852, 11.18, 18173
01/28/19, 11.84, 11.84, 10.7765, 11.46, 42714
01/25/19, 11.30, 12.00, 11.0787, 11.85, 74875
01/24/19, 10.80, 11.41, 10.80, 11.20, 68868
01/23/19, 12.17, 12.32, 10.12, 10.80, 335352
01/22/19, 10.80, 11.6937, 10.80, 11.25, 108866
01/18/19, 10.21, 12.40, 10.0401, 10.80, 412738
01/17/19, 9.00, 10.35, 8.94, 10.21, 187847
01/16/19, 8.50, 9.00, 8.4577, 8.99, 197180
01/15/19, 8.30, 8.30, 8.15, 8.25, 20070
01/14/19, 8.15, 8.25, 7.90, 8.18, 30536
01/11/19, 7.58, 8.195, 7.58, 8.15, 29690
01/10/19, 7.89, 8.10, 7.00, 7.54, 184327
01/09/19, 7.28, 8.102, 7.09, 7.92, 41629
01/08/19, 8.99, 8.99, 6.17, 7.32, 349326
01/07/19, 9.2073, 9.40, 8.75, 8.90, 35539
01/04/19, 8.63, 8.8677, 8.1932, 8.54, 10811
