Date, Open, High, Low, Close, Volume
03/25/19, 2.46, 2.5299, 2.31, 2.44, 184569
03/22/19, 2.39, 2.55, 2.3216, 2.52, 366656
03/21/19, 2.44, 2.44, 2.2667, 2.41, 411655
03/20/19, 2.53, 2.53, 2.36, 2.43, 260852
03/19/19, 2.50, 2.65, 2.50, 2.51, 369472
03/18/19, 2.34, 2.58, 2.25, 2.50, 653181
03/15/19, 2.51, 2.53, 2.30, 2.32, 643228
03/14/19, 2.62, 2.62, 2.44, 2.53, 508397
03/13/19, 2.62, 2.67, 2.54, 2.60, 369948
03/12/19, 2.75, 2.98, 2.51, 2.63, 2668419
03/11/19, 2.49, 2.75, 2.4001, 2.70, 1691893
03/08/19, 2.42, 2.53, 2.24, 2.38, 1320073
03/07/19, 2.66, 2.68, 2.37, 2.49, 966060
03/06/19, 2.85, 2.94, 2.69, 2.69, 1247641
03/05/19, 3.50, 3.50, 2.605, 2.66, 5558753
03/04/19, 9.00, 9.1495, 6.75, 6.80, 484277
03/01/19, 9.03, 9.3438, 8.99, 9.01, 44850
02/28/19, 8.97, 9.11, 8.78, 9.08, 28786
02/27/19, 8.82, 9.03, 8.65, 9.03, 6263
02/26/19, 8.84, 8.84, 8.55, 8.68, 41440
02/25/19, 8.70, 8.72, 8.53, 8.72, 16477
02/22/19, 8.75, 8.78, 8.61, 8.67, 5629
02/21/19, 8.77, 8.85, 8.55, 8.65, 16245
02/20/19, 8.78, 9.00, 8.73, 8.73, 5948
02/19/19, 8.73, 8.92, 8.71, 8.78, 8491
02/15/19, 8.99, 9.14, 8.81, 8.85, 19108
02/14/19, 9.05, 9.23, 8.51, 9.00, 83103
02/13/19, 9.07, 9.275, 9.07, 9.09, 48151
02/12/19, 9.18, 9.23, 9.02, 9.115, 93180
02/11/19, 9.6657, 9.6657, 9.10, 9.19, 9350
02/08/19, 9.50, 9.78, 9.10, 9.40, 9740
02/07/19, 9.09, 9.30, 9.09, 9.19, 4502
02/06/19, 9.22, 9.23, 8.85, 9.23, 5799
02/05/19, 9.36, 9.44, 9.16, 9.16, 10123
02/04/19, 9.01, 9.33, 9.01, 9.33, 22769
02/01/19, 8.90, 9.10, 8.90, 8.91, 28014
01/31/19, 8.82, 9.01, 8.74, 8.89, 16179
01/30/19, 9.03, 9.14, 8.84, 9.01, 16759
01/29/19, 9.63, 9.70, 8.81, 9.00, 19961
01/28/19, 9.85, 9.85, 9.72, 9.73, 2566
01/25/19, 9.98, 10.17, 9.78, 9.86, 33025
01/24/19, 10.04, 10.26, 9.64, 9.94, 17630
01/23/19, 10.02, 10.44, 9.93, 10.065, 16141
01/22/19, 9.97, 10.13, 9.79, 9.92, 69732
01/18/19, 9.74, 9.99, 9.63, 9.98, 23895
01/17/19, 9.65, 9.91, 9.56, 9.67, 81465
01/16/19, 9.54, 9.6487, 9.36, 9.59, 8384
01/15/19, 9.70, 9.70, 9.4201, 9.50, 6269
01/14/19, 9.57, 9.95, 9.57, 9.69, 19754
01/11/19, 9.49, 9.88, 9.44, 9.58, 18578
01/10/19, 9.66, 10.19, 9.43, 9.44, 5375
01/09/19, 9.50, 9.81, 9.50, 9.63, 21747
01/08/19, 9.4524, 9.51, 9.23, 9.50, 14441
01/07/19, 8.91, 9.3824, 8.91, 9.23, 28677
01/04/19, 8.99, 9.3649, 8.83, 8.90, 21275
01/03/19, 8.42, 8.94, 8.3402, 8.92, 21001
01/02/19, 7.92, 8.49, 7.92, 8.43, 18575
12/31/18, 8.02, 8.8794, 8.0101, 8.09, 45715
12/28/18, 8.16, 8.42, 7.91, 8.15, 67947
12/27/18, 8.24, 8.6142, 8.02, 8.16, 27004
