Date, Open, High, Low, Close, Volume
03/25/19, 16.75, 16.75, 16.20, 16.2905, 8734
03/22/19, 16.69, 16.69, 16.4011, 16.65, 792
03/21/19, 16.6026, 17.002, 16.52, 16.7396, 5690
03/20/19, 16.35, 16.60, 15.81, 16.50, 7953
03/19/19, 16.1925, 16.34, 15.72, 16.30, 26496
03/18/19, 16.57, 16.6874, 15.56, 16.00, 20462
03/15/19, 17.341, 17.341, 16.55, 16.6328, 3428
03/14/19, 17.501, 17.661, 17.30, 17.61, 6500
03/13/19, 17.72, 17.73, 17.3259, 17.73, 7115
03/12/19, 17.13, 17.7315, 17.13, 17.635, 9009
03/11/19, 16.84, 17.70, 16.84, 17.3478, 4050
03/08/19, 16.779, 16.95, 16.779, 16.8843, 4507
03/07/19, 17.4945, 17.75, 15.17, 16.98, 18358
03/06/19, 18.15, 18.15, 16.75, 17.05, 35321
03/05/19, 22.00, 22.00, 16.851, 16.9667, 50623
03/04/19, 25.2656, 25.2656, 24.55, 24.82, 6841
03/01/19, 25.39, 25.39, 25.1603, 25.1603, 2155
02/28/19, 25.10, 25.15, 25.10, 25.14, 700
02/27/19, 25.35, 25.35, 25.298, 25.298, 887
02/26/19, 25.10, 25.10, 25.10, 25.10, 85
02/25/19, 25.439, 25.439, 25.4374, 25.4374, 930
02/22/19, 25.20, 25.20, 25.20, 25.20, 0
02/21/19, 25.1546, 25.1769, 25.10, 25.1769, 1708
02/20/19, 25.25, 25.302, 25.1001, 25.12, 3155
02/19/19, 25.10, 25.45, 24.53, 25.3484, 5122
02/15/19, 25.10, 25.10, 25.10, 25.10, 50
02/14/19, 25.04, 25.04, 25.04, 25.04, 0
02/13/19, 25.50, 25.50, 25.50, 25.50, 1075
02/12/19, 24.95, 25.44, 24.95, 25.325, 2540
02/11/19, 24.81, 25.00, 24.81, 24.955, 1250
02/08/19, 24.75, 24.75, 24.75, 24.75, 75
02/07/19, 25.00, 25.00, 25.00, 25.00, 100
02/06/19, 25.3772, 25.3772, 25.3772, 25.3772, 815
02/05/19, 25.40, 25.40, 25.30, 25.30, 555
02/04/19, 24.35, 24.35, 24.35, 24.35, 50
02/01/19, 24.27, 24.27, 24.27, 24.27, 0
01/31/19, 25.48, 25.48, 25.48, 25.48, 200
01/30/19, 25.48, 25.48, 25.48, 25.48, 196
01/29/19, 25.00, 25.00, 25.00, 25.00, 269
01/28/19, 24.56, 25.10, 24.56, 25.10, 490
01/25/19, 24.50, 24.50, 24.50, 24.50, 168
01/24/19, 24.95, 25.39, 24.5645, 25.39, 1424
01/23/19, 25.25, 25.25, 25.2499, 25.25, 745
01/22/19, 24.50, 24.50, 24.50, 24.50, 75
01/18/19, 25.17, 25.17, 25.17, 25.17, 168
01/17/19, 24.7177, 25.35, 24.36, 25.35, 3920
01/16/19, 24.6867, 25.01, 24.31, 24.80, 850
01/15/19, 24.79, 25.1307, 24.78, 24.9761, 538
01/14/19, 24.75, 25.08, 24.14, 24.23, 2324
01/11/19, 24.76, 25.00, 24.76, 25.00, 612
01/10/19, 24.75, 25.38, 24.75, 25.38, 1331
01/09/19, 25.01, 25.01, 25.01, 25.01, 58
01/08/19, 25.1705, 25.1705, 25.1705, 25.1705, 498
01/07/19, 25.1351, 25.7373, 25.1351, 25.41, 1980
01/04/19, 25.1891, 25.40, 25.1243, 25.35, 1940
01/03/19, 25.032, 25.50, 24.9999, 25.19, 1727
01/02/19, 24.85, 24.85, 24.85, 24.85, 500
12/31/18, 24.75, 25.84, 24.75, 25.84, 1880
12/28/18, 24.93, 25.03, 24.6272, 24.685, 2669
12/27/18, 24.8085, 24.8085, 24.8085, 24.8085, 270
12/26/18, 24.60, 24.60, 24.60, 24.60, 100
12/24/18, 24.5644, 24.6424, 24.45, 24.56, 2499
12/21/18, 24.12, 24.12, 24.12, 24.12, 296
12/20/18, 24.54, 24.54, 24.50, 24.50, 700
12/19/18, 24.5201, 24.65, 23.8243, 24.5025, 5075
12/18/18, 24.7511, 24.9575, 24.51, 24.55, 2720
12/17/18, 24.999, 25.00, 24.75, 24.89, 1900
12/14/18, 25.025, 25.025, 24.8936, 25.00, 1868
12/13/18, 25.1925, 25.1925, 25.1925, 25.1925, 140
12/12/18, 25.15, 25.366, 24.9138, 25.366, 1215
12/11/18, 24.80, 24.80, 24.80, 24.80, 0
12/10/18, 24.924, 24.924, 24.924, 24.924, 274
12/07/18, 25.00, 25.00, 24.90, 25.00, 2900
12/06/18, 25.58, 25.58, 25.456, 25.456, 582
12/04/18, 24.80, 24.80, 24.80, 24.80, 5
12/03/18, 25.44, 25.60, 24.80, 25.1045, 2333
11/30/18, 24.76, 24.76, 24.76, 24.76, 20
11/29/18, 25.20, 25.21, 24.9645, 24.98, 2605
11/28/18, 25.02, 25.05, 25.00, 25.013, 3600
11/27/18, 25.0227, 25.0227, 25.02, 25.02, 345
11/26/18, 25.10, 25.10, 25.0604, 25.0651, 2790
11/23/18, 25.15, 25.15, 25.1204, 25.1204, 1600
11/21/18, 25.19, 25.1999, 25.1487, 25.1487, 1695
11/20/18, 25.02, 25.5149, 25.01, 25.5149, 1550
11/19/18, 25.2464, 25.2464, 25.02, 25.05, 835
11/16/18, 25.433, 25.433, 25.433, 25.433, 395
11/15/18, 25.01, 25.01, 25.01, 25.01, 40
11/14/18, 25.01, 25.01, 25.01, 25.01, 0
11/13/18, 25.285, 25.285, 25.22, 25.26, 4562
11/12/18, 25.4568, 25.4568, 25.3172, 25.3172, 819
11/09/18, 25.20, 25.42, 25.20, 25.42, 515
11/08/18, 25.20, 25.20, 25.20, 25.20, 3
11/07/18, 25.776, 25.776, 25.776, 25.776, 401
11/06/18, 25.28, 25.33, 25.28, 25.33, 1206
11/05/18, 25.28, 25.28, 25.28, 25.28, 290
11/02/18, 25.20, 25.20, 25.20, 25.20, 38
11/01/18, 25.15, 25.27, 25.15, 25.235, 1270
10/31/18, 25.15, 25.27, 25.15, 25.2454, 1681
10/30/18, 25.21, 25.231, 25.15, 25.231, 449
10/29/18, 25.00, 25.16, 24.9957, 25.16, 2600
10/26/18, 25.1275, 25.1275, 25.09, 25.09, 345
10/25/18, 25.19, 25.19, 25.19, 25.19, 279
10/24/18, 25.195, 25.195, 25.1863, 25.1865, 469
10/23/18, 25.2895, 25.2895, 25.2895, 25.2895, 257
10/22/18, 25.149, 25.2371, 25.14, 25.2371, 1319
10/19/18, 25.11, 25.2149, 25.11, 25.20, 1143
10/18/18, 25.10, 25.2163, 25.10, 25.2163, 970
10/17/18, 25.10, 25.10, 25.10, 25.10, 0
10/16/18, 25.4055, 25.4055, 24.83, 25.03, 3045
10/15/18, 25.00, 25.00, 25.00, 25.00, 0
10/12/18, 25.00, 25.00, 25.00, 25.00, 20
10/11/18, 25.4569, 25.83, 25.4569, 25.79, 779
10/10/18, 26.0623, 26.1473, 25.80, 25.85, 3580
10/09/18, 27.11, 27.11, 27.11, 27.11, 73
10/08/18, 25.50, 25.50, 25.50, 25.50, 0
10/05/18, 25.64, 25.85, 25.64, 25.85, 1186
10/04/18, 25.30, 25.30, 25.30, 25.30, 25
10/03/18, 25.64, 25.64, 25.4265, 25.4265, 587
10/02/18, 25.5494, 25.5494, 25.5494, 25.5494, 137
10/01/18, 25.30, 25.30, 25.30, 25.30, 44
09/28/18, 25.26, 25.64, 25.26, 25.64, 1694
09/27/18, 25.3528, 25.3724, 25.3528, 25.3724, 461
09/26/18, 25.35, 25.5355, 25.35, 25.5355, 2806
09/25/18, 25.15, 25.15, 25.15, 25.15, 0
09/24/18, 25.24, 25.25, 25.23, 25.25, 897
09/21/18, 25.25, 25.2785, 25.25, 25.2625, 3482
09/20/18, 25.07, 25.07, 25.07, 25.07, 85
09/19/18, 25.35, 25.5975, 25.35, 25.5975, 349
09/18/18, 25.7124, 25.7124, 25.7124, 25.7124, 200
