Date, Open, High, Low, Close, Volume
03/25/19, 10.79, 10.85, 10.53, 10.68, 235124
03/22/19, 11.11, 11.15, 10.68, 10.75, 422045
03/21/19, 10.94, 11.23, 10.90, 11.13, 468176
03/20/19, 10.77, 11.19, 10.77, 10.95, 530451
03/19/19, 10.95, 11.03, 10.69, 10.81, 658312
03/18/19, 11.10, 11.25, 10.82, 10.98, 790587
03/15/19, 11.10, 11.19, 10.96, 11.13, 729305
03/14/19, 11.08, 11.36, 11.00, 11.09, 857227
03/13/19, 10.95, 11.20, 10.86, 11.05, 864386
03/12/19, 10.85, 11.05, 10.73, 10.91, 441026
03/11/19, 10.65, 10.96, 10.65, 10.85, 442252
03/08/19, 10.75, 10.87, 10.54, 10.70, 419962
03/07/19, 10.71, 11.12, 10.71, 10.76, 548131
03/06/19, 10.56, 11.10, 10.45, 10.88, 995124
03/05/19, 10.64, 10.80, 10.53, 10.56, 656288
03/04/19, 10.64, 10.92, 10.36, 10.69, 452704
03/01/19, 10.81, 11.00, 10.54, 10.64, 450216
02/28/19, 10.78, 10.98, 10.60, 10.81, 594374
02/27/19, 11.31, 11.42, 10.74, 10.80, 561304
02/26/19, 11.37, 11.48, 11.27, 11.40, 613408
02/25/19, 11.50, 11.50, 11.19, 11.35, 347399
02/22/19, 11.20, 11.50, 11.06, 11.43, 512915
02/21/19, 11.19, 11.39, 11.01, 11.33, 400565
02/20/19, 11.44, 11.50, 10.84, 11.07, 1002563
02/19/19, 11.02, 11.53, 10.88, 11.42, 613528
02/15/19, 11.15, 11.20, 10.86, 11.03, 707251
02/14/19, 11.08, 11.31, 10.86, 11.16, 1548201
02/13/19, 11.26, 11.46, 11.15, 11.30, 584478
02/12/19, 11.81, 11.95, 11.18, 11.34, 648450
02/11/19, 11.82, 12.09, 11.70, 11.84, 435809
02/08/19, 12.03, 12.20, 11.85, 11.87, 465015
02/07/19, 12.40, 12.54, 12.01, 12.07, 338198
02/06/19, 12.62, 12.82, 12.53, 12.55, 261332
02/05/19, 12.40, 12.69, 12.17, 12.63, 471566
02/04/19, 12.71, 12.85, 12.27, 12.37, 399662
02/01/19, 12.92, 13.11, 12.65, 12.78, 306948
01/31/19, 12.98, 13.19, 12.80, 12.99, 435446
01/30/19, 12.69, 13.18, 12.68, 13.00, 528650
01/29/19, 13.07, 13.14, 12.72, 12.75, 350610
01/28/19, 12.98, 13.21, 12.72, 13.19, 344654
01/25/19, 12.66, 13.09, 12.60, 13.02, 423795
01/24/19, 12.82, 12.91, 12.56, 12.73, 310793
01/23/19, 12.88, 13.16, 12.77, 12.89, 337757
01/22/19, 12.96, 13.22, 12.86, 12.93, 414229
01/18/19, 13.25, 13.36, 12.82, 13.10, 550067
01/17/19, 13.15, 13.45, 13.02, 13.38, 369406
01/16/19, 12.95, 13.35, 12.95, 13.26, 405064
01/15/19, 12.82, 13.49, 12.80, 13.21, 556983
01/14/19, 13.17, 13.29, 12.76, 12.97, 412168
01/11/19, 13.00, 13.15, 12.77, 13.09, 542872
01/10/19, 13.49, 13.80, 12.95, 13.19, 559096
01/09/19, 13.78, 13.88, 13.44, 13.60, 331285
01/08/19, 13.52, 13.86, 13.31, 13.78, 174566
