Date, Open, High, Low, Close, Volume
03/25/19, 3.99, 4.12, 3.85, 4.00, 645059
03/22/19, 4.16, 4.18, 3.98, 4.00, 1050726
03/21/19, 4.30, 4.36, 4.09, 4.18, 835663
03/20/19, 4.22, 4.68, 4.02, 4.34, 2020222
03/19/19, 4.13, 4.2701, 4.00, 4.19, 1877816
03/18/19, 4.06, 4.09, 3.81, 3.92, 712195
03/15/19, 4.10, 4.18, 3.96, 4.01, 857115
03/14/19, 4.02, 4.1085, 3.92, 4.02, 438014
03/13/19, 4.00, 4.32, 3.785, 4.00, 1613891
03/12/19, 3.63, 4.25, 3.60, 3.99, 2918572
03/11/19, 3.66, 3.70, 3.53, 3.63, 403312
03/08/19, 3.50, 3.64, 3.50, 3.60, 285723
03/07/19, 3.64, 3.6466, 3.54, 3.58, 368139
03/06/19, 3.83, 3.85, 3.60, 3.62, 507821
03/05/19, 3.65, 3.83, 3.63, 3.78, 525127
03/04/19, 3.94, 3.98, 3.60, 3.65, 745054
03/01/19, 3.60, 3.85, 3.59, 3.81, 1110809
02/28/19, 3.51, 3.70, 3.40, 3.51, 487359
02/27/19, 3.44, 3.53, 3.44, 3.48, 401053
02/26/19, 3.50, 3.50, 3.35, 3.44, 260150
02/25/19, 3.42, 3.5158, 3.41, 3.45, 342104
02/22/19, 3.36, 3.47, 3.35, 3.39, 227546
02/21/19, 3.41, 3.4239, 3.27, 3.35, 252285
02/20/19, 3.45, 3.51, 3.35, 3.40, 347449
02/19/19, 3.39, 3.50, 3.35, 3.45, 270595
02/15/19, 3.50, 3.54, 3.41, 3.42, 364216
02/14/19, 3.43, 3.49, 3.40, 3.48, 167971
02/13/19, 3.55, 3.565, 3.41, 3.42, 229789
02/12/19, 3.45, 3.55, 3.45, 3.52, 229590
02/11/19, 3.36, 3.46, 3.35, 3.42, 247994
02/08/19, 3.39, 3.46, 3.18, 3.32, 341265
02/07/19, 3.48, 3.57, 3.38, 3.40, 219740
02/06/19, 3.39, 3.59, 3.35, 3.48, 465029
02/05/19, 3.46, 3.50, 3.38, 3.39, 217988
02/04/19, 3.50, 3.51, 3.40, 3.42, 188568
02/01/19, 3.47, 3.52, 3.38, 3.475, 317689
01/31/19, 3.29, 3.5236, 3.28, 3.43, 239981
