Date, Open, High, Low, Close, Volume
03/25/19, 2.82, 2.87, 2.74, 2.83, 649244
03/22/19, 2.96, 2.97, 2.79, 2.82, 1228974
03/21/19, 2.91, 3.00, 2.88, 2.98, 1226864
03/20/19, 2.98, 3.01, 2.85, 2.90, 1713887
03/19/19, 2.90, 2.99, 2.85, 2.99, 1230110
03/18/19, 2.87, 2.94, 2.84, 2.88, 886122
03/15/19, 2.99, 2.99, 2.82, 2.87, 1759071
03/14/19, 2.83, 3.04, 2.764, 2.99, 2579802
03/13/19, 2.91, 2.97, 2.822, 2.96, 1401949
03/12/19, 2.78, 2.98, 2.74, 2.86, 1074566
03/11/19, 2.67, 2.82, 2.67, 2.77, 1011673
03/08/19, 2.80, 2.84, 2.62, 2.67, 1388276
03/07/19, 2.65, 2.88, 2.64, 2.83, 1467311
03/06/19, 2.90, 2.90, 2.63, 2.65, 1734306
03/05/19, 2.91, 2.9648, 2.83, 2.88, 963384
03/04/19, 3.11, 3.13, 2.90, 2.93, 1229778
03/01/19, 3.09, 3.17, 3.06, 3.10, 946699
02/28/19, 3.21, 3.25, 3.05, 3.09, 1103456
02/27/19, 3.02, 3.31, 3.01, 3.23, 1614527
02/26/19, 2.95, 3.09, 2.95, 3.02, 1320466
02/25/19, 2.89, 3.08, 2.85, 2.98, 2328543
02/22/19, 3.00, 3.07, 2.88, 2.89, 2288036
02/21/19, 2.96, 3.07, 2.8801, 2.98, 2028331
02/20/19, 3.16, 3.23, 2.76, 2.99, 4046173
02/19/19, 3.61, 3.67, 3.10, 3.17, 3342375
02/15/19, 3.56, 3.69, 3.50, 3.61, 1314623
02/14/19, 3.59, 3.65, 3.53, 3.54, 736486
02/13/19, 3.56, 3.66, 3.52, 3.61, 1077822
02/12/19, 3.49, 3.575, 3.455, 3.57, 1014882
02/11/19, 3.51, 3.55, 3.425, 3.48, 665613
02/08/19, 3.39, 3.52, 3.38, 3.49, 1401056
02/07/19, 3.43, 3.46, 3.32, 3.42, 1383671
02/06/19, 3.42, 3.50, 3.32, 3.43, 941651
02/05/19, 3.58, 3.74, 3.40, 3.41, 1486959
02/04/19, 3.45, 3.625, 3.45, 3.57, 3525028
02/01/19, 3.37, 3.495, 3.33, 3.45, 856029
01/31/19, 3.48, 3.52, 3.27, 3.37, 1976246
01/30/19, 3.38, 3.50, 3.3089, 3.48, 1309570
01/29/19, 3.43, 3.55, 3.31, 3.37, 1608837
01/28/19, 3.50, 3.50, 3.35, 3.39, 1299126
01/25/19, 3.50, 3.565, 3.4253, 3.50, 1041369
01/24/19, 3.68, 3.68, 3.30, 3.49, 3092770
01/23/19, 3.58, 3.64, 3.48, 3.54, 1022806
01/22/19, 3.66, 3.6614, 3.46, 3.56, 1493467
01/18/19, 3.85, 3.88, 3.60, 3.67, 2660812
01/17/19, 3.18, 3.8314, 3.18, 3.73, 6477325
01/16/19, 3.14, 3.31, 3.13, 3.19, 965350
01/15/19, 3.17, 3.2225, 3.10, 3.14, 1300335
01/14/19, 3.24, 3.28, 3.11, 3.17, 973433
01/11/19, 3.30, 3.37, 3.232, 3.29, 916856
01/10/19, 3.21, 3.34, 3.07, 3.32, 1892319
01/09/19, 3.33, 3.40, 3.205, 3.23, 2456159
01/08/19, 3.35, 3.45, 3.18, 3.34, 2817723
01/07/19, 3.02, 3.39, 3.01, 3.25, 4498783
01/04/19, 2.85, 3.14, 2.84, 2.97, 3949985
01/03/19, 2.52, 2.85, 2.51, 2.80, 3284520
01/02/19, 2.30, 2.56, 2.29, 2.51, 2097342
12/31/18, 2.40, 2.58, 2.3599, 2.38, 1676495
12/28/18, 2.39, 2.485, 2.25, 2.39, 1682953
12/27/18, 2.48, 2.50, 2.29, 2.39, 2456571
12/26/18, 2.24, 2.50, 1.95, 2.50, 3638888
12/24/18, 2.17, 2.29, 2.17, 2.22, 1369727
12/21/18, 2.53, 2.55, 2.22, 2.26, 5771354
12/20/18, 2.80, 2.94, 2.35, 2.48, 22720100
12/19/18, 2.05, 2.1772, 2.01, 2.01, 1172283
12/18/18, 2.23, 2.26, 2.03, 2.03, 937705
12/17/18, 2.39, 2.47, 2.1866, 2.21, 1244363
12/14/18, 2.50, 2.55, 2.40, 2.42, 800000
12/13/18, 2.69, 2.70, 2.50, 2.50, 949265
12/12/18, 2.64, 2.79, 2.6299, 2.66, 1065028
12/11/18, 2.67, 2.75, 2.59, 2.62, 1155326
12/10/18, 2.65, 2.78, 2.54, 2.63, 1342645
12/07/18, 2.36, 2.68, 2.354, 2.63, 1602339
12/06/18, 2.25, 2.39, 2.12, 2.35, 829622
12/04/18, 2.45, 2.50, 2.2904, 2.31, 673584
12/03/18, 2.48, 2.55, 2.44, 2.48, 762365
11/30/18, 2.28, 2.43, 2.21, 2.41, 940238
11/29/18, 2.38, 2.41, 2.28, 2.30, 567696
11/28/18, 2.24, 2.45, 2.204, 2.40, 1544849
11/27/18, 2.24, 2.29, 2.17, 2.22, 639487
11/26/18, 2.23, 2.245, 2.195, 2.24, 497338
11/23/18, 2.19, 2.25, 2.14, 2.21, 288883
11/21/18, 2.18, 2.25, 2.12, 2.19, 640499
11/20/18, 2.04, 2.21, 2.0301, 2.16, 1124441
11/19/18, 2.14, 2.16, 2.03, 2.09, 1101817
11/16/18, 2.16, 2.25, 2.07, 2.11, 854339
11/15/18, 2.06, 2.23, 2.03, 2.19, 1548821
11/14/18, 2.01, 2.11, 1.99, 2.06, 1218564
11/13/18, 1.93, 2.04, 1.93, 1.99, 660388
11/12/18, 2.00, 2.00, 1.86, 1.92, 655697
11/09/18, 2.04, 2.0948, 1.93, 1.99, 713008
11/08/18, 2.06, 2.12, 2.02, 2.07, 999282
11/07/18, 1.95, 2.35, 1.92, 2.07, 2387305
11/06/18, 1.80, 1.99, 1.75, 1.94, 2004222
11/05/18, 1.88, 1.93, 1.77, 1.88, 1275749
11/02/18, 1.78, 1.98, 1.78, 1.89, 1811557
11/01/18, 1.66, 1.79, 1.61, 1.79, 1686415
10/31/18, 1.67, 1.68, 1.55, 1.59, 1032744
10/30/18, 1.62, 1.69, 1.54, 1.64, 1694104
10/29/18, 1.75, 1.765, 1.58, 1.62, 1024835
10/26/18, 1.75, 1.78, 1.68, 1.72, 922536
10/25/18, 1.68, 1.83, 1.63, 1.79, 1098164
10/24/18, 1.79, 1.79, 1.65, 1.66, 1310281
10/23/18, 1.77, 1.81, 1.70, 1.805, 796450
10/22/18, 1.89, 1.9199, 1.76, 1.81, 1537901
10/19/18, 2.00, 2.06, 1.92, 1.96, 1148386
10/18/18, 2.02, 2.07, 1.98, 2.00, 728346
